Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2024-10-21,14.29,20.36,14.09,20.00,,,,,,,0,14.0900,1,272334,,,,,0
2024-10-22,19.79,20.00,17.76,18.73,,,,,,,0,14.0900,1,120694,,,,,0
2024-10-23,18.00,18.43,17.10,17.16,,,,,,,0,14.0900,1,169023,,,,,0
2024-10-24,16.80,17.75,16.71,17.63,,,,,,,0,14.2154,1,138425,,,,,0
2024-10-25,17.27,19.58,17.27,19.57,,,,,,,0,14.3383,1,132062,,,,,0
2024-10-28,20.00,24.27,20.00,23.75,,,,,,,0,14.4587,1,314286,,,,,0
2024-10-29,22.90,24.50,22.50,23.65,,,,,,,0,14.8512,1,174965,,,,,0
2024-10-30,23.00,23.19,20.75,22.06,,,,,,,0,15.4301,1,507201,,,,,0
2024-10-31,22.60,22.60,20.00,21.38,,,,,,,0,15.9743,1,97929,,,,,0
2024-11-01,21.70,21.70,19.57,20.14,20.41,,,,,28.9810,0,16.4858,1,80187,,,,,0
2024-11-04,19.62,21.72,19.21,20.75,20.48,,,,,28.7294,0,16.9667,1,86839,,,,,0
2024-11-05,20.74,21.20,18.51,19.00,20.51,,,,,28.1000,0,17.4187,1,236259,,,,,0
2024-11-06,19.93,19.93,17.50,19.30,20.72,,,,,26.8645,0,24.5000,0,79973,,,,,0
2024-11-07,19.08,20.90,19.08,20.68,21.03,,,,,26.8645,0,24.3600,0,53150,,,,,0
2024-11-08,20.98,21.00,19.50,19.92,21.06,,,,,26.8645,0,24.2228,0,46926,,,,,0
2024-11-11,19.80,21.30,19.18,20.94,20.78,,,,,26.8645,0,24.0883,0,60883,,,,,0
2024-11-12,20.50,20.93,19.50,19.60,20.38,,,,,26.8645,0,23.9566,0,41660,,,,,0
2024-11-13,19.43,20.00,18.42,18.57,20.03,,,,,26.0864,0,23.8274,0,38791,,,,,0
2024-11-14,19.00,19.00,17.51,18.09,19.70,,,,,24.8908,0,23.7009,0,39156,,,,,0
2024-11-15,18.00,18.41,17.39,17.60,19.45,19.93,,,,24.1772,0,23.5769,0,35387,,,,,0
2024-11-18,17.73,18.74,17.66,18.52,19.22,19.85,,,,24.1772,0,23.3292,0,33008,,,,,0
2024-11-19,19.10,20.82,18.65,20.65,19.39,19.95,,,,24.1772,0,23.0914,0,98583,,,,,0
2024-11-20,20.53,20.75,19.46,20.58,19.52,20.12,,,,24.1772,0,22.8632,0,79474,,,,,0
2024-11-21,20.65,22.00,19.64,22.00,19.65,20.34,,,,24.1772,0,22.6441,0,80076,,,,,0
2024-11-22,21.56,23.82,21.56,23.49,20.00,20.53,,,,24.1772,0,17.3850,1,101874,,,,,0
2024-11-25,24.00,26.00,23.25,23.49,20.26,20.52,,,,24.1772,0,17.5137,1,143660,,,,,0
2024-11-26,23.16,23.60,22.00,22.12,20.51,20.44,,,,24.1772,0,17.8532,1,54066,,,,,0
2024-11-27,22.01,22.80,21.00,21.43,20.80,20.41,,,,24.1772,0,18.1790,1,55613,,,,,0
2024-11-29,22.00,22.92,21.25,21.99,21.19,20.44,,,,24.1772,0,18.4919,1,62808,,,,,0
2024-12-02,26.12,27.90,24.76,25.75,22.00,20.72,,,,19.1965,1,18.7922,1,441412,,,,,0
2024-12-03,25.80,30.00,25.43,29.33,23.08,21.15,,,,19.9238,1,19.3387,1,654707,,,,,0
2024-12-04,30.50,33.15,30.08,32.31,24.25,21.82,,,,23.4545,1,20.1916,1,775689,,,,,0
2024-12-05,33.94,34.60,30.54,31.16,25.31,22.41,,,,24.0098,1,21.4874,1,323276,,,,,0
2024-12-06,31.98,36.84,31.75,36.77,26.78,23.22,,,,24.8868,1,23.0609,1,540824,,3.2231,1.4763,1.7468,0
2024-12-09,38.57,38.69,31.53,31.96,27.63,23.82,,,,24.8868,1,24.9900,1,532422,,3.3574,1.8525,1.5049,0
2024-12-10,32.71,35.25,31.53,33.70,28.65,24.46,,,,24.8868,1,27.1820,1,336296,,3.5631,2.1946,1.3685,0
2024-12-11,34.40,34.95,31.95,32.78,29.72,25.11,,,,24.8868,1,29.0233,1,197660,,3.6104,2.4778,1.1326,0
2024-12-12,32.36,33.00,31.12,31.33,30.71,25.75,,,,24.8868,1,30.5700,1,178102,,3.4905,2.6803,0.8102,0
2024-12-13,31.63,31.70,29.95,30.75,31.58,26.39,,,,24.8868,1,38.6900,0,222286,,3.3106,2.8064,0.5042,0
2024-12-16,30.78,34.43,30.49,33.40,32.35,27.18,,,,24.8868,1,38.5152,0,252571,,3.3433,2.9138,0.4296,0
2024-12-17,33.00,33.00,29.14,29.34,32.35,27.72,,,,24.8868,1,38.3439,0,222793,,3.0070,2.9324,0.0746,0
2024-12-18,28.94,30.00,26.99,27.09,31.83,28.04,,,,24.8868,1,37.9757,0,237447,,2.5297,2.8519,-0.3222,0
2024-12-19,27.74,28.16,25.98,27.05,31.42,28.36,,,,24.8868,1,37.3166,0,183878,,2.1237,2.7062,-0.5825,0
2024-12-20,26.49,28.76,26.00,26.71,30.41,28.60,,,,24.8868,1,36.4097,0,148508,,1.7544,2.5159,-0.7615,0
2024-12-23,27.04,28.74,25.77,28.64,30.08,28.86,,,,24.8868,1,35.5753,0,160355,,1.5989,2.3325,-0.7336,0
2024-12-24,28.77,28.96,27.37,28.25,29.53,29.09,,,,24.8868,1,34.5948,0,83936,,1.4274,2.1515,-0.7240,0
2024-12-26,28.30,29.39,27.32,28.06,29.06,29.39,,,,24.8868,1,33.7123,0,84764,,1.2620,1.9736,-0.7116,0
2024-12-27,27.94,28.00,25.53,27.31,28.66,29.68,,,,24.8868,1,32.9181,0,147679,,1.0582,1.7905,-0.7323,0
2024-12-30,26.95,27.20,25.90,26.92,28.28,29.93,,,,24.8868,1,32.0315,0,83678,,0.8554,1.6035,-0.7481,0
2024-12-31,27.39,28.68,26.79,27.70,27.71,30.03,24.38,,,24.8868,1,31.2513,0,105548,186982,0.7489,1.4326,-0.6836,0
