Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,238.98,238.98,237.14,237.65,,,,,,,0,238.9792,0,42039,,,,,0
2023-07-14,238.02,238.02,234.54,236.58,,,,,,,0,238.9792,0,51633,,,,,0
2023-07-17,235.97,237.91,235.36,237.36,,,,,,,0,238.9792,0,35434,,,,,0
2023-07-18,237.11,237.80,235.77,237.50,,,,,,,0,238.8905,0,69599,,,,,0
2023-07-19,236.93,238.21,235.40,237.88,,,,,,,0,238.8036,0,46516,,,,,0
2023-07-20,238.56,238.56,234.05,234.67,,,,,,,0,238.7184,0,55055,,,,,0
2023-07-21,235.11,235.59,233.27,233.59,,,,,,,0,238.5568,0,53951,,,,,0
2023-07-24,234.41,235.76,234.00,235.09,,,,,,,0,238.5568,0,35145,,,,,0
2023-07-25,233.71,235.49,233.71,235.16,,,,,,,0,238.2395,0,40005,,,,,0
2023-07-26,234.91,237.92,234.52,237.18,236.27,,,,,244.2913,0,237.9412,0,46132,,,,,0
2023-07-27,238.14,240.36,235.55,238.15,236.32,,,,,244.2913,0,233.2677,1,62273,,,,,0
2023-07-28,240.46,241.22,238.85,240.23,236.68,,,,,244.2913,0,233.4096,1,45197,,,,,0
2023-07-31,240.60,241.71,240.16,241.52,237.10,,,,,244.2913,0,233.7219,1,72162,,,,,0
2023-08-01,240.22,243.24,239.40,240.61,237.41,,,,,244.2913,0,234.2009,1,48302,,,,,0
2023-08-02,239.26,239.69,237.45,237.88,237.41,,,,,244.2913,0,234.9241,1,41857,,,,,0
2023-08-03,237.31,239.90,236.60,238.75,237.82,,,,,244.2913,0,235.5895,1,38775,,,,,0
2023-08-04,238.75,239.79,236.28,236.54,238.11,,,,,244.2913,0,236.2016,1,46426,,,,,0
2023-08-07,237.16,238.44,236.84,238.26,238.43,,,,,244.2913,0,236.2819,1,35717,,,,,0
2023-08-08,236.83,237.69,233.56,235.94,238.51,,,,,244.2913,0,243.2412,0,30330,,,,,0
2023-08-09,236.91,236.99,235.10,235.20,238.31,237.29,,,,244.2913,0,243.0475,0,32245,,,,,0
2023-08-10,235.68,236.86,232.26,232.79,237.77,237.04,,,,243.9280,0,242.8577,0,47314,,,,,0
2023-08-11,231.72,233.60,231.72,232.84,237.03,236.86,,,,241.6597,0,242.4338,0,30393,,,,,0
2023-08-14,232.34,232.92,231.11,231.52,236.03,236.57,,,,240.6563,0,241.7911,0,44861,,,,,0
2023-08-15,230.13,230.17,227.34,227.53,234.72,236.07,,,,237.7841,0,240.9364,0,56769,,,,,0
2023-08-16,226.58,228.85,226.58,226.72,233.61,235.51,,,,236.5266,0,239.5763,0,43695,,,,,0
2023-08-17,227.21,228.74,224.03,224.15,232.15,234.98,,,,235.7270,0,238.0164,0,40561,,,,,0
2023-08-18,223.32,225.78,222.46,223.02,230.79,234.45,,,,233.5238,0,236.0588,0,44770,,,,,0
2023-08-21,223.02,224.16,221.44,222.09,229.18,233.80,,,,232.0803,0,233.8829,0,81503,,,,,0
2023-08-22,220.66,227.15,218.13,226.91,228.28,233.39,,,,232.0803,0,231.6426,0,114809,,,,,0
2023-08-23,227.77,231.30,227.12,230.35,227.79,233.05,,,,232.0803,0,218.1252,1,53405,,,,,0
2023-08-24,230.01,232.39,227.69,227.87,227.30,232.54,,,,232.0803,0,218.1252,1,49492,,,,,0
