Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2024-07-09,8.75,9.15,8.50,9.00,,,,,,,0,8.5000,1,193,,,,,0
2024-07-10,9.00,9.15,9.00,9.10,,,,,,,0,8.5000,1,270,,,,,0
2024-07-11,9.00,9.00,9.00,9.00,,,,,,,0,8.5000,1,53,,,,,0
2024-07-12,9.15,9.50,9.15,9.15,,,,,,,0,8.5130,1,91,,,,,0
2024-07-15,9.00,9.20,9.00,9.20,,,,,,,0,8.5525,1,161,,,,,0
2024-07-16,9.00,9.50,9.00,9.40,,,,,,,0,8.5904,1,366,,,,,0
2024-07-17,9.20,9.60,8.50,9.25,,,,,,,0,9.5000,0,388,,,,,0
2024-07-18,9.79,9.79,9.15,9.25,,,,,,,0,8.5000,1,142,,,,,0
2024-07-19,9.30,9.35,9.25,9.35,,,,,,,0,8.5000,1,116,,,,,0
2024-07-22,9.40,9.40,9.15,9.15,9.18,,,,,10.5320,0,8.5258,1,44,,,,,0
2024-07-23,9.45,9.50,9.00,9.40,9.22,,,,,10.5313,0,8.5511,1,261,,,,,0
2024-07-24,9.49,9.50,9.49,9.50,9.26,,,,,10.5313,0,8.5759,1,301,,,,,0
2024-07-25,9.50,9.50,9.00,9.50,9.31,,,,,10.4649,0,8.6001,1,447,,,,,0
2024-07-26,9.49,9.50,9.49,9.50,9.35,,,,,10.4649,0,8.6239,1,219,,,,,0
2024-07-29,9.50,9.75,9.49,9.75,9.40,,,,,10.4649,0,8.6473,1,65,,,,,0
2024-07-30,9.73,9.75,9.72,9.73,9.44,,,,,10.4649,0,8.6701,1,4140,,,,,0
2024-07-31,9.72,9.73,9.72,9.73,9.49,,,,,10.4649,0,8.6925,1,1363,,,,,0
2024-08-01,9.10,9.61,9.10,9.49,9.51,,,,,10.3302,0,8.7145,1,443,,,,,0
2024-08-02,9.50,9.50,8.99,9.10,9.48,,,,,10.2757,0,8.7360,1,41,,,,,0
2024-08-05,9.00,9.00,8.50,8.50,9.42,9.30,,,,9.8576,0,9.7900,0,175,,,,,0
2024-08-06,8.50,9.00,8.20,9.00,9.38,9.30,,,,9.8368,0,9.7642,0,450,,,,,0
2024-08-07,9.00,9.00,9.00,9.00,9.33,9.30,,,,9.8368,0,9.7016,0,5,,,,,0
2024-08-08,8.80,8.80,8.45,8.50,9.23,9.27,,,,9.7918,0,9.6416,0,243,,,,,0
2024-08-09,8.50,8.50,8.50,8.50,9.13,9.24,,,,9.5502,0,9.5839,0,38,,,,,0
2024-08-12,8.40,8.60,8.00,8.50,9.00,9.20,,,,9.4251,0,9.5285,0,608,,,,,0
2024-08-13,8.50,8.75,8.35,8.75,8.91,9.17,,,,9.4251,0,9.4368,0,95,,,,,0
2024-08-14,8.75,8.75,8.75,8.75,8.81,9.15,,,,9.4251,0,9.3506,0,,,,,,0
2024-08-15,8.74,8.75,8.50,8.75,8.74,9.12,,,,9.4251,0,9.2696,0,48,,,,,0
2024-08-16,8.50,8.50,8.40,8.40,8.66,9.07,,,,9.4251,0,9.1934,0,468,,,,,0
2024-08-19,8.40,8.40,8.40,8.40,8.65,9.04,,,,9.2984,0,9.1218,0,15,,,,,0
2024-08-20,8.40,8.40,8.40,8.40,8.59,8.99,,,,9.2085,0,9.0545,0,44,,,,,0
2024-08-21,8.40,8.50,8.40,8.40,8.53,8.93,,,,9.2077,0,8.9912,0,38,,,,,0
2024-08-22,8.40,8.50,8.20,8.50,8.53,8.88,,,,9.1219,0,8.9318,0,414,,,,,0
2024-08-23,8.50,8.80,8.50,8.75,8.56,8.84,,,,9.1219,0,8.8758,0,952,,-0.2439,-0.2686,0.0248,0
2024-08-26,8.75,9.50,8.75,9.50,8.66,8.83,,,,8.1938,1,8.0000,1,434,,-0.1567,-0.2463,0.0895,0
2024-08-27,9.76,9.78,9.00,9.75,8.76,8.83,,,,8.3179,1,8.0300,1,615,,-0.0667,-0.2103,0.1436,0
2024-08-28,9.25,9.50,9.25,9.50,8.83,8.82,,,,8.3179,1,8.1000,1,323,,-0.0154,-0.1713,0.1560,0
2024-08-29,9.50,9.75,9.25,9.50,8.91,8.82,,,,8.3466,1,8.1672,1,2242,,0.0250,-0.1321,0.1571,0
2024-08-30,9.60,9.80,9.60,9.75,9.04,8.85,,,,8.5719,1,8.2317,1,2489,,0.0764,-0.0904,0.1667,0
2024-09-03,9.20,9.75,9.00,9.00,9.10,8.88,,,,8.5719,1,8.3258,1,158,,0.0559,-0.0611,0.1170,0
2024-09-04,9.50,9.50,9.00,9.50,9.21,8.90,,,,8.5719,1,8.4143,1,69,,0.0790,-0.0331,0.1121,0
2024-09-05,9.75,9.75,9.00,9.50,9.33,8.93,,,,8.5719,1,8.4974,1,290,,0.0963,-0.0072,0.1035,0
2024-09-06,9.02,9.50,9.01,9.50,9.42,8.98,,,,8.5719,1,8.5756,1,971,,0.1086,0.0159,0.0926,0
2024-09-09,9.06,9.60,9.06,9.60,9.51,9.03,,,,8.5719,1,8.6490,1,183,,0.1251,0.0378,0.0873,0
2024-09-10,9.07,9.50,9.07,9.50,9.51,9.08,,,,8.5719,1,8.7181,1,3341,,0.1286,0.0559,0.0727,0
2024-09-11,9.27,9.50,9.10,9.26,9.46,9.11,,,,8.5719,1,8.7830,1,2445,,0.1108,0.0669,0.0439,0
2024-09-12,9.26,9.50,9.11,9.17,9.43,9.13,,,,8.5719,1,8.8440,1,1657,,0.0884,0.0712,0.0172,0
2024-09-13,9.17,9.65,9.13,9.50,9.43,9.17,,,,8.5719,1,8.9014,1,751,,0.0961,0.0762,0.0199,0
2024-09-16,9.01,9.50,9.01,9.50,9.40,9.22,,,,8.5719,1,8.9553,1,904,,0.1011,0.0812,0.0199,0
2024-09-17,9.10,9.50,9.05,9.50,9.45,9.28,9.16,,,8.5719,1,9.0060,1,1355,619,0.1038,0.0857,0.0181,0
2024-09-18,9.50,9.50,9.50,9.50,9.45,9.33,9.17,,,8.5719,1,9.0100,1,,615,0.1048,0.0895,0.0153,0
2024-09-19,9.50,9.65,9.50,9.65,9.47,9.40,9.18,,,8.5719,1,9.0500,1,538,620,0.1163,0.0949,0.0215,0
2024-09-20,9.30,9.70,9.30,9.40,9.46,9.44,9.19,,,8.5719,1,9.0950,1,288,625,0.1041,0.0967,0.0074,0
2024-09-23,9.40,9.55,9.25,9.55,9.45,9.48,9.20,,,8.5719,1,9.1373,1,78,624,0.1053,0.0984,0.0069,0
2024-09-24,9.34,9.48,9.34,9.48,9.45,9.48,9.21,,,8.5719,1,9.1771,1,29,622,0.0995,0.0986,0.0008,0
2024-09-25,9.39,9.45,9.18,9.18,9.44,9.45,9.20,,,8.5719,1,9.8000,0,233,619,0.0698,0.0929,-0.0231,0
2024-09-26,9.18,9.25,9.18,9.18,9.44,9.44,9.20,,,8.5719,1,9.7876,0,127,614,0.0458,0.0835,-0.0377,0
2024-09-27,9.45,9.45,9.45,9.45,9.44,9.43,9.20,,,8.5719,1,9.7754,0,3,611,0.0480,0.0764,-0.0284,0
2024-09-30,9.45,9.45,9.45,9.45,9.43,9.42,9.21,,,8.5741,1,9.7635,0,,609,0.0492,0.0709,-0.0218,0
2024-10-01,9.23,9.23,9.04,9.06,9.39,9.42,9.20,,,8.5741,1,9.7519,0,659,621,0.0184,0.0604,-0.0420,0
2024-10-02,9.15,9.20,9.15,9.20,9.36,9.41,9.20,,,8.5741,1,9.7234,0,383,624,0.0053,0.0494,-0.0441,0
2024-10-03,9.20,9.20,9.15,9.20,9.31,9.39,9.19,,,8.5741,1,9.6961,0,532,628,-0.0051,0.0385,-0.0436,0
2024-10-04,9.20,9.20,9.18,9.20,9.29,9.38,9.19,,,8.5741,1,9.6698,0,397,627,-0.0131,0.0282,-0.0413,0
2024-10-07,9.20,9.20,9.10,9.10,9.25,9.35,9.18,,,8.5741,1,9.6446,0,261,628,-0.0273,0.0171,-0.0444,0
2024-10-08,9.06,9.06,9.04,9.06,9.21,9.33,9.17,,,8.5741,1,9.6204,0,162,630,-0.0412,0.0054,-0.0466,0
2024-10-09,8.25,8.90,8.25,8.50,9.14,9.29,9.14,,,9.3818,0,9.5972,0,126,550,-0.0964,-0.0149,-0.0814,0
2024-10-10,8.80,9.20,8.80,9.20,9.14,9.29,9.13,,,9.3818,0,9.5164,0,44,523,-0.0826,-0.0285,-0.0541,0
2024-10-11,8.81,8.90,8.81,8.90,9.09,9.26,9.12,,,9.3818,0,9.4404,0,69,516,-0.0949,-0.0418,-0.0531,0
2024-10-14,8.50,8.65,8.50,8.65,9.01,9.22,9.11,,,9.3818,0,9.3690,0,10,515,-0.1233,-0.0581,-0.0652,0
2024-10-15,8.60,8.60,8.50,8.55,8.96,9.17,9.11,,,9.3818,0,9.3018,0,98,514,-0.1521,-0.0769,-0.0753,0
2024-10-16,8.50,9.00,8.50,9.00,8.94,9.15,9.11,,,9.3818,0,9.2387,0,155,508,-0.1371,-0.0889,-0.0482,0
2024-10-17,8.75,8.86,8.49,8.49,8.86,9.09,9.10,,,9.3818,0,9.1794,0,243,513,-0.1645,-0.1040,-0.0604,0
2024-10-18,8.50,9.22,8.50,9.10,8.86,9.08,9.11,,,9.3818,0,8.2500,1,4353,595,-0.1354,-0.1103,-0.0251,0
2024-10-21,9.00,9.61,9.00,9.45,8.89,9.07,9.13,,,8.0813,1,8.2694,1,12323,840,-0.0831,-0.1049,0.0218,0
2024-10-22,9.70,9.89,9.43,9.45,8.93,9.07,9.15,,,8.4207,1,8.3230,1,8846,1005,-0.0412,-0.0921,0.0509,0
2024-10-23,9.39,9.48,9.21,9.38,9.02,9.08,9.16,,,8.4207,1,8.4170,1,2322,1050,-0.0135,-0.0764,0.0629,0
