Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,412.48,413.40,407.89,411.89,,,,,,,0,407.8917,1,17190,,,,,0
2023-07-14,413.95,413.95,407.07,409.41,,,,,,,0,413.9455,0,16094,,,,,0
2023-07-17,407.53,410.74,405.67,409.07,,,,,,,0,413.9455,0,12976,,,,,0
2023-07-18,410.70,415.94,410.56,415.23,,,,,,,0,405.6713,1,9627,,,,,0
2023-07-19,417.30,417.30,408.73,409.58,,,,,,,0,405.6713,1,10230,,,,,0
2023-07-20,412.31,414.22,409.71,413.77,,,,,,,0,406.1366,1,7370,,,,,0
2023-07-21,416.13,416.13,412.18,415.36,,,,,,,0,406.5834,1,11337,,,,,0
2023-07-24,415.36,416.96,412.41,416.18,,,,,,,0,407.0122,1,10746,,,,,0
2023-07-25,417.30,421.01,416.18,418.48,,,,,,,0,407.4239,1,8512,,,,,0
2023-07-26,421.46,421.68,416.15,416.22,413.52,,,,,435.8332,0,408.2388,1,21845,,,,,0
2023-07-27,426.90,426.90,407.25,424.27,414.76,,,,,435.8332,0,421.6788,0,22446,,,,,0
2023-07-28,428.14,428.14,419.71,425.82,416.40,,,,,435.8332,0,407.2465,1,15482,,,,,0
2023-07-31,427.32,429.51,421.65,428.61,418.35,,,,,435.8332,0,407.2465,1,14454,,,,,0
2023-08-01,427.64,434.25,423.04,432.46,420.08,,,,,435.8332,0,408.1369,1,19415,,,,,0
2023-08-02,431.44,435.42,431.44,433.89,422.51,,,,,435.8332,0,409.7038,1,16416,,,,,0
2023-08-03,432.80,436.96,431.00,434.49,424.58,,,,,435.8332,0,411.7610,1,20193,,,,,0
2023-08-04,435.24,436.90,430.89,433.30,426.37,,,,,435.8332,0,414.2804,1,10731,,,,,0
2023-08-07,434.23,438.40,434.23,438.40,428.59,,,,,415.7997,1,416.5480,1,13214,,,,,0
2023-08-08,436.48,442.02,434.98,442.02,430.95,,,,,417.9262,1,419.1700,1,31677,,,,,0
2023-08-09,441.14,443.39,437.93,441.74,433.50,423.51,,,,420.5057,1,422.3693,1,18203,,,,,0
2023-08-10,441.69,445.83,440.40,445.58,435.63,425.19,,,,423.3458,1,425.7325,1,22822,,,,,0
2023-08-11,446.42,446.42,442.06,443.80,437.43,426.91,,,,425.1404,1,429.3496,1,15902,,,,,0
2023-08-14,445.48,447.08,440.85,447.07,439.27,428.81,,,,425.1404,1,432.7629,1,17810,,,,,0
2023-08-15,444.37,447.55,442.44,445.45,440.57,430.32,,,,426.3087,1,435.6263,1,12112,,,,,0
2023-08-16,447.12,447.12,442.84,443.04,441.49,432.00,,,,426.8790,1,438.0101,1,13400,,,,,0
2023-08-17,442.32,446.41,436.08,436.26,441.67,433.12,,,,426.8790,1,447.5451,0,10897,,,,,0
2023-08-18,437.37,446.55,435.84,441.82,442.52,434.44,,,,426.8790,1,447.3159,0,22909,,,,,0
2023-08-21,443.76,444.21,439.93,440.41,442.72,435.66,,,,426.8790,1,446.8567,0,8911,,,,,0
2023-08-22,441.23,443.65,431.94,432.35,441.75,436.35,,,,426.8790,1,446.5488,0,12029,,,,,0
2023-08-23,434.63,436.61,430.70,434.70,441.05,437.27,,,,426.8790,1,445.6720,0,22860,,,,,0
2023-08-24,432.85,437.71,432.85,434.18,439.91,437.77,,,,426.8790,1,444.4745,0,7367,,,,,0
2023-08-25,437.11,437.11,430.37,432.06,438.73,438.08,,,,426.8790,1,443.3727,0,11110,,,,,0
2023-08-28,432.33,438.43,432.33,435.49,437.58,438.43,,,,426.8790,1,442.0725,0,11703,,,,,0
2023-08-29,435.04,440.34,435.04,439.78,437.01,438.79,,,,426.8790,1,440.9023,0,7879,,4.9428,7.4395,-2.4967,0
2023-08-30,440.37,448.36,436.47,445.13,437.22,439.35,,,,426.8790,1,430.3705,1,13323,,5.2429,7.0002,-1.7572,0
2023-08-31,447.72,447.98,444.18,445.63,438.16,439.91,,,,426.8790,1,430.7303,1,15451,,5.4577,6.6917,-1.2339,0
2023-09-01,447.21,451.61,447.04,447.89,438.76,440.64,,,,429.1688,1,431.0829,1,9063,,5.7440,6.5021,-0.7582,0
2023-09-05,449.94,449.94,431.30,431.86,437.91,440.31,,,,429.1688,1,451.6063,0,19161,,4.6243,6.1266,-1.5022,0
2023-09-06,432.36,434.82,426.41,434.18,438.09,439.92,,,,429.1688,1,451.6063,0,21002,,3.8791,5.6771,-1.7980,0
2023-09-07,434.94,435.80,427.11,429.84,437.60,439.33,,,,429.1688,1,450.5986,0,15130,,2.9051,5.1227,-2.2176,0
2023-09-08,431.65,435.56,428.66,432.39,437.43,438.67,,,,429.1688,1,449.6312,0,9205,,2.3125,4.5607,-2.2481,0
2023-09-11,435.48,438.47,432.89,436.35,437.85,438.29,,,,429.1688,1,448.7025,0,11083,,2.1375,4.0760,-1.9385,0
2023-09-12,438.16,438.27,432.40,433.94,437.70,437.64,,,,429.1688,1,447.8110,0,11113,,1.7838,3.6176,-1.8338,0
2023-09-13,434.01,434.01,426.14,427.40,436.46,436.74,,,,452.8230,0,446.9551,0,18873,,0.9648,3.0870,-2.1222,0
2023-09-14,429.83,431.49,428.94,429.02,434.85,436.03,,,,451.9131,0,445.7061,0,13811,,0.4415,2.5579,-2.1164,0
2023-09-15,427.25,435.84,424.55,430.80,433.37,435.76,,,,451.9131,0,444.5320,0,47071,,0.1679,2.0799,-1.9120,0
2023-09-18,431.13,439.91,431.13,437.39,432.32,435.54,,,,451.9131,0,442.9334,0,14310,,0.4773,1.7594,-1.2821,0
2023-09-19,434.98,439.64,434.98,438.22,432.95,435.43,,,,451.9131,0,441.4627,0,11994,,0.7813,1.5638,-0.7825,0
2023-09-20,439.36,443.87,437.19,438.99,433.43,435.76,,,,451.9131,0,424.5491,1,14592,,1.0714,1.4653,-0.3939,0
2023-09-21,438.18,439.63,431.44,433.89,433.84,435.72,431.90,,,451.9131,0,424.9356,1,12876,15279,0.8802,1.3483,-0.4681,0
2023-09-22,433.21,440.32,433.21,436.82,434.28,435.85,432.40,,,451.9131,0,425.3142,1,7558,15086,0.9539,1.2694,-0.3155,0
2023-09-25,437.55,440.57,434.90,437.95,434.44,436.15,432.97,,,451.9131,0,425.6853,1,8817,14940,1.0906,1.2337,-0.1430,0
