Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2025-03-31,14.46,83.51,14.00,83.51,,,,,,,0,14.0000,1,559684,,,,,0
2025-04-01,125.98,265.00,114.22,233.00,,,,,,,0,14.0000,1,2660371,,,,,0
2025-04-02,176.16,177.01,46.00,52.52,,,,,,,0,14.0000,1,542038,,,,,0
2025-04-03,45.48,75.45,40.00,62.12,,,,,,,0,19.0200,1,687035,,,,,0
2025-04-04,57.00,68.00,42.33,45.00,,,,,,,0,23.9396,1,270765,,,,,0
2025-04-07,44.34,63.95,43.56,47.12,,,,,,,0,28.7608,1,236853,,,,,0
2025-04-08,54.22,55.00,38.00,39.21,,,,,,,0,33.4856,1,198179,,,,,0
2025-04-09,40.10,40.50,30.80,34.71,,,,,,,0,265.0000,0,172838,,,,,0
2025-04-10,34.76,35.50,25.00,25.40,,,,,,,0,260.3160,0,86213,,,,,0
2025-04-11,25.60,28.80,22.00,22.85,64.54,,,,,194.4490,0,250.9034,0,94496,,,,,0
2025-04-14,23.83,27.49,22.00,26.00,58.79,,,,,178.5383,0,237.1692,0,148208,,,,,0
2025-04-15,29.20,30.97,25.31,26.14,38.11,,,,,168.2520,0,224.2590,0,115262,,,,,0
2025-04-16,25.08,30.45,25.08,28.09,35.66,,,,,155.4768,0,212.1235,0,87104,,,,,0
2025-04-17,28.10,28.30,25.50,25.50,32.00,,,,,142.6806,0,200.7161,0,41336,,,,,0
2025-04-21,24.50,24.50,21.06,21.73,29.67,,,,,128.3146,0,189.9931,0,48032,,,,,0
2025-04-22,22.24,24.65,22.24,23.38,27.30,,,,,119.2996,0,176.4784,0,61485,,,,,0
2025-04-23,23.80,24.76,21.33,21.95,25.57,,,,,110.3464,0,164.0450,0,45810,,,,,0
2025-04-24,22.22,23.50,21.80,22.58,24.36,,,,,101.7290,0,152.6062,0,35652,,,,,0
2025-04-25,22.60,23.11,21.80,22.80,24.10,,,,,94.0191,0,142.0825,0,27086,,,,,0
2025-04-28,22.80,24.20,22.15,23.00,24.12,44.33,,,,88.1977,0,132.4007,0,29228,,,,,0
2025-04-29,22.95,23.26,21.55,22.07,23.72,41.26,,,,81.4384,0,123.4934,0,26100,,,,,0
2025-04-30,21.80,23.53,21.15,23.11,23.42,30.76,,,,76.1881,0,115.2988,0,26997,,,,,0
2025-05-01,23.22,25.64,22.55,23.36,22.95,29.31,,,,73.4836,0,107.7597,0,34019,,,,,0
2025-05-02,23.36,24.24,22.72,22.94,22.69,27.35,,,,68.3844,0,100.8237,0,19962,,,,,0
2025-05-05,22.76,23.40,22.39,23.05,22.82,26.25,,,,63.6120,0,94.4426,0,12387,,,,,0
2025-05-06,23.00,23.25,22.49,23.15,22.80,25.05,,,,59.7433,0,88.5720,0,9938,,,,,0
2025-05-07,22.74,26.60,22.64,25.24,23.13,24.35,,,,58.9939,0,83.1710,0,60604,,,,,0
2025-05-08,25.35,25.35,23.25,23.57,23.23,23.80,,,,55.8666,0,78.2021,0,26625,,,,,0
2025-05-09,24.30,25.50,23.90,24.34,23.38,23.74,,,,53.6889,0,73.6308,0,32389,,,,,0
2025-05-12,25.00,25.06,23.82,24.54,23.54,23.83,,,,50.9052,0,69.4251,0,25060,,,,,0
2025-05-13,24.56,24.88,23.81,24.18,23.75,23.74,,,,48.4829,0,65.5559,0,20495,,,,,0
2025-05-14,24.30,24.85,23.31,23.36,23.77,23.60,,,,46.2669,0,61.9962,0,21384,,,,,0
2025-05-15,23.19,23.57,22.67,23.21,23.76,23.35,,,,43.3556,0,58.7213,0,8701,,,,,0
2025-05-16,23.17,25.04,23.15,23.80,23.84,23.27,,,,42.8758,0,55.7084,0,32373,,-7.7421,-10.1382,2.3961,0
2025-05-19,23.72,27.49,23.37,25.82,24.12,23.47,,,,42.8758,0,52.9365,0,42223,,-7.0679,-9.5242,2.4563,0
2025-05-20,23.34,24.33,22.89,23.01,24.11,23.45,,,,40.8141,0,50.3864,0,60597,,-6.6832,-8.9560,2.2728,0
2025-05-21,23.10,23.35,22.50,22.73,23.86,23.49,,,,38.6628,0,48.0403,0,18145,,-6.3280,-8.4304,2.1024,0
2025-05-22,22.75,23.68,22.65,23.57,23.86,23.54,,,,37.6380,0,45.8819,0,14934,,-5.9106,-7.9264,2.0158,0
2025-05-23,23.00,23.29,22.75,23.11,23.73,23.56,,,,36.2917,0,43.8961,0,7760,,-5.5529,-7.4517,1.8988,0
2025-05-27,23.25,23.25,21.76,22.00,23.48,23.51,,,,34.8965,0,42.0692,0,28640,,-5.2979,-7.0210,1.7230,0
2025-05-28,22.00,22.19,21.37,21.50,23.21,23.48,,,,33.1784,0,40.3885,0,10761,,-5.0777,-6.6323,1.5546,0
2025-05-29,21.50,22.52,21.15,22.32,23.11,23.44,,,,32.5045,0,38.8422,0,17441,,-4.7818,-6.2622,1.4804,0
2025-05-30,19.49,20.25,17.06,18.31,22.62,23.19,,,,29.8356,0,37.4196,0,56684,,-4.8154,-5.9729,1.1574,0
2025-06-02,18.65,19.80,17.80,19.75,22.21,23.03,,,,29.4625,0,35.3837,0,32728,,-4.6720,-5.7127,1.0407,0
2025-06-03,18.92,19.20,18.26,18.67,21.50,22.81,,,,28.7733,0,33.5513,0,25119,,-4.5926,-5.4887,0.8961,0
2025-06-04,18.76,18.76,17.81,18.09,21.00,22.56,,,,27.6089,0,31.9022,0,30467,,-4.5242,-5.2958,0.7715,0
2025-06-05,17.82,17.82,16.06,16.19,20.35,22.10,,,,25.9372,0,30.4180,0,45829,,-4.5707,-5.1508,0.5800,0
2025-06-06,16.10,17.04,15.90,16.79,19.67,21.76,,,,24.9148,0,28.6945,0,28756,,-4.5072,-5.0221,0.5149,0
2025-06-09,16.50,16.65,14.72,14.77,18.84,21.29,,,,23.9049,0,26.9036,0,44501,,-4.5672,-4.9311,0.3639,0
2025-06-10,14.61,14.67,13.70,14.41,18.08,20.78,30.75,,,21.9048,0,24.9542,0,26928,139924,-4.5909,-4.8630,0.2722,0
2025-06-11,14.46,14.75,13.07,13.17,17.25,20.23,29.34,,,21.3600,0,22.9292,0,35925,129449,-4.6560,-4.8216,0.1656,0
2025-06-12,13.12,13.32,12.53,12.67,16.28,19.69,24.94,,,19.8670,0,20.9573,0,35911,76960,-4.6939,-4.7961,0.1022,0
2025-06-13,12.46,12.83,12.16,12.42,15.69,19.16,24.14,,,18.9430,0,19.2719,0,20002,66519,-4.6900,-4.7749,0.0849,0
2025-06-16,12.45,12.79,11.82,12.67,14.99,18.60,23.15,,,18.4010,0,17.8487,0,20095,53181,-4.6136,-4.7426,0.1290,0
2025-06-17,12.88,14.05,12.68,13.03,14.42,17.96,22.51,,,18.4010,0,16.6430,0,30654,48378,-4.4724,-4.6886,0.2162,0
2025-06-18,13.00,13.57,12.75,13.21,13.93,17.47,21.83,,,18.4010,0,15.6784,0,12440,43890,-4.2965,-4.6102,0.3137,0
2025-06-20,13.27,13.88,12.90,13.24,13.64,16.99,21.31,,,18.4010,0,14.9067,0,15131,40229,-4.1073,-4.5096,0.4023,0
2025-06-23,13.11,13.18,12.22,12.89,13.25,16.46,20.87,,,17.7712,0,14.2894,0,11830,37009,-3.9402,-4.3957,0.4555,0
2025-06-24,12.98,13.21,12.69,12.82,13.05,15.95,20.62,,,17.6701,0,13.8800,0,7738,35439,-3.7699,-4.2705,0.5006,0
2025-06-25,12.75,12.85,12.18,12.52,12.86,15.47,20.42,,,16.9601,0,13.4680,0,10393,33757,-3.6175,-4.1399,0.5224,0
2025-06-26,12.51,13.30,12.25,13.10,12.86,15.05,20.16,,,16.9601,0,11.8200,1,12187,31037,-3.4106,-3.9941,0.5835,0
2025-06-27,13.27,13.88,13.09,13.31,12.92,14.60,19.90,,,16.9601,0,11.8496,1,25981,29251,-3.1929,-3.8338,0.6410,0
2025-06-30,13.61,15.35,13.59,15.13,13.19,14.44,19.64,,,16.9601,0,11.9308,1,41260,28334,-2.8407,-3.6352,0.7945,0
2025-07-01,15.15,15.19,13.72,13.75,13.30,14.14,19.41,,,16.9601,0,12.1360,1,23301,27974,-2.6425,-3.4367,0.7941,0
2025-07-02,14.26,14.46,13.68,14.35,13.43,13.93,19.26,,,16.9601,0,12.3288,1,15098,27315,-2.4093,-3.2312,0.8219,0
2025-07-03,14.55,15.13,14.31,15.04,13.62,13.77,19.09,,,16.9601,0,12.5101,1,14529,26376,-2.1440,-3.0137,0.8697,0
2025-07-07,15.00,15.04,14.31,14.51,13.74,13.69,18.94,,,16.9601,0,12.6805,1,11547,25691,-1.9540,-2.8018,0.8478,0
2025-07-08,14.55,15.88,14.30,15.88,14.04,13.64,18.81,,,16.9601,0,12.8406,1,19196,25362,-1.6736,-2.5762,0.9025,0
2025-07-09,15.85,15.98,14.90,15.46,14.31,13.68,18.66,,,16.9601,0,13.0838,1,13136,25083,-1.4684,-2.3546,0.8862,0
2025-07-10,15.48,15.64,14.88,14.88,14.54,13.70,18.50,,,16.9601,0,13.3734,1,11536,24729,-1.3371,-2.1511,0.8140,0
2025-07-11,14.74,14.80,14.08,14.37,14.67,13.76,18.35,,,16.9601,0,13.6341,1,12135,24449,-1.2597,-1.9728,0.7131,0
2025-07-14,14.25,14.61,14.20,14.53,14.79,13.86,18.17,,,16.9601,0,13.8687,1,5109,24012,-1.1720,-1.8127,0.6407,0
2025-07-15,14.74,14.74,13.68,13.73,14.65,13.92,17.98,,,16.9601,0,15.9800,0,10280,23537,-1.1537,-1.6809,0.5272,0
2025-07-16,13.88,14.25,13.70,14.18,14.69,14.00,17.81,,,16.9601,0,15.9340,0,7367,23285,-1.0903,-1.5627,0.4725,0
2025-07-17,14.21,14.64,14.00,14.62,14.72,14.08,17.64,,,16.9601,0,15.8889,0,8829,23214,-0.9931,-1.4488,0.4557,0
2025-07-18,14.69,14.83,14.35,14.40,14.66,14.14,17.46,,,16.9601,0,15.8447,0,8387,23183,-0.9232,-1.3437,0.4205,0
2025-07-21,14.39,14.81,13.84,13.88,14.59,14.17,17.24,,,16.9601,0,15.8014,0,8556,22142,-0.8994,-1.2548,0.3554,0
