Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,9.90,10.71,9.79,9.86,,,,,,,0,10.7100,0,6032,,,,,0
2023-07-18,9.84,10.20,9.66,9.75,,,,,,,0,10.7100,0,2622,,,,,0
2023-07-19,9.77,10.16,9.72,9.73,,,,,,,0,10.7100,0,3990,,,,,0
2023-07-20,9.69,9.90,9.51,9.68,,,,,,,0,10.6890,0,3798,,,,,0
2023-07-21,9.72,10.24,9.55,10.07,,,,,,,0,10.6418,0,4676,,,,,0
2023-07-24,10.04,10.13,9.50,9.64,,,,,,,0,10.5966,0,3897,,,,,0
2023-07-25,9.59,9.71,9.53,9.56,,,,,,,0,10.5308,0,2374,,,,,0
2023-07-26,9.51,9.69,9.27,9.41,,,,,,,0,10.4689,0,2093,,,,,0
2023-07-27,9.47,9.47,9.10,9.21,,,,,,,0,10.3730,0,3293,,,,,0
2023-07-28,9.35,9.82,9.29,9.74,9.66,,,,,11.1108,0,10.2457,0,2986,,,,,0
2023-07-31,9.72,9.97,9.61,9.71,9.65,,,,,11.1108,0,10.1311,0,2420,,,,,0
2023-08-01,9.63,9.63,9.30,9.50,9.62,,,,,10.9454,0,10.0280,0,1872,,,,,0
2023-08-02,9.30,9.41,9.14,9.35,9.59,,,,,10.7144,0,9.9700,0,1838,,,,,0
2023-08-03,9.32,9.54,9.12,9.29,9.55,,,,,10.7144,0,9.8830,0,1873,,,,,0
2023-08-04,9.30,9.67,9.29,9.63,9.50,,,,,10.7144,0,9.8047,0,1440,,,,,0
2023-08-07,9.61,9.61,8.78,8.85,9.43,,,,,10.7058,0,9.7342,0,2698,,,,,0
2023-08-08,8.80,9.11,8.64,8.81,9.35,,,,,10.3757,0,9.6700,0,2245,,,,,0
2023-08-09,8.80,9.17,8.53,9.09,9.32,,,,,10.3757,0,9.6100,0,2510,,,,,0
2023-08-10,9.12,9.56,9.10,9.43,9.34,,,,,10.3757,0,8.5300,1,2078,,,,,0
2023-08-11,9.39,9.50,9.11,9.25,9.29,9.48,,,,10.3757,0,8.5300,1,1415,,,,,0
2023-08-14,9.15,9.15,8.87,9.06,9.23,9.44,,,,10.3757,0,8.5506,1,1969,,,,,0
2023-08-15,9.04,9.04,8.77,8.98,9.17,9.40,,,,10.3043,0,8.5708,1,1992,,,,,0
2023-08-16,8.91,9.03,8.58,8.60,9.10,9.34,,,,10.1993,0,9.5600,0,1308,,,,,0
2023-08-17,8.61,8.65,8.52,8.54,9.02,9.29,,,,9.8779,0,9.5404,0,1241,,,,,0
2023-08-18,8.42,8.79,8.35,8.56,8.92,9.21,,,,9.8679,0,9.4994,0,1678,,,,,0
2023-08-21,8.56,8.77,8.44,8.58,8.89,9.16,,,,9.8679,0,9.4304,0,1877,,,,,0
2023-08-22,8.64,8.68,8.43,8.64,8.87,9.11,,,,9.7694,0,9.3656,0,1537,,,,,0
