Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,150.26,151.01,149.13,150.27,,,,,,,0,149.1300,1,25876,,,,,0
2023-07-19,150.70,151.56,148.56,149.22,,,,,,,0,151.5600,0,26472,,,,,0
2023-07-20,149.50,149.50,147.35,148.77,,,,,,,0,151.5600,0,22568,,,,,0
2023-07-21,149.48,149.59,146.92,147.61,,,,,,,0,151.5600,0,24385,,,,,0
2023-07-24,147.71,149.60,147.06,147.97,,,,,,,0,151.2816,0,20257,,,,,0
2023-07-25,148.34,150.35,147.90,148.92,,,,,,,0,151.0199,0,28816,,,,,0
2023-07-26,148.16,149.61,147.80,148.40,,,,,,,0,150.7739,0,18357,,,,,0
2023-07-27,149.11,149.97,144.70,145.96,,,,,,,0,150.5427,0,23514,,,,,0
2023-07-28,146.60,146.70,144.81,144.93,,,,,,,0,150.0753,0,18189,,,,,0
2023-07-31,144.93,146.79,144.76,146.69,147.87,,,,,153.4820,0,149.9700,0,26874,,,,,0
2023-08-01,146.02,147.15,146.02,146.38,147.49,,,,,153.4820,0,149.5484,0,19161,,,,,0
2023-08-02,146.17,146.82,144.98,145.79,147.14,,,,,152.9998,0,149.1605,0,39043,,,,,0
2023-08-03,135.00,139.60,131.59,139.16,146.18,,,,,146.2448,0,148.8037,0,71890,,,,,0
2023-08-04,138.54,142.68,136.93,142.54,145.67,,,,,146.2448,0,147.0823,0,46710,,,,,0
2023-08-07,143.63,145.18,142.64,144.34,145.31,,,,,146.2448,0,145.5331,0,30456,,,,,0
2023-08-08,143.67,144.27,142.59,143.93,144.81,,,,,146.2448,0,145.1800,0,20078,,,,,0
2023-08-09,143.70,144.60,142.37,144.07,144.38,,,,,146.2448,0,145.1800,0,17188,,,,,0
2023-08-10,145.02,146.05,143.25,144.52,144.23,,,,,146.2448,0,131.5900,1,18383,,,,,0
2023-08-11,144.01,146.59,143.31,146.05,144.35,,,,,146.2448,0,131.8792,1,17409,,,,,0
2023-08-14,146.98,149.67,146.02,148.48,144.53,146.20,,,,137.8737,1,132.4676,1,22614,,,,,0
2023-08-15,148.00,149.98,146.84,148.84,144.77,146.13,,,,138.4938,1,133.4998,1,23502,,,,,0
2023-08-16,148.63,149.57,147.76,147.82,144.98,146.06,,,,139.1974,1,134.8182,1,21035,,,,,0
2023-08-17,148.81,150.98,147.54,148.86,145.94,146.06,,,,139.7072,1,136.0311,1,27331,,,,,0
2023-08-18,147.78,150.29,147.28,150.11,146.70,146.19,,,,139.7072,1,137.5260,1,32214,,,,,0
2023-08-21,150.10,151.24,148.19,149.51,147.22,146.26,,,,140.2495,1,138.8714,1,18136,,,,,0
2023-08-22,150.45,151.60,149.87,151.00,147.93,146.37,,,,141.5891,1,140.3556,1,17531,,,,,0
2023-08-23,151.81,153.78,151.17,153.11,148.83,146.60,,,,143.4097,1,141.9299,1,23411,,,,,0
2023-08-24,153.16,153.88,151.71,152.25,149.60,146.92,,,,143.9852,1,143.8259,1,31120,,,,,0
2023-08-25,153.22,153.89,150.46,152.60,150.26,147.30,,,,143.9852,1,145.6356,1,20860,,,,,0
2023-08-28,153.53,156.34,153.40,155.85,151.00,147.76,,,,145.6860,1,147.2865,1,24437,,,,,0
2023-08-29,155.41,158.99,155.06,158.26,151.94,148.35,,,,147.5804,1,149.0972,1,27458,,,,,0
2023-08-30,158.32,160.34,158.26,158.97,153.05,149.01,,,,150.1758,1,151.0758,1,23464,,,,,0
2023-08-31,159.81,162.05,159.74,160.09,154.18,150.06,,,,151.7592,1,152.9286,1,28528,,,,,0
2023-09-01,160.99,161.78,159.14,159.20,155.08,150.89,,,,151.7592,1,154.7529,1,24676,,3.4539,2.2983,1.1556,0
2023-09-05,158.26,159.24,149.61,153.43,155.48,151.35,,,,151.7592,1,162.0500,0,73999,,3.0798,2.4546,0.6252,0
2023-09-06,153.98,154.65,151.39,153.43,155.72,151.82,,,,151.7592,1,161.8012,0,28922,,2.7516,2.5140,0.2376,0
2023-09-07,153.10,153.25,150.92,152.65,155.67,152.25,,,,151.7592,1,161.5574,0,26576,,2.4009,2.4914,-0.0905,0
2023-09-08,152.48,154.21,151.32,152.28,155.68,152.64,,,,151.7592,1,161.3184,0,29603,,2.0693,2.4070,-0.3377,0
2023-09-11,152.82,152.82,150.04,150.89,155.50,152.88,,,,161.5855,0,161.0843,0,25214,,1.6750,2.2606,-0.5856,0
2023-09-12,150.89,151.58,149.93,150.40,154.96,152.98,,,,160.3899,0,160.8548,0,28922,,1.3079,2.0700,-0.7622,0
2023-09-13,149.93,151.28,149.22,150.74,154.21,153.07,,,,159.5394,0,160.6299,0,48207,,1.0325,1.8625,-0.8301,0
2023-09-14,151.16,152.86,151.16,151.66,153.48,153.26,,,,159.5394,0,160.1735,0,23522,,0.8783,1.6657,-0.7874,0
2023-09-15,151.50,151.90,149.18,149.55,152.42,153.30,,,,159.4528,0,159.7353,0,60538,,0.5792,1.4484,-0.8692,0
2023-09-18,149.85,151.12,149.47,149.98,151.50,153.29,,,,158.8115,0,159.1020,0,28031,,0.3726,1.2332,-0.8606,0
2023-09-19,149.78,150.74,148.61,149.33,151.09,153.28,,,,157.9789,0,158.5067,0,20996,,0.1546,1.0175,-0.8629,0
2023-09-20,149.80,152.68,149.51,150.01,150.75,153.23,,,,157.9789,0,157.7150,0,17656,,0.0363,0.8213,-0.7850,0
2023-09-21,149.50,150.27,147.62,149.01,150.38,153.03,,,,157.3707,0,156.9866,0,16838,,-0.1366,0.6297,-0.7663,0
2023-09-22,149.24,150.31,148.41,148.80,150.04,152.86,,,,157.3707,0,156.0499,0,15996,,-0.2872,0.4463,-0.7335,0
2023-09-25,148.07,149.26,147.63,147.63,149.71,152.61,,,,156.2718,0,155.2069,0,20211,,-0.4953,0.2580,-0.7533,0
2023-09-26,147.14,147.14,144.83,145.26,149.20,152.08,149.51,,,153.8691,0,154.4482,0,25420,27452,-0.8418,0.0380,-0.8798,0
