Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,30.21,30.58,29.98,30.29,,,,,,,0,29.9800,1,11774,,,,,0
2023-07-20,30.33,30.47,30.07,30.13,,,,,,,0,29.9800,1,8789,,,,,0
2023-07-21,30.36,30.45,29.71,29.77,,,,,,,0,30.5800,0,16704,,,,,0
2023-07-24,29.83,30.04,29.41,29.77,,,,,,,0,30.5626,0,10446,,,,,0
2023-07-25,29.85,30.13,29.47,29.54,,,,,,,0,30.5165,0,11222,,,,,0
2023-07-26,29.44,29.81,29.14,29.43,,,,,,,0,30.4722,0,14618,,,,,0
2023-07-27,30.11,30.37,27.82,28.22,,,,,,,0,30.3923,0,23600,,,,,0
2023-07-28,28.33,28.61,27.64,27.67,,,,,,,0,30.3700,0,14217,,,,,0
2023-07-31,27.60,28.03,27.58,27.95,,,,,,,0,30.3700,0,10847,,,,,0
2023-08-01,27.86,28.35,27.58,28.31,29.11,,,,,30.4970,0,30.0352,0,11154,,,,,0
2023-08-02,27.99,28.20,27.85,27.99,28.88,,,,,30.4418,0,29.7406,0,8156,,,,,0
2023-08-03,27.77,28.17,27.56,28.03,28.67,,,,,30.2231,0,29.4813,0,11475,,,,,0
2023-08-04,27.99,28.30,27.82,27.99,28.49,,,,,30.2231,0,29.2123,0,12122,,,,,0
2023-08-07,27.99,28.25,27.99,28.19,28.33,,,,,30.2231,0,28.9810,0,9717,,,,,0
2023-08-08,27.90,28.45,27.85,28.22,28.20,,,,,30.2231,0,28.7821,0,9030,,,,,0
2023-08-09,28.23,28.23,27.70,27.94,28.05,,,,,30.0013,0,28.6110,0,12517,,,,,0
2023-08-10,27.95,28.19,27.81,28.01,28.03,,,,,29.9467,0,28.4638,0,12518,,,,,0
2023-08-11,27.89,28.32,27.85,28.12,28.08,,,,,29.9467,0,28.3373,0,9406,,,,,0
2023-08-14,28.00,28.20,27.88,27.97,28.08,,,,,29.8397,0,28.3200,0,9555,,,,,0
2023-08-15,27.81,28.09,27.76,28.03,28.05,28.58,,,,29.6437,0,28.3200,0,8221,,,,,0
2023-08-16,27.87,28.20,27.84,27.96,28.05,28.46,,,,29.6437,0,28.2136,0,9098,,,,,0
2023-08-17,28.10,28.36,28.07,28.21,28.06,28.37,,,,29.6437,0,27.5600,1,7888,,,,,0
2023-08-18,28.06,28.30,27.88,27.91,28.06,28.27,,,,29.6437,0,27.5760,1,12272,,,,,0
2023-08-21,27.87,28.09,27.60,27.76,28.01,28.17,,,,29.4090,0,27.5917,1,11054,,,,,0
2023-08-22,27.84,28.28,27.84,28.26,28.02,28.11,,,,29.4090,0,27.6000,1,7076,,,,,0
2023-08-23,28.22,28.26,28.01,28.09,28.03,28.04,,,,29.4090,0,27.6000,1,5876,,,,,0
2023-08-24,28.08,28.15,27.95,28.04,28.04,28.03,,,,29.4090,0,27.6152,1,8625,,,,,0
2023-08-25,28.05,28.39,28.03,28.25,28.05,28.06,,,,29.4090,0,27.6301,1,6455,,,,,0
2023-08-28,28.25,28.57,28.25,28.38,28.09,28.08,,,,29.4090,0,27.6605,1,9031,,,,,0
2023-08-29,28.44,28.48,28.29,28.44,28.13,28.09,,,,29.4090,0,27.7151,1,6436,,,,,0
2023-08-30,28.42,28.65,28.41,28.59,28.19,28.12,,,,29.4090,0,27.7664,1,8917,,,,,0
2023-08-31,28.72,28.95,28.53,28.63,28.24,28.15,,,,29.4090,0,27.8371,1,15383,,,,,0
2023-09-01,28.61,28.70,28.15,28.53,28.30,28.18,,,,29.4090,0,27.9483,1,11155,,,,,0
2023-09-05,28.46,28.51,27.62,27.70,28.29,28.15,,,,29.4090,0,28.9500,0,12387,,-0.1325,-0.2013,0.0688,0
2023-09-06,27.71,28.10,27.60,27.89,28.25,28.14,,,,29.2549,0,28.9234,0,11443,,-0.1520,-0.1914,0.0394,0
2023-09-07,27.81,28.02,27.62,27.65,28.21,28.12,,,,29.2044,0,28.8705,0,10352,,-0.1847,-0.1901,0.0054,0
2023-09-08,27.58,27.77,27.35,27.37,28.14,28.09,,,,28.9319,0,28.8196,0,9985,,-0.2305,-0.1982,-0.0323,0
2023-09-11,27.55,28.27,27.55,27.93,28.11,28.08,,,,28.9319,0,28.7315,0,13247,,-0.2191,-0.2024,-0.0168,0
2023-09-12,27.91,28.04,27.74,27.77,28.05,28.07,,,,28.9319,0,28.6486,0,9322,,-0.2205,-0.2060,-0.0145,0
2023-09-13,27.72,27.97,27.48,27.52,27.96,28.04,,,,28.9319,0,28.5707,0,13179,,-0.2389,-0.2126,-0.0264,0
2023-09-14,27.58,27.94,27.58,27.78,27.88,28.04,,,,28.9319,0,28.4974,0,12318,,-0.2299,-0.2160,-0.0139,0
2023-09-15,27.78,28.12,27.52,28.00,27.81,28.02,,,,28.9319,0,28.4286,0,61550,,-0.2027,-0.2134,0.0106,0
2023-09-18,28.01,28.10,27.90,28.01,27.76,28.03,,,,28.9319,0,28.3639,0,9579,,-0.1783,-0.2064,0.0281,0
2023-09-19,28.11,28.22,27.94,28.03,27.80,28.04,,,,28.9319,0,28.3030,0,7302,,-0.1555,-0.1962,0.0407,0
2023-09-20,28.14,28.20,27.89,27.90,27.80,28.03,,,,28.9319,0,28.2459,0,9316,,-0.1463,-0.1862,0.0399,0
2023-09-21,27.86,28.11,27.66,27.92,27.82,28.02,,,,28.9319,0,28.2200,0,9842,,-0.1358,-0.1761,0.0403,0
2023-09-22,27.91,28.14,27.91,27.93,27.88,28.01,,,,28.9319,0,28.2000,0,10317,,-0.1252,-0.1660,0.0407,0
2023-09-25,27.90,28.09,27.50,27.80,27.87,27.99,,,,28.9319,0,28.1490,0,10289,,-0.1259,-0.1579,0.0321,0
2023-09-26,27.70,28.04,27.70,27.97,27.89,27.97,,,,28.9319,0,28.1400,0,10122,,-0.1114,-0.1486,0.0372,0
2023-09-27,28.11,28.25,27.96,28.05,27.94,27.95,28.24,,,28.9319,0,27.3500,1,7899,11676,-0.0924,-0.1374,0.0450,0
2023-09-28,28.07,28.58,28.03,28.44,28.00,27.94,28.20,,,28.9319,0,27.3680,1,11646,11674,-0.0454,-0.1190,0.0736,0
2023-09-29,28.46,28.49,27.99,28.02,28.01,27.91,28.16,,,28.9319,0,27.4165,1,12480,11747,-0.0415,-0.1035,0.0620,0
2023-10-02,28.04,28.21,27.83,28.18,28.02,27.89,28.13,,,28.9319,0,27.4630,1,9071,11595,-0.0252,-0.0878,0.0626,0
2023-10-03,28.09,28.26,27.81,28.07,28.03,27.91,28.09,,,28.9319,0,27.5077,1,8575,11557,-0.0210,-0.0745,0.0535,0
2023-10-04,28.02,28.10,25.91,26.10,27.85,27.82,28.02,,,28.8139,0,28.5800,0,26732,11868,-0.1745,-0.0945,-0.0801,0
2023-10-05,26.16,26.83,25.79,26.07,27.66,27.74,27.96,,,28.2500,0,28.5266,0,17965,11934,-0.2953,-0.1346,-0.1606,0
