Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,49.19,49.44,48.41,48.67,,,,,,,0,48.4100,1,20904,,,,,0
2023-07-19,49.10,50.45,48.22,48.33,,,,,,,0,50.4500,0,43231,,,,,0
2023-07-20,48.20,48.88,47.44,47.48,,,,,,,0,50.4500,0,30786,,,,,0
2023-07-21,47.56,49.60,46.96,49.31,,,,,,,0,50.4500,0,33324,,,,,0
2023-07-24,48.97,49.12,46.75,46.79,,,,,,,0,50.2406,0,51212,,,,,0
2023-07-25,46.58,47.85,46.58,47.09,,,,,,,0,49.9614,0,25796,,,,,0
2023-07-26,46.82,47.15,46.14,47.12,,,,,,,0,49.6232,0,20521,,,,,0
2023-07-27,47.70,47.89,44.92,45.32,,,,,,,0,49.2052,0,51216,,,,,0
2023-07-28,46.05,46.47,45.40,45.88,,,,,,,0,48.6053,0,32240,,,,,0
2023-07-31,45.91,45.92,44.61,45.22,47.12,,,,,50.5480,0,48.0894,0,41865,,,,,0
2023-08-01,45.03,45.67,44.55,45.36,46.79,,,,,50.2007,0,47.5327,0,40738,,,,,0
2023-08-02,44.60,44.92,43.54,43.93,46.35,,,,,49.3601,0,46.9958,0,39392,,,,,0
2023-08-03,43.83,44.34,43.19,43.40,45.94,,,,,48.7249,0,46.3046,0,67014,,,,,0
2023-08-04,49.49,52.55,49.19,51.02,46.11,,,,,43.6586,1,43.1900,1,147402,,,,,0
2023-08-07,50.74,51.18,48.49,51.02,46.54,,,,,43.6586,1,43.1900,1,105025,,,,,0
2023-08-08,51.37,53.42,50.08,52.72,47.10,,,,,44.1772,1,43.3772,1,104270,,,,,0
2023-08-09,52.91,53.02,51.51,52.25,47.61,,,,,44.9943,1,43.7789,1,70747,,,,,0
2023-08-10,52.44,54.22,52.23,53.34,48.41,,,,,46.0865,1,44.1646,1,51297,,,,,0
2023-08-11,53.58,56.58,53.26,56.21,49.45,,,,,47.5016,1,44.7676,1,127569,,,,,0
2023-08-14,55.58,57.23,55.39,56.91,50.62,48.87,,,,49.0814,1,45.7126,1,66135,,,,,0
2023-08-15,56.39,56.47,54.71,54.82,51.56,49.18,,,,49.0814,1,46.8643,1,58230,,,,,0
2023-08-16,54.94,55.09,53.04,53.31,52.50,49.43,,,,49.0814,1,47.9009,1,39487,,,,,0
2023-08-17,53.39,53.40,51.87,51.97,53.36,49.65,,,,49.0814,1,48.8338,1,28095,,,,,0
2023-08-18,51.37,53.07,51.19,52.60,53.52,49.81,,,,49.0814,1,49.6734,1,37420,,,,,0
2023-08-21,52.23,55.50,52.12,54.92,53.90,50.22,,,,49.0814,1,50.4291,1,49796,,,,,0
2023-08-22,55.00,55.18,53.50,53.75,54.01,50.55,,,,49.0814,1,51.1092,1,27988,,,,,0
2023-08-23,54.31,55.47,53.92,55.11,54.29,50.95,,,,49.0814,1,51.7213,1,36979,,,,,0
2023-08-24,55.11,56.79,54.28,55.45,54.50,51.46,,,,49.0814,1,52.2721,1,59370,,,,,0
2023-08-25,55.25,58.08,55.15,57.38,54.62,52.03,,,,49.6519,1,52.7679,1,49944,,,,,0
2023-08-28,57.34,57.38,55.35,55.51,54.48,52.55,,,,49.6519,1,53.4058,1,33789,,,,,0
2023-08-29,55.36,56.60,54.70,55.89,54.59,53.08,,,,49.6519,1,53.9672,1,23809,,,,,0
2023-08-30,55.67,59.89,55.55,59.10,55.17,53.83,,,,50.3342,1,54.4612,1,52439,,,,,0
2023-08-31,59.26,59.66,58.16,58.73,55.84,54.60,,,,51.8127,1,54.7000,1,64738,,,,,0
2023-09-01,59.48,63.00,59.48,62.52,56.84,55.18,,,,53.5715,1,55.4266,1,102695,,3.2730,2.9164,0.3566,0
2023-09-05,62.16,62.16,58.46,59.43,57.29,55.60,,,,53.5715,1,56.6383,1,68737,,3.2368,2.9805,0.2563,0
2023-09-06,59.65,59.72,57.07,58.00,57.71,55.86,,,,53.5715,1,63.0000,0,68312,,3.0575,2.9959,0.0616,0
2023-09-07,56.36,56.99,54.87,55.25,57.73,56.01,,,,53.5715,1,62.8814,0,175866,,2.6628,2.9293,-0.2665,0
2023-09-08,55.50,55.50,53.89,54.20,57.60,56.05,,,,53.5715,1,62.5609,0,75875,,2.2394,2.7913,-0.5519,0
2023-09-11,54.13,55.18,53.32,54.59,57.32,55.97,,,,53.5715,1,62.0407,0,48683,,1.9133,2.6157,-0.7024,0
2023-09-12,54.25,55.00,53.68,54.57,57.23,55.85,,,,53.5715,1,61.3430,0,32136,,1.6344,2.4194,-0.7850,0
2023-09-13,54.39,56.05,53.84,55.50,57.19,55.89,,,,53.5715,1,60.7012,0,72156,,1.4715,2.2299,-0.7584,0
2023-09-14,55.68,55.91,52.47,52.61,56.54,55.85,,,,61.6292,0,60.1107,0,72318,,1.0965,2.0032,-0.9067,0
2023-09-15,52.54,52.62,51.15,51.50,55.82,55.83,,,,59.1016,0,59.3466,0,90238,,0.7017,1.7429,-1.0412,0
2023-09-18,51.50,51.60,50.31,51.06,54.67,55.75,,,,57.8392,0,58.3630,0,50922,,0.3493,1.4642,-1.1149,0
2023-09-19,51.10,51.12,49.71,50.53,53.78,55.53,,,,57.0338,0,57.2356,0,69272,,0.0269,1.1767,-1.1498,0
2023-09-20,51.03,51.31,48.88,49.16,52.90,55.30,,,,56.7809,0,56.0315,0,52926,,-0.3353,0.8743,-1.2096,0
2023-09-21,48.44,48.68,46.50,47.29,52.10,54.91,,,,54.4053,0,54.7442,0,76510,,-0.7644,0.5466,-1.3110,0
2023-09-22,47.40,47.60,45.74,45.82,51.26,54.43,,,,53.3618,0,53.0954,0,47653,,-1.2091,0.1954,-1.4046,0
2023-09-25,45.75,46.16,44.93,45.20,50.32,53.82,,,,51.9366,0,51.6243,0,37023,,-1.5933,-0.1623,-1.4310,0
2023-09-26,44.68,45.54,44.65,44.97,49.36,53.30,51.76,,,51.1135,0,50.2855,0,45528,58392,-1.8944,-0.5087,-1.3857,0
2023-09-27,45.20,47.07,45.20,46.62,48.48,52.83,51.72,,,51.1135,0,49.1574,0,68517,59345,-1.9771,-0.8024,-1.1747,0
2023-09-28,46.42,46.54,45.21,45.32,47.75,52.14,51.66,,,51.1135,0,48.2549,0,61758,59715,-2.1231,-1.0665,-1.0566,0
2023-09-29,45.76,46.55,43.44,44.25,47.02,51.42,51.60,,,51.1135,0,47.5329,0,71933,60538,-2.2987,-1.3130,-0.9857,0
2023-10-02,43.63,44.23,43.00,43.68,46.28,50.48,51.48,,,49.5839,0,46.7143,0,56116,60994,-2.4555,-1.5415,-0.9140,0
2023-10-03,43.55,43.99,43.02,43.95,45.63,49.70,51.43,,,49.1663,0,46.5500,0,60163,61173,-2.5288,-1.7389,-0.7899,0
2023-10-04,44.25,44.35,42.12,43.16,45.03,48.96,51.35,,,49.0031,0,45.8400,0,79147,62240,-2.6205,-1.9152,-0.7052,0
2023-10-05,43.17,43.63,42.32,43.11,44.61,48.35,51.27,,,48.5571,0,45.0960,0,52892,62887,-2.6664,-2.0655,-0.6009,0
2023-10-06,42.16,44.12,42.01,43.55,44.38,47.82,51.23,,,48.5571,0,44.5008,0,37592,62615,-2.6369,-2.1798,-0.4571,0
2023-10-09,43.02,43.54,42.27,43.01,44.16,47.24,51.18,,,48.3810,0,44.1230,0,40429,62779,-2.6268,-2.2692,-0.3576,0
2023-10-10,43.04,46.11,42.63,45.89,44.25,46.81,51.19,,,48.3810,0,42.0100,1,85640,63654,-2.3592,-2.2872,-0.0721,0
2023-10-11,46.05,46.48,44.37,44.81,44.07,46.27,51.18,,,48.3810,0,42.0920,1,59718,64034,-2.2089,-2.2715,0.0627,0
2023-10-12,44.78,45.38,38.75,39.39,43.48,45.61,51.09,,,48.3810,0,46.4800,0,103462,65315,-2.4982,-2.3169,-0.1814,0
2023-10-13,39.54,42.01,38.47,41.54,43.21,45.12,51.05,,,47.9576,0,46.4800,0,87396,65723,-2.5250,-2.3585,-0.1665,0
2023-10-16,41.24,42.47,40.14,42.33,43.07,44.68,50.88,,,47.9576,0,46.1596,0,66610,64107,-2.4541,-2.3776,-0.0765,0
2023-10-17,41.87,43.42,41.87,42.50,42.93,44.28,50.71,,,47.9576,0,45.8520,0,43121,62869,-2.3571,-2.3735,0.0164,0
2023-10-18,42.39,42.39,40.83,41.88,42.80,43.91,50.49,,,47.9576,0,45.5567,0,35925,61502,-2.3037,-2.3595,0.0559,0
2023-10-19,41.60,42.11,41.09,41.43,42.63,43.62,50.27,,,47.9576,0,45.2733,0,28910,60665,-2.2715,-2.3419,0.0705,0
2023-10-20,41.67,41.67,40.68,40.76,42.35,43.37,50.02,,,47.5078,0,45.0011,0,18807,60015,-2.2738,-2.3283,0.0545,0
2023-10-23,40.36,41.19,39.44,40.08,42.06,43.11,49.70,,,46.5406,0,44.7399,0,28801,58040,-2.3039,-2.3234,0.0195,0
2023-10-24,40.35,41.33,40.18,40.79,41.55,42.90,49.38,,,46.5406,0,44.4891,0,40504,57527,-2.2447,-2.3077,0.0630,0
2023-10-25,39.82,40.61,38.83,40.06,41.08,42.57,49.08,,,45.6848,0,44.2483,0,41927,57201,-2.2309,-2.2923,0.0614,0
2023-10-26,40.08,40.56,38.81,39.05,41.04,42.26,48.80,,,45.5783,0,44.0172,0,48000,57372,-2.2752,-2.2889,0.0137,0
2023-10-27,39.46,39.46,37.88,38.26,40.71,41.96,48.52,,,44.4470,0,43.7953,0,30730,57424,-2.3471,-2.3005,-0.0465,0
2023-10-30,38.35,38.63,36.90,37.55,40.24,41.66,48.22,,,43.4856,0,43.4401,0,45037,57577,-2.4332,-2.3271,-0.1062,0
2023-10-31,37.68,39.60,37.67,39.47,39.93,41.43,47.91,,,43.4856,0,42.9169,0,34256,57266,-2.3199,-2.3256,0.0058,0
2023-11-01,38.88,39.74,38.00,39.69,39.71,41.26,47.63,,,43.4856,0,42.4355,0,34665,57400,-2.1871,-2.2979,0.1109,0
2023-11-02,40.53,41.57,40.17,40.55,39.63,41.13,47.34,,,43.4856,0,41.9927,0,38141,57423,-1.9895,-2.2362,0.2468,0
