Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,47.32,47.67,46.60,46.93,,,,,,,0,47.6717,0,20125512,,,,,0
2023-07-20,46.36,46.94,44.92,45.38,,,,,,,0,47.6717,0,24483615,,,,,0
2023-07-21,45.65,45.73,43.97,44.17,,,,,,,0,47.6717,0,42703639,,,,,0
2023-07-24,44.59,44.97,43.91,44.48,,,,,,,0,47.5234,0,17064804,,,,,0
2023-07-25,44.80,46.04,44.79,45.54,,,,,,,0,47.3063,0,15899992,,,,,0
2023-07-26,45.88,45.91,44.49,45.31,,,,,,,0,47.1023,0,16555300,,,,,0
2023-07-27,46.38,47.25,45.61,45.76,,,,,,,0,43.9053,1,20929299,,,,,0
2023-07-28,46.53,46.88,46.24,46.61,,,,,,,0,43.9721,1,15483320,,,,,0
2023-07-31,46.61,46.99,46.36,46.59,,,,,,,0,44.0377,1,11731549,,,,,0
2023-08-01,46.32,46.76,45.89,46.36,45.71,,,,,50.3580,0,44.1019,1,11062062,,,,,0
2023-08-02,45.69,45.70,43.25,44.13,45.43,,,,,49.0432,0,47.2500,0,23468857,,,,,0
2023-08-03,43.67,44.98,43.67,44.38,45.33,,,,,48.8267,0,47.1701,0,14430694,,,,,0
2023-08-04,44.85,45.50,44.26,44.54,45.37,,,,,48.8267,0,47.0917,0,16203917,,,,,0
2023-08-07,44.97,45.40,44.43,45.28,45.45,,,,,48.8267,0,47.0150,0,14631268,,,,,0
2023-08-08,44.72,45.10,43.92,44.53,45.35,,,,,48.7682,0,46.9398,0,15804044,,,,,0
2023-08-09,44.14,44.18,42.01,42.42,45.06,,,,,47.6777,0,46.8661,0,24955751,,,,,0
2023-08-10,42.03,43.44,41.71,42.26,44.71,,,,,47.2222,0,46.6716,0,20884780,,,,,0
2023-08-11,41.62,41.89,40.51,40.73,44.12,,,,,45.9086,0,46.3738,0,21779187,,,,,0
