Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,80.15,81.73,79.89,81.51,,,,,,,0,79.8866,1,4937,,,,,0
2023-07-19,81.24,81.95,80.16,81.24,,,,,,,0,79.8866,1,4158,,,,,0
2023-07-20,76.00,76.00,61.85,66.57,,,,,,,0,81.9496,0,21876,,,,,0
2023-07-21,67.25,69.22,64.88,68.37,,,,,,,0,81.9496,0,10944,,,,,0
2023-07-24,69.08,69.08,65.71,67.91,,,,,,,0,81.5476,0,5089,,,,,0
2023-07-25,67.75,69.96,67.62,69.82,,,,,,,0,81.1536,0,3905,,,,,0
2023-07-26,70.23,70.23,67.95,69.14,,,,,,,0,80.7676,0,4073,,,,,0
2023-07-27,69.87,70.24,68.09,68.56,,,,,,,0,80.3892,0,3623,,,,,0
2023-07-28,68.99,68.99,66.50,67.21,,,,,,,0,80.0184,0,3658,,,,,0
2023-07-31,66.98,67.98,66.51,67.53,70.79,,,,,79.6863,0,79.6550,0,2654,,,,,0
2023-08-01,67.53,70.95,67.53,70.12,69.65,,,,,79.6863,0,79.2989,0,3644,,,,,0
2023-08-02,69.73,69.73,68.21,68.78,68.40,,,,,79.6863,0,78.9499,0,2485,,,,,0
2023-08-03,68.69,70.84,68.28,68.86,68.63,,,,,79.6863,0,78.6079,0,3675,,,,,0
2023-08-04,68.67,70.21,68.24,68.43,68.64,,,,,79.6863,0,78.2728,0,2143,,,,,0
2023-08-07,68.36,69.61,68.36,69.40,68.78,,,,,78.9473,0,77.9443,0,1571,,,,,0
2023-08-08,68.63,69.58,67.88,69.13,68.72,,,,,78.2108,0,77.6224,0,2862,,,,,0
2023-08-09,69.09,69.91,68.69,69.43,68.74,,,,,78.1956,0,77.3069,0,1784,,,,,0
2023-08-10,70.12,70.12,67.67,68.48,68.74,,,,,77.6375,0,76.9978,0,2129,,,,,0
2023-08-11,68.47,68.48,67.05,67.10,68.73,,,,,76.0674,0,76.6948,0,1921,,,,,0
2023-08-14,67.29,67.72,66.18,66.74,68.65,69.72,,,,74.8794,0,76.3979,0,2912,,,,,0
2023-08-15,66.80,66.80,65.24,66.16,68.25,68.95,,,,73.6226,0,76.1070,0,2258,,,,,0
2023-08-16,65.72,67.14,65.35,65.74,67.95,68.17,,,,73.6211,0,75.8218,0,1604,,,,,0
2023-08-17,66.16,66.16,64.71,64.90,67.55,68.09,,,,72.5081,0,75.5424,0,1507,,,,,0
2023-08-18,64.26,65.88,64.26,65.40,67.25,67.94,,,,71.9284,0,75.2685,0,2930,,,,,0
2023-08-21,66.00,67.84,66.00,67.56,67.06,67.92,,,,71.9284,0,75.0001,0,2679,,,,,0
2023-08-22,68.20,68.38,67.57,67.87,66.94,67.83,,,,71.9284,0,74.7371,0,1791,,,,,0
2023-08-23,68.14,70.62,68.14,70.13,67.01,67.88,,,,71.9284,0,74.4794,0,2484,,,,,0
2023-08-24,70.73,70.73,68.26,68.83,67.04,67.89,,,,71.9284,0,74.2268,0,1768,,,,,0
2023-08-25,68.71,69.14,67.24,68.97,67.23,67.98,,,,71.9284,0,73.9792,0,2516,,,,,0
2023-08-28,69.78,70.62,69.74,70.10,67.57,68.11,,,,71.9284,0,73.7366,0,1587,,,,,0
2023-08-29,69.46,71.43,69.46,70.80,68.03,68.14,,,,71.9284,0,73.4989,0,1196,,,,,0
2023-08-30,71.00,72.32,70.60,72.06,68.66,68.30,,,,65.1895,1,73.2659,0,2299,,,,,0
2023-08-31,72.33,75.88,72.33,75.41,69.71,68.63,,,,67.3152,1,61.8495,1,3786,,,,,0
2023-09-01,75.45,75.96,74.07,75.49,70.72,68.98,,,,68.3345,1,62.1302,1,2878,,0.7527,-0.5487,1.3014,0
2023-09-05,75.44,76.17,74.56,75.61,71.53,69.30,,,,68.8729,1,62.6835,1,2705,,1.0624,-0.2265,1.2889,0
2023-09-06,75.18,75.77,74.20,75.42,72.28,69.61,,,,68.8729,1,63.4929,1,2725,,1.2780,0.0744,1.2036,0
2023-09-07,74.99,75.27,73.89,74.03,72.67,69.84,,,,68.8729,1,64.2537,1,3812,,1.3208,0.3237,0.9971,0
2023-09-08,74.41,74.41,70.98,71.15,72.90,69.97,,,,68.8729,1,64.9690,1,1986,,1.1101,0.4810,0.6291,0
2023-09-11,71.97,74.32,71.73,73.52,73.36,70.29,,,,68.8729,1,65.6413,1,3243,,1.1214,0.6090,0.5123,0
2023-09-12,73.57,74.90,72.54,73.14,73.66,70.61,,,,68.8729,1,66.2732,1,1965,,1.0869,0.7046,0.3823,0
2023-09-13,73.47,74.23,72.35,72.78,73.86,70.95,,,,68.8729,1,66.8673,1,2757,,1.0189,0.7675,0.2514,0
2023-09-14,73.42,73.84,71.36,71.53,73.81,71.24,,,,68.8729,1,67.4257,1,3163,,0.8540,0.7848,0.0693,0
2023-09-15,71.66,71.66,70.16,70.27,73.29,71.50,,,,68.8729,1,67.9506,1,13832,,0.6152,0.7509,-0.1357,0
2023-09-18,69.90,70.22,68.89,69.31,72.68,71.70,,,,68.8729,1,68.4440,1,2439,,0.3442,0.6695,-0.3254,0
2023-09-19,69.67,71.18,69.43,70.12,72.13,71.83,,,,68.8729,1,68.8933,1,2081,,0.1925,0.5741,-0.3816,0
2023-09-20,70.66,72.35,70.66,71.58,71.74,72.01,,,,68.8729,1,68.8933,1,2074,,0.1878,0.4969,-0.3090,0
2023-09-21,71.22,72.24,70.04,71.26,71.47,72.07,,,,68.8729,1,69.3301,1,2257,,0.1568,0.4289,-0.2720,0
2023-09-22,71.01,71.44,70.01,70.13,71.36,72.13,,,,68.8729,1,69.7407,1,2608,,0.0403,0.3511,-0.3108,0
2023-09-25,69.66,70.55,69.60,69.74,70.99,72.17,,,,68.8729,1,76.1739,0,1366,,-0.0827,0.2644,-0.3471,0
2023-09-26,69.88,69.88,67.79,68.13,70.49,72.07,70.23,,,74.6911,0,76.0425,0,2605,3459,-0.3060,0.1503,-0.4563,0
2023-09-27,68.73,69.59,67.49,68.36,70.04,71.95,69.97,,,74.4391,0,75.7125,0,3183,3424,-0.4598,0.0283,-0.4881,0
2023-09-28,67.53,70.07,67.53,69.52,69.84,71.83,69.73,,,74.4391,0,75.2189,0,1305,3367,-0.4826,-0.0739,-0.4087,0
2023-09-29,69.99,70.16,68.50,70.03,69.82,71.56,69.80,,,74.4391,0,74.7550,0,2645,2982,-0.4541,-0.1499,-0.3042,0
2023-10-02,69.64,70.76,69.49,70.27,69.91,71.29,69.84,,,74.4391,0,74.3189,0,1310,2789,-0.4076,-0.2015,-0.2061,0
2023-10-03,69.69,69.69,67.99,68.30,69.73,70.93,69.85,,,74.4391,0,73.9090,0,2916,2746,-0.5236,-0.2659,-0.2577,0
2023-10-04,67.93,68.62,67.40,68.28,69.40,70.57,69.82,,,73.6472,0,73.5236,0,1746,2703,-0.6098,-0.3347,-0.2752,0
2023-10-05,67.83,69.41,66.61,67.41,69.02,70.24,69.78,,,73.6472,0,73.0338,0,2918,2680,-0.7399,-0.4157,-0.3241,0
2023-10-06,68.51,68.86,66.63,68.81,68.88,70.12,69.79,,,73.6472,0,72.3913,0,2195,2651,-0.7218,-0.4769,-0.2448,0
2023-10-09,68.11,69.27,66.82,68.07,68.72,69.85,69.80,,,73.6472,0,71.8130,0,2364,2625,-0.7578,-0.5331,-0.2247,0
2023-10-10,68.21,69.73,68.13,68.74,68.78,69.63,69.83,,,73.6472,0,71.2926,0,2395,2620,-0.7244,-0.5714,-0.1531,0
2023-10-11,68.41,68.94,66.98,67.61,68.70,69.37,69.78,,,73.6472,0,70.8242,0,3029,2608,-0.7804,-0.6132,-0.1673,0
2023-10-12,67.87,67.87,66.70,67.39,68.49,69.17,69.75,,,73.0350,0,70.4026,0,1462,2587,-0.8324,-0.6570,-0.1754,0
2023-10-13,66.75,67.82,65.76,66.16,68.10,68.96,69.70,,,72.5803,0,70.0232,0,1893,2552,-0.9623,-0.7181,-0.2442,0
2023-10-16,66.58,67.96,66.26,67.91,67.87,68.89,69.69,,,72.5803,0,69.5111,0,1992,2549,-0.9130,-0.7571,-0.1559,0
2023-10-17,67.67,69.91,66.94,69.69,68.01,68.87,69.69,,,72.5803,0,65.7559,1,3417,2586,-0.7225,-0.7501,0.0277,0
2023-10-18,68.82,70.68,67.35,69.75,68.15,68.78,69.70,,,72.5803,0,65.8390,1,3878,2606,-0.5602,-0.7122,0.1519,0
2023-10-19,59.69,60.53,54.68,57.57,67.17,68.09,69.47,,,67.9400,0,70.6836,0,8988,2750,-1.3979,-0.8493,-0.5486,0
2023-10-20,57.67,58.07,55.74,57.49,66.04,67.46,69.25,,,66.9015,0,70.6836,0,3682,2781,-2.0444,-1.0883,-0.9560,0
2023-10-23,56.74,56.75,55.75,56.40,64.87,66.79,69.03,,,65.7737,0,70.3636,0,2296,2789,-2.6146,-1.3936,-1.2210,0
2023-10-24,56.48,57.07,55.85,56.99,63.70,66.24,68.84,,,65.3960,0,70.0499,0,2988,2790,-2.9847,-1.7118,-1.2729,0
2023-10-25,56.39,56.39,55.19,55.43,62.48,65.59,68.62,,,64.3727,0,69.7426,0,2542,2796,-3.3650,-2.0424,-1.3226,0
2023-10-26,54.95,57.80,54.83,57.27,61.47,64.98,68.45,,,64.3727,0,69.4413,0,2781,2819,-3.4778,-2.3295,-1.1483,0
2023-10-27,58.93,61.01,58.43,59.46,60.80,64.45,68.35,,,64.3727,0,69.1461,0,4315,2875,-3.3519,-2.5340,-0.8179,0
2023-10-30,59.71,60.39,58.20,58.78,59.88,63.88,68.21,,,64.3727,0,68.8569,0,3009,2877,-3.2695,-2.6811,-0.5884,0
2023-10-31,59.06,59.44,58.00,58.85,58.80,63.40,68.04,,,64.3727,0,68.5733,0,1897,2861,-3.1622,-2.7773,-0.3849,0
2023-11-01,58.85,59.11,58.24,58.88,57.71,62.93,67.86,,,64.3727,0,68.2955,0,1939,2864,-3.0394,-2.8297,-0.2096,0
2023-11-02,59.10,59.45,58.08,58.95,57.85,62.51,67.64,,,64.3727,0,68.0232,0,3202,2879,-2.9030,-2.8444,-0.0586,0
2023-11-03,60.23,61.86,59.78,61.42,58.24,62.14,67.49,,,64.3727,0,67.7564,0,2193,2887,-2.5663,-2.7888,0.2225,0
2023-11-06,61.56,61.63,60.45,60.93,58.70,61.78,67.33,,,64.3727,0,67.4949,0,2760,2892,-2.3119,-2.6934,0.3815,0
2023-11-07,61.84,62.13,60.93,61.95,59.19,61.44,67.16,,,64.3727,0,67.2386,0,1897,2898,-2.0054,-2.5558,0.5504,0
2023-11-08,61.51,61.51,59.68,59.99,59.65,61.06,66.95,,,64.3727,0,66.9875,0,1463,2904,-1.8985,-2.4243,0.5258,0
2023-11-09,59.56,60.65,59.50,59.74,59.90,60.68,66.70,,,64.3727,0,66.7414,0,2133,2900,-1.8131,-2.3021,0.4890,0
2023-11-10,60.28,60.64,59.60,59.90,59.94,60.37,66.39,,,64.3727,0,66.5002,0,2035,2865,-1.7132,-2.1843,0.4711,0
2023-11-13,59.29,59.88,59.05,59.20,59.98,59.93,66.06,,,64.3727,0,66.2638,0,2148,2851,-1.6705,-2.0816,0.4110,0
2023-11-14,61.00,62.31,59.61,62.30,60.33,59.56,65.80,,,64.3727,0,66.0322,0,4975,2896,-1.3710,-1.9394,0.5685,0
2023-11-15,62.73,64.53,62.21,62.91,60.73,59.22,65.55,,,64.3727,0,65.8051,0,2014,2882,-1.0723,-1.7660,0.6937,0
2023-11-16,62.38,63.92,62.38,63.17,61.15,59.50,65.33,,,64.3727,0,65.5827,0,1620,2838,-0.8054,-1.5739,0.7685,0
2023-11-17,63.18,63.18,62.13,62.28,61.24,59.74,65.15,,,64.3727,0,65.3647,0,1958,2837,-0.6575,-1.3906,0.7331,0
2023-11-20,62.87,62.87,60.72,61.06,61.25,59.97,64.90,,,64.3727,0,65.1510,0,1630,2805,-0.6315,-1.2388,0.6073,0
2023-11-21,60.54,61.25,60.28,60.77,61.13,60.16,64.66,,,64.3727,0,64.9416,0,1854,2803,-0.6273,-1.1165,0.4891,0
2023-11-22,61.44,62.25,61.25,61.25,61.26,60.45,64.43,,,64.3727,0,64.7364,0,1854,2785,-0.5783,-1.0088,0.4305,0
2023-11-24,61.70,62.29,61.70,61.72,61.46,60.68,64.23,,,64.3727,0,64.5353,0,514,2732,-0.4960,-0.9063,0.4103,0
2023-11-27,61.23,61.82,61.23,61.23,61.59,60.76,64.05,,,64.3727,0,64.3382,0,1457,2484,-0.4653,-0.8181,0.3528,0
2023-11-28,61.33,61.79,60.60,60.65,61.73,60.86,63.88,,,64.3727,0,64.1451,0,1731,2470,-0.4821,-0.7509,0.2688,0
2023-11-29,61.19,61.55,60.35,61.53,61.66,60.99,63.70,,,64.3727,0,63.9558,0,2140,2471,-0.4194,-0.6846,0.2652,0
