Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,5.16,5.21,5.16,5.20,,,,,,,0,5.1593,1,5992,,,,,0
2023-07-18,5.21,5.27,5.21,5.26,,,,,,,0,5.1593,1,6320,,,,,0
2023-07-19,5.38,5.43,5.35,5.42,,,,,,,0,5.1593,1,15277,,,,,0
2023-07-20,5.34,5.37,5.31,5.33,,,,,,,0,5.1702,1,5600,,,,,0
2023-07-21,5.25,5.26,5.20,5.21,,,,,,,0,5.1806,1,6214,,,,,0
2023-07-24,5.19,5.24,5.18,5.22,,,,,,,0,5.4313,0,5914,,,,,0
2023-07-25,5.21,5.22,5.16,5.18,,,,,,,0,5.4261,0,8029,,,,,0
2023-07-26,5.02,5.10,5.01,5.09,,,,,,,0,5.4155,0,8859,,,,,0
2023-07-27,4.99,4.99,4.92,4.95,,,,,,,0,5.3910,0,10540,,,,,0
2023-07-28,5.13,5.15,5.07,5.07,5.19,,,,,5.4713,0,5.3532,0,9156,,,,,0
2023-07-31,5.09,5.12,5.06,5.08,5.18,,,,,5.4321,0,5.3185,0,7372,,,,,0
2023-08-01,4.95,4.96,4.86,4.89,5.14,,,,,5.2828,0,5.2866,0,8811,,,,,0
2023-08-02,4.79,4.80,4.74,4.77,5.08,,,,,5.1489,0,5.2443,0,7815,,,,,0
2023-08-03,4.82,4.89,4.78,4.85,5.03,,,,,5.1489,0,5.1842,0,19170,,,,,0
2023-08-04,4.86,4.93,4.84,4.90,5.00,,,,,5.1489,0,5.1313,0,9179,,,,,0
2023-08-07,4.94,4.97,4.92,4.97,4.97,,,,,5.1489,0,5.0847,0,4474,,,,,0
2023-08-08,4.86,4.90,4.84,4.90,4.94,,,,,5.1489,0,5.0438,0,9743,,,,,0
2023-08-09,4.90,4.93,4.86,4.90,4.93,,,,,5.1489,0,5.0077,0,5427,,,,,0
2023-08-10,4.94,4.97,4.90,4.91,4.92,,,,,5.1489,0,4.9760,0,7948,,,,,0
2023-08-11,4.94,4.96,4.90,4.95,4.91,5.05,,,,5.1489,0,4.9698,0,5057,,,,,0
2023-08-14,4.90,4.93,4.87,4.91,4.89,5.04,,,,5.1489,0,4.9698,0,7074,,,,,0
2023-08-15,4.92,4.95,4.89,4.90,4.89,5.02,,,,5.1489,0,4.9617,0,18347,,,,,0
2023-08-16,4.77,4.79,4.72,4.74,4.89,4.98,,,,5.0699,0,4.9453,0,10638,,,,,0
2023-08-17,4.78,4.81,4.76,4.77,4.88,4.96,,,,5.0699,0,4.9453,0,6313,,,,,0
2023-08-18,4.73,4.78,4.72,4.77,4.87,4.93,,,,5.0413,0,4.9143,0,6680,,,,,0
2023-08-21,4.73,4.75,4.71,4.75,4.85,4.91,,,,5.0075,0,4.8839,0,9735,,,,,0
2023-08-22,4.71,4.72,4.67,4.67,4.83,4.89,,,,4.9673,0,4.8522,0,5355,,,,,0
2023-08-23,4.68,4.73,4.68,4.72,4.81,4.87,,,,4.9673,0,4.8152,0,3842,,,,,0
2023-08-24,4.70,4.75,4.69,4.71,4.79,4.85,,,,4.9673,0,4.7855,0,6568,,,,,0
2023-08-25,4.75,4.77,4.69,4.72,4.77,4.84,,,,4.9673,0,4.6669,1,5769,,,,,0
2023-08-28,4.76,4.86,4.75,4.83,4.76,4.83,,,,4.9673,0,4.6689,1,8036,,,,,0
2023-08-29,4.85,4.90,4.83,4.90,4.76,4.83,,,,4.9673,0,4.6763,1,7310,,,,,0
2023-08-30,4.99,5.04,4.94,4.94,4.78,4.83,,,,4.9673,0,4.6900,1,6994,,,,,0
2023-08-31,4.89,4.89,4.81,4.82,4.78,4.83,,,,4.9673,0,4.7176,1,8367,,-0.0788,-0.1198,0.0410,0
2023-09-01,4.89,4.90,4.84,4.86,4.79,4.83,,,,4.9673,0,4.7430,1,3559,,-0.0708,-0.1100,0.0392,0
2023-09-05,4.82,4.84,4.76,4.77,4.79,4.82,,,,4.9673,0,5.0353,0,4398,,-0.0709,-0.1022,0.0313,0
2023-09-06,4.73,4.75,4.70,4.72,4.80,4.81,,,,4.9673,0,5.0298,0,5815,,-0.0741,-0.0965,0.0225,0
2023-09-07,4.68,4.70,4.62,4.63,4.79,4.80,,,,4.9350,0,5.0166,0,4518,,-0.0822,-0.0937,0.0114,0
2023-09-08,4.61,4.64,4.60,4.64,4.78,4.79,,,,4.8828,0,4.9926,0,6248,,-0.0871,-0.0924,0.0053,0
2023-09-11,4.69,4.72,4.68,4.71,4.78,4.77,,,,4.8828,0,4.9613,0,6745,,-0.0846,-0.0908,0.0062,0
2023-09-12,4.71,4.80,4.71,4.78,4.78,4.77,,,,4.8828,0,4.9325,0,7148,,-0.0759,-0.0878,0.0120,0
2023-09-13,4.81,4.83,4.77,4.80,4.77,4.76,,,,4.8828,0,4.9061,0,4484,,-0.0668,-0.0836,0.0168,0
2023-09-14,4.86,4.91,4.85,4.91,4.76,4.77,,,,4.6185,1,4.6014,1,6854,,-0.0499,-0.0769,0.0270,0
2023-09-15,4.86,4.90,4.86,4.86,4.77,4.78,,,,4.6233,1,4.6076,1,7026,,-0.0399,-0.0695,0.0296,0
2023-09-18,4.86,4.86,4.78,4.81,4.76,4.78,,,,4.6233,1,4.6137,1,5308,,-0.0362,-0.0628,0.0266,0
2023-09-19,4.78,4.81,4.77,4.80,4.77,4.78,,,,4.6233,1,4.6197,1,6257,,-0.0336,-0.0570,0.0234,0
2023-09-20,4.97,5.01,4.90,4.91,4.79,4.79,,,,4.6788,1,4.6256,1,5572,,-0.0220,-0.0500,0.0280,0
2023-09-21,4.90,4.93,4.88,4.89,4.81,4.80,,,,4.6788,1,4.6410,1,5871,,-0.0146,-0.0429,0.0283,0
2023-09-22,4.90,4.91,4.81,4.86,4.83,4.81,,,,4.6788,1,4.6558,1,9311,,-0.0113,-0.0366,0.0253,0
2023-09-25,4.78,4.84,4.75,4.84,4.85,4.81,4.90,,,4.6788,1,4.6700,1,8206,7505,-0.0098,-0.0312,0.0214,0
2023-09-26,4.79,4.83,4.77,4.78,4.85,4.81,4.89,,,4.6788,1,4.6836,1,5603,7497,-0.0132,-0.0276,0.0144,0
