Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,26.30,26.81,26.13,26.33,,,,,,,0,26.8054,0,6162,,,,,0
2023-07-14,26.43,26.60,26.08,26.19,,,,,,,0,26.8054,0,5525,,,,,0
2023-07-17,26.18,26.98,26.09,26.78,,,,,,,0,26.0824,1,5428,,,,,0
2023-07-18,26.84,28.20,26.84,28.13,,,,,,,0,26.0824,1,10000,,,,,0
2023-07-19,28.27,28.89,28.03,28.72,,,,,,,0,26.0917,1,8287,,,,,0
2023-07-20,29.38,30.36,28.85,30.22,,,,,,,0,26.2596,1,14804,,,,,0
2023-07-21,30.96,31.62,30.38,31.19,,,,,,,0,26.5880,1,12763,,,,,0
2023-07-24,31.10,31.79,31.10,31.35,,,,,,,0,27.0908,1,12496,,,,,0
2023-07-25,31.27,31.64,30.85,30.88,,,,,,,0,27.6549,1,9749,,,,,0
2023-07-26,31.36,31.70,31.05,31.12,29.09,,,,,34.2890,0,28.1514,1,12025,,,,,0
2023-07-27,31.19,31.48,30.23,30.36,29.50,,,,,33.8493,0,28.5883,1,17310,,,,,0
2023-07-28,30.76,31.11,30.49,30.89,29.97,,,,,33.7209,0,28.9727,1,10122,,,,,0
2023-07-31,30.87,31.09,30.37,31.04,30.39,,,,,33.5735,0,29.3110,1,14863,,,,,0
2023-08-01,30.95,31.33,30.37,31.20,30.70,,,,,33.5735,0,29.6087,1,8970,,,,,0
2023-08-02,30.82,31.30,30.59,31.20,30.95,,,,,33.5735,0,29.8707,1,4187,,,,,0
2023-08-03,31.10,31.15,30.71,30.85,31.01,,,,,33.5735,0,30.1013,1,4836,,,,,0
2023-08-04,31.00,31.29,30.66,30.86,30.98,,,,,33.5454,0,30.3041,1,5583,,,,,0
2023-08-07,30.84,31.34,30.78,31.17,30.96,,,,,33.5387,0,30.4827,1,6531,,,,,0
2023-08-08,30.52,30.84,30.01,30.70,30.94,,,,,33.0035,0,31.7920,0,4359,,,,,0
2023-08-09,30.46,30.48,29.96,30.14,30.84,29.97,,,,32.7595,0,31.7564,0,3993,,,,,0
2023-08-10,30.23,30.52,29.80,30.00,30.80,30.15,,,,32.6665,0,31.6844,0,4007,,,,,0
2023-08-11,29.90,30.33,29.90,30.09,30.72,30.34,,,,32.4975,0,31.5713,0,6171,,,,,0
2023-08-14,29.93,29.93,29.47,29.81,30.60,30.50,,,,32.0284,0,31.4650,0,5824,,,,,0
2023-08-15,29.53,29.74,29.45,29.47,30.43,30.56,,,,31.8017,0,31.3050,0,6099,,,,,0
2023-08-16,29.22,29.61,29.04,29.10,30.22,30.58,,,,31.4847,0,31.1192,0,3253,,,,,0
2023-08-17,29.20,29.35,28.85,28.97,30.03,30.52,,,,31.1892,0,30.8696,0,3251,,,,,0
2023-08-18,28.70,29.11,28.70,28.93,29.84,30.41,,,,30.9107,0,30.5874,0,5312,,,,,0
2023-08-21,28.99,29.08,28.33,28.54,29.58,30.27,,,,30.7314,0,30.2848,0,4046,,,,,0
2023-08-22,28.53,28.81,27.73,27.74,29.28,30.11,,,,30.4199,0,29.9321,0,3924,,,,,0
2023-08-23,27.70,27.99,27.39,27.97,29.06,29.95,,,,29.8063,0,29.4921,0,4847,,,,,0
2023-08-24,27.99,28.45,27.94,28.15,28.88,29.84,,,,29.8063,0,29.0716,0,4173,,,,,0
2023-08-25,28.20,28.38,27.38,27.81,28.65,29.69,,,,29.8063,0,28.7351,0,2883,,,,,0
2023-08-28,27.98,28.55,27.98,28.47,28.52,29.56,,,,29.8063,0,27.3800,1,3355,,,,,0
2023-08-29,28.46,28.88,28.28,28.84,28.45,29.44,,,,29.8063,0,27.3800,1,4123,,-0.4410,-0.3392,-0.1018,0
2023-08-30,28.72,28.89,28.05,28.08,28.35,29.28,,,,29.8063,0,27.4401,1,4256,,-0.4594,-0.3633,-0.0961,0
2023-08-31,28.00,28.13,27.69,27.95,28.25,29.14,,,,29.8063,0,27.5271,1,9512,,-0.4781,-0.3862,-0.0919,0
2023-09-01,28.25,29.16,28.25,29.11,28.27,29.05,,,,29.8063,0,27.6090,1,6087,,-0.3950,-0.3880,-0.0070,0
2023-09-05,28.71,28.71,27.74,27.83,28.20,28.89,,,,29.8063,0,27.6859,1,6625,,-0.4273,-0.3959,-0.0315,0
2023-09-06,28.02,28.09,27.65,27.86,28.21,28.74,,,,29.8063,0,29.1596,0,3971,,-0.4456,-0.4058,-0.0398,0
2023-09-07,27.87,27.91,27.44,27.56,28.17,28.62,,,,29.8063,0,29.1294,0,4323,,-0.4793,-0.4205,-0.0588,0
2023-09-08,27.61,27.71,27.19,27.65,28.12,28.50,,,,29.6076,0,29.0620,0,3439,,-0.4928,-0.4349,-0.0578,0
2023-09-11,27.72,27.91,27.46,27.52,28.09,28.37,,,,29.6076,0,28.9494,0,3797,,-0.5081,-0.4496,-0.0585,0
2023-09-12,27.57,27.83,27.32,27.62,28.00,28.26,,,,29.6004,0,28.8436,0,3946,,-0.5061,-0.4609,-0.0453,0
