Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,71.59,73.78,71.41,73.53,,,,,,,0,71.4100,1,199060,,,,,0
2023-07-14,73.70,74.44,70.42,70.69,,,,,,,0,74.4400,0,181878,,,,,0
2023-07-17,70.71,72.18,70.26,70.85,,,,,,,0,74.4400,0,228094,,,,,0
2023-07-18,70.69,71.20,69.93,70.84,,,,,,,0,74.4400,0,220008,,,,,0
2023-07-19,71.66,73.16,69.85,70.37,,,,,,,0,74.1694,0,222165,,,,,0
2023-07-20,69.70,70.50,69.30,69.76,,,,,,,0,73.8235,0,181648,,,,,0
2023-07-21,70.57,71.09,69.64,70.00,,,,,,,0,73.3711,0,132587,,,,,0
2023-07-24,70.20,71.06,69.63,70.50,,,,,,,0,72.9640,0,101640,,,,,0
2023-07-25,70.96,71.93,70.42,70.53,,,,,,,0,72.5976,0,84558,,,,,0
2023-07-26,70.73,72.10,70.25,71.41,70.85,,,,,77.2737,0,72.2678,0,181603,,,,,0
2023-07-27,72.50,72.70,70.02,70.31,70.53,,,,,77.2737,0,69.3000,1,86116,,,,,0
2023-07-28,71.21,74.11,71.11,73.98,70.86,,,,,77.2737,0,69.3680,1,130760,,,,,0
2023-07-31,74.50,76.94,74.50,76.86,71.46,,,,,77.2737,0,69.5577,1,148547,,,,,0
2023-08-01,76.37,76.42,75.20,76.19,71.99,,,,,77.2737,0,70.0006,1,90300,,,,,0
2023-08-02,75.20,75.23,71.83,72.34,72.19,,,,,77.2737,0,70.4170,1,133040,,,,,0
2023-08-03,72.33,73.68,71.79,72.94,72.51,,,,,77.2737,0,70.8084,1,99534,,,,,0
2023-08-04,73.94,74.27,71.79,72.56,72.76,,,,,77.2737,0,71.1763,1,126646,,,,,0
2023-08-07,72.75,73.29,70.85,73.12,73.02,,,,,77.2737,0,76.9400,0,107581,,,,,0
2023-08-08,71.67,71.70,69.48,71.48,73.12,,,,,77.2737,0,76.8182,0,138964,,,,,0
2023-08-09,71.71,71.83,69.90,69.95,72.97,71.91,,,,77.2737,0,76.5247,0,76994,,,,,0
2023-08-10,70.76,72.34,70.75,72.08,73.15,71.84,,,,77.2737,0,76.2429,0,72844,,,,,0
2023-08-11,71.49,72.69,71.19,71.40,72.89,71.87,,,,77.2737,0,75.9724,0,61890,,,,,0
2023-08-14,74.61,74.66,71.00,72.26,72.43,71.94,,,,77.2737,0,75.7127,0,226333,,,,,0
2023-08-15,71.61,73.06,71.50,72.26,72.04,72.02,,,,77.2737,0,75.4634,0,99632,,,,,0
2023-08-16,71.86,73.16,71.55,72.37,72.04,72.12,,,,77.2737,0,75.2240,0,103019,,,,,0
2023-08-17,72.34,72.34,70.28,70.71,71.82,72.16,,,,77.2737,0,74.9943,0,114274,,,,,0
2023-08-18,69.22,72.05,68.79,71.72,71.74,72.25,,,,77.2737,0,74.7737,0,114502,,,,,0
2023-08-21,71.88,73.52,71.82,72.94,71.72,72.37,,,,77.2737,0,74.4147,0,118258,,,,,0
2023-08-22,72.96,73.00,70.93,71.38,71.71,72.41,,,,77.2737,0,74.0772,0,97112,,,,,0
2023-08-23,71.72,73.61,71.23,73.51,72.06,72.52,,,,77.2737,0,73.7600,0,90755,,,,,0
2023-08-24,74.00,74.16,71.37,71.37,71.99,72.57,,,,77.2737,0,68.7900,1,92802,,,,,0
2023-08-25,71.28,72.40,70.17,72.23,72.08,72.48,,,,77.2737,0,68.8975,1,106380,,,,,0
2023-08-28,71.99,72.90,71.41,72.12,72.06,72.25,,,,77.2737,0,69.0028,1,127090,,,,,0
2023-08-29,71.90,73.15,71.09,71.86,72.02,72.03,,,,77.2737,0,69.1060,1,158545,,0.0505,0.0562,-0.0057,0
2023-08-30,71.94,73.79,71.78,73.57,72.14,72.09,,,,77.2737,0,69.2071,1,345632,,0.1678,0.0785,0.0893,0
2023-08-31,78.61,86.50,78.23,83.51,73.42,72.62,,,,72.4801,1,69.3062,1,1011415,,1.0507,0.2729,0.7778,0
2023-09-01,84.46,86.66,84.36,86.16,74.87,73.30,,,,75.6686,1,69.9940,1,386092,,1.9419,0.6067,1.3352,0
2023-09-05,85.28,88.83,85.27,87.17,76.29,74.00,,,,77.1239,1,70.9939,1,408330,,2.6986,1.0251,1.6735,0
2023-09-06,86.51,88.15,86.25,87.50,77.90,74.80,,,,77.6943,1,72.4205,1,307370,,3.2870,1.4775,1.8095,0
2023-09-07,86.53,88.80,86.23,87.68,79.32,75.69,,,,78.1912,1,73.7329,1,219989,,3.7248,1.9269,1.7979,0
2023-09-08,87.60,88.32,86.54,87.38,80.92,76.46,,,,78.5061,1,74.9404,1,144658,,4.0015,2.3419,1.6597,0
2023-09-11,87.52,90.73,87.52,90.08,82.70,77.39,,,,80.0876,1,76.0512,1,227803,,4.3881,2.7511,1.6370,0
2023-09-12,89.17,90.43,87.59,87.59,84.25,78.16,,,,80.0876,1,77.5191,1,203874,,4.4423,3.0894,1.3530,0
2023-09-13,87.38,88.47,87.09,87.44,85.81,78.91,,,,80.0876,1,78.8402,1,162184,,4.4222,3.3559,1.0663,0
2023-09-14,87.48,87.59,83.16,86.03,87.05,79.60,,,,80.0876,1,80.0292,1,370445,,4.2436,3.5335,0.7101,0
2023-09-15,85.40,86.37,83.70,84.31,87.13,80.28,,,,80.0876,1,81.0993,1,380381,,3.9181,3.6104,0.3077,0
2023-09-18,83.28,83.80,82.15,83.16,86.83,80.85,,,,80.0876,1,82.0623,1,195251,,3.5267,3.5937,-0.0670,0
2023-09-19,82.57,83.60,81.80,82.04,86.32,81.30,,,,80.0876,1,90.7300,0,155211,,3.0905,3.4930,-0.4025,0
2023-09-20,82.04,84.56,81.45,83.53,85.92,81.91,,,,80.0876,1,90.5514,0,134300,,2.8324,3.3609,-0.5285,0
2023-09-21,82.50,83.93,81.09,81.13,85.27,82.29,76.09,,,80.0876,1,90.1873,0,172831,185619,2.4064,3.1700,-0.7636,0
2023-09-22,82.41,82.62,80.55,80.68,84.60,82.76,76.24,,,80.0876,1,89.6415,0,97155,183580,2.0093,2.9379,-0.9285,0
2023-09-25,80.43,80.61,79.80,80.19,83.61,83.16,76.43,,,80.0876,1,88.9142,0,96878,181880,1.6363,2.6775,-1.0413,0
2023-09-26,79.63,80.60,79.12,79.63,82.81,83.53,76.60,,,87.1902,0,88.0028,0,97196,179262,1.2807,2.3982,-1.1175,0
2023-09-27,79.77,81.48,79.52,80.70,82.14,83.97,76.80,,,87.1902,0,86.9368,0,97703,176816,1.0728,2.1331,-1.0603,0
2023-09-28,79.68,81.63,79.35,81.46,81.68,84.37,77.02,,,87.1902,0,85.9988,0,128194,174937,0.9584,1.8982,-0.9398,0
2023-09-29,82.37,83.89,80.91,81.51,81.40,84.27,77.26,,,87.1902,0,85.1734,0,185802,175020,0.8618,1.6909,-0.8291,0
2023-10-02,82.36,83.62,79.81,80.72,81.16,84.00,77.47,,,87.1902,0,84.4470,0,259014,177549,0.7133,1.4954,-0.7821,0
2023-10-03,79.52,81.49,78.36,78.84,80.84,83.58,77.64,,,87.1902,0,83.8900,0,149023,178496,0.4388,1.2841,-0.8452,0
2023-10-04,78.96,79.70,77.44,78.01,80.29,83.11,77.79,,,86.3632,0,83.6200,0,141955,179644,0.1526,1.0578,-0.9052,0
