Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,5.22,5.41,5.03,5.09,,,,,,,0,5.0300,1,1319,,,,,0
2023-07-14,5.08,5.23,5.06,5.16,,,,,,,0,5.0300,1,1299,,,,,0
2023-07-17,5.14,5.25,5.03,5.13,,,,,,,0,5.0300,1,1002,,,,,0
2023-07-18,5.10,5.35,5.10,5.33,,,,,,,0,5.0300,1,1673,,,,,0
2023-07-19,5.39,5.84,5.39,5.69,,,,,,,0,5.0300,1,3118,,,,,0
2023-07-20,5.69,5.71,5.31,5.36,,,,,,,0,5.0624,1,1954,,,,,0
2023-07-21,5.41,5.47,5.28,5.30,,,,,,,0,5.0935,1,1441,,,,,0
2023-07-24,5.33,5.35,5.12,5.14,,,,,,,0,5.8400,0,1569,,,,,0
2023-07-25,5.12,5.23,4.88,4.93,,,,,,,0,5.8256,0,6216,,,,,0
2023-07-26,4.93,4.97,4.39,4.41,5.15,,,,,5.6640,0,5.7878,0,3992,,,,,0
2023-07-27,4.50,4.61,4.29,4.35,5.08,,,,,5.4316,0,5.7039,0,2237,,,,,0
2023-07-28,4.38,4.50,4.24,4.36,5.00,,,,,5.3314,0,5.5908,0,3246,,,,,0
2023-07-31,4.39,4.54,4.30,4.35,4.92,,,,,5.3314,0,5.4557,0,1242,,,,,0
2023-08-01,4.36,4.36,4.14,4.17,4.81,,,,,5.1596,0,5.3341,0,1475,,,,,0
2023-08-02,4.10,4.17,3.91,3.95,4.63,,,,,4.9366,0,5.1908,0,2002,,,,,0
2023-08-03,3.96,4.25,3.93,4.20,4.52,,,,,4.9366,0,5.0115,0,2551,,,,,0
2023-08-04,4.20,4.31,4.09,4.27,4.41,,,,,4.9366,0,4.8573,0,1494,,,,,0
2023-08-07,4.27,4.27,3.93,3.99,4.30,,,,,4.9366,0,4.7247,0,1656,,,,,0
2023-08-08,3.96,4.27,3.95,4.25,4.23,,,,,4.9366,0,4.6106,0,1255,,,,,0
2023-08-09,3.98,4.36,3.93,4.33,4.22,4.69,,,,4.9366,0,4.5125,0,2077,,,,,0
2023-08-10,4.30,4.41,4.08,4.20,4.21,4.64,,,,4.9366,0,4.4282,0,1523,,,,,0
2023-08-11,4.17,4.45,4.08,4.30,4.20,4.60,,,,4.9366,0,3.9100,1,1278,,,,,0
2023-08-14,4.28,4.50,3.97,3.99,4.16,4.54,,,,4.9366,0,3.9208,1,2356,,,,,0
2023-08-15,3.99,3.99,3.70,3.73,4.12,4.46,,,,4.8530,0,4.5000,0,1888,,,,,0
2023-08-16,3.72,3.72,3.51,3.54,4.08,4.36,,,,4.5882,0,4.5000,0,1735,,,,,0
2023-08-17,3.57,3.64,3.46,3.50,4.01,4.26,,,,4.4799,0,4.4604,0,1416,,,,,0
2023-08-18,3.45,3.60,3.39,3.53,3.94,4.17,,,,4.3949,0,4.4004,0,2510,,,,,0
2023-08-21,3.55,3.65,3.42,3.64,3.90,4.10,,,,4.3949,0,4.3195,0,1535,,,,,0
2023-08-22,3.66,3.77,3.54,3.71,3.85,4.04,,,,4.3949,0,4.2452,0,1158,,,,,0
2023-08-23,3.74,3.94,3.73,3.82,3.80,4.01,,,,4.3949,0,4.1768,0,1118,,,,,0
2023-08-24,3.80,3.82,3.51,3.52,3.73,3.97,,,,4.3949,0,4.1138,0,1501,,,,,0
2023-08-25,3.52,3.82,3.48,3.81,3.68,3.94,,,,4.3949,0,4.0559,0,1120,,,,,0
2023-08-28,3.82,3.86,3.54,3.61,3.64,3.90,,,,4.3949,0,4.0026,0,1139,,,,,0
2023-08-29,3.60,3.79,3.58,3.74,3.64,3.88,,,,4.3949,0,3.9536,0,848,,-0.3498,-0.4263,0.0765,0
2023-08-30,3.75,3.79,3.58,3.65,3.65,3.87,,,,4.3949,0,3.9085,0,831,,-0.3337,-0.4078,0.0741,0
2023-08-31,3.65,3.68,3.44,3.46,3.65,3.83,,,,4.3796,0,3.8671,0,1244,,-0.3324,-0.3927,0.0603,0
2023-09-01,3.57,3.67,3.44,3.54,3.65,3.79,,,,4.3616,0,3.8289,0,1046,,-0.3213,-0.3784,0.0572,0
2023-09-05,3.49,3.74,3.40,3.43,3.63,3.76,,,,4.3616,0,3.7938,0,1088,,-0.3176,-0.3663,0.0486,0
2023-09-06,3.45,3.49,3.32,3.46,3.60,3.73,,,,4.2011,0,3.7615,0,1057,,-0.3088,-0.3548,0.0460,0
2023-09-07,3.45,3.48,3.26,3.40,3.56,3.68,,,,4.1525,0,3.7400,0,1441,,-0.3031,-0.3444,0.0413,0
2023-09-08,3.39,3.46,3.26,3.37,3.55,3.64,,,,4.1243,0,3.6824,0,931,,-0.2976,-0.3351,0.0375,0
2023-09-11,3.40,3.49,3.33,3.44,3.51,3.59,,,,4.1243,0,3.6317,0,682,,-0.2843,-0.3249,0.0406,0
2023-09-12,3.42,3.46,3.29,3.32,3.48,3.56,,,,4.0883,0,3.5871,0,962,,-0.2802,-0.3160,0.0358,0
2023-09-13,3.32,3.34,3.13,3.18,3.43,3.53,,,,3.9399,0,3.5479,0,925,,-0.2850,-0.3098,0.0248,0
2023-09-14,3.21,3.26,3.11,3.19,3.38,3.52,,,,3.8644,0,3.4894,0,950,,-0.2847,-0.3048,0.0201,0
2023-09-15,3.24,3.33,3.09,3.11,3.34,3.50,,,,3.8644,0,3.4287,0,3133,,-0.2876,-0.3013,0.0137,0
2023-09-18,3.12,3.12,3.01,3.03,3.29,3.47,,,,3.7131,0,3.3677,0,1063,,-0.2930,-0.2997,0.0067,0
2023-09-19,3.05,3.10,2.98,3.09,3.26,3.44,,,,3.6593,0,3.3300,0,750,,-0.2891,-0.2976,0.0085,0
2023-09-20,3.11,3.12,2.92,2.93,3.21,3.40,,,,3.6374,0,3.2600,0,1428,,-0.2955,-0.2971,0.0017,0
2023-09-21,2.92,3.00,2.78,2.81,3.15,3.35,3.98,,,3.5117,0,3.1920,0,1742,1664,-0.3067,-0.2991,-0.0077,0
2023-09-22,2.91,2.96,2.81,2.94,3.10,3.33,3.93,,,3.4895,0,3.1200,0,1968,1677,-0.3016,-0.2996,-0.0021,0
2023-09-25,2.93,2.99,2.84,2.99,3.06,3.28,3.89,,,3.4895,0,3.0520,0,800,1667,-0.2902,-0.2977,0.0075,0
2023-09-26,2.99,3.24,2.87,2.88,3.02,3.25,3.84,,,3.4895,0,2.7800,1,2126,1690,-0.2868,-0.2955,0.0087,0
2023-09-27,2.92,3.01,2.77,2.85,2.98,3.20,3.80,,,3.4895,0,3.2400,0,1435,1685,-0.2832,-0.2930,0.0099,0
2023-09-28,2.93,2.93,2.67,2.92,2.95,3.17,3.74,,,3.4621,0,3.2400,0,1105,1645,-0.2716,-0.2887,0.0172,0
2023-09-29,2.95,2.99,2.74,2.92,2.94,3.14,3.69,,,3.4621,0,3.2172,0,1184,1629,-0.2594,-0.2829,0.0235,0
2023-10-02,2.92,2.92,2.76,2.77,2.91,3.10,3.64,,,3.4621,0,3.1953,0,1317,1627,-0.2588,-0.2781,0.0193,0
