Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,109.93,110.20,104.52,104.84,,,,,,,0,104.5200,1,46077,,,,,0
2023-07-21,106.31,107.56,104.96,105.96,,,,,,,0,104.5200,1,38305,,,,,0
2023-07-24,106.67,107.18,103.93,107.13,,,,,,,0,110.2000,0,37421,,,,,0
2023-07-25,107.54,110.90,107.54,109.33,,,,,,,0,103.9350,1,27726,,,,,0
2023-07-26,108.22,109.00,106.87,108.09,,,,,,,0,103.9350,1,16408,,,,,0
2023-07-27,111.66,118.62,111.66,117.30,,,,,,,0,104.0743,1,82673,,,,,0
2023-07-28,118.92,123.83,118.39,122.16,,,,,,,0,104.6561,1,60677,,,,,0
2023-07-31,121.61,126.64,121.61,124.32,,,,,,,0,105.8066,1,61762,,,,,0
2023-08-01,122.74,123.45,121.54,123.21,,,,,,,0,107.4732,1,40918,,,,,0
2023-08-02,121.10,121.51,117.47,119.35,114.17,,,,,134.0352,0,109.0066,1,31807,,,,,0
2023-08-03,118.35,120.82,117.21,119.46,115.63,,,,,133.1887,0,110.4172,1,26293,,,,,0
2023-08-04,118.46,119.98,116.54,118.42,116.88,,,,,132.0483,0,111.7151,1,23826,,,,,0
2023-08-07,120.34,122.11,118.72,121.88,118.35,,,,,132.0483,0,112.9091,1,27959,,,,,0
2023-08-08,120.03,121.01,119.15,120.25,119.44,,,,,132.0483,0,114.0075,1,34668,,,,,0
2023-08-09,119.50,120.00,116.21,118.54,120.49,,,,,131.0025,0,115.0181,1,35491,,,,,0
2023-08-10,119.04,119.94,112.61,113.18,120.08,,,,,130.0817,0,126.6400,0,56069,,,,,0
2023-08-11,108.00,111.93,105.58,110.00,118.86,,,,,123.4614,0,126.3594,0,94314,,,,,0
2023-08-14,109.16,111.67,107.71,111.27,117.56,,,,,123.4614,0,125.5283,0,38933,,,,,0
2023-08-15,110.71,112.90,109.83,112.04,116.44,,,,,123.4614,0,124.7305,0,29691,,,,,0
2023-08-16,112.75,113.75,110.47,110.49,115.55,114.86,,,,123.4614,0,123.9645,0,30296,,,,,0
2023-08-17,110.80,112.11,109.74,109.76,114.58,115.11,,,,123.4614,0,123.2292,0,37637,,,,,0
2023-08-18,109.42,111.66,108.44,110.37,113.78,115.33,,,,122.5862,0,122.5233,0,29546,,,,,0
2023-08-21,110.00,114.79,110.00,114.12,113.00,115.68,,,,122.5862,0,121.8457,0,35195,,,,,0
2023-08-22,114.90,115.61,112.76,112.82,112.26,115.85,,,,122.5862,0,121.1951,0,28442,,,,,0
2023-08-23,113.19,117.47,112.94,117.38,112.14,116.32,,,,122.5862,0,120.5706,0,38818,,,,,0
2023-08-24,119.57,121.52,114.67,114.76,112.30,116.19,,,,122.5862,0,105.5820,1,47775,,,,,0
2023-08-25,115.12,116.37,111.22,113.60,112.66,115.76,,,,122.5862,0,105.9008,1,24117,,,,,0
2023-08-28,114.85,116.21,113.61,114.24,112.96,115.26,,,,122.5862,0,106.2131,1,22094,,,,,0
2023-08-29,115.41,134.28,114.62,129.83,114.74,115.59,,,,107.0962,1,106.5193,1,141281,,,,,0
2023-08-30,130.06,137.19,129.82,136.72,117.36,116.46,,,,115.4115,1,107.6297,1,95362,,,,,0
2023-08-31,135.69,142.26,135.51,138.98,120.28,117.43,,,,120.5773,1,109.4033,1,105027,,,,,0
2023-09-01,139.36,140.41,135.90,136.78,122.92,118.35,,,,120.5773,1,112.0322,1,47709,,,,,0
2023-09-05,135.89,135.89,131.63,134.18,124.93,118.97,,,,120.5773,1,114.4508,1,50640,,,,,0
2023-09-06,134.00,136.02,131.56,133.91,127.04,119.65,,,,120.5773,1,116.6760,1,37508,,5.2501,2.1844,3.0656,0
2023-09-07,131.35,131.77,125.50,128.40,128.14,120.14,,,,120.5773,1,118.7231,1,47726,,4.9480,2.7372,2.2108,0
2023-09-08,128.82,129.23,125.82,128.56,129.52,120.91,,,,120.5773,1,120.6064,1,38902,,4.6677,3.1233,1.5444,0
2023-09-11,130.42,132.29,125.16,125.89,130.75,121.70,,,,120.5773,1,122.3391,1,54712,,4.1819,3.3350,0.8469,0
2023-09-12,124.95,128.22,123.53,125.64,131.89,122.42,,,,120.5773,1,142.2650,0,42089,,3.7337,3.4147,0.3190,0
2023-09-13,126.16,130.77,125.14,127.46,131.65,123.19,,,,120.5773,1,141.8903,0,60085,,3.4852,3.4288,0.0563,0
2023-09-14,128.25,132.08,128.25,129.82,130.96,124.16,,,,120.5773,1,141.5231,0,62145,,3.4390,3.4308,0.0081,0
2023-09-15,128.43,128.52,122.16,124.39,129.50,124.89,,,,120.5773,1,141.1633,0,108891,,2.9305,3.3308,-0.4003,0
2023-09-18,123.17,126.31,123.17,124.98,128.32,125.62,,,,120.5773,1,140.4032,0,35407,,2.5457,3.1738,-0.6280,0
2023-09-19,124.37,125.11,121.75,123.13,127.22,126.07,,,,120.5773,1,139.6734,0,34981,,2.0677,2.9525,-0.8849,0
2023-09-20,124.37,125.83,122.67,122.82,126.11,126.57,,,,120.5773,1,138.5980,0,27045,,1.6449,2.6910,-1.0461,0
2023-09-21,121.05,122.77,120.08,122.11,125.48,126.81,,,,120.5773,1,137.5871,0,25057,,1.2382,2.4005,-1.1622,0
