Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,14.44,14.83,14.44,14.72,,,,,,,0,14.4400,1,757,,,,,0
2023-07-19,14.76,14.99,14.61,14.64,,,,,,,0,14.4400,1,712,,,,,0
2023-07-20,14.66,14.66,14.31,14.39,,,,,,,0,14.9900,0,794,,,,,0
2023-07-21,14.50,14.50,14.33,14.48,,,,,,,0,14.9900,0,1208,,,,,0
2023-07-24,14.51,14.56,14.23,14.33,,,,,,,0,14.9764,0,957,,,,,0
2023-07-25,14.31,14.35,14.02,14.35,,,,,,,0,14.9467,0,911,,,,,0
2023-07-26,14.26,14.62,14.26,14.55,,,,,,,0,14.8911,0,668,,,,,0
2023-07-27,14.55,14.68,14.40,14.60,,,,,,,0,14.8389,0,1517,,,,,0
2023-07-28,14.65,14.93,14.59,14.82,,,,,,,0,14.0200,1,857,,,,,0
2023-07-31,14.84,15.01,14.63,15.00,14.59,,,,,15.8115,0,14.0382,1,986,,,,,0
2023-08-01,15.00,15.06,14.66,15.04,14.62,,,,,15.8115,0,14.0771,1,937,,,,,0
2023-08-02,14.97,15.16,14.86,14.88,14.64,,,,,15.8115,0,14.1360,1,798,,,,,0
2023-08-03,14.84,15.06,14.65,15.03,14.71,,,,,15.8115,0,14.2180,1,770,,,,,0
2023-08-04,15.03,15.17,14.54,14.56,14.72,,,,,15.8115,0,14.2933,1,617,,,,,0
2023-08-07,14.56,15.02,14.56,14.70,14.75,,,,,15.8115,0,14.3809,1,626,,,,,0
2023-08-08,14.63,14.74,14.52,14.66,14.78,,,,,15.7143,0,14.4597,1,600,,,,,0
2023-08-09,14.65,14.71,14.25,14.36,14.76,,,,,15.5979,0,15.1690,0,497,,,,,0
2023-08-10,14.35,14.44,14.17,14.34,14.74,,,,,15.3921,0,15.1506,0,657,,,,,0
2023-08-11,14.34,14.55,14.21,14.52,14.71,,,,,15.3921,0,15.1114,0,854,,,,,0
2023-08-14,14.50,14.77,14.39,14.77,14.69,14.64,,,,15.3921,0,15.0737,0,545,,,,,0
2023-08-15,14.75,14.94,14.59,14.91,14.67,14.65,,,,15.3921,0,15.0376,0,780,,,,,0
2023-08-16,14.93,15.04,14.44,14.47,14.63,14.64,,,,15.3921,0,14.1700,1,638,,,,,0
2023-08-17,14.48,14.74,14.44,14.70,14.60,14.65,,,,15.3921,0,14.1874,1,695,,,,,0
2023-08-18,14.68,14.77,14.36,14.45,14.59,14.65,,,,15.3921,0,14.2045,1,682,,,,,0
2023-08-21,14.42,14.42,13.68,13.86,14.50,14.63,,,,15.3050,0,15.0400,0,710,,,,,0
2023-08-22,13.90,13.90,13.40,13.60,14.40,14.59,,,,14.9295,0,15.0128,0,815,,,,,0
2023-08-23,13.69,14.35,13.60,14.01,14.36,14.56,,,,14.9295,0,14.9483,0,892,,,,,0
2023-08-24,13.32,14.52,13.32,14.03,14.33,14.54,,,,14.9295,0,14.8864,0,904,,,,,0
2023-08-25,14.04,14.21,13.86,14.00,14.28,14.49,,,,14.9295,0,14.7924,0,487,,,,,0
2023-08-28,13.99,14.01,13.71,13.78,14.18,14.43,,,,14.9295,0,14.7040,0,608,,,,,0
2023-08-29,13.77,14.35,13.76,14.29,14.12,14.40,,,,14.9295,0,14.6210,0,609,,,,,0
2023-08-30,14.22,14.61,14.22,14.41,14.11,14.37,,,,14.9295,0,13.3200,1,594,,,,,0
2023-08-31,14.36,14.51,14.07,14.09,14.05,14.33,,,,14.9295,0,13.3458,1,551,,,,,0
2023-09-01,14.16,14.34,14.10,14.14,14.02,14.30,,,,14.9295,0,13.3711,1,583,,-0.1718,-0.2113,0.0395,0
2023-09-05,13.91,13.98,13.70,13.90,14.03,14.26,,,,14.9295,0,13.3959,1,689,,-0.1817,-0.2054,0.0237,0
2023-09-06,13.49,14.08,13.40,13.93,14.06,14.23,,,,14.9295,0,14.6100,0,964,,-0.1850,-0.2013,0.0163,0
2023-09-07,13.94,14.40,13.77,14.13,14.07,14.22,,,,14.9295,0,14.5858,0,1088,,-0.1695,-0.1949,0.0254,0
2023-09-08,14.16,14.16,13.63,13.64,14.03,14.18,,,,14.9295,0,14.5621,0,604,,-0.1946,-0.1949,0.0003,0
