Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,13.18,13.20,13.02,13.17,,,,,,,0,13.0230,1,1743,,,,,0
2023-07-14,13.27,13.27,12.88,13.05,,,,,,,0,13.2718,0,1352,,,,,0
2023-07-17,12.98,13.48,12.96,13.38,,,,,,,0,12.8794,1,1194,,,,,0
2023-07-18,13.39,13.89,13.39,13.83,,,,,,,0,12.8794,1,2702,,,,,0
2023-07-19,13.87,14.18,13.42,14.12,,,,,,,0,12.9200,1,2589,,,,,0
2023-07-20,14.11,14.68,14.11,14.60,,,,,,,0,12.9957,1,3643,,,,,0
2023-07-21,14.81,14.96,14.58,14.89,,,,,,,0,13.1303,1,3207,,,,,0
2023-07-24,14.92,15.23,14.92,15.02,,,,,,,0,13.3128,1,3859,,,,,0
2023-07-25,15.00,15.26,14.83,14.95,,,,,,,0,13.5433,1,3803,,,,,0
2023-07-26,15.15,15.56,15.15,15.45,14.25,,,,,16.7624,0,13.7839,1,5115,,,,,0
2023-07-27,15.63,15.72,15.16,15.26,14.46,,,,,16.7624,0,14.0679,1,3288,,,,,0
2023-07-28,15.30,15.57,15.30,15.38,14.69,,,,,16.7624,0,14.3657,1,1991,,,,,0
2023-07-31,15.35,15.49,15.25,15.35,14.88,,,,,16.6919,0,14.6098,1,3297,,,,,0
2023-08-01,15.30,15.67,15.22,15.64,15.07,,,,,16.6919,0,14.8101,1,3566,,,,,0
2023-08-02,15.41,15.55,15.27,15.42,15.19,,,,,16.6919,0,14.9742,1,2350,,,,,0
2023-08-03,15.38,15.79,15.30,15.63,15.30,,,,,16.6919,0,15.1089,1,1924,,,,,0
2023-08-04,15.56,15.81,15.52,15.54,15.36,,,,,16.6919,0,15.2450,1,1666,,,,,0
2023-08-07,15.65,15.76,15.49,15.73,15.43,,,,,16.6919,0,15.2999,1,2558,,,,,0
2023-08-08,15.50,15.69,15.22,15.65,15.50,,,,,16.6919,0,15.8086,0,1612,,,,,0
2023-08-09,15.65,15.68,15.44,15.45,15.50,14.87,,,,16.6919,0,15.7969,0,1311,,,,,0
2023-08-10,15.48,15.55,15.09,15.19,15.50,14.98,,,,16.5390,0,15.7854,0,1977,,,,,0
2023-08-11,15.13,15.24,14.93,15.06,15.46,15.08,,,,16.2768,0,15.7575,0,2423,,,,,0
2023-08-14,15.04,15.04,14.82,14.94,15.42,15.15,,,,16.0759,0,15.7076,0,1261,,,,,0
2023-08-15,14.71,14.71,14.36,14.37,15.30,15.18,,,,15.7435,0,15.6366,0,3440,,,,,0
2023-08-16,14.31,14.55,14.17,14.44,15.20,15.20,,,,15.5604,0,15.5088,0,2945,,,,,0
2023-08-17,14.54,14.64,14.34,14.39,15.08,15.19,,,,15.5604,0,15.3479,0,1688,,,,,0
2023-08-18,14.27,14.42,14.20,14.23,14.95,15.15,,,,15.4260,0,15.2062,0,1759,,,,,0
2023-08-21,14.30,14.36,14.03,14.13,14.79,15.11,,,,15.3015,0,15.0815,0,1292,,,,,0
2023-08-22,14.13,14.24,13.72,13.73,14.59,15.05,,,,15.1334,0,14.9347,0,2638,,,,,0
2023-08-23,13.76,13.91,13.70,13.82,14.43,14.97,,,,14.9039,0,14.7397,0,1351,,,,,0
2023-08-24,13.74,14.01,13.74,13.86,14.30,14.90,,,,14.9039,0,14.5520,0,1705,,,,,0
2023-08-25,13.92,13.93,13.40,13.77,14.17,14.82,,,,14.7864,0,14.3981,0,1412,,,,,0
2023-08-28,13.82,14.09,13.82,14.01,14.08,14.75,,,,14.7864,0,14.1984,0,1621,,,,,0
2023-08-29,13.98,14.14,13.88,13.98,14.04,14.67,,,,14.7864,0,13.3994,1,1030,,-0.2478,-0.1511,-0.0967,0
2023-08-30,13.98,13.98,13.73,13.74,13.97,14.58,,,,14.7864,0,13.4141,1,1796,,-0.2647,-0.1738,-0.0909,0
2023-08-31,13.77,13.94,13.77,13.89,13.92,14.50,,,,14.7864,0,13.4286,1,2217,,-0.2626,-0.1916,-0.0711,0
2023-09-01,13.96,14.50,13.96,14.44,13.94,14.44,,,,14.7864,0,13.4428,1,1372,,-0.2144,-0.1961,-0.0182,0
2023-09-05,14.37,14.37,14.09,14.22,13.95,14.37,,,,14.7864,0,13.4852,1,2544,,-0.1917,-0.1952,0.0035,0
2023-09-06,14.23,14.38,13.87,13.88,13.96,14.28,,,,14.7864,0,13.5260,1,1505,,-0.1986,-0.1959,-0.0027,0
2023-09-07,13.85,14.03,13.73,13.90,13.97,14.20,,,,14.7864,0,13.5651,1,2910,,-0.2002,-0.1968,-0.0034,0
2023-09-08,13.94,13.94,13.64,13.84,13.97,14.13,,,,14.7864,0,13.6026,1,1184,,-0.2038,-0.1982,-0.0056,0
2023-09-11,13.88,13.99,13.65,13.67,13.96,14.06,,,,14.7864,0,13.6386,1,1350,,-0.2180,-0.2021,-0.0159,0
2023-09-12,13.70,13.87,13.59,13.69,13.92,14.00,,,,14.7841,0,14.5032,0,1410,,-0.2252,-0.2067,-0.0184,0
2023-09-13,13.67,13.68,13.47,13.56,13.88,13.96,,,,14.5866,0,14.4849,0,1878,,-0.2382,-0.2130,-0.0251,0
2023-09-14,13.68,13.77,13.62,13.74,13.88,13.92,,,,14.5866,0,14.4442,0,2021,,-0.2311,-0.2166,-0.0144,0
2023-09-15,13.74,13.90,13.34,13.51,13.84,13.88,,,,14.5866,0,14.4051,0,11181,,-0.2413,-0.2216,-0.0197,0
2023-09-18,13.50,13.50,12.82,12.85,13.69,13.81,,,,14.3079,0,14.3413,0,1695,,-0.2993,-0.2371,-0.0622,0
2023-09-19,12.89,13.24,12.71,12.85,13.55,13.75,,,,14.1643,0,14.2199,0,1170,,-0.3414,-0.2580,-0.0834,0
2023-09-20,12.92,13.13,12.84,13.01,13.46,13.71,,,,14.1459,0,14.0687,0,1778,,-0.3582,-0.2780,-0.0802,0
2023-09-21,12.87,13.07,12.63,13.06,13.38,13.67,14.31,,,14.0280,0,13.9327,0,3577,2378,-0.3628,-0.2950,-0.0678,0
2023-09-22,13.07,13.14,12.87,12.96,13.29,13.63,14.30,,,14.0280,0,13.7765,0,1671,2377,-0.3706,-0.3101,-0.0605,0
2023-09-25,12.88,13.12,12.86,13.12,13.24,13.60,14.30,,,14.0280,0,13.6391,0,1284,2375,-0.3595,-0.3200,-0.0395,0
2023-09-26,12.97,13.10,12.91,13.01,13.17,13.55,14.30,,,14.0280,0,13.5182,0,1533,2382,-0.3558,-0.3271,-0.0287,0
2023-09-27,13.06,13.23,12.84,12.95,13.11,13.49,14.28,,,14.0280,0,13.4118,0,1157,2351,-0.3536,-0.3324,-0.0211,0
2023-09-28,12.93,13.15,12.93,12.97,13.03,13.46,14.25,,,14.0280,0,13.3182,0,1273,2325,-0.3462,-0.3352,-0.0110,0
2023-09-29,13.08,13.16,13.00,13.06,12.98,13.41,14.22,,,14.0280,0,13.2358,0,1795,2288,-0.3288,-0.3339,0.0051,0
2023-10-02,13.00,13.12,12.96,13.00,13.00,13.34,14.19,,,13.9705,0,13.1633,0,1928,2262,-0.3168,-0.3305,0.0137,0
2023-10-03,12.95,12.96,12.72,12.76,12.99,13.27,14.14,,,13.7593,0,13.1594,0,2568,2236,-0.3230,-0.3290,0.0060,0
2023-10-04,12.77,13.02,12.60,12.85,12.97,13.22,14.10,,,13.7593,0,13.1210,0,1722,2195,-0.3164,-0.3265,0.0100,0
2023-10-05,12.78,13.10,12.78,13.07,12.97,13.18,14.05,,,13.7593,0,12.6027,1,2151,2135,-0.2901,-0.3192,0.0291,0
2023-10-06,13.04,13.31,12.79,13.24,13.00,13.15,14.01,,,13.7593,0,12.6027,1,1622,2102,-0.2532,-0.3060,0.0528,0
2023-10-09,13.16,13.25,12.95,13.17,13.01,13.12,13.97,,,13.7593,0,12.6311,1,1438,2091,-0.2267,-0.2901,0.0635,0
2023-10-10,13.26,13.34,13.15,13.23,13.03,13.10,13.92,,,13.7593,0,12.6584,1,1422,2054,-0.1988,-0.2719,0.0731,0
2023-10-11,13.25,13.43,13.05,13.24,13.06,13.08,13.88,,,13.7593,0,12.6994,1,1280,2008,-0.1738,-0.2523,0.0784,0
2023-10-12,13.23,13.23,12.99,13.12,13.07,13.05,13.83,,,13.7593,0,12.7577,1,1437,1990,-0.1615,-0.2341,0.0726,0
2023-10-13,13.23,13.25,12.81,12.83,13.05,13.02,13.77,,,13.7593,0,12.8113,1,1269,1976,-0.1730,-0.2219,0.0489,0
2023-10-16,12.96,13.06,12.93,13.03,13.05,13.03,13.72,,,13.7593,0,12.8139,1,1228,1968,-0.1640,-0.2103,0.0463,0
2023-10-17,12.97,13.34,12.71,13.23,13.10,13.04,13.67,,,13.7593,0,13.4282,0,2093,1958,-0.1397,-0.1962,0.0565,0
2023-10-18,13.12,13.17,12.97,13.00,13.12,13.04,13.62,,,13.7593,0,13.4138,0,1288,1952,-0.1375,-0.1844,0.0470,0
2023-10-19,13.06,13.39,12.77,13.28,13.14,13.06,13.58,,,13.7593,0,13.3997,0,3066,1987,-0.1112,-0.1698,0.0586,0
2023-10-20,13.33,13.33,12.99,13.03,13.12,13.06,13.53,,,13.7593,0,13.3898,0,2993,2007,-0.1092,-0.1577,0.0485,0
2023-10-23,13.03,13.34,12.91,13.08,13.11,13.06,13.49,,,13.7593,0,13.3898,0,1644,1992,-0.1026,-0.1467,0.0440,0
2023-10-24,13.11,13.13,12.72,12.79,13.06,13.05,13.45,,,13.7593,0,13.3761,0,1222,1991,-0.1193,-0.1412,0.0219,0
2023-10-25,12.73,12.86,12.55,12.80,13.02,13.04,13.42,,,13.7593,0,13.3628,0,1816,1959,-0.1302,-0.1390,0.0088,0
2023-10-26,12.80,13.13,12.80,13.11,13.02,13.05,13.39,,,13.7593,0,13.3305,0,1535,1930,-0.1126,-0.1337,0.0211,0
2023-10-27,13.11,13.20,12.94,13.01,13.04,13.04,13.37,,,13.7593,0,13.2994,0,1912,1935,-0.1060,-0.1282,0.0221,0
2023-10-30,13.12,13.33,12.98,13.03,13.04,13.05,13.34,,,13.7593,0,12.5547,1,1237,1924,-0.0982,-0.1222,0.0240,0
2023-10-31,13.03,13.28,12.96,13.06,13.02,13.06,13.32,,,13.7593,0,12.5703,1,1738,1933,-0.0878,-0.1153,0.0275,0
2023-11-01,13.10,13.13,12.90,13.10,13.03,13.07,13.31,,,13.7593,0,12.5856,1,1059,1902,-0.0756,-0.1073,0.0318,0
2023-11-02,13.23,13.58,13.23,13.58,13.06,13.10,13.30,,,13.7593,0,12.6005,1,1520,1905,-0.0275,-0.0914,0.0639,0
2023-11-03,13.82,14.18,13.79,13.96,13.15,13.13,13.31,,,12.8484,1,12.6395,1,1910,1909,0.0412,-0.0649,0.1061,0
