Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,7.52,7.78,7.38,7.40,,,,,,,0,7.3800,1,14419,,,,,0
2023-07-14,7.42,7.92,7.28,7.85,,,,,,,0,7.9200,0,20510,,,,,0
2023-07-17,7.87,8.39,7.79,8.30,,,,,,,0,7.2800,1,13226,,,,,0
2023-07-18,8.26,8.77,8.24,8.32,,,,,,,0,7.2800,1,12241,,,,,0
2023-07-19,8.37,8.74,8.14,8.35,,,,,,,0,7.3396,1,14704,,,,,0
2023-07-20,8.39,8.42,8.09,8.28,,,,,,,0,7.3968,1,9366,,,,,0
2023-07-21,8.30,8.38,7.98,8.01,,,,,,,0,7.4517,1,10750,,,,,0
2023-07-24,8.02,8.16,7.75,7.97,,,,,,,0,7.5045,1,8738,,,,,0
2023-07-25,7.98,8.07,7.82,7.99,,,,,,,0,7.5551,1,8978,,,,,0
2023-07-26,7.96,8.10,7.78,7.82,8.03,,,,,9.2898,0,7.6037,1,7342,,,,,0
2023-07-27,8.00,8.03,7.74,7.82,8.07,,,,,9.1886,0,7.6503,1,9318,,,,,0
2023-07-28,7.90,7.96,7.47,7.50,8.04,,,,,9.0330,0,8.7700,0,10589,,,,,0
2023-07-31,7.52,7.70,7.45,7.52,7.96,,,,,8.8372,0,8.7440,0,10699,,,,,0
2023-08-01,7.52,7.54,7.36,7.49,7.88,,,,,8.6377,0,8.6924,0,5844,,,,,0
2023-08-02,7.36,7.48,7.22,7.40,7.78,,,,,8.4999,0,8.6125,0,8402,,,,,0
2023-08-03,7.36,7.41,7.09,7.12,7.66,,,,,8.3859,0,8.5011,0,8878,,,,,0
2023-08-04,7.12,7.36,7.05,7.19,7.58,,,,,8.3118,0,8.3605,0,8278,,,,,0
2023-08-07,7.19,7.40,6.91,7.36,7.52,,,,,8.3004,0,8.2032,0,9622,,,,,0
2023-08-08,7.36,7.41,7.09,7.13,7.44,,,,,8.3004,0,8.0222,0,16916,,,,,0
2023-08-09,7.74,8.57,7.51,7.99,7.45,7.74,,,,8.3004,0,6.9100,1,42572,,,,,0
2023-08-10,7.89,7.92,7.11,7.32,7.40,7.74,,,,8.3004,0,6.9432,1,19655,,,,,0
2023-08-11,7.24,7.57,7.21,7.50,7.40,7.72,,,,8.3004,0,6.9757,1,25241,,,,,0
2023-08-14,7.50,7.50,6.80,6.94,7.34,7.65,,,,8.3004,0,8.5700,0,13482,,,,,0
2023-08-15,6.82,7.61,6.72,7.56,7.35,7.61,,,,8.3004,0,8.5346,0,25009,,,,,0
2023-08-16,7.62,7.76,7.30,7.39,7.35,7.56,,,,8.3004,0,8.4620,0,13071,,,,,0
2023-08-17,7.31,7.39,7.12,7.16,7.35,7.51,,,,8.3004,0,8.3923,0,10264,,,,,0
2023-08-18,7.02,7.24,7.01,7.16,7.35,7.47,,,,8.3004,0,8.3254,0,6854,,,,,0
2023-08-21,7.13,7.18,6.83,7.01,7.32,7.42,,,,8.3004,0,8.2612,0,6548,,,,,0
2023-08-22,7.03,7.10,6.80,6.92,7.29,7.37,,,,8.3004,0,8.1996,0,9989,,,,,0
2023-08-23,6.92,6.99,6.82,6.85,7.18,7.32,,,,8.1989,0,8.1404,0,5607,,,,,0
2023-08-24,6.77,6.82,6.32,6.34,7.08,7.24,,,,7.8961,0,8.0836,0,11086,,,,,0
2023-08-25,6.34,6.46,6.24,6.31,6.96,7.18,,,,7.6062,0,7.9778,0,7334,,,,,0
2023-08-28,6.31,6.41,6.25,6.33,6.90,7.12,,,,7.5108,0,7.8383,0,5869,,,,,0
2023-08-29,6.34,6.51,6.27,6.38,6.78,7.07,,,,7.5108,0,7.7101,0,6559,,-0.3909,-0.3035,-0.0874,0
2023-08-30,6.45,6.53,6.30,6.35,6.68,7.02,,,,7.5056,0,7.5921,0,6979,,-0.3960,-0.3220,-0.0740,0
2023-08-31,6.34,6.44,6.26,6.27,6.59,6.97,,,,7.3878,0,7.4835,0,8823,,-0.4018,-0.3380,-0.0638,0
2023-09-01,6.34,6.60,6.34,6.58,6.53,6.94,,,,7.3878,0,7.3836,0,8729,,-0.3771,-0.3458,-0.0313,0
2023-09-05,6.35,6.57,6.23,6.35,6.47,6.89,,,,7.3878,0,7.2917,0,34810,,-0.3717,-0.3510,-0.0208,0
2023-09-06,6.35,6.54,6.18,6.42,6.42,6.86,,,,7.3878,0,7.1856,0,9453,,-0.3577,-0.3523,-0.0054,0
2023-09-07,6.28,6.59,6.16,6.59,6.39,6.79,,,,7.3878,0,7.0649,0,13635,,-0.3291,-0.3477,0.0186,0
2023-09-08,6.57,6.68,6.37,6.45,6.40,6.74,,,,7.3878,0,6.9375,0,7981,,-0.3141,-0.3410,0.0268,0
2023-09-11,6.53,6.80,6.25,6.57,6.43,6.70,,,,7.3878,0,6.8280,0,7343,,-0.2892,-0.3306,0.0414,0
2023-09-12,6.61,6.68,6.48,6.50,6.45,6.67,,,,7.3878,0,6.7950,0,6261,,-0.2720,-0.3189,0.0469,0
2023-09-13,6.44,6.51,6.32,6.37,6.44,6.61,,,,7.3878,0,6.7950,0,7643,,-0.2658,-0.3083,0.0425,0
2023-09-14,6.41,6.53,6.18,6.24,6.43,6.56,,,,7.3713,0,6.7054,0,14498,,-0.2683,-0.3003,0.0320,0
2023-09-15,6.20,6.22,6.01,6.15,6.42,6.51,,,,7.0989,0,6.6283,0,29256,,-0.2743,-0.2951,0.0208,0
2023-09-18,6.13,6.17,5.98,6.07,6.37,6.45,,,,7.0171,0,6.5350,0,9368,,-0.2823,-0.2925,0.0102,0
2023-09-19,6.09,6.20,5.92,6.13,6.35,6.41,,,,6.9919,0,6.4351,0,7325,,-0.2806,-0.2901,0.0096,0
2023-09-20,6.13,6.13,5.92,5.92,6.30,6.36,,,,6.9267,0,6.3321,0,5906,,-0.2928,-0.2907,-0.0021,0
2023-09-21,5.84,5.84,5.72,5.75,6.22,6.30,7.05,,,6.6505,0,6.2497,0,7913,12078,-0.3125,-0.2950,-0.0175,0
2023-09-22,5.78,5.80,5.53,5.55,6.13,6.26,7.02,,,6.5317,0,6.1427,0,5994,11909,-0.3404,-0.3041,-0.0363,0
2023-09-25,5.46,5.62,5.31,5.57,6.03,6.23,6.97,,,6.3380,0,6.0202,0,4106,11581,-0.3568,-0.3147,-0.0422,0
2023-09-26,5.51,5.66,5.38,5.44,5.92,6.18,6.91,,,6.3380,0,5.8781,0,4757,11412,-0.3759,-0.3269,-0.0490,0
2023-09-27,5.47,5.54,5.36,5.46,5.83,6.14,6.86,,,6.2864,0,5.7645,0,5325,11273,-0.3851,-0.3385,-0.0465,0
2023-09-28,5.41,5.55,5.38,5.54,5.76,6.10,6.80,,,6.2625,0,5.6736,0,6314,11106,-0.3814,-0.3471,-0.0343,0
2023-09-29,5.58,5.64,5.41,5.57,5.70,6.06,6.75,,,6.2625,0,5.3100,1,12799,11174,-0.3718,-0.3521,-0.0198,0
2023-10-02,5.50,5.61,5.35,5.57,5.65,6.01,6.70,,,6.2625,0,5.3166,1,6815,11096,-0.3601,-0.3537,-0.0064,0
2023-10-03,5.54,5.69,5.51,5.56,5.59,5.97,6.65,,,6.2625,0,5.3231,1,6421,11049,-0.3476,-0.3525,0.0049,0
2023-10-04,5.56,5.61,5.45,5.57,5.56,5.93,6.60,,,6.2625,0,5.3377,1,6519,11000,-0.3330,-0.3486,0.0155,0
2023-10-05,5.53,5.55,5.38,5.52,5.54,5.88,6.56,,,6.1823,0,5.3518,1,6016,10974,-0.3218,-0.3432,0.0214,0
2023-10-06,5.47,5.68,5.47,5.55,5.54,5.83,6.51,,,6.1823,0,5.3654,1,9449,10976,-0.3070,-0.3360,0.0290,0
2023-10-09,5.49,5.50,5.27,5.29,5.51,5.77,6.47,,,6.1088,0,5.6900,0,6532,10895,-0.3126,-0.3313,0.0187,0
2023-10-10,5.28,5.49,5.25,5.32,5.50,5.71,6.42,,,6.0934,0,5.6816,0,5556,10792,-0.3110,-0.3272,0.0162,0
2023-10-11,5.35,5.41,5.07,5.12,5.46,5.64,6.37,,,5.9939,0,5.6643,0,4007,10755,-0.3222,-0.3262,0.0040,0
2023-10-12,5.14,5.18,4.94,4.95,5.40,5.58,6.33,,,5.8100,0,5.6287,0,9289,10773,-0.3409,-0.3292,-0.0117,0
2023-10-13,4.99,4.99,4.86,4.93,5.34,5.52,6.28,,,5.6390,0,5.5736,0,4748,10691,-0.3532,-0.3340,-0.0192,0
2023-10-16,4.99,5.07,4.86,5.02,5.28,5.47,6.24,,,5.6390,0,5.5022,0,7293,10671,-0.3516,-0.3375,-0.0141,0
2023-10-17,5.00,5.46,4.96,5.32,5.26,5.43,6.20,,,5.6390,0,4.8600,1,6674,10612,-0.3225,-0.3345,0.0120,0
2023-10-18,5.28,5.36,5.12,5.24,5.23,5.39,6.16,,,5.6390,0,4.8600,1,5875,10391,-0.3024,-0.3281,0.0257,0
2023-10-19,5.24,5.24,5.00,5.02,5.18,5.36,6.10,,,5.6390,0,4.8720,1,3828,9616,-0.3007,-0.3226,0.0219,0
2023-10-20,5.02,5.13,4.95,5.10,5.13,5.33,6.06,,,5.6390,0,4.8838,1,5056,9324,-0.2896,-0.3160,0.0264,0
2023-10-23,5.05,5.13,4.96,4.98,5.10,5.30,6.01,,,5.6390,0,4.8953,1,3932,8898,-0.2871,-0.3102,0.0231,0
2023-10-24,5.05,5.16,4.94,5.09,5.08,5.29,5.97,,,5.6390,0,4.9066,1,7171,8772,-0.2732,-0.3028,0.0296,0
2023-10-25,5.08,5.11,4.95,4.99,5.06,5.26,5.92,,,5.6390,0,4.9176,1,4754,8367,-0.2671,-0.2957,0.0286,0
2023-10-26,4.98,5.05,4.74,4.85,5.05,5.23,5.87,,,5.6125,0,5.4600,0,6619,8238,-0.2705,-0.2906,0.0202,0
2023-10-27,4.90,4.91,4.79,4.85,5.05,5.19,5.82,,,5.5324,0,5.4456,0,8453,8201,-0.2700,-0.2865,0.0165,0
2023-10-30,4.85,4.92,4.72,4.90,5.03,5.16,5.77,,,5.4928,0,5.4315,0,7324,8211,-0.2626,-0.2817,0.0191,0
2023-10-31,4.93,5.20,4.84,5.12,5.01,5.14,5.74,,,5.4928,0,5.4030,0,5472,8189,-0.2363,-0.2726,0.0364,0
2023-11-01,5.08,5.09,4.84,4.98,4.99,5.11,5.70,,,5.4928,0,5.3757,0,5116,8092,-0.2241,-0.2629,0.0388,0
2023-11-02,5.73,5.76,5.30,5.51,5.04,5.11,5.67,,,4.6450,1,4.7200,1,13649,8253,-0.1697,-0.2443,0.0746,0
2023-11-03,5.58,5.93,5.58,5.73,5.10,5.12,5.66,,,4.8325,1,4.7408,1,8872,8208,-0.1077,-0.2170,0.1093,0
2023-11-06,5.80,5.90,5.65,5.71,5.17,5.14,5.65,,,4.8698,1,4.7884,1,8985,8241,-0.0594,-0.1854,0.1261,0
2023-11-07,6.25,6.88,6.03,6.62,5.33,5.20,5.65,,,5.2893,1,4.8340,1,19176,8508,0.0517,-0.1380,0.1897,0
2023-11-08,6.82,7.59,6.70,7.05,5.53,5.30,5.67,,,5.8074,1,4.9568,1,24679,8870,0.1725,-0.0759,0.2484,0
2023-11-09,7.07,7.09,6.70,6.75,5.72,5.39,5.67,,,5.8074,1,5.1674,1,14547,9021,0.2412,-0.0125,0.2537,0
2023-11-10,6.69,7.14,6.61,7.11,5.95,5.50,5.69,,,5.8074,1,5.3613,1,18940,9224,0.3210,0.0542,0.2668,0
2023-11-13,7.06,7.16,6.80,6.80,6.14,5.59,5.70,,,5.8074,1,5.5396,1,10123,9252,0.3551,0.1144,0.2407,0
2023-11-14,7.09,7.28,7.02,7.19,6.35,5.68,5.71,,,5.8154,1,5.7036,1,12234,8800,0.4089,0.1733,0.2356,0
2023-11-15,7.20,7.64,7.19,7.25,6.57,5.78,5.73,,,6.0789,1,5.8545,1,49563,9602,0.4512,0.2289,0.2223,0
2023-11-16,7.24,7.25,6.93,7.15,6.74,5.89,5.74,,,6.0789,1,6.0331,1,24954,9829,0.4712,0.2773,0.1939,0
2023-11-17,7.24,7.72,7.16,7.61,6.92,6.01,5.76,,,6.1004,1,6.1937,1,14252,9954,0.5182,0.3255,0.1927,0
2023-11-20,7.60,8.38,7.57,8.28,7.18,6.18,5.80,,,6.5303,1,6.3769,1,21561,10238,0.6026,0.3809,0.2217,0
2023-11-21,8.00,8.23,7.93,8.12,7.33,6.33,5.83,,,6.6700,1,6.6573,1,28623,10686,0.6490,0.4345,0.2145,0
2023-11-22,8.25,8.58,8.14,8.50,7.48,6.50,5.87,,,6.9553,1,6.8985,1,18715,10907,0.7084,0.4893,0.2191,0
2023-11-24,8.47,8.60,8.47,8.58,7.66,6.69,5.92,,,7.2318,1,7.1675,1,5793,10733,0.7531,0.5421,0.2111,0
2023-11-27,8.59,8.75,8.49,8.50,7.80,6.87,5.97,,,7.3691,1,7.4254,1,11361,10375,0.7733,0.5883,0.1850,0
2023-11-28,8.45,8.64,8.15,8.50,7.97,7.05,6.01,,,7.3691,1,7.6903,1,12125,10430,0.7802,0.6267,0.1535,0
2023-11-29,8.58,8.62,8.37,8.46,8.09,7.22,6.06,,,7.3691,1,7.9022,1,11322,10510,0.7736,0.6561,0.1175,0
