Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,13.20,13.41,13.10,13.33,,,,,,,0,13.1018,1,2847,,,,,0
2023-07-18,13.40,13.52,13.12,13.31,,,,,,,0,13.1018,1,1878,,,,,0
2023-07-19,13.37,13.55,13.08,13.10,,,,,,,0,13.5150,0,1505,,,,,0
2023-07-20,13.06,13.27,12.74,12.95,,,,,,,0,13.5526,0,1822,,,,,0
2023-07-21,13.11,13.43,13.03,13.13,,,,,,,0,13.5526,0,2505,,,,,0
2023-07-24,13.11,13.18,12.86,12.92,,,,,,,0,13.5199,0,831,,,,,0
2023-07-25,12.90,13.21,12.90,13.05,,,,,,,0,13.4885,0,1054,,,,,0
2023-07-26,12.97,13.36,12.89,13.28,,,,,,,0,13.4584,0,1295,,,,,0
2023-07-27,13.38,13.44,13.01,13.05,,,,,,,0,12.7355,1,1179,,,,,0
2023-07-28,13.18,13.26,12.76,12.80,13.09,,,,,14.2748,0,12.7496,1,2261,,,,,0
2023-07-31,12.85,13.12,12.74,12.90,13.05,,,,,14.1815,0,13.4399,0,2541,,,,,0
2023-08-01,12.87,13.44,12.87,13.23,13.04,,,,,14.1815,0,12.7449,1,2023,,,,,0
2023-08-02,13.04,13.51,12.73,12.89,13.02,,,,,14.1815,0,13.4399,0,1376,,,,,0
2023-08-03,12.81,12.81,12.10,12.55,12.98,,,,,13.9505,0,13.5056,0,1694,,,,,0
2023-08-04,12.50,12.90,12.43,12.59,12.93,,,,,13.9505,0,13.5056,0,3276,,,,,0
2023-08-07,12.65,12.80,12.21,12.78,12.91,,,,,13.9505,0,13.4493,0,1965,,,,,0
2023-08-08,12.59,12.88,12.46,12.69,12.88,,,,,13.9505,0,13.3952,0,3128,,,,,0
2023-08-09,12.72,12.81,12.43,12.52,12.80,,,,,13.9505,0,13.3433,0,2355,,,,,0
2023-08-10,9.36,10.51,9.17,10.09,12.50,,,,,12.1540,0,13.2934,0,10835,,,,,0
2023-08-11,10.00,10.25,10.00,10.09,12.23,12.66,,,,12.1540,0,13.0458,0,3539,,,,,0
2023-08-14,10.14,10.94,10.13,10.74,12.02,12.53,,,,12.1540,0,12.8130,0,4069,,,,,0
2023-08-15,10.69,10.94,10.55,10.58,11.75,12.40,,,,12.1540,0,12.5942,0,3220,,,,,0
