Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,118.14,121.85,117.26,119.50,,,,,,,0,117.2600,1,2245308,,,,,0
2023-07-14,119.25,121.42,119.04,120.63,,,,,,,0,117.2600,1,1383216,,,,,0
2023-07-17,120.49,125.39,120.49,125.03,,,,,,,0,117.2600,1,1451365,,,,,0
2023-07-18,124.97,125.11,122.79,124.17,,,,,,,0,117.5850,1,866930,,,,,0
2023-07-19,124.44,125.13,122.54,123.00,,,,,,,0,117.8970,1,793350,,,,,0
2023-07-20,122.00,123.76,120.60,121.03,,,,,,,0,118.1965,1,722108,,,,,0
2023-07-21,122.25,123.19,121.53,121.91,,,,,,,0,118.4841,1,1791809,,,,,0
2023-07-24,121.91,123.00,119.87,121.67,,,,,,,0,118.7601,1,609006,,,,,0
2023-07-25,122.50,123.43,121.36,121.46,,,,,,,0,119.0251,1,558596,,,,,0
2023-07-26,119.86,124.32,119.43,122.50,122.09,,,,,131.5370,0,119.2795,1,889656,,,,,0
2023-07-27,124.00,124.92,121.63,122.64,122.40,,,,,131.5370,0,119.4350,1,756934,,,,,0
2023-07-28,123.75,124.64,122.40,124.22,122.76,,,,,131.5370,0,119.4350,1,520333,,,,,0
2023-07-31,125.00,126.67,123.86,124.98,122.76,,,,,131.5370,0,119.6730,1,569759,,,,,0
2023-08-01,124.94,127.01,124.00,126.58,123.00,,,,,131.5370,0,120.0928,1,587911,,,,,0
2023-08-02,124.53,124.70,117.02,118.08,122.51,,,,,131.5370,0,127.0150,0,1488934,,,,,0
2023-08-03,117.40,119.38,116.90,118.72,122.28,,,,,128.9654,0,127.0150,0,904423,,,,,0
2023-08-04,112.25,112.75,106.68,109.16,121.00,,,,,123.0703,0,126.6106,0,3340449,,,,,0
2023-08-07,109.54,109.72,106.65,107.62,119.60,,,,,121.1320,0,125.4145,0,1903604,,,,,0
2023-08-08,105.43,106.45,104.01,105.74,118.03,,,,,117.9631,0,123.9133,0,1608475,,,,,0
2023-08-09,105.68,106.89,105.05,106.74,116.45,119.27,,,,117.9631,0,121.9230,0,843868,,,,,0
2023-08-10,108.17,109.21,106.45,107.03,114.89,118.65,,,,117.9631,0,120.1317,0,959845,,,,,0
2023-08-11,106.42,110.22,106.42,108.98,113.36,118.06,,,,117.9631,0,118.5195,0,875153,,,,,0
2023-08-14,109.22,110.89,107.75,109.67,111.83,117.30,,,,117.9631,0,117.0686,0,902167,,,,,0
2023-08-15,109.25,109.77,107.48,107.83,109.96,116.48,,,,117.9631,0,115.7627,0,645470,,,,,0
