Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,26.72,26.91,26.26,26.85,,,,,,,0,26.2600,1,13707,,,,,0
2023-07-17,26.64,27.21,26.59,26.63,,,,,,,0,26.2600,1,16050,,,,,0
2023-07-18,26.70,27.62,26.70,27.17,,,,,,,0,26.2600,1,14196,,,,,0
2023-07-19,27.41,27.97,27.26,27.97,,,,,,,0,26.3144,1,15501,,,,,0
2023-07-20,28.28,28.75,28.00,28.70,,,,,,,0,26.4137,1,11483,,,,,0
2023-07-21,28.86,29.50,28.64,29.37,,,,,,,0,26.6006,1,15622,,,,,0
2023-07-24,29.48,30.65,29.30,30.52,,,,,,,0,26.8906,1,17314,,,,,0
2023-07-25,30.21,30.80,30.02,30.16,,,,,,,0,27.3417,1,17475,,,,,0
2023-07-26,30.00,30.83,29.78,30.63,,,,,,,0,27.8259,1,15649,,,,,0
2023-07-27,30.70,31.02,30.44,30.54,28.85,,,,,33.2680,0,28.3065,1,12613,,,,,0
2023-07-28,30.59,31.12,30.45,31.07,29.28,,,,,33.2680,0,28.7950,1,11154,,,,,0
2023-07-31,31.25,31.59,30.98,31.48,29.76,,,,,33.2680,0,29.2600,1,20449,,,,,0
2023-08-01,31.32,31.91,31.22,31.69,30.21,,,,,33.2680,0,29.7260,1,18361,,,,,0
2023-08-02,31.65,32.25,31.35,31.75,30.59,,,,,33.2680,0,30.1628,1,22482,,,,,0
2023-08-03,31.21,32.30,31.00,32.02,30.92,,,,,33.2680,0,30.5802,1,25530,,,,,0
2023-08-04,32.23,32.60,31.85,32.23,31.21,,,,,33.2680,0,30.9242,1,27537,,,,,0
2023-08-07,32.23,32.70,32.15,32.62,31.42,,,,,33.2680,0,31.0000,1,20117,,,,,0
2023-08-08,32.89,35.15,32.73,35.06,31.91,,,,,30.9806,1,31.3400,1,50322,,,,,0
2023-08-09,35.32,36.41,34.83,36.15,32.46,,,,,32.4826,1,32.1020,1,57457,,,,,0
2023-08-10,35.93,37.10,35.46,36.24,33.03,30.94,,,,32.9643,1,32.7300,1,40864,,,,,0
2023-08-11,36.78,37.49,36.66,37.02,33.63,31.45,,,,33.7159,1,33.6040,1,49696,,,,,0
2023-08-14,36.69,36.69,34.31,35.29,34.01,31.88,,,,33.7159,1,37.4900,0,63144,,,,,0
2023-08-15,34.83,34.84,34.23,34.69,34.31,32.26,,,,33.7159,1,37.4900,0,36771,,,,,0
2023-08-16,34.65,35.22,34.13,34.25,34.56,32.57,,,,33.7159,1,37.3596,0,28869,,,,,0
2023-08-17,34.81,35.02,34.12,34.14,34.77,32.85,,,,33.7159,1,37.1658,0,26895,,,,,0
2023-08-18,33.79,35.14,33.60,35.08,35.05,33.13,,,,33.7159,1,36.9222,0,35129,,,,,0
2023-08-21,35.11,35.31,34.52,34.89,35.28,33.35,,,,33.7159,1,36.5899,0,19559,,,,,0
2023-08-22,34.98,35.41,34.75,35.28,35.30,33.61,,,,33.7159,1,36.2909,0,27074,,,,,0
2023-08-23,34.92,36.10,34.37,35.82,35.27,33.87,,,,33.7159,1,33.6000,1,48866,,,,,0
2023-08-24,35.68,36.19,35.44,36.03,35.25,34.14,,,,33.7159,1,33.6500,1,31811,,,,,0
2023-08-25,36.06,36.77,35.64,36.52,35.20,34.41,,,,33.7159,1,33.7516,1,30542,,,,,0
2023-08-28,36.37,36.53,35.70,35.79,35.25,34.63,,,,33.7159,1,33.9327,1,28170,,,,,0
2023-08-29,35.99,35.99,35.18,35.29,35.31,34.81,,,,33.7159,1,34.1029,1,30233,,,,,0
2023-08-30,35.21,35.51,34.68,35.02,35.39,34.97,,,,33.7159,1,34.2630,1,31788,,1.6051,1.9705,-0.3654,0
2023-08-31,35.16,35.23,33.48,34.35,35.41,35.09,,,,33.7159,1,36.7700,0,53376,,1.4188,1.8602,-0.4414,0
