Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,334.28,342.96,333.41,340.75,,,,,,,0,333.4128,1,178147,,,,,0
2023-07-14,340.75,346.48,338.74,345.97,,,,,,,0,333.4128,1,251773,,,,,0
2023-07-17,344.91,351.58,344.81,349.85,,,,,,,0,333.4128,1,130170,,,,,0
2023-07-18,350.05,355.91,349.32,354.49,,,,,,,0,334.1396,1,182202,,,,,0
2023-07-19,355.77,359.41,351.72,356.16,,,,,,,0,335.4461,1,138915,,,,,0
2023-07-20,352.94,354.70,347.16,348.50,,,,,,,0,337.3631,1,109000,,,,,0
2023-07-21,352.78,352.93,340.93,341.26,,,,,,,0,339.1268,1,178522,,,,,0
2023-07-24,342.46,346.45,339.32,342.04,,,,,,,0,359.4086,0,142603,,,,,0
2023-07-25,342.13,345.30,341.47,344.81,,,,,,,0,359.0069,0,84881,,,,,0
2023-07-26,343.04,351.64,343.04,348.88,347.27,,,,,371.0060,0,358.6132,0,127484,,,,,0
2023-07-27,352.76,361.55,350.16,351.89,348.39,,,,,371.0060,0,339.3234,1,219940,,,,,0
2023-07-28,357.18,361.64,353.83,359.08,349.70,,,,,371.0060,0,339.7679,1,161385,,,,,0
2023-07-31,360.98,364.52,357.86,359.37,350.65,,,,,371.0060,0,340.6428,1,153957,,,,,0
2023-08-01,357.58,363.64,355.15,361.34,351.33,,,,,371.0060,0,342.0752,1,276194,,,,,0
2023-08-02,324.03,324.03,290.16,291.99,344.92,,,,,350.9589,0,364.5151,0,719268,,,,,0
2023-08-03,292.13,295.41,280.67,289.39,339.01,,,,,331.9390,0,363.6381,0,542260,,,,,0
2023-08-04,289.27,289.76,281.13,283.02,333.18,,,,,327.5440,0,360.3192,0,369734,,,,,0
2023-08-07,282.75,288.03,281.11,285.65,327.54,,,,,324.5368,0,357.1331,0,196911,,,,,0
2023-08-08,282.81,284.56,276.29,284.14,321.47,,,,,319.2027,0,354.0744,0,191030,,,,,0
2023-08-09,282.62,285.65,279.10,279.57,314.54,330.91,,,,319.2027,0,349.4073,0,127633,,,,,0
2023-08-10,280.82,286.51,279.92,284.09,307.76,328.07,,,,318.4737,0,345.0203,0,177909,,,,,0
2023-08-11,280.90,287.74,280.90,284.56,300.31,325.00,,,,318.1063,0,340.8965,0,161593,,,,,0
2023-08-14,281.59,287.57,280.86,286.76,293.05,321.85,,,,316.6319,0,337.0202,0,210860,,,,,0
2023-08-15,284.31,285.97,283.07,284.53,285.37,318.35,,,,314.8022,0,333.3764,0,160870,,,,,0
2023-08-16,283.02,284.56,281.11,283.40,284.51,314.71,,,,311.1278,0,329.9512,0,137844,,,,,0
2023-08-17,282.61,283.39,273.03,273.26,282.90,310.95,,,,306.7836,0,326.7316,0,188373,,,,,0
2023-08-18,270.96,276.38,269.60,274.16,282.01,307.60,,,,300.7376,0,322.4351,0,150703,,,,,0
2023-08-21,274.72,279.25,274.72,276.43,281.09,304.32,,,,300.7376,0,317.1511,0,136804,,,,,0
2023-08-22,277.78,280.97,277.47,279.56,280.63,301.05,,,,300.7376,0,312.3956,0,135713,,,,,0
2023-08-23,280.95,283.32,278.01,282.49,280.92,297.73,,,,300.7376,0,308.1155,0,84207,,,,,0
2023-08-24,284.42,284.52,276.78,277.33,280.25,294.01,,,,300.7376,0,304.2635,0,97839,,,,,0
2023-08-25,278.65,281.42,276.65,279.47,279.74,290.02,,,,300.7376,0,300.7967,0,89182,,,,,0
2023-08-28,279.67,283.56,278.80,280.69,279.13,286.09,,,,300.7376,0,297.6766,0,78816,,,,,0
2023-08-29,279.93,286.83,278.82,285.95,279.27,282.32,,,,300.7376,0,294.8685,0,115780,,-17.9723,-23.3771,5.4048,0
2023-08-30,285.82,289.15,284.95,286.56,279.59,282.05,,,,300.7376,0,292.3412,0,90154,,-16.3986,-21.9814,5.5828,0
2023-08-31,288.03,290.82,286.20,287.71,281.03,281.97,,,,300.7376,0,269.5954,1,142762,,-14.8869,-20.5625,5.6755,0
2023-09-01,289.90,291.77,286.86,288.64,282.48,282.25,,,,300.7376,0,270.0200,1,108407,,-13.4590,-19.1418,5.6828,0
2023-09-05,287.61,288.28,283.78,287.01,283.54,282.31,,,,300.7376,0,270.8900,1,97060,,-12.3168,-17.7768,5.4600,0
2023-09-06,285.92,287.40,283.22,286.05,284.19,282.41,,,,300.7376,0,271.7252,1,99287,,-11.3579,-16.4930,5.1351,0
2023-09-07,283.12,283.51,276.99,281.62,284.10,282.51,,,,299.9474,0,272.5270,1,169812,,-10.8306,-15.3605,4.5299,0
2023-09-08,281.70,283.42,276.89,277.44,284.11,282.18,,,,299.8392,0,273.2968,1,110796,,-10.6280,-14.4140,3.7860,0
2023-09-11,279.30,280.65,276.56,279.04,284.07,281.90,,,,297.5434,0,274.0357,1,110920,,-10.2205,-13.5753,3.3549,0
2023-09-12,276.44,279.44,276.16,277.27,283.73,281.43,,,,295.8279,0,274.7451,1,68847,,-9.9256,-12.8454,2.9198,0
2023-09-13,275.92,276.81,270.43,272.64,282.40,280.84,,,,291.8980,0,291.7704,0,154816,,-9.9504,-12.2664,2.3159,0
2023-09-14,273.88,276.16,272.35,273.56,281.10,280.34,,,,291.8474,0,291.3436,0,118275,,-9.7833,-11.7698,1.9864,0
2023-09-15,272.50,274.05,270.52,271.20,279.45,280.24,,,,289.1789,0,290.9253,0,237038,,-9.7293,-11.3617,1.6324,0
2023-09-18,269.65,271.43,267.78,269.42,277.53,280.00,,,,285.9085,0,290.5154,0,89953,,-9.7178,-11.0329,1.3151,0
2023-09-19,267.50,270.40,264.56,270.21,275.85,279.69,,,,283.9063,0,289.6058,0,103204,,-9.5349,-10.7333,1.1984,0
2023-09-20,271.42,272.43,261.79,261.99,273.44,278.82,,,,283.9063,0,288.1033,0,140361,,-9.9393,-10.5745,0.6352,0
