Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,5.18,5.27,5.14,5.23,,,,,,,0,5.1400,1,9621,,,,,0
2023-07-19,5.24,5.30,5.19,5.26,,,,,,,0,5.1400,1,10423,,,,,0
2023-07-20,5.22,5.25,5.17,5.20,,,,,,,0,5.1400,1,9746,,,,,0
2023-07-21,5.20,5.26,5.15,5.18,,,,,,,0,5.1432,1,10587,,,,,0
2023-07-24,5.16,5.31,5.16,5.26,,,,,,,0,5.1463,1,9448,,,,,0
2023-07-25,5.25,5.33,5.22,5.25,,,,,,,0,5.1500,1,7656,,,,,0
2023-07-26,5.23,5.34,5.22,5.28,,,,,,,0,5.1600,1,12183,,,,,0
2023-07-27,5.34,5.36,5.11,5.14,,,,,,,0,5.3400,0,9822,,,,,0
2023-07-28,5.25,5.27,5.19,5.25,,,,,,,0,5.3600,0,9224,,,,,0
2023-07-31,5.27,5.36,5.26,5.32,5.24,,,,,5.6995,0,5.3600,0,18538,,,,,0
2023-08-01,5.31,5.41,5.27,5.39,5.25,,,,,5.6995,0,5.1100,1,10783,,,,,0
2023-08-02,5.29,5.32,5.14,5.16,5.24,,,,,5.6586,0,5.1159,1,11340,,,,,0
2023-08-03,5.08,5.16,5.01,5.06,5.23,,,,,5.5157,0,5.4050,0,9485,,,,,0
2023-08-04,5.06,5.11,4.91,4.92,5.20,,,,,5.4536,0,5.3971,0,14084,,,,,0
2023-08-07,4.92,5.09,4.85,5.07,5.18,,,,,5.4435,0,5.3776,0,22175,,,,,0
2023-08-08,5.35,5.72,5.29,5.65,5.22,,,,,4.8838,1,4.8500,1,57861,,,,,0
2023-08-09,5.73,5.91,5.64,5.77,5.27,,,,,5.1359,1,4.8500,1,25723,,,,,0
2023-08-10,5.83,6.07,5.74,5.92,5.35,,,,,5.2286,1,4.8926,1,30338,,,,,0
