Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,2.32,2.32,2.22,2.23,,,,,,,0,2.3200,0,131,,,,,0
2023-07-17,2.26,2.28,2.10,2.12,,,,,,,0,2.3200,0,314,,,,,0
2023-07-18,2.10,2.19,2.06,2.09,,,,,,,0,2.3200,0,293,,,,,0
2023-07-19,2.07,2.10,2.01,2.05,,,,,,,0,2.3096,0,197,,,,,0
2023-07-20,2.05,2.09,2.03,2.05,,,,,,,0,2.2916,0,254,,,,,0
2023-07-21,2.07,2.10,2.03,2.05,,,,,,,0,2.2747,0,257,,,,,0
2023-07-24,2.10,2.13,2.03,2.05,,,,,,,0,2.2588,0,145,,,,,0
2023-07-25,2.05,2.09,1.98,1.99,,,,,,,0,2.2439,0,187,,,,,0
2023-07-26,2.01,2.05,1.97,2.00,,,,,,,0,2.2228,0,189,,,,,0
2023-07-27,2.02,2.03,1.97,1.98,2.06,,,,,2.2940,0,2.1975,0,157,,,,,0
2023-07-28,2.00,2.03,1.94,1.97,2.03,,,,,2.2766,0,2.1748,0,167,,,,,0
2023-07-31,2.00,2.00,1.91,1.92,2.01,,,,,2.2444,0,2.1466,0,267,,,,,0
2023-08-01,1.92,1.98,1.85,1.88,1.99,,,,,2.2145,0,2.1135,0,459,,,,,0
2023-08-02,1.87,1.88,1.78,1.80,1.97,,,,,2.1295,0,2.0713,0,484,,,,,0
2023-08-03,1.76,1.81,1.74,1.78,1.94,,,,,2.0656,0,2.0189,0,449,,,,,0
2023-08-04,1.80,1.90,1.80,1.90,1.93,,,,,2.0656,0,1.9631,0,397,,,,,0
2023-08-07,1.88,1.93,1.85,1.87,1.91,,,,,2.0656,0,1.7400,1,187,,,,,0
2023-08-08,1.88,1.90,1.84,1.85,1.89,,,,,2.0656,0,1.7438,1,288,,,,,0
2023-08-09,1.86,2.08,1.85,1.99,1.89,,,,,2.0656,0,1.7475,1,1002,,,,,0
2023-08-10,2.04,2.04,1.88,1.95,1.89,1.98,,,,2.0656,0,1.7608,1,466,,,,,0
2023-08-11,1.95,2.07,1.93,2.03,1.90,1.97,,,,2.0656,0,1.7736,1,261,,,,,0
2023-08-14,2.03,2.03,1.95,1.98,1.90,1.96,,,,2.0656,0,1.7858,1,222,,,,,0
2023-08-15,1.97,1.98,1.93,1.94,1.91,1.95,,,,2.0656,0,1.7976,1,155,,,,,0
2023-08-16,1.94,2.00,1.90,1.92,1.92,1.94,,,,2.0656,0,1.8089,1,223,,,,,0
2023-08-17,1.94,1.97,1.88,1.95,1.94,1.94,,,,2.0656,0,1.8198,1,161,,,,,0
2023-08-18,1.96,2.04,1.94,2.01,1.95,1.94,,,,2.0656,0,1.8302,1,203,,,,,0
2023-08-21,2.03,2.10,1.97,2.04,1.97,1.94,,,,2.0656,0,1.8402,1,331,,,,,0
2023-08-22,2.02,2.02,1.95,1.98,1.98,1.94,,,,2.0656,0,1.8557,1,226,,,,,0
2023-08-23,2.00,2.12,1.96,2.10,1.99,1.94,,,,1.7176,1,1.8704,1,290,,,,,0
2023-08-24,2.08,2.10,1.98,2.02,2.00,1.94,,,,1.7176,1,1.8904,1,234,,,,,0
2023-08-25,2.00,2.08,2.00,2.05,2.00,1.95,,,,1.7176,1,1.9087,1,181,,,,,0
2023-08-28,2.05,2.17,2.05,2.14,2.01,1.96,,,,1.7831,1,1.9256,1,251,,,,,0
2023-08-29,2.14,2.20,2.11,2.19,2.04,1.97,,,,1.8338,1,1.9501,1,270,,,,,0
2023-08-30,2.20,2.28,2.18,2.26,2.07,2.00,,,,1.9109,1,1.9801,1,251,,0.0449,0.0080,0.0370,0
2023-08-31,2.27,2.35,2.24,2.25,2.10,2.02,,,,1.9748,1,2.0221,1,238,,0.0550,0.0174,0.0376,0
2023-09-01,2.26,2.27,2.18,2.26,2.13,2.04,,,,1.9748,1,2.0745,1,381,,0.0630,0.0265,0.0365,0
2023-09-05,2.25,2.25,2.03,2.13,2.14,2.05,,,,1.9748,1,2.3500,0,486,,0.0582,0.0328,0.0254,0
2023-09-06,2.15,2.19,2.10,2.13,2.15,2.07,,,,1.9748,1,2.3436,0,195,,0.0538,0.0370,0.0168,0
2023-09-07,2.13,2.19,2.10,2.17,2.16,2.08,,,,1.9748,1,2.3373,0,164,,0.0529,0.0402,0.0127,0
2023-09-08,2.18,2.18,2.13,2.16,2.17,2.09,,,,1.9748,1,2.3312,0,133,,0.0508,0.0423,0.0085,0
2023-09-11,2.20,2.20,2.06,2.10,2.18,2.09,,,,1.9748,1,2.3252,0,289,,0.0438,0.0426,0.0012,0
2023-09-12,2.10,2.15,2.06,2.07,2.17,2.09,,,,1.9748,1,2.3193,0,206,,0.0354,0.0412,-0.0058,0
2023-09-13,2.07,2.11,2.01,2.01,2.15,2.10,,,,1.9748,1,2.3135,0,160,,0.0237,0.0377,-0.0140,0
2023-09-14,2.03,2.05,1.98,2.04,2.13,2.10,,,,1.9748,1,2.3013,0,161,,0.0166,0.0335,-0.0169,0
2023-09-15,2.05,2.14,1.99,2.12,2.12,2.11,,,,1.9748,1,2.2821,0,1036,,0.0172,0.0302,-0.0130,0
2023-09-18,2.10,2.10,1.98,2.00,2.09,2.11,,,,1.9748,1,2.2639,0,252,,0.0080,0.0258,-0.0178,0
2023-09-19,2.01,2.02,1.96,1.99,2.08,2.11,,,,1.9748,1,2.2469,0,173,,-0.0002,0.0206,-0.0208,0
2023-09-20,1.97,2.03,1.97,1.98,2.06,2.11,,,,1.9748,1,2.2239,0,154,,-0.0074,0.0150,-0.0224,0
2023-09-21,2.00,2.00,1.92,1.93,2.04,2.10,,,,2.2576,0,2.2028,0,203,,-0.0169,0.0086,-0.0255,0
2023-09-22,1.95,1.99,1.93,1.94,2.02,2.10,2.03,,,2.2458,0,2.1745,0,204,280,-0.0234,0.0022,-0.0256,0
2023-09-25,1.92,1.95,1.91,1.92,2.00,2.09,2.02,,,2.1992,0,2.1491,0,123,279,-0.0298,-0.0042,-0.0256,0
2023-09-26,1.90,1.94,1.88,1.90,1.98,2.08,2.02,,,2.1703,0,2.1204,0,189,277,-0.0361,-0.0106,-0.0255,0
2023-09-27,1.94,1.98,1.91,1.96,1.98,2.07,2.01,,,2.1703,0,2.0867,0,250,276,-0.0358,-0.0156,-0.0202,0
2023-09-28,1.94,1.96,1.90,1.93,1.97,2.05,2.01,,,2.1703,0,2.0578,0,184,276,-0.0375,-0.0200,-0.0175,0
2023-09-29,1.95,1.97,1.92,1.95,1.95,2.03,2.01,,,2.1703,0,2.0329,0,176,274,-0.0369,-0.0234,-0.0135,0
2023-10-02,1.92,1.92,1.85,1.86,1.94,2.01,2.01,,,2.1314,0,2.0115,0,209,273,-0.0432,-0.0273,-0.0158,0
2023-10-03,1.84,1.89,1.82,1.83,1.92,2.00,2.00,,,2.0977,0,1.9857,0,147,273,-0.0500,-0.0319,-0.0181,0
