Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,36.47,37.49,36.47,36.88,,,,,,,0,37.4875,0,71556,,,,,0
2023-07-14,36.48,36.54,35.75,36.15,,,,,,,0,37.4875,0,79828,,,,,0
2023-07-17,36.15,36.45,35.78,36.07,,,,,,,0,37.4875,0,63788,,,,,0
2023-07-18,36.28,37.44,36.21,36.96,,,,,,,0,37.4527,0,55308,,,,,0
2023-07-19,37.61,37.86,37.02,37.78,,,,,,,0,35.7481,1,71870,,,,,0
2023-07-20,38.41,38.79,37.97,38.71,,,,,,,0,35.7903,1,74666,,,,,0
2023-07-21,38.96,39.55,38.24,39.41,,,,,,,0,35.9104,1,107001,,,,,0
2023-07-24,39.78,41.89,39.60,41.18,,,,,,,0,36.1289,1,125579,,,,,0
2023-07-25,40.90,41.81,40.69,40.86,,,,,,,0,36.5898,1,93380,,,,,0
2023-07-26,40.65,42.26,40.43,41.94,38.59,,,,,45.2033,0,37.0139,1,97755,,,,,0
2023-07-27,41.97,42.47,41.57,41.68,39.07,,,,,45.2033,0,37.5386,1,98940,,,,,0
2023-07-28,41.99,42.98,41.75,42.84,39.74,,,,,45.2033,0,38.1304,1,61595,,,,,0
2023-07-31,42.94,43.45,42.75,42.98,40.43,,,,,45.2033,0,38.8090,1,78039,,,,,0
2023-08-01,42.79,43.74,42.63,43.57,41.09,,,,,45.2033,0,39.5513,1,77521,,,,,0
2023-08-02,43.44,44.02,42.41,42.95,41.61,,,,,45.2033,0,40.3050,1,97603,,,,,0
2023-08-03,40.77,42.19,38.79,41.16,41.86,,,,,45.0580,0,44.0192,0,170444,,,,,0
2023-08-04,42.06,42.40,40.72,40.98,42.01,,,,,45.0580,0,44.0192,0,122324,,,,,0
2023-08-07,41.29,42.71,41.29,42.01,42.10,,,,,45.0580,0,43.9147,0,85492,,,,,0
2023-08-08,41.22,42.36,40.53,42.24,42.23,,,,,45.0580,0,43.8122,0,83449,,,,,0
