Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,14.33,14.48,14.07,14.11,,,,,,,0,14.4752,0,35905,,,,,0
2023-07-20,14.02,14.04,13.77,13.82,,,,,,,0,14.4752,0,21369,,,,,0
2023-07-21,13.90,14.00,13.75,13.80,,,,,,,0,14.4752,0,12760,,,,,0
2023-07-24,13.78,13.90,13.65,13.84,,,,,,,0,14.4463,0,26430,,,,,0
2023-07-25,13.84,13.96,13.70,13.91,,,,,,,0,14.3986,0,30201,,,,,0
2023-07-26,13.91,14.30,13.91,14.11,,,,,,,0,14.3539,0,43624,,,,,0
2023-07-27,14.29,14.36,13.91,13.98,,,,,,,0,13.6528,1,36165,,,,,0
2023-07-28,14.57,15.58,14.53,15.05,,,,,,,0,13.6669,1,70052,,,,,0
2023-07-31,15.00,15.43,14.96,15.31,,,,,,,0,13.7436,1,45939,,,,,0
2023-08-01,15.15,15.23,14.74,15.04,14.30,,,,,16.4746,0,13.8173,1,28285,,,,,0
2023-08-02,14.77,14.96,14.59,14.94,14.38,,,,,16.2513,0,13.8880,1,26535,,,,,0
2023-08-03,14.59,14.64,14.10,14.35,14.43,,,,,15.9504,0,13.9559,1,54377,,,,,0
2023-08-04,14.35,14.66,14.17,14.23,14.48,,,,,15.9504,0,14.0210,1,26948,,,,,0
2023-08-07,14.29,14.68,14.16,14.65,14.56,,,,,15.9504,0,14.0836,1,25590,,,,,0
2023-08-08,14.37,14.82,14.17,14.74,14.64,,,,,15.9504,0,14.1436,1,22365,,,,,0
2023-08-09,14.75,14.95,14.61,14.80,14.71,,,,,15.9504,0,14.1581,1,17520,,,,,0
2023-08-10,14.94,15.01,14.57,14.61,14.77,,,,,15.9504,0,14.1680,1,23391,,,,,0
2023-08-11,14.55,14.69,14.23,14.43,14.71,,,,,15.9504,0,14.2247,1,16444,,,,,0
2023-08-14,14.28,14.49,14.20,14.47,14.63,,,,,15.7969,0,15.5849,0,12630,,,,,0
2023-08-15,14.20,14.63,14.20,14.47,14.57,14.43,,,,15.7969,0,15.5571,0,31464,,,,,0
2023-08-16,14.47,14.95,14.38,14.73,14.55,14.46,,,,15.7969,0,15.5299,0,39715,,,,,0
