Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,1.41,1.43,1.32,1.35,,,,,,,0,1.4300,0,1408,,,,,0
2023-07-21,1.36,1.39,1.27,1.34,,,,,,,0,1.4300,0,1544,,,,,0
2023-07-24,1.36,1.36,1.23,1.26,,,,,,,0,1.4300,0,1913,,,,,0
2023-07-25,1.26,1.30,1.24,1.25,,,,,,,0,1.4220,0,1078,,,,,0
2023-07-26,1.26,1.29,1.24,1.27,,,,,,,0,1.4143,0,950,,,,,0
2023-07-27,1.29,1.34,1.24,1.25,,,,,,,0,1.4069,0,877,,,,,0
2023-07-28,1.27,1.39,1.27,1.38,,,,,,,0,1.3999,0,1546,,,,,0
2023-07-31,1.40,1.44,1.37,1.39,,,,,,,0,1.2300,1,1408,,,,,0
2023-08-01,1.39,1.40,1.28,1.29,,,,,,,0,1.2342,1,1431,,,,,0
2023-08-02,1.27,1.29,1.19,1.20,1.30,,,,,1.5400,0,1.4400,0,1252,,,,,0
2023-08-03,1.20,1.21,1.11,1.12,1.28,,,,,1.4600,0,1.4350,0,1436,,,,,0
2023-08-04,1.10,1.16,1.09,1.11,1.25,,,,,1.4160,0,1.4220,0,1743,,,,,0
2023-08-07,1.11,1.15,1.06,1.14,1.24,,,,,1.3939,0,1.4021,0,1418,,,,,0
2023-08-08,1.14,1.19,1.11,1.16,1.23,,,,,1.3939,0,1.3747,0,799,,,,,0
2023-08-09,1.32,1.32,1.17,1.24,1.23,,,,,1.3939,0,1.3495,0,2064,,,,,0
2023-08-10,1.21,1.62,1.21,1.52,1.25,,,,,1.0188,1,1.0600,1,11411,,,,,0
2023-08-11,1.44,1.57,1.42,1.54,1.27,,,,,1.0934,1,1.0712,1,2864,,,,,0
2023-08-14,1.53,1.82,1.47,1.66,1.30,,,,,1.1785,1,1.0822,1,10635,,,,,0
2023-08-15,1.70,1.70,1.49,1.53,1.32,,,,,1.1785,1,1.1117,1,4027,,,,,0
2023-08-16,1.66,1.68,1.50,1.52,1.35,1.33,,,,1.1785,1,1.1400,1,2551,,,,,0
2023-08-17,1.57,1.77,1.53,1.72,1.41,1.34,,,,1.1785,1,1.1672,1,9637,,,,,0
2023-08-18,1.66,1.70,1.54,1.61,1.46,1.36,,,,1.1785,1,1.1933,1,4155,,,,,0
2023-08-21,1.62,1.65,1.55,1.61,1.51,1.38,,,,1.1785,1,1.2184,1,2055,,,,,0
2023-08-22,1.60,1.64,1.51,1.59,1.55,1.39,,,,1.1785,1,1.2425,1,2621,,,,,0
2023-08-23,1.60,1.72,1.59,1.68,1.60,1.41,,,,1.1796,1,1.2656,1,2715,,,,,0
2023-08-24,1.64,1.70,1.53,1.53,1.60,1.43,,,,1.1796,1,1.2877,1,3681,,,,,0
2023-08-25,1.53,1.78,1.53,1.73,1.62,1.44,,,,1.1796,1,1.3090,1,9433,,,,,0
2023-08-28,1.73,1.81,1.68,1.72,1.62,1.46,,,,1.2506,1,1.3295,1,3171,,,,,0
2023-08-29,1.74,1.85,1.72,1.84,1.66,1.49,,,,1.3010,1,1.3491,1,2510,,,,,0
2023-08-30,1.82,1.88,1.80,1.85,1.69,1.52,,,,1.3804,1,1.3791,1,1698,,,,,0
2023-08-31,1.86,1.87,1.74,1.75,1.69,1.55,,,,1.3804,1,1.4192,1,2493,,,,,0
2023-09-01,1.79,1.83,1.76,1.81,1.71,1.59,,,,1.3804,1,1.4561,1,1453,,,,,0
2023-09-05,1.82,1.83,1.64,1.64,1.71,1.61,,,,1.3804,1,1.4900,1,3173,,,,,0
2023-09-06,1.66,1.71,1.61,1.65,1.72,1.64,,,,1.3804,1,1.5212,1,1975,,0.1285,0.1512,-0.0227,0
2023-09-07,1.64,1.67,1.60,1.61,1.71,1.66,,,,1.3804,1,1.5499,1,1738,,0.1131,0.1436,-0.0304,0
2023-09-08,1.60,1.64,1.57,1.62,1.72,1.66,,,,1.3804,1,1.8800,0,1793,,0.1006,0.1350,-0.0343,0
2023-09-11,1.63,1.65,1.58,1.59,1.71,1.66,,,,1.3804,1,1.8738,0,1289,,0.0873,0.1254,-0.0382,0
2023-09-12,1.60,1.60,1.49,1.52,1.69,1.66,,,,1.3804,1,1.8677,0,2525,,0.0703,0.1144,-0.0442,0
2023-09-13,1.51,1.54,1.44,1.46,1.65,1.65,,,,1.3804,1,1.8526,0,973,,0.0513,0.1018,-0.0505,0
2023-09-14,1.48,1.51,1.44,1.48,1.61,1.65,,,,1.3804,1,1.8279,0,954,,0.0375,0.0889,-0.0514,0
2023-09-15,1.48,1.54,1.47,1.49,1.59,1.64,,,,1.3804,1,1.8046,0,1944,,0.0270,0.0766,-0.0495,0
2023-09-18,1.49,1.49,1.41,1.44,1.55,1.63,,,,1.3804,1,1.7827,0,971,,0.0145,0.0641,-0.0496,0
2023-09-19,1.45,1.45,1.24,1.32,1.52,1.62,,,,1.6982,0,1.7529,0,2996,,-0.0050,0.0503,-0.0553,0
2023-09-20,1.30,1.49,1.30,1.40,1.49,1.61,,,,1.6982,0,1.7016,0,2134,,-0.0138,0.0375,-0.0513,0
2023-09-21,1.36,1.42,1.34,1.40,1.47,1.59,,,,1.6982,0,1.6554,0,1148,,-0.0206,0.0259,-0.0465,0
2023-09-22,1.40,1.45,1.38,1.40,1.45,1.59,,,,1.6982,0,1.6139,0,1050,,-0.0257,0.0156,-0.0413,0
2023-09-25,1.37,1.37,1.27,1.34,1.43,1.57,,,,1.6706,0,1.5765,0,1547,,-0.0342,0.0056,-0.0398,0
2023-09-26,1.37,1.50,1.37,1.40,1.41,1.55,,,,1.6706,0,1.5429,0,1488,,-0.0356,-0.0026,-0.0330,0
2023-09-27,1.44,1.48,1.40,1.43,1.41,1.53,,,,1.6706,0,1.5126,0,984,,-0.0340,-0.0089,-0.0251,0
2023-09-28,1.44,1.44,1.38,1.42,1.40,1.51,1.47,,,1.6706,0,1.5000,0,956,2552,-0.0331,-0.0137,-0.0194,0
2023-09-29,1.44,1.46,1.39,1.42,1.40,1.49,1.47,,,1.6706,0,1.4800,0,2065,2566,-0.0320,-0.0174,-0.0146,0
2023-10-02,1.39,1.43,1.29,1.29,1.38,1.47,1.47,,,1.6706,0,1.4600,0,1200,2559,-0.0412,-0.0222,-0.0190,0
2023-10-03,1.30,1.32,1.24,1.30,1.38,1.45,1.47,,,1.6024,0,1.4600,0,1068,2542,-0.0471,-0.0272,-0.0200,0
2023-10-04,1.30,1.32,1.27,1.31,1.37,1.43,1.47,,,1.6001,0,1.4380,0,744,2535,-0.0504,-0.0318,-0.0186,0
2023-10-05,1.31,1.38,1.30,1.37,1.37,1.42,1.48,,,1.6001,0,1.4182,0,963,2535,-0.0476,-0.0350,-0.0127,0
2023-10-06,1.35,1.37,1.31,1.36,1.36,1.41,1.48,,,1.6001,0,1.4004,0,966,2537,-0.0457,-0.0371,-0.0086,0
2023-10-09,1.31,1.33,1.21,1.23,1.35,1.39,1.47,,,1.5731,0,1.3843,0,987,2526,-0.0541,-0.0405,-0.0136,0
2023-10-10,1.24,1.29,1.16,1.17,1.33,1.37,1.47,,,1.5368,0,1.3700,0,1228,2522,-0.0648,-0.0454,-0.0194,0
