Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,15.55,15.70,15.06,15.65,,,,,,,0,15.0600,1,603,,,,,0
2023-07-14,15.50,16.07,15.45,15.61,,,,,,,0,15.0600,1,624,,,,,0
2023-07-17,15.97,16.00,15.32,15.35,,,,,,,0,15.0600,1,1005,,,,,0
2023-07-18,15.90,16.13,14.05,14.68,,,,,,,0,16.0700,0,1398,,,,,0
2023-07-19,14.35,17.55,14.35,15.77,,,,,,,0,14.0490,1,1484,,,,,0
2023-07-20,15.95,16.60,15.02,15.93,,,,,,,0,14.0490,1,495,,,,,0
2023-07-21,16.30,16.85,16.15,16.53,,,,,,,0,14.1190,1,215,,,,,0
2023-07-24,16.40,16.81,15.95,16.26,,,,,,,0,14.1876,1,818,,,,,0
2023-07-25,16.26,18.50,16.26,18.50,,,,,,,0,14.2549,1,981,,,,,0
2023-07-26,18.47,18.47,15.60,17.27,16.16,,,,,21.7510,0,14.4247,1,1252,,,,,0
2023-07-27,17.88,18.80,16.10,16.76,16.27,,,,,21.7510,0,14.5877,1,885,,,,,0
2023-07-28,16.54,17.33,16.54,16.91,16.40,,,,,21.7210,0,14.8404,1,991,,,,,0
2023-07-31,16.39,17.47,16.39,17.00,16.56,,,,,21.5574,0,15.0780,1,2327,,,,,0
2023-08-01,17.10,17.98,16.85,17.05,16.80,,,,,21.5574,0,15.3013,1,1766,,,,,0
2023-08-02,17.01,17.44,16.90,17.03,16.92,,,,,21.3873,0,15.5113,1,400,,,,,0
2023-08-03,17.38,17.94,17.20,17.71,17.10,,,,,21.3873,0,15.7086,1,501,,,,,0
2023-08-04,17.70,19.08,17.12,18.82,17.33,,,,,21.3873,0,15.8941,1,1067,,,,,0
2023-08-07,18.34,18.71,17.11,17.52,17.46,,,,,21.3873,0,16.1489,1,937,,,,,0
2023-08-08,17.78,18.55,17.41,18.08,17.41,,,,,21.3873,0,16.3834,1,671,,,,,0
2023-08-09,17.86,18.46,17.00,17.25,17.41,16.78,,,,21.3873,0,16.5991,1,4264,,,,,0
2023-08-10,17.39,18.30,16.52,18.30,17.57,16.92,,,,21.3873,0,19.0800,0,1105,,,,,0
2023-08-11,17.99,18.63,17.92,18.56,17.73,17.06,,,,21.3873,0,19.0288,0,291,,,,,0
2023-08-14,18.20,19.84,18.02,18.42,17.87,17.22,,,,21.3873,0,16.5200,1,678,,,,,0
2023-08-15,21.00,26.86,19.50,20.00,18.17,17.48,,,,21.3873,0,16.5864,1,4958,,,,,0
2023-08-16,21.17,21.48,20.00,20.10,18.48,17.70,,,,21.3873,0,16.9973,1,1580,,,,,0
2023-08-17,20.00,20.56,18.04,19.32,18.64,17.87,,,,21.3873,0,17.3919,1,713,,,,,0
2023-08-18,18.75,19.42,16.93,18.28,18.58,17.96,,,,21.3873,0,26.8600,0,495,,,,,0
2023-08-21,18.28,20.47,18.28,20.00,18.83,18.14,,,,21.3873,0,26.6614,0,680,,,,,0
2023-08-22,20.11,20.49,19.50,20.00,19.02,18.22,,,,21.3873,0,26.4668,0,776,,,,,0
2023-08-23,20.14,20.44,19.08,20.00,19.30,18.36,,,,21.3873,0,26.2760,0,794,,,,,0
2023-08-24,19.89,20.10,18.67,18.67,19.34,18.45,,,,21.3873,0,26.0891,0,388,,,,,0
2023-08-25,18.46,19.31,18.25,19.27,19.41,18.57,,,,21.3873,0,25.9059,0,214,,,,,0
2023-08-28,18.61,19.57,18.61,18.77,19.44,18.66,,,,21.3873,0,25.7264,0,899,,,,,0
2023-08-29,19.06,19.76,18.80,19.40,19.38,18.78,,,,21.3873,0,25.5505,0,341,,0.8501,1.0580,-0.2079,0
2023-08-30,19.37,20.00,19.11,19.91,19.36,18.92,,,,21.3873,0,25.3781,0,279,,0.8537,1.0172,-0.1635,0
2023-08-31,19.64,20.60,19.17,20.50,19.48,19.06,,,,21.3873,0,25.2091,0,664,,0.8938,0.9925,-0.0987,0
2023-09-01,20.64,21.54,20.20,21.32,19.78,19.18,,,,21.3873,0,25.0435,0,1682,,0.9805,0.9901,-0.0096,0
2023-09-05,20.96,21.46,20.22,21.00,19.88,19.36,,,,21.3873,0,24.8813,0,2692,,1.0117,0.9944,0.0173,0
2023-09-06,20.66,23.66,20.66,21.00,19.98,19.50,,,,21.3873,0,24.7222,0,2331,,1.0246,1.0005,0.0242,0
2023-09-07,20.67,21.30,18.51,19.00,19.88,19.59,,,,21.3873,0,24.5664,0,1298,,0.8635,0.9731,-0.1095,0
2023-09-08,19.37,21.69,19.24,21.22,20.14,19.74,,,,21.3873,0,24.4137,0,656,,0.9046,0.9594,-0.0548,0
2023-09-11,20.91,20.91,19.04,19.60,20.17,19.79,,,,21.3873,0,24.2640,0,710,,0.7972,0.9269,-0.1298,0
2023-09-12,19.64,20.27,19.25,19.85,20.28,19.86,,,,21.3873,0,24.1173,0,1372,,0.7239,0.8863,-0.1624,0
2023-09-13,19.51,20.61,19.26,20.61,20.40,19.89,,,,21.3873,0,23.9736,0,264,,0.7189,0.8529,-0.1340,0
2023-09-14,20.39,21.11,20.13,20.62,20.47,19.92,,,,21.3873,0,23.8327,0,235,,0.7075,0.8238,-0.1162,0
2023-09-15,20.56,20.95,20.21,20.25,20.45,19.96,,,,21.3873,0,23.6946,0,456,,0.6611,0.7912,-0.1302,0
2023-09-18,20.05,20.47,18.34,18.34,20.15,19.97,,,,21.3873,0,23.5593,0,559,,0.4648,0.7260,-0.2612,0
2023-09-19,18.40,21.97,18.40,21.40,20.19,20.04,,,,17.1603,1,23.4268,0,1147,,0.5498,0.6907,-0.1409,0
