Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,9.43,9.57,9.26,9.26,,,,,,,0,9.5666,0,61557,,,,,0
2023-07-18,9.24,9.51,9.21,9.45,,,,,,,0,9.5666,0,41042,,,,,0
2023-07-19,9.53,9.58,9.46,9.55,,,,,,,0,9.2134,1,28167,,,,,0
2023-07-20,9.52,9.56,9.26,9.33,,,,,,,0,9.2134,1,31995,,,,,0
2023-07-21,9.36,9.42,9.25,9.26,,,,,,,0,9.2207,1,25129,,,,,0
2023-07-24,9.28,9.33,9.11,9.21,,,,,,,0,9.5822,0,28330,,,,,0
2023-07-25,9.21,9.24,9.07,9.17,,,,,,,0,9.5728,0,36235,,,,,0
2023-07-26,9.11,9.31,9.03,9.03,,,,,,,0,9.5528,0,33882,,,,,0
2023-07-27,9.14,9.16,8.89,8.92,,,,,,,0,9.5213,0,29250,,,,,0
2023-07-28,9.05,9.45,9.04,9.36,9.26,,,,,10.0509,0,9.4706,0,36316,,,,,0
2023-07-31,9.36,9.69,9.34,9.67,9.30,,,,,10.0509,0,8.8871,1,35595,,,,,0
2023-08-01,9.56,9.64,9.38,9.58,9.31,,,,,10.0509,0,8.9032,1,33959,,,,,0
2023-08-02,9.38,9.48,9.21,9.46,9.30,,,,,10.0509,0,8.9190,1,36797,,,,,0
2023-08-03,9.12,9.27,8.58,9.07,9.27,,,,,9.9593,0,9.6921,0,93801,,,,,0
2023-08-04,9.15,9.38,8.88,9.12,9.26,,,,,9.9593,0,9.6699,0,69904,,,,,0
2023-08-07,9.10,9.46,9.04,9.40,9.28,,,,,9.9593,0,9.6482,0,58888,,,,,0
2023-08-08,9.21,9.55,9.11,9.55,9.32,,,,,9.9593,0,9.6268,0,47822,,,,,0
2023-08-09,9.54,9.73,9.51,9.64,9.38,,,,,9.9593,0,8.5821,1,92749,,,,,0
2023-08-10,9.68,9.75,9.45,9.48,9.43,,,,,9.9593,0,8.6051,1,63147,,,,,0
2023-08-11,9.40,9.44,9.11,9.23,9.42,9.34,,,,9.9593,0,8.6508,1,44799,,,,,0
2023-08-14,9.16,9.26,9.12,9.16,9.37,9.33,,,,9.9593,0,8.6948,1,47069,,,,,0
2023-08-15,9.05,9.22,8.97,9.09,9.32,9.31,,,,9.9593,0,8.7369,1,38490,,,,,0
2023-08-16,9.07,9.22,9.07,9.12,9.29,9.29,,,,9.9593,0,8.7774,1,25462,,,,,0
2023-08-17,9.18,9.21,8.97,8.97,9.28,9.27,,,,9.9593,0,8.8163,1,26120,,,,,0
2023-08-18,8.87,9.18,8.82,9.12,9.28,9.27,,,,9.9173,0,9.7489,0,37522,,,,,0
2023-08-21,9.12,9.14,8.90,8.95,9.23,9.25,,,,9.9173,0,9.7303,0,24264,,,,,0
2023-08-22,8.99,9.03,8.88,8.97,9.17,9.24,,,,9.8116,0,9.7122,0,24447,,,,,0
2023-08-23,9.00,9.11,8.94,9.06,9.11,9.25,,,,9.8116,0,9.6944,0,23106,,,,,0
2023-08-24,9.01,9.12,8.97,8.97,9.06,9.25,,,,9.8116,0,9.6770,0,34661,,,,,0
2023-08-25,8.95,8.97,8.68,8.77,9.02,9.22,,,,9.6169,0,9.6599,0,31740,,,,,0
2023-08-28,8.87,9.13,8.81,9.06,9.01,9.19,,,,9.6169,0,9.6209,0,30018,,,,,0
2023-08-29,9.05,9.39,8.98,9.35,9.03,9.18,,,,9.6169,0,9.5835,0,45866,,,,,0
2023-08-30,9.33,9.36,9.11,9.18,9.04,9.16,,,,9.6169,0,9.5475,0,28157,,,,,0
2023-08-31,9.24,9.25,9.08,9.10,9.05,9.16,,,,9.6169,0,9.5130,0,36037,,-0.0723,-0.1054,0.0331,0
2023-09-01,9.22,9.26,9.06,9.08,9.05,9.16,,,,9.6169,0,9.4799,0,24965,,-0.0694,-0.0982,0.0288,0
2023-09-05,8.98,9.16,8.94,9.11,9.06,9.15,,,,9.6169,0,9.4481,0,32666,,-0.0641,-0.0914,0.0273,0
2023-09-06,9.02,9.14,9.01,9.08,9.08,9.12,,,,9.6169,0,9.4176,0,17764,,-0.0614,-0.0854,0.0240,0
2023-09-07,9.01,9.03,8.82,8.87,9.06,9.09,,,,9.6169,0,9.3883,0,38695,,-0.0751,-0.0833,0.0082,0
2023-09-08,8.88,9.16,8.87,9.15,9.08,9.07,,,,9.6169,0,9.3602,0,26557,,-0.0629,-0.0792,0.0164,0
2023-09-11,9.23,9.31,9.19,9.23,9.12,9.07,,,,9.6169,0,9.3331,0,31669,,-0.0458,-0.0725,0.0268,0
2023-09-12,9.24,9.42,9.20,9.41,9.16,9.08,,,,9.6169,0,8.6850,1,28107,,-0.0177,-0.0616,0.0439,0
2023-09-13,9.39,9.40,9.01,9.06,9.13,9.08,,,,9.6169,0,8.6996,1,66919,,-0.0238,-0.0540,0.0302,0
2023-09-14,9.18,9.25,8.94,9.16,9.13,9.08,,,,9.6169,0,8.7140,1,30666,,-0.0198,-0.0472,0.0273,0
2023-09-15,9.10,9.36,9.03,9.30,9.15,9.10,,,,9.6169,0,8.7281,1,52579,,-0.0058,-0.0389,0.0331,0
2023-09-18,9.18,9.21,8.93,8.97,9.13,9.09,,,,9.6169,0,8.7419,1,37954,,-0.0207,-0.0353,0.0146,0
2023-09-19,8.98,8.99,8.89,8.92,9.12,9.09,,,,9.6169,0,8.7555,1,27966,,-0.0367,-0.0355,-0.0011,0
