Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,22.75,23.19,22.75,23.01,,,,,,,0,23.1900,0,5193,,,,,0
2023-07-14,22.99,22.99,22.18,22.76,,,,,,,0,23.1900,0,5198,,,,,0
2023-07-17,22.74,23.43,22.56,23.27,,,,,,,0,22.1800,1,4938,,,,,0
2023-07-18,23.42,24.22,23.42,24.21,,,,,,,0,22.1800,1,5372,,,,,0
2023-07-19,24.25,24.59,23.88,24.13,,,,,,,0,22.2616,1,5050,,,,,0
2023-07-20,24.09,24.28,23.57,23.59,,,,,,,0,22.4013,1,4083,,,,,0
2023-07-21,23.74,23.74,23.25,23.37,,,,,,,0,22.5326,1,3531,,,,,0
2023-07-24,23.43,24.23,23.43,24.08,,,,,,,0,22.6561,1,5310,,,,,0
2023-07-25,23.94,24.20,23.72,24.00,,,,,,,0,22.7721,1,4020,,,,,0
2023-07-26,24.09,24.69,24.08,24.37,23.68,,,,,26.4940,0,22.8812,1,4584,,,,,0
2023-07-27,24.44,24.44,23.33,23.41,23.72,,,,,26.1161,0,23.0259,1,5728,,,,,0
2023-07-28,23.57,23.86,23.40,23.48,23.79,,,,,25.7760,0,23.1590,1,4208,,,,,0
2023-07-31,23.48,24.24,23.48,23.86,23.85,,,,,25.7760,0,23.2815,1,5304,,,,,0
2023-08-01,23.84,24.28,23.30,23.48,23.78,,,,,25.7760,0,24.6900,0,5532,,,,,0
2023-08-02,23.20,23.42,22.02,22.23,23.59,,,,,25.1717,0,24.6622,0,5715,,,,,0
2023-08-03,22.14,22.35,21.43,21.56,23.38,,,,,24.3725,0,24.5565,0,7475,,,,,0
2023-08-04,21.56,21.99,21.37,21.80,23.23,,,,,24.1003,0,24.3689,0,8110,,,,,0
2023-08-07,21.89,22.25,21.50,21.95,23.01,,,,,24.1003,0,24.1290,0,9531,,,,,0
2023-08-08,23.39,23.98,19.75,21.67,22.78,,,,,24.1003,0,21.3700,1,15977,,,,,0
2023-08-09,21.62,21.62,20.58,21.06,22.45,23.06,,,,24.1003,0,19.7500,1,6093,,,,,0
2023-08-10,21.04,21.33,20.00,20.05,22.11,22.92,,,,24.1003,0,19.7500,1,5658,,,,,0
2023-08-11,20.00,20.41,19.74,20.26,21.79,22.79,,,,23.4018,0,23.9800,0,4804,,,,,0
2023-08-14,20.14,20.14,19.37,19.91,21.40,22.62,,,,23.0162,0,23.8952,0,4016,,,,,0
2023-08-15,19.70,19.87,19.08,19.12,20.96,22.37,,,,22.6590,0,23.7142,0,4908,,,,,0
2023-08-16,19.06,19.29,18.69,19.24,20.66,22.12,,,,22.0356,0,23.4361,0,5766,,,,,0
2023-08-17,19.28,19.95,19.02,19.65,20.47,21.93,,,,22.0356,0,23.0564,0,4329,,,,,0
2023-08-18,19.41,19.90,19.30,19.66,20.26,21.74,,,,22.0356,0,22.7071,0,11538,,,,,0
2023-08-21,19.60,19.74,19.17,19.60,20.02,21.52,,,,22.0356,0,22.3858,0,4239,,,,,0
2023-08-22,19.59,19.78,19.13,19.60,19.81,21.30,,,,22.0356,0,22.0901,0,5176,,,,,0
2023-08-23,19.71,19.84,19.34,19.80,19.69,21.07,,,,22.0356,0,21.8181,0,4140,,,,,0
2023-08-24,19.51,19.82,19.31,19.51,19.64,20.87,,,,22.0356,0,21.5678,0,5515,,,,,0
2023-08-25,19.55,19.76,18.26,18.28,19.44,20.61,,,,21.6848,0,21.3376,0,5380,,,,,0
2023-08-28,18.31,19.26,18.19,19.13,19.36,20.38,,,,21.4533,0,21.0299,0,5664,,,,,0
2023-08-29,19.23,19.49,18.86,19.33,19.38,20.17,,,,21.4533,0,20.6891,0,5706,,-1.2905,-1.4661,0.1755,0
2023-08-30,19.36,19.36,18.69,18.91,19.35,20.00,,,,21.4533,0,20.3892,0,5009,,-1.2527,-1.4234,0.1707,0
2023-08-31,19.65,20.21,19.45,19.48,19.33,19.90,,,,21.4533,0,18.1900,1,7535,,-1.1634,-1.3714,0.2080,0
2023-09-01,19.50,19.92,19.44,19.71,19.33,19.80,,,,21.4533,0,18.2304,1,5609,,-1.0618,-1.3095,0.2477,0
2023-09-05,19.58,19.73,18.85,19.31,19.31,19.66,,,,21.4533,0,18.2700,1,4706,,-1.0020,-1.2480,0.2460,0
2023-09-06,19.25,19.36,18.88,19.16,19.26,19.54,,,,21.4533,0,18.3088,1,3330,,-0.9556,-1.1895,0.2339,0
2023-09-07,19.10,19.93,18.97,19.31,19.21,19.45,,,,21.4533,0,18.3468,1,5648,,-0.8965,-1.1309,0.2344,0
2023-09-08,19.37,19.55,19.11,19.38,19.20,19.42,,,,21.4533,0,18.3841,1,3952,,-0.8344,-1.0716,0.2372,0
2023-09-11,19.43,19.72,19.31,19.43,19.31,19.38,,,,21.4533,0,18.4206,1,4148,,-0.7722,-1.0117,0.2395,0
2023-09-12,19.36,20.02,19.18,20.01,19.40,19.38,,,,21.4533,0,18.4564,1,4932,,-0.6684,-0.9431,0.2746,0
2023-09-13,20.07,20.78,19.81,20.75,19.54,19.46,,,,21.4533,0,18.4915,1,5264,,-0.5204,-0.8585,0.3381,0
2023-09-14,20.91,21.36,20.91,21.32,19.79,19.57,,,,21.4533,0,18.5830,1,5586,,-0.3531,-0.7574,0.4043,0
2023-09-15,21.27,21.52,20.94,21.32,19.97,19.65,,,,21.4533,0,18.7496,1,20849,,-0.2180,-0.6496,0.4316,0
2023-09-18,21.29,21.45,20.67,20.75,20.07,19.70,,,,21.4533,0,18.9713,1,5584,,-0.1551,-0.5507,0.3955,0
2023-09-19,20.78,21.11,20.67,20.98,20.24,19.77,,,,21.4533,0,19.1752,1,5627,,-0.0858,-0.4577,0.3719,0
2023-09-20,21.12,22.08,20.58,20.60,20.38,19.82,,,,21.4533,0,19.3627,1,6431,,-0.0607,-0.3783,0.3176,0
2023-09-21,20.47,20.48,19.46,19.54,20.41,19.81,21.09,,,21.4533,0,22.0800,0,8131,6003,-0.1250,-0.3276,0.2026,0
2023-09-22,19.45,20.36,17.92,18.19,20.29,19.74,20.99,,,21.4533,0,22.0800,0,15247,6204,-0.2816,-0.3184,0.0368,0
2023-09-25,18.00,18.58,17.81,18.52,20.20,19.76,20.91,,,21.1126,0,21.9136,0,15198,6404,-0.3748,-0.3297,-0.0451,0
2023-09-26,18.44,19.18,18.24,18.54,20.05,19.73,20.81,,,21.1126,0,21.6674,0,4552,6396,-0.4419,-0.3521,-0.0898,0
2023-09-27,18.58,18.93,18.17,18.47,19.82,19.68,20.70,,,21.1126,0,21.4359,0,4128,6371,-0.4951,-0.3807,-0.1143,0
2023-09-28,18.38,18.84,18.18,18.76,19.57,19.68,20.59,,,21.1126,0,21.2184,0,5577,6382,-0.5079,-0.4062,-0.1018,0
2023-09-29,18.79,19.33,18.74,19.21,19.36,19.66,20.50,,,21.1126,0,21.0139,0,6514,6430,-0.4763,-0.4202,-0.0561,0
2023-10-02,19.19,19.50,18.51,19.46,19.23,19.65,20.42,,,21.1126,0,20.8216,0,8529,6530,-0.4262,-0.4214,-0.0048,0
2023-10-03,19.39,19.47,18.61,18.68,19.00,19.62,20.32,,,21.1126,0,20.6409,0,12422,6673,-0.4443,-0.4260,-0.0183,0
2023-10-04,18.76,18.97,17.82,18.09,18.75,19.57,20.20,,,21.1126,0,20.4711,0,7459,6741,-0.5004,-0.4409,-0.0596,0
2023-10-05,17.89,18.20,17.33,17.97,18.59,19.50,20.07,,,20.5070,0,20.3114,0,6913,6788,-0.5483,-0.4624,-0.0860,0
2023-10-06,17.90,18.89,17.80,18.73,18.64,19.47,19.98,,,20.5070,0,20.0729,0,9462,6863,-0.5189,-0.4737,-0.0453,0
2023-10-09,18.57,19.34,18.57,19.08,18.70,19.45,19.89,,,20.5070,0,19.8535,0,4638,6871,-0.4621,-0.4714,0.0092,0
2023-10-10,19.07,19.70,18.88,19.67,18.81,19.43,19.80,,,20.5070,0,17.3300,1,3480,6835,-0.3652,-0.4501,0.0849,0
2023-10-11,19.87,20.11,19.61,19.64,18.93,19.38,19.73,,,20.5070,0,17.3774,1,4117,6806,-0.2876,-0.4176,0.1300,0
2023-10-12,19.67,19.75,19.12,19.13,18.97,19.27,19.67,,,20.5070,0,17.4867,1,2276,6738,-0.2641,-0.3869,0.1228,0
2023-10-13,19.22,19.40,17.74,17.99,18.84,19.10,19.59,,,20.5070,0,17.5916,1,4120,6670,-0.3337,-0.3763,0.0426,0
2023-10-16,18.05,18.98,17.99,18.43,18.74,18.98,19.53,,,20.5070,0,17.6924,1,9044,6689,-0.3493,-0.3709,0.0216,0
2023-10-17,18.37,18.81,18.08,18.58,18.73,18.86,19.46,,,20.5070,0,17.7400,1,5210,6603,-0.3456,-0.3658,0.0202,0
2023-10-18,18.30,18.30,16.71,16.75,18.60,18.67,19.36,,,20.5070,0,20.1100,0,5784,6399,-0.4847,-0.3896,-0.0951,0
2023-10-19,16.68,16.90,15.81,15.92,18.39,18.49,19.26,,,19.3987,0,20.0420,0,4945,6376,-0.6544,-0.4426,-0.2118,0
2023-10-20,15.79,15.86,14.82,15.03,18.02,18.33,19.16,,,18.4093,0,19.8727,0,8448,6432,-0.8509,-0.5242,-0.3267,0
2023-10-23,15.00,15.57,14.60,14.62,17.58,18.14,19.04,,,18.1384,0,19.5696,0,5240,6440,-1.0278,-0.6250,-0.4029,0
2023-10-24,14.69,15.03,13.97,14.04,17.01,17.91,18.93,,,17.5661,0,19.1720,0,4014,6440,-1.2010,-0.7402,-0.4609,0
2023-10-25,13.71,13.87,12.44,12.92,16.34,17.63,18.80,,,16.3945,0,18.6518,0,7908,6500,-1.4124,-0.8746,-0.5378,0
2023-10-26,13.01,13.56,12.64,13.53,15.78,17.37,18.69,,,16.2915,0,17.9064,0,5679,6499,-1.5132,-1.0023,-0.5109,0
2023-10-27,13.38,13.39,12.52,12.58,15.24,17.04,18.55,,,16.1304,0,17.2504,0,4885,6510,-1.6508,-1.1320,-0.5187,0
2023-10-30,12.76,13.91,12.17,12.31,14.63,16.68,18.40,,,16.1304,0,16.6732,0,3880,6357,-1.7612,-1.2579,-0.5034,0
2023-10-31,12.37,12.60,11.91,12.31,14.00,16.37,18.26,,,15.5038,0,16.0427,0,3366,6339,-1.8277,-1.3718,-0.4559,0
