Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,12.78,13.45,12.75,13.11,,,,,,,0,13.4550,0,69,,,,,0
2023-07-17,12.90,13.11,12.75,12.87,,,,,,,0,13.4550,0,58,,,,,0
2023-07-18,12.45,13.01,12.39,12.60,,,,,,,0,13.4550,0,78,,,,,0
2023-07-19,12.90,12.90,12.45,12.60,,,,,,,0,13.4124,0,47,,,,,0
2023-07-20,12.45,12.52,12.30,12.51,,,,,,,0,13.3715,0,56,,,,,0
2023-07-21,12.59,12.59,12.00,12.15,,,,,,,0,13.3072,0,77,,,,,0
2023-07-24,12.15,12.45,12.00,12.21,,,,,,,0,13.2026,0,33,,,,,0
2023-07-25,13.27,13.27,12.00,12.10,,,,,,,0,12.0000,1,105,,,,,0
2023-07-26,12.15,12.49,11.93,12.30,,,,,,,0,13.2750,0,144,,,,,0
2023-07-27,12.35,12.35,11.55,11.85,12.43,,,,,13.7790,0,13.2750,0,148,,,,,0
2023-07-28,12.06,12.06,11.43,11.44,12.26,,,,,13.5824,0,13.2060,0,66,,,,,0
2023-07-31,11.48,11.48,10.68,10.74,12.05,,,,,12.9696,0,13.0994,0,199,,,,,0
2023-08-01,10.80,11.10,10.20,10.35,11.83,,,,,12.6229,0,12.9059,0,84,,,,,0
2023-08-02,9.90,10.50,9.84,10.50,11.62,,,,,12.1436,0,12.6353,0,163,,,,,0
2023-08-03,10.35,10.50,10.06,10.35,11.40,,,,,12.1436,0,12.2999,0,18,,,,,0
2023-08-04,9.94,10.80,9.61,10.64,11.25,,,,,12.1436,0,12.0047,0,223,,,,,0
2023-08-07,10.76,10.94,10.64,10.64,11.09,,,,,12.1436,0,11.6701,0,15,,,,,0
2023-08-08,10.64,10.64,10.36,10.52,10.93,,,,,12.1436,0,11.3824,0,15,,,,,0
2023-08-09,10.38,10.38,9.78,9.93,10.70,,,,,11.9565,0,11.1350,0,24,,,,,0
