Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,2.39,2.41,2.16,2.19,,,,,,,0,2.4140,0,534,,,,,0
2023-07-14,2.18,2.24,2.02,2.02,,,,,,,0,2.4140,0,232,,,,,0
2023-07-17,2.01,2.19,2.01,2.19,,,,,,,0,2.4140,0,367,,,,,0
2023-07-18,2.15,2.32,2.15,2.32,,,,,,,0,2.3976,0,316,,,,,0
2023-07-19,2.35,2.43,2.20,2.21,,,,,,,0,2.0050,1,474,,,,,0
2023-07-20,2.23,2.24,2.12,2.15,,,,,,,0,2.0135,1,358,,,,,0
2023-07-21,2.16,2.25,2.14,2.25,,,,,,,0,2.0218,1,303,,,,,0
2023-07-24,2.25,2.35,2.15,2.16,,,,,,,0,2.0300,1,227,,,,,0
2023-07-25,2.14,2.20,2.13,2.14,,,,,,,0,2.0380,1,258,,,,,0
2023-07-26,2.14,2.24,2.13,2.23,2.19,,,,,2.6827,0,2.0458,1,219,,,,,0
2023-07-27,2.25,2.35,2.11,2.12,2.18,,,,,2.6827,0,2.0535,1,380,,,,,0
2023-07-28,2.14,2.31,2.14,2.28,2.21,,,,,2.6827,0,2.0610,1,318,,,,,0
2023-07-31,2.26,2.38,2.26,2.36,2.22,,,,,2.6827,0,2.0684,1,314,,,,,0
2023-08-01,2.35,2.39,2.21,2.25,2.22,,,,,2.6827,0,2.0757,1,171,,,,,0
2023-08-02,2.22,2.31,2.12,2.18,2.21,,,,,2.6827,0,2.0827,1,469,,,,,0
2023-08-03,2.17,2.20,2.04,2.04,2.20,,,,,2.6317,0,2.4300,0,251,,,,,0
2023-08-04,1.97,2.11,1.97,2.02,2.18,,,,,2.5385,0,2.4222,0,308,,,,,0
2023-08-07,2.04,2.05,1.85,1.90,2.15,,,,,2.4609,0,2.4041,0,498,,,,,0
2023-08-08,1.89,2.02,1.86,1.98,2.14,,,,,2.4468,0,2.3709,0,274,,,,,0
2023-08-09,1.90,2.01,1.88,1.99,2.11,2.15,,,,2.4434,0,2.3396,0,288,,,,,0
2023-08-10,1.99,2.11,1.96,1.96,2.10,2.14,,,,2.4434,0,2.3102,0,226,,,,,0
2023-08-11,1.95,2.08,1.95,2.05,2.07,2.14,,,,2.4434,0,2.2826,0,364,,,,,0
2023-08-14,2.01,2.03,1.88,1.89,2.03,2.12,,,,2.4397,0,2.2567,0,338,,,,,0
2023-08-15,1.88,1.90,1.81,1.81,1.98,2.10,,,,2.3183,0,2.2323,0,328,,,,,0
2023-08-16,1.83,1.84,1.73,1.73,1.94,2.07,,,,2.2349,0,2.1985,0,308,,,,,0
2023-08-17,1.75,1.80,1.73,1.76,1.91,2.05,,,,2.1909,0,2.1516,0,222,,,,,0
2023-08-18,1.73,1.76,1.71,1.74,1.88,2.03,,,,2.1334,0,2.1095,0,180,,,,,0
2023-08-21,1.75,1.82,1.69,1.77,1.87,2.01,,,,2.1334,0,2.0615,0,148,,,,,0
2023-08-22,1.80,1.81,1.75,1.77,1.85,1.99,,,,2.1334,0,2.0095,0,174,,,,,0
2023-08-23,1.79,1.85,1.69,1.70,1.82,1.96,,,,2.1334,0,1.9648,0,523,,,,,0
2023-08-24,1.69,1.74,1.53,1.54,1.78,1.94,,,,2.0444,0,1.9263,0,392,,,,,0
2023-08-25,1.58,1.58,1.48,1.50,1.72,1.90,,,,1.9284,0,1.8629,0,563,,,,,0
2023-08-28,1.51,1.52,1.41,1.51,1.68,1.85,,,,1.8616,0,1.7940,0,1197,,,,,0
2023-08-29,1.51,1.65,1.50,1.63,1.66,1.82,,,,1.8616,0,1.7182,0,732,,-0.1775,-0.1658,-0.0117,0
2023-08-30,1.62,1.76,1.62,1.64,1.66,1.80,,,,1.8616,0,1.4150,1,463,,-0.1690,-0.1664,-0.0025,0
2023-08-31,1.66,1.83,1.63,1.82,1.66,1.79,,,,1.8616,0,1.4219,1,627,,-0.1460,-0.1624,0.0163,0
2023-09-01,1.83,1.89,1.82,1.85,1.67,1.78,,,,1.8616,0,1.4382,1,453,,-0.1240,-0.1547,0.0307,0
2023-09-05,1.80,1.80,1.59,1.62,1.66,1.76,,,,1.8616,0,1.4653,1,318,,-0.1236,-0.1485,0.0248,0
2023-09-06,1.61,1.65,1.58,1.60,1.64,1.74,,,,1.8616,0,1.4908,1,114,,-0.1236,-0.1435,0.0199,0
2023-09-07,1.56,1.59,1.50,1.56,1.63,1.72,,,,1.8616,0,1.8900,0,476,,-0.1253,-0.1399,0.0146,0
2023-09-08,1.55,1.55,1.50,1.50,1.62,1.70,,,,1.8616,0,1.8822,0,130,,-0.1296,-0.1378,0.0082,0
2023-09-11,1.56,1.56,1.48,1.52,1.63,1.67,,,,1.8616,0,1.8667,0,175,,-0.1303,-0.1363,0.0060,0
2023-09-12,1.49,1.52,1.47,1.47,1.62,1.65,,,,1.8450,0,1.8435,0,134,,-0.1334,-0.1357,0.0024,0
2023-09-13,1.48,1.50,1.39,1.39,1.60,1.63,,,,1.7892,0,1.8136,0,314,,-0.1406,-0.1367,-0.0039,0
2023-09-14,1.43,1.49,1.38,1.39,1.57,1.61,,,,1.7776,0,1.7713,0,234,,-0.1447,-0.1383,-0.0064,0
2023-09-15,1.38,1.41,1.37,1.40,1.53,1.60,,,,1.7126,0,1.7237,0,346,,-0.1454,-0.1397,-0.0057,0
2023-09-18,1.38,1.41,1.32,1.32,1.48,1.58,,,,1.6824,0,1.6742,0,337,,-0.1508,-0.1419,-0.0088,0
2023-09-19,1.34,1.34,1.28,1.30,1.45,1.55,,,,1.6136,0,1.6175,0,222,,-0.1548,-0.1445,-0.0103,0
2023-09-20,1.33,1.38,1.31,1.32,1.42,1.53,,,,1.6136,0,1.5568,0,168,,-0.1546,-0.1465,-0.0081,0
2023-09-21,1.29,1.30,1.25,1.29,1.39,1.51,1.83,,,1.5645,0,1.5070,0,260,341,-0.1551,-0.1482,-0.0068,0
2023-09-22,1.28,1.32,1.24,1.24,1.36,1.49,1.81,,,1.5637,0,1.4556,0,137,333,-0.1577,-0.1501,-0.0076,0
2023-09-25,1.20,1.25,1.20,1.22,1.33,1.48,1.79,,,1.4953,0,1.4124,0,102,330,-0.1595,-0.1520,-0.0075,0
2023-09-26,1.22,1.28,1.22,1.22,1.31,1.47,1.77,,,1.4953,0,1.3700,0,122,325,-0.1591,-0.1534,-0.0057,0
2023-09-27,1.26,1.26,1.19,1.23,1.29,1.45,1.75,,,1.4812,0,1.3360,0,299,325,-0.1562,-0.1540,-0.0022,0
2023-09-28,1.21,1.26,1.18,1.19,1.27,1.42,1.73,,,1.4745,0,1.3068,0,172,319,-0.1554,-0.1543,-0.0011,0
2023-09-29,1.21,1.26,1.17,1.21,1.25,1.39,1.71,,,1.4711,0,1.2814,0,300,318,-0.1513,-0.1537,0.0024,0
2023-10-02,1.22,1.26,1.17,1.26,1.25,1.36,1.69,,,1.4711,0,1.2600,0,210,316,-0.1424,-0.1514,0.0090,0
2023-10-03,1.24,1.24,1.17,1.17,1.24,1.34,1.67,,,1.4637,0,1.2600,0,83,313,-0.1410,-0.1493,0.0083,0
2023-10-04,1.17,1.20,1.13,1.14,1.22,1.32,1.65,,,1.4189,0,1.2600,0,284,313,-0.1407,-0.1476,0.0069,0
2023-10-05,1.13,1.20,1.13,1.20,1.21,1.30,1.63,,,1.4145,0,1.2400,0,171,312,-0.1341,-0.1449,0.0108,0
2023-10-06,1.19,1.21,1.15,1.17,1.20,1.28,1.61,,,1.4145,0,1.2180,0,57,306,-0.1297,-0.1419,0.0121,0
2023-10-09,1.16,1.17,1.11,1.14,1.19,1.26,1.59,,,1.3760,0,1.2090,0,105,302,-0.1273,-0.1389,0.0117,0
2023-10-10,1.15,1.22,1.13,1.20,1.19,1.25,1.57,,,1.3760,0,1.1100,1,78,297,-0.1191,-0.1350,0.0159,0
2023-10-11,1.19,1.24,1.07,1.07,1.18,1.23,1.54,,,1.3760,0,1.2200,0,314,300,-0.1217,-0.1323,0.0106,0
2023-10-12,1.09,1.15,1.05,1.06,1.16,1.22,1.52,,,1.3685,0,1.2350,0,234,295,-0.1231,-0.1305,0.0073,0
2023-10-13,1.06,1.10,1.03,1.06,1.15,1.20,1.50,,,1.3236,0,1.2350,0,177,294,-0.1229,-0.1290,0.0061,0
2023-10-16,1.11,1.18,1.07,1.15,1.14,1.19,1.48,,,1.3236,0,1.2227,0,107,290,-0.1141,-0.1260,0.0119,0
2023-10-17,1.10,1.18,1.08,1.13,1.13,1.18,1.47,,,1.3236,0,1.2111,0,141,282,-0.1075,-0.1223,0.0148,0
2023-10-18,1.13,1.13,1.06,1.08,1.13,1.17,1.45,,,1.3236,0,1.2003,0,78,279,-0.1055,-0.1189,0.0134,0
