Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,91.80,93.27,91.19,92.06,,,,,,,0,93.2688,0,296077,,,,,0
2023-07-14,91.59,91.73,88.53,90.15,,,,,,,0,93.2688,0,287818,,,,,0
2023-07-17,89.74,90.50,88.85,88.88,,,,,,,0,93.2688,0,304875,,,,,0
2023-07-18,88.87,91.57,88.75,90.78,,,,,,,0,93.1740,0,239446,,,,,0
2023-07-19,90.78,92.89,90.76,91.95,,,,,,,0,93.0811,0,312718,,,,,0
2023-07-20,92.60,93.83,92.54,93.38,,,,,,,0,88.5304,1,262237,,,,,0
2023-07-21,93.71,95.09,93.39,94.88,,,,,,,0,88.6363,1,286708,,,,,0
2023-07-24,95.13,97.06,94.95,95.89,,,,,,,0,88.8945,1,394469,,,,,0
2023-07-25,95.58,97.33,94.73,96.66,,,,,,,0,89.3847,1,295621,,,,,0
2023-07-26,95.98,98.66,95.87,98.35,93.30,,,,,104.2828,0,90.0207,1,294534,,,,,0
2023-07-27,98.70,99.48,97.64,97.72,93.86,,,,,104.2828,0,90.8848,1,318590,,,,,0
2023-07-28,98.25,99.33,97.89,99.03,94.75,,,,,104.2828,0,91.9161,1,236270,,,,,0
2023-07-31,99.36,100.13,99.25,100.11,95.87,,,,,104.2828,0,92.8237,1,423979,,,,,0
2023-08-01,99.78,100.91,99.30,100.61,96.86,,,,,104.2828,0,93.8459,1,302047,,,,,0
2023-08-02,99.76,101.62,97.01,97.81,97.44,,,,,104.2828,0,94.9769,1,532525,,,,,0
2023-08-03,98.30,99.40,96.39,99.08,98.01,,,,,104.2828,0,96.1733,1,387616,,,,,0
2023-08-04,100.13,101.57,99.12,99.15,98.44,,,,,104.2828,0,96.3918,1,292805,,,,,0
2023-08-07,99.69,101.25,99.65,100.01,98.85,,,,,104.2828,0,96.3918,1,332314,,,,,0
2023-08-08,98.64,101.80,97.79,101.12,99.30,,,,,104.2828,0,97.3336,1,322828,,,,,0
2023-08-09,101.68,103.91,101.42,102.68,99.73,96.52,,,,104.2828,0,97.7918,1,442210,,,,,0
2023-08-10,103.18,104.27,102.54,102.91,100.25,97.06,,,,104.2828,0,97.7918,1,296732,,,,,0
2023-08-11,103.24,105.26,103.24,104.67,100.82,97.78,,,,96.8667,1,99.0877,1,298482,,,,,0
2023-08-14,104.52,104.96,102.58,102.91,101.10,98.49,,,,96.8667,1,100.3218,1,349044,,,,,0
2023-08-15,101.18,102.79,100.94,101.79,101.21,99.04,,,,96.8667,1,105.2583,0,577086,,,,,0
2023-08-16,102.31,103.46,101.61,101.65,101.60,99.52,,,,96.8667,1,105.1720,0,442251,,,,,0
2023-08-17,103.02,104.88,102.79,102.89,101.98,100.00,,,,96.8667,1,105.0874,0,534373,,,,,0
2023-08-18,102.00,103.97,102.00,103.48,102.41,100.43,,,,96.8667,1,105.0045,0,559376,,,,,0
2023-08-21,104.08,104.52,101.65,102.66,102.68,100.76,,,,96.8667,1,104.9232,0,301752,,,,,0
2023-08-22,102.99,103.46,102.01,102.30,102.79,101.05,,,,96.8667,1,104.8436,0,250411,,,,,0
2023-08-23,101.39,101.85,99.78,101.69,102.70,101.21,,,,96.8667,1,104.7655,0,227596,,,,,0
2023-08-24,101.11,102.56,101.04,101.80,102.58,101.42,,,,96.8667,1,104.5663,0,192592,,,,,0
2023-08-25,102.17,103.68,101.22,103.16,102.43,101.62,,,,96.8667,1,104.3750,0,257631,,,,,0
2023-08-28,102.59,103.97,102.01,102.47,102.39,101.74,,,,96.8667,1,104.1914,0,192570,,,,,0
2023-08-29,102.52,102.83,101.48,102.08,102.42,101.82,,,,96.8667,1,104.0152,0,217852,,2.0720,2.6884,-0.6164,0
2023-08-30,102.22,103.26,102.13,102.95,102.55,102.07,,,,96.8667,1,103.9696,0,240188,,1.9871,2.5481,-0.5611,0
2023-08-31,102.99,103.82,101.51,103.41,102.60,102.29,,,,96.8667,1,99.7847,1,352343,,1.9348,2.4255,-0.4907,0
2023-09-01,105.19,106.26,104.26,106.13,102.87,102.64,,,,98.7561,1,99.8653,1,326635,,2.0892,2.3582,-0.2690,0
2023-09-05,106.61,107.58,105.72,105.74,103.17,102.93,,,,100.2371,1,100.1212,1,271654,,2.1554,2.3177,-0.1623,0
2023-09-06,105.86,106.88,104.72,105.65,103.51,103.15,,,,100.2371,1,100.5689,1,205776,,2.1754,2.2892,-0.1138,0
2023-09-07,106.21,107.78,105.77,107.57,104.10,103.40,,,,100.3619,1,100.9898,1,397670,,2.3188,2.2951,0.0237,0
2023-09-08,108.58,111.92,108.18,110.72,104.99,103.79,,,,102.9709,1,101.5333,1,575850,,2.6561,2.3673,0.2888,0
2023-09-11,111.32,112.38,109.86,110.82,105.75,104.09,,,,103.9879,1,102.5722,1,379915,,2.8981,2.4735,0.4246,0
2023-09-12,111.31,113.07,111.05,112.57,106.76,104.58,,,,104.9707,1,103.7486,1,525655,,3.1949,2.6178,0.5771,0
2023-09-13,113.00,113.40,110.86,111.57,107.71,105.07,,,,104.9870,1,105.0540,1,342339,,3.3108,2.7564,0.5544,0
2023-09-14,112.24,112.32,111.14,111.39,108.56,105.55,,,,104.9870,1,106.3892,1,310659,,3.3494,2.8750,0.4744,0
2023-09-15,110.48,110.94,109.01,109.63,109.18,105.89,,,,104.9870,1,107.5108,1,1127140,,3.2013,2.9402,0.2610,0
2023-09-18,110.99,112.24,109.60,110.92,109.66,106.26,,,,104.9870,1,108.4530,1,273982,,3.1514,2.9825,0.1689,0
2023-09-19,111.78,111.85,107.86,108.90,109.97,106.57,,,,104.9870,1,113.3991,0,357065,,2.9152,2.9690,-0.0538,0
2023-09-20,108.44,110.33,108.29,108.76,110.28,106.90,,,,104.9870,1,113.2883,0,299142,,2.6861,2.9124,-0.2263,0
2023-09-21,110.89,112.18,108.42,108.64,110.39,107.24,102.04,,,104.9870,1,113.1796,0,327532,351540,2.4666,2.8233,-0.3566,0
2023-09-22,109.15,110.24,107.36,107.41,110.06,107.52,102.35,,,104.9870,1,113.0731,0,287711,351372,2.1683,2.6923,-0.5240,0
2023-09-25,107.34,109.28,107.30,108.93,109.87,107.81,102.73,,,104.9870,1,112.8445,0,300542,351627,2.0312,2.5601,-0.5288,0
2023-09-26,107.97,108.95,107.43,108.17,109.43,108.10,103.11,,,104.9870,1,112.5120,0,280733,351144,1.8400,2.4161,-0.5760,0
2023-09-27,109.11,110.09,108.45,109.42,109.22,108.47,103.48,,,104.9870,1,112.1995,0,337491,353105,1.7689,2.2866,-0.5177,0
2023-09-28,109.14,111.84,109.05,111.76,109.26,108.91,103.88,,,104.9870,1,111.9057,0,406451,354979,1.8795,2.2052,-0.3257,0
2023-09-29,111.81,111.81,108.23,108.83,109.18,109.18,104.19,,,104.9870,1,111.8411,0,341454,356564,1.7114,2.1064,-0.3951,0
2023-10-02,108.78,108.97,107.06,107.81,108.86,109.26,104.45,,,104.9870,1,111.8411,0,291099,356652,1.4784,1.9808,-0.5024,0
2023-10-03,106.89,107.38,103.38,104.74,108.45,109.21,104.63,,,113.3948,0,111.8139,0,345549,355673,1.0341,1.7915,-0.7574,0
2023-10-04,102.50,102.63,98.43,100.08,107.58,108.93,104.69,,,109.6366,0,110.9706,0,493238,359626,0.3029,1.4938,-1.1909,0
2023-10-05,98.53,100.70,98.36,99.17,106.63,108.51,104.71,,,108.4304,0,109.4653,0,350993,360755,-0.3465,1.1257,-1.4722,0
2023-10-06,100.10,100.38,98.01,98.91,105.78,107.92,104.73,,,107.9173,0,107.9109,0,286678,360117,-0.8723,0.7261,-1.5984,0
2023-10-09,100.60,101.14,99.04,100.74,104.96,107.42,104.77,,,107.9173,0,106.3266,0,308029,361552,-1.1283,0.3552,-1.4836,0
2023-10-10,100.42,102.35,99.95,101.80,104.33,106.88,104.80,,,107.9173,0,104.9959,0,299216,359056,-1.2308,0.0380,-1.2688,0
2023-10-11,100.93,101.90,99.78,101.57,103.54,106.38,104.82,,,107.9173,0,103.8780,0,228285,357581,-1.3158,-0.2328,-1.0831,0
2023-10-12,102.28,102.36,99.54,100.32,102.40,105.83,104.87,,,107.9173,0,102.9390,0,218931,351309,-1.4672,-0.4796,-0.9876,0
2023-10-13,101.87,102.12,100.07,100.18,101.53,105.35,104.89,,,107.9173,0,102.3572,0,375288,351063,-1.5799,-0.6997,-0.8802,0
2023-10-16,101.00,102.05,100.61,101.25,100.88,104.87,104.94,,,107.9173,0,102.3572,0,307417,351355,-1.5649,-0.8727,-0.6922,0
2023-10-17,101.16,103.24,101.16,103.18,100.72,104.58,105.00,,,107.9173,0,98.0093,1,281574,350340,-1.3814,-0.9745,-0.4070,0
2023-10-18,103.44,105.77,103.24,105.30,101.24,104.41,105.08,,,107.9173,0,98.1140,1,377778,351439,-1.0529,-0.9902,-0.0627,0
2023-10-19,105.21,105.40,103.83,104.34,101.76,104.20,105.12,,,107.9173,0,98.4203,1,240908,347413,-0.8600,-0.9641,0.1041,0
2023-10-20,104.49,105.10,102.49,102.85,102.15,103.97,105.11,,,107.9173,0,98.7144,1,302834,347535,-0.8184,-0.9350,0.1166,0
2023-10-23,102.64,102.89,101.47,102.40,102.32,103.64,105.07,,,107.9173,0,98.9967,1,278499,347136,-0.8118,-0.9103,0.0985,0
2023-10-24,102.84,102.99,101.35,101.39,102.28,103.30,105.04,,,107.9173,0,99.2677,1,260976,345374,-0.8784,-0.9039,0.0256,0
2023-10-25,101.57,102.26,100.07,100.31,102.15,102.85,105.01,,,107.9173,0,99.5279,1,285831,339549,-1.0065,-0.9245,-0.0820,0
2023-10-26,99.51,100.13,97.91,99.73,102.09,102.25,104.97,,,105.8852,0,105.7722,0,387321,338450,-1.1416,-0.9679,-0.1737,0
2023-10-27,100.67,101.51,97.69,100.48,102.12,101.83,104.92,,,105.8852,0,105.6149,0,578489,339333,-1.1745,-1.0092,-0.1653,0
2023-10-30,101.65,102.82,99.51,101.85,102.18,101.53,104.89,,,105.8852,0,105.2980,0,359201,335329,-1.0778,-1.0229,-0.0549,0
2023-10-31,103.65,104.38,101.83,103.33,102.20,101.46,104.90,,,105.8852,0,104.9938,0,412774,337550,-0.8720,-0.9927,0.1208,0
2023-11-01,104.03,106.06,103.03,105.16,102.18,101.71,104.96,,,105.8852,0,97.6923,1,388100,340304,-0.5548,-0.9051,0.3504,0
2023-11-02,105.22,107.36,105.07,107.00,102.45,102.10,105.07,,,98.5655,1,97.8597,1,303202,341816,-0.1533,-0.7548,0.6015,0
2023-11-03,106.67,107.19,104.41,105.79,102.74,102.45,105.15,,,98.5655,1,98.2396,1,294895,343862,0.0669,-0.5904,0.6574,0
2023-11-06,106.20,106.99,105.38,105.84,103.09,102.70,105.20,,,98.7555,1,98.6043,1,290314,344515,0.2430,-0.4237,0.6668,0
2023-11-07,104.47,104.59,102.55,103.14,103.26,102.77,105.21,,,98.7555,1,98.9544,1,248295,345630,0.1622,-0.3066,0.4687,0
2023-11-08,102.40,103.16,101.11,101.28,103.36,102.76,105.20,,,98.7555,1,99.2905,1,324092,347755,-0.0511,-0.2555,0.2043,0
