Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,12.24,12.54,12.16,12.42,,,,,,,0,12.5438,0,39527,,,,,0
2023-07-14,12.33,12.38,11.94,11.97,,,,,,,0,12.5438,0,49000,,,,,0
2023-07-17,11.94,12.80,11.93,12.57,,,,,,,0,11.9352,1,65459,,,,,0
2023-07-18,12.67,13.22,12.65,13.10,,,,,,,0,11.9263,1,82706,,,,,0
2023-07-19,13.20,13.48,13.15,13.34,,,,,,,0,11.9263,1,102030,,,,,0
2023-07-20,13.28,13.36,12.95,13.01,,,,,,,0,12.0195,1,64814,,,,,0
2023-07-21,12.97,13.06,12.77,12.96,,,,,,,0,12.1071,1,50703,,,,,0
2023-07-24,12.98,13.49,12.98,13.40,,,,,,,0,12.1894,1,38467,,,,,0
2023-07-25,13.38,13.73,13.27,13.55,,,,,,,0,12.2932,1,39554,,,,,0
2023-07-26,13.28,13.66,13.24,13.58,12.99,,,,,14.9212,0,12.4365,1,53301,,,,,0
2023-07-27,13.58,14.07,13.39,13.71,13.12,,,,,14.9212,0,12.5654,1,97983,,,,,0
2023-07-28,13.62,13.71,13.31,13.45,13.27,,,,,14.9212,0,12.7460,1,55919,,,,,0
2023-07-31,13.66,14.06,13.58,13.97,13.41,,,,,14.9212,0,12.9048,1,57559,,,,,0
2023-08-01,13.80,14.00,13.62,13.87,13.48,,,,,14.9212,0,13.0446,1,33897,,,,,0
2023-08-02,13.76,13.88,13.43,13.67,13.52,,,,,14.9212,0,13.1677,1,64409,,,,,0
2023-08-03,13.66,13.81,13.51,13.79,13.60,,,,,14.9212,0,13.2759,1,55643,,,,,0
2023-08-04,13.82,13.91,13.42,13.47,13.65,,,,,14.9212,0,13.3712,1,70488,,,,,0
2023-08-07,13.53,13.68,13.26,13.41,13.65,,,,,14.8794,0,14.0699,0,36523,,,,,0
2023-08-08,13.04,13.43,12.95,13.38,13.63,,,,,14.6061,0,14.0537,0,29739,,,,,0
2023-08-09,13.50,13.90,13.45,13.51,13.62,13.31,,,,14.6061,0,14.0095,0,37699,,,,,0
2023-08-10,13.51,13.81,13.13,13.24,13.58,13.35,,,,14.6061,0,13.9671,0,33966,,,,,0
2023-08-11,13.26,13.60,13.26,13.35,13.57,13.42,,,,14.6061,0,13.9264,0,34607,,,,,0
2023-08-14,13.30,13.30,13.05,13.18,13.49,13.45,,,,14.5709,0,13.8873,0,29185,,,,,0
2023-08-15,13.13,13.22,12.79,12.89,13.39,13.44,,,,14.3933,0,13.8498,0,43260,,,,,0
2023-08-16,12.93,13.29,12.80,12.82,13.30,13.41,,,,14.3933,0,13.7863,0,39407,,,,,0
2023-08-17,13.02,13.13,12.72,12.81,13.21,13.40,,,,14.3083,0,13.7266,0,34084,,,,,0
2023-08-18,12.62,13.06,12.55,12.95,13.15,13.40,,,,14.1975,0,13.6461,0,37477,,,,,0
2023-08-21,12.98,13.13,12.59,12.75,13.09,13.37,,,,14.1975,0,13.5367,0,31921,,,,,0
2023-08-22,12.83,12.87,12.52,12.54,13.00,13.32,,,,14.0736,0,13.4383,0,27383,,,,,0
2023-08-23,12.41,12.69,12.20,12.55,12.91,13.26,,,,13.8369,0,13.3278,0,38099,,,,,0
2023-08-24,12.45,12.65,12.38,12.41,12.82,13.20,,,,13.8369,0,13.1699,0,26989,,,,,0
2023-08-25,12.57,12.57,12.28,12.36,12.72,13.15,,,,13.7119,0,13.0341,0,27667,,,,,0
2023-08-28,12.53,12.69,12.31,12.36,12.64,13.06,,,,13.7119,0,12.9173,0,51740,,,,,0
2023-08-29,12.46,12.68,12.22,12.57,12.61,13.00,,,,13.7119,0,12.8168,0,66726,,-0.2372,-0.1737,-0.0635,0
2023-08-30,12.60,12.63,12.35,12.38,12.57,12.94,,,,13.7119,0,12.7304,0,88512,,-0.2441,-0.1878,-0.0564,0
2023-08-31,12.46,12.67,12.18,12.47,12.53,12.87,,,,13.6895,0,12.6850,0,266210,,-0.2390,-0.1980,-0.0410,0
2023-09-01,12.72,13.47,12.62,13.15,12.55,12.85,,,,13.6895,0,12.1822,1,86864,,-0.1781,-0.1940,0.0159,0
