Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,21.46,21.77,21.19,21.25,,,,,,,0,21.1920,1,19372,,,,,0
2023-07-17,21.23,21.81,20.88,21.11,,,,,,,0,21.8100,0,18488,,,,,0
2023-07-18,21.17,21.44,20.58,20.69,,,,,,,0,21.8100,0,20874,,,,,0
2023-07-19,20.77,20.84,19.88,19.94,,,,,,,0,21.8100,0,13296,,,,,0
2023-07-20,19.95,20.19,19.56,19.90,,,,,,,0,21.6942,0,16467,,,,,0
2023-07-21,19.97,20.19,19.41,20.00,,,,,,,0,21.5235,0,18942,,,,,0
2023-07-24,19.95,20.15,19.28,19.58,,,,,,,0,21.3121,0,11431,,,,,0
2023-07-25,19.59,19.93,19.36,19.36,,,,,,,0,21.0683,0,7676,,,,,0
2023-07-26,19.34,19.68,19.10,19.13,,,,,,,0,20.8537,0,11836,,,,,0
2023-07-27,19.39,19.39,18.65,18.78,19.97,,,,,21.2696,0,20.6082,0,14547,,,,,0
2023-07-28,18.97,19.42,18.97,19.09,19.76,,,,,21.2696,0,20.2950,0,13008,,,,,0
2023-07-31,19.04,19.53,18.80,19.40,19.59,,,,,21.2696,0,20.0320,0,11139,,,,,0
2023-08-01,19.28,19.35,18.77,19.02,19.42,,,,,21.2407,0,19.8110,0,23159,,,,,0
2023-08-02,18.95,18.99,18.44,18.57,19.28,,,,,20.8526,0,19.6254,0,8462,,,,,0
2023-08-03,18.40,18.85,18.22,18.57,19.15,,,,,20.6456,0,19.4129,0,7016,,,,,0
2023-08-04,18.53,19.46,18.32,19.18,19.07,,,,,20.6456,0,18.2200,1,13447,,,,,0
2023-08-07,19.05,19.26,18.72,18.93,19.00,,,,,20.6456,0,18.2200,1,14302,,,,,0
2023-08-08,18.96,19.01,17.93,18.19,18.89,,,,,20.6456,0,19.4600,0,12358,,,,,0
