Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,19.25,19.44,18.93,19.00,,,,,,,0,19.4360,0,3958,,,,,0
2023-07-20,18.77,19.08,18.66,18.75,,,,,,,0,19.4360,0,3927,,,,,0
2023-07-21,18.86,19.04,18.54,18.59,,,,,,,0,19.4360,0,3725,,,,,0
2023-07-24,18.70,18.85,18.33,18.43,,,,,,,0,19.4003,0,3146,,,,,0
2023-07-25,18.48,18.68,18.48,18.48,,,,,,,0,19.3364,0,3166,,,,,0
2023-07-26,18.57,18.84,18.34,18.58,,,,,,,0,19.2763,0,3131,,,,,0
2023-07-27,18.98,19.17,18.24,18.39,,,,,,,0,19.2198,0,3352,,,,,0
2023-07-28,18.59,19.57,18.59,19.49,,,,,,,0,18.2400,1,5276,,,,,0
2023-07-31,19.56,20.05,19.50,19.99,,,,,,,0,18.2400,1,7454,,,,,0
2023-08-01,19.96,20.08,19.56,19.77,18.95,,,,,21.5807,0,18.3124,1,4968,,,,,0
2023-08-02,19.66,19.73,19.03,19.43,18.99,,,,,21.1862,0,18.4185,1,5730,,,,,0
2023-08-03,19.46,19.68,19.23,19.42,19.06,,,,,21.1862,0,18.5181,1,4103,,,,,0
2023-08-04,19.43,19.79,19.20,19.48,19.15,,,,,21.1862,0,18.6119,1,3954,,,,,0
2023-08-07,19.50,19.50,18.84,19.21,19.22,,,,,20.9553,0,18.6999,1,4660,,,,,0
2023-08-08,18.97,18.97,18.17,18.56,19.23,,,,,20.4888,0,20.0800,0,8244,,,,,0
2023-08-09,14.48,14.70,12.27,12.30,18.60,,,,,17.0979,0,20.0418,0,43222,,,,,0
2023-08-10,12.75,13.63,12.16,13.09,18.07,,,,,16.5909,0,19.7307,0,17804,,,,,0
2023-08-11,13.00,13.49,12.98,13.30,17.45,,,,,16.5909,0,19.2768,0,7969,,,,,0
2023-08-14,13.25,13.25,12.82,13.00,16.76,,,,,16.3093,0,18.8501,0,7861,,,,,0
2023-08-15,12.77,13.00,12.53,12.85,16.06,17.51,,,,15.8507,0,18.4490,0,4838,,,,,0
2023-08-16,12.55,13.08,12.50,12.51,15.37,17.18,,,,15.7411,0,18.0719,0,6082,,,,,0
2023-08-17,12.50,12.65,12.17,12.20,14.65,16.85,,,,15.2100,0,17.7175,0,5906,,,,,0
2023-08-18,12.02,12.47,12.02,12.29,13.93,16.54,,,,14.9004,0,17.3844,0,6627,,,,,0
2023-08-21,12.21,12.53,12.08,12.14,13.22,16.22,,,,14.8279,0,16.9551,0,3801,,,,,0
2023-08-22,12.17,12.47,12.17,12.43,12.61,15.92,,,,14.6910,0,16.5601,0,4539,,,,,0
2023-08-23,12.43,13.25,12.40,13.20,12.70,15.65,,,,14.6910,0,16.1967,0,7413,,,,,0
2023-08-24,13.19,13.22,12.61,12.67,12.66,15.37,,,,14.6910,0,15.8624,0,6079,,,,,0
2023-08-25,12.67,13.00,12.49,12.91,12.62,15.04,,,,14.6910,0,15.5549,0,5646,,,,,0
2023-08-28,12.96,12.98,12.65,12.72,12.59,14.67,,,,14.6910,0,15.2719,0,4511,,,,,0
2023-08-29,12.69,13.49,12.69,13.19,12.63,14.34,,,,14.6910,0,15.0116,0,10759,,,,,0
2023-08-30,13.24,13.88,13.19,13.77,12.75,14.06,,,,14.6910,0,14.7721,0,5788,,,,,0
2023-08-31,13.78,14.13,13.78,13.90,12.92,13.79,,,,14.6910,0,14.5518,0,5500,,,,,0
2023-09-01,14.07,14.47,14.07,14.23,13.12,13.52,,,,14.6910,0,12.0180,1,5542,,,,,0
2023-09-05,14.07,14.49,13.95,14.35,13.34,13.28,,,,14.6910,0,12.0670,1,6485,,-1.3863,-2.0890,0.7027,0
2023-09-06,14.36,14.47,13.69,13.99,13.49,13.05,,,,14.6910,0,12.1640,1,4980,,-1.2592,-1.9230,0.6638,0
2023-09-07,13.75,13.89,13.22,13.40,13.51,13.11,,,,14.6910,0,12.2570,1,4971,,-1.1923,-1.7769,0.5846,0
2023-09-08,13.48,13.53,12.85,12.93,13.54,13.10,,,,14.6910,0,12.3463,1,4679,,-1.1638,-1.6543,0.4905,0
2023-09-11,12.98,13.23,12.98,13.05,13.55,13.09,,,,14.6910,0,12.4321,1,3244,,-1.1186,-1.5471,0.4285,0
2023-09-12,12.90,13.00,12.53,12.75,13.56,13.07,,,,14.6520,0,12.5144,1,4891,,-1.0944,-1.4566,0.3622,0
2023-09-13,12.75,12.75,12.42,12.58,13.49,13.06,,,,14.3823,0,14.4900,0,4413,,-1.0765,-1.3806,0.3041,0
2023-09-14,12.66,12.88,12.64,12.79,13.40,13.07,,,,14.3823,0,14.4486,0,3657,,-1.0335,-1.3111,0.2777,0
2023-09-15,12.76,12.76,12.40,12.53,13.26,13.09,,,,14.2315,0,14.4080,0,6111,,-1.0087,-1.2507,0.2419,0
2023-09-18,12.41,12.44,12.21,12.27,13.06,13.09,,,,13.9086,0,14.3275,0,3375,,-0.9986,-1.2002,0.2017,0
2023-09-19,12.25,12.36,11.97,12.21,12.85,13.09,,,,13.7081,0,14.2005,0,4005,,-0.9840,-1.1570,0.1730,0
2023-09-20,12.28,12.44,11.99,11.99,12.65,13.07,,,,13.7081,0,14.0220,0,2976,,-0.9790,-1.1214,0.1424,0
2023-09-21,11.82,11.97,11.64,11.77,12.49,13.00,,,,13.2814,0,13.8579,0,3916,,-0.9814,-1.0934,0.1120,0
2023-09-22,11.82,11.92,11.70,11.72,12.37,12.95,,,,13.2058,0,13.6361,0,3177,,-0.9761,-1.0699,0.0938,0
2023-09-25,11.63,11.89,11.61,11.83,12.24,12.90,,,,13.0880,0,13.4365,0,2370,,-0.9521,-1.0464,0.0943,0
2023-09-26,11.71,11.85,11.59,11.60,12.13,12.84,,,,13.0044,0,13.2173,0,2380,,-0.9407,-1.0252,0.0845,0
2023-09-27,11.71,11.86,11.61,11.63,12.03,12.76,14.63,,,12.9710,0,12.9888,0,2000,5926,-0.9187,-1.0039,0.0852,0
2023-09-28,11.57,12.19,11.57,12.13,11.97,12.68,14.50,,,12.9710,0,12.7922,0,4037,5928,-0.8511,-0.9734,0.1222,0
2023-09-29,12.31,12.40,12.07,12.10,11.93,12.59,14.36,,,12.9710,0,12.5967,0,3764,5925,-0.7909,-0.9369,0.1460,0
2023-10-02,12.04,12.10,11.69,11.76,11.87,12.47,14.23,,,12.9710,0,12.4324,0,4036,5931,-0.7618,-0.9019,0.1401,0
2023-10-03,11.63,11.93,11.62,11.71,11.82,12.34,14.09,,,12.9710,0,12.4000,0,3705,5942,-0.7343,-0.8683,0.1341,0
2023-10-04,11.75,12.01,11.64,11.91,11.82,12.23,13.96,,,12.9710,0,12.2672,0,2798,5935,-0.6884,-0.8324,0.1439,0
2023-10-05,11.88,11.98,11.77,11.89,11.83,12.16,13.83,,,12.9710,0,12.1556,0,3374,5940,-0.6462,-0.7951,0.1489,0
2023-10-06,11.70,12.10,11.70,12.03,11.86,12.11,13.70,,,12.9710,0,11.5700,1,2828,5929,-0.5947,-0.7550,0.1604,0
2023-10-09,11.82,12.40,11.81,12.28,11.90,12.07,13.56,,,12.9710,0,11.5806,1,3155,5887,-0.5275,-0.7095,0.1820,0
2023-10-10,12.31,12.62,12.30,12.41,11.99,12.06,13.40,,,12.9710,0,11.6132,1,3389,5805,-0.4585,-0.6593,0.2008,0
2023-10-11,12.45,12.54,12.25,12.37,12.06,12.05,13.26,,,12.9710,0,11.6736,1,2297,5752,-0.4025,-0.6080,0.2055,0
2023-10-12,12.42,12.42,12.11,12.14,12.06,12.01,13.11,,,12.9710,0,11.7304,1,2064,5679,-0.3723,-0.5608,0.1885,0
2023-10-13,12.18,12.18,11.99,12.01,12.05,11.99,12.96,,,12.9710,0,11.7837,1,2176,5640,-0.3548,-0.5196,0.1648,0
2023-10-16,12.00,12.56,11.94,12.51,12.13,12.00,12.82,,,12.9710,0,11.8339,1,2758,5616,-0.2971,-0.4751,0.1780,0
2023-10-17,12.32,12.77,12.32,12.53,12.21,12.02,12.69,,,12.9710,0,11.8811,1,3756,5598,-0.2470,-0.4295,0.1825,0
2023-10-18,12.35,12.53,12.10,12.14,12.23,12.02,12.56,,,12.9710,0,11.9400,1,3007,5493,-0.2360,-0.3908,0.1548,0
2023-10-19,12.24,12.30,12.04,12.07,12.25,12.04,12.56,,,12.9710,0,12.0064,1,3253,4694,-0.2303,-0.3587,0.1284,0
2023-10-20,12.08,12.08,11.66,11.69,12.21,12.04,12.53,,,12.9710,0,12.7700,0,3332,4404,-0.2535,-0.3376,0.0842,0
2023-10-23,11.61,12.08,11.61,11.96,12.18,12.04,12.50,,,12.9710,0,12.7478,0,2473,4295,-0.2472,-0.3196,0.0723,0
2023-10-24,12.11,12.36,12.03,12.10,12.15,12.07,12.48,,,12.9710,0,12.7023,0,2499,4187,-0.2284,-0.3013,0.0730,0
2023-10-25,11.92,12.00,11.65,11.68,12.08,12.07,12.46,,,12.9710,0,12.6586,0,2914,4149,-0.2445,-0.2899,0.0455,0
2023-10-26,11.62,11.77,11.21,11.37,12.01,12.03,12.44,,,12.7383,0,12.6167,0,3844,4104,-0.2790,-0.2878,0.0087,0
2023-10-27,11.43,11.50,11.23,11.26,11.93,11.99,12.42,,,12.5718,0,12.5323,0,2658,4039,-0.3117,-0.2926,-0.0192,0
2023-10-30,11.36,11.43,11.13,11.23,11.80,11.96,12.40,,,12.4561,0,12.4529,0,2259,3952,-0.3362,-0.3013,-0.0349,0
2023-10-31,11.25,11.44,11.14,11.27,11.68,11.94,12.38,,,12.4385,0,12.3471,0,2307,3922,-0.3483,-0.3107,-0.0376,0
