Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,21.80,22.20,21.40,21.40,,,,,,,0,21.4000,1,313,,,,,0
2023-07-20,22.20,22.40,21.40,21.80,,,,,,,0,21.4000,1,705,,,,,0
2023-07-21,22.00,22.20,21.20,21.20,,,,,,,0,22.4000,0,313,,,,,0
2023-07-24,21.20,21.80,21.20,21.80,,,,,,,0,22.4000,0,365,,,,,0
2023-07-25,21.80,22.60,21.60,21.60,,,,,,,0,21.2000,1,306,,,,,0
2023-07-26,21.60,22.00,21.40,21.60,,,,,,,0,21.2000,1,182,,,,,0
2023-07-27,21.60,21.80,20.60,20.80,,,,,,,0,22.6000,0,339,,,,,0
2023-07-28,20.80,21.60,20.80,21.20,,,,,,,0,22.5600,0,193,,,,,0
2023-07-31,21.20,22.40,21.20,21.60,,,,,,,0,22.5208,0,297,,,,,0
2023-08-01,22.80,23.40,21.60,23.40,21.64,,,,,25.5000,0,20.6000,1,1917,,,,,0
2023-08-02,22.80,23.00,21.80,22.60,21.76,,,,,25.5000,0,20.6560,1,730,,,,,0
2023-08-03,22.20,22.60,21.20,21.60,21.74,,,,,25.1820,0,20.7109,1,349,,,,,0
2023-08-04,21.80,22.00,21.40,22.00,21.82,,,,,24.8338,0,20.7647,1,164,,,,,0
2023-08-07,21.80,22.00,20.00,20.80,21.72,,,,,24.4204,0,23.4000,0,573,,,,,0
2023-08-08,19.00,19.00,13.80,14.40,21.00,,,,,21.5784,0,23.3320,0,1600,,,,,0
2023-08-09,14.60,15.00,13.80,14.00,20.24,,,,,19.4205,0,22.9507,0,629,,,,,0
2023-08-10,14.00,14.20,12.80,13.00,19.46,,,,,18.4385,0,22.5847,0,673,,,,,0
2023-08-11,13.00,13.80,13.00,13.60,18.70,,,,,18.0846,0,21.9976,0,435,,,,,0
2023-08-14,13.60,13.60,13.00,13.00,17.84,,,,,17.6962,0,21.4458,0,377,,,,,0
2023-08-15,13.60,13.60,12.60,12.80,16.78,19.21,,,,17.3566,0,20.9270,0,283,,,,,0
2023-08-16,12.60,13.40,12.60,12.80,15.80,18.78,,,,17.0709,0,20.2608,0,188,,,,,0
2023-08-17,12.80,13.20,12.60,12.80,14.92,18.33,,,,16.7438,0,19.6480,0,168,,,,,0
2023-08-18,12.60,13.00,12.40,12.60,13.98,17.90,,,,16.3394,0,19.0841,0,167,,,,,0
2023-08-21,12.60,13.00,12.40,12.40,13.14,17.43,,,,16.1555,0,18.4157,0,102,,,,,0
2023-08-22,12.60,13.00,12.20,12.80,12.98,16.99,,,,15.9499,0,17.8142,0,118,,,,,0
2023-08-23,13.20,13.20,12.20,12.40,12.82,16.53,,,,15.9499,0,17.1405,0,121,,,,,0
2023-08-24,12.20,12.60,11.60,11.80,12.70,16.08,,,,15.3835,0,16.5476,0,311,,,,,0
2023-08-25,12.00,12.80,11.60,11.80,12.52,15.61,,,,15.3835,0,15.8549,0,210,,,,,0
2023-08-28,11.60,12.20,11.60,12.00,12.42,15.13,,,,15.0636,0,15.2592,0,43,,,,,0
2023-08-29,12.00,12.00,11.80,12.00,12.34,14.56,,,,14.8072,0,14.7470,0,102,,,,,0
2023-08-30,11.80,13.40,11.80,12.80,12.34,14.07,,,,14.8072,0,14.3064,0,151,,,,,0
2023-08-31,13.00,13.20,12.20,12.40,12.30,13.61,,,,14.8072,0,13.9275,0,178,,,,,0
2023-09-01,12.60,13.40,12.20,12.60,12.30,13.14,,,,14.8072,0,13.6016,0,152,,,,,0
2023-09-05,12.40,14.40,12.20,13.20,12.38,12.76,,,,14.8072,0,11.6000,1,325,,-2.3776,-3.1160,0.7384,0
2023-09-06,13.00,14.20,13.00,13.20,12.42,12.70,,,,14.8072,0,11.6560,1,264,,-2.1762,-2.9280,0.7519,0
2023-09-07,13.40,13.60,12.40,12.40,12.42,12.62,,,,14.8072,0,11.7109,1,350,,-2.0573,-2.7539,0.6966,0
2023-09-08,12.60,13.20,12.40,13.00,12.54,12.62,,,,14.8072,0,11.7647,1,124,,-1.8929,-2.5817,0.6888,0
2023-09-11,13.00,13.80,13.00,13.00,12.66,12.59,,,,14.8072,0,11.8174,1,84,,-1.7425,-2.4139,0.6713,0
2023-09-12,13.60,13.60,12.60,12.60,12.72,12.57,,,,14.8072,0,11.8690,1,184,,-1.6368,-2.2585,0.6217,0
2023-09-13,12.80,13.60,12.80,13.40,12.86,12.60,,,,14.8072,0,11.9196,1,69,,-1.4714,-2.1010,0.6296,0
2023-09-14,13.60,15.20,13.60,15.00,13.08,12.71,,,,10.9441,1,11.9692,1,488,,-1.1975,-1.9203,0.7228,0
2023-09-15,15.00,16.20,15.00,15.60,13.40,12.85,,,,12.1297,1,12.0985,1,256,,-0.9214,-1.7205,0.7992,0
2023-09-18,15.60,15.60,14.00,15.20,13.66,12.98,,,,12.1297,1,12.3446,1,112,,-0.7264,-1.5217,0.7953,0
2023-09-19,15.40,15.40,14.60,15.20,13.86,13.12,,,,12.1297,1,12.5759,1,81,,-0.5654,-1.3305,0.7650,0
2023-09-20,14.60,15.00,14.00,14.40,13.98,13.20,,,,12.1297,1,12.7933,1,57,,-0.4966,-1.1637,0.6671,0
2023-09-21,14.60,15.20,13.20,13.60,14.10,13.26,,,,12.1297,1,12.9977,1,72,,-0.5009,-1.0311,0.5302,0
2023-09-22,13.60,14.00,13.00,13.20,14.12,13.33,,,,12.1297,1,16.2000,0,97,,-0.5305,-0.9310,0.4005,0
2023-09-25,13.20,13.80,12.80,12.80,14.10,13.38,,,,12.1297,1,16.1360,0,74,,-0.5795,-0.8607,0.2812,0
2023-09-26,12.60,12.80,12.00,12.20,14.06,13.39,,,,12.1297,1,16.0026,0,65,,-0.6592,-0.8204,0.1612,0
2023-09-27,12.40,12.80,12.20,12.20,13.94,13.40,15.51,,,12.1297,1,15.7624,0,38,310,-0.7141,-0.7991,0.0851,0
2023-09-28,12.40,12.60,12.20,12.20,13.66,13.37,15.33,,,12.1297,1,15.5367,0,23,304,-0.7489,-0.7891,0.0402,0
2023-09-29,12.80,13.20,12.20,12.20,13.32,13.36,15.14,,,12.1297,1,15.3245,0,94,292,-0.7677,-0.7848,0.0171,0
2023-10-02,12.40,12.60,11.80,12.20,13.02,13.34,14.96,,,12.1297,1,15.1250,0,30,286,-0.7737,-0.7826,0.0089,0
2023-10-03,12.60,12.60,11.60,11.80,12.68,13.27,14.76,,,15.1214,0,14.8590,0,88,281,-0.8015,-0.7864,-0.0151,0
2023-10-04,11.80,12.20,11.80,12.00,12.44,13.21,14.56,,,14.8393,0,14.5331,0,102,277,-0.7981,-0.7887,-0.0094,0
2023-10-05,12.00,14.20,12.00,13.40,12.42,13.26,14.40,,,14.8393,0,14.2398,0,68,274,-0.6748,-0.7659,0.0912,0
2023-10-06,13.00,13.40,12.60,13.40,12.44,13.28,14.25,,,14.8393,0,14.2000,0,27,268,-0.5704,-0.7268,0.1564,0
2023-10-09,13.00,13.00,11.80,12.00,12.36,13.23,14.07,,,14.8393,0,14.2000,0,55,265,-0.5938,-0.7002,0.1064,0
2023-10-10,12.00,13.00,11.80,12.60,12.40,13.23,13.89,,,14.8393,0,13.9400,0,119,262,-0.5575,-0.6717,0.1142,0
2023-10-11,12.40,13.40,12.00,12.00,12.38,13.16,13.66,,,14.8393,0,13.7060,0,90,225,-0.5706,-0.6515,0.0809,0
2023-10-12,12.60,12.80,12.00,12.60,12.42,13.04,13.46,,,14.8393,0,13.4954,0,27,211,-0.5265,-0.6265,0.1000,0
2023-10-13,12.60,13.00,11.80,12.00,12.40,12.86,13.27,,,14.8393,0,13.4000,0,31,205,-0.5338,-0.6079,0.0741,0
2023-10-16,12.20,12.60,11.80,12.00,12.38,12.70,13.07,,,14.8393,0,13.2200,0,42,202,-0.5334,-0.5930,0.0596,0
2023-10-17,11.80,12.60,11.60,12.00,12.40,12.54,12.89,,,14.8393,0,13.0580,0,100,193,-0.5271,-0.5798,0.0528,0
2023-10-18,12.40,12.40,11.60,12.00,12.40,12.42,12.84,,,14.8393,0,12.9122,0,25,161,-0.5161,-0.5671,0.0510,0
2023-10-19,11.20,11.80,10.00,10.00,12.06,12.24,12.76,,,14.3280,0,12.7810,0,905,167,-0.6611,-0.5859,-0.0752,0
