Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,106.62,107.79,105.84,106.77,,,,,,,0,107.7950,0,76116,,,,,0
2023-07-19,106.63,107.33,105.77,105.84,,,,,,,0,107.7950,0,69018,,,,,0
2023-07-20,104.70,106.13,104.10,104.79,,,,,,,0,107.7950,0,133618,,,,,0
2023-07-21,106.05,108.48,105.54,107.09,,,,,,,0,104.1000,1,130093,,,,,0
2023-07-24,106.89,107.84,106.51,106.75,,,,,,,0,104.1000,1,78002,,,,,0
2023-07-25,107.25,108.13,106.90,107.13,,,,,,,0,104.1876,1,98024,,,,,0
2023-07-26,105.76,107.76,105.33,106.97,,,,,,,0,104.2734,1,118961,,,,,0
2023-07-27,108.86,110.14,106.49,106.98,,,,,,,0,104.3576,1,149023,,,,,0
2023-07-28,108.97,110.05,107.60,109.49,,,,,,,0,104.5889,1,152301,,,,,0
2023-07-31,109.65,111.22,109.65,110.02,107.18,,,,,117.2810,0,104.8109,1,98215,,,,,0
2023-08-01,108.97,110.87,108.71,110.21,107.53,,,,,116.5994,0,105.1955,1,102606,,,,,0
2023-08-02,108.38,109.35,105.93,106.11,107.55,,,,,115.0525,0,105.5569,1,211965,,,,,0
2023-08-03,112.00,112.12,104.04,105.84,107.66,,,,,115.0525,0,111.2200,0,286721,,,,,0
2023-08-04,105.58,108.23,105.44,106.88,107.64,,,,,115.0525,0,112.1200,0,121052,,,,,0
2023-08-07,107.08,107.57,105.54,106.72,107.63,,,,,115.0525,0,112.1200,0,115951,,,,,0
2023-08-08,105.25,106.59,103.76,106.20,107.54,,,,,113.9195,0,111.9584,0,119369,,,,,0
2023-08-09,105.99,106.82,104.92,105.10,107.35,,,,,113.9195,0,111.6305,0,82609,,,,,0
2023-08-10,106.20,106.86,103.66,104.36,107.09,,,,,113.8171,0,111.3156,0,110716,,,,,0
2023-08-11,102.95,102.96,101.12,101.88,106.33,,,,,110.7134,0,110.8563,0,135022,,,,,0
2023-08-14,101.24,103.36,100.97,103.19,105.65,106.42,,,,110.6881,0,110.0774,0,116264,,,,,0
2023-08-15,102.02,102.20,99.36,99.52,104.58,106.05,,,,109.5998,0,109.1667,0,139049,,,,,0
2023-08-16,99.34,99.34,96.92,97.22,103.69,105.62,,,,106.8478,0,107.9899,0,143127,,,,,0
2023-08-17,97.22,98.78,96.74,98.25,102.93,105.30,,,,106.2180,0,106.4401,0,122321,,,,,0
2023-08-18,97.05,99.27,97.05,98.96,102.14,104.89,,,,106.2180,0,104.8881,0,110410,,,,,0
2023-08-21,99.08,101.20,99.02,100.62,101.53,104.58,,,,106.2180,0,103.5844,0,86916,,,,,0
2023-08-22,101.37,102.00,100.04,100.16,100.93,104.23,,,,106.2180,0,102.4893,0,72456,,,,,0
2023-08-23,99.98,102.64,99.70,102.22,100.64,104.00,,,,106.2180,0,96.7400,1,101157,,,,,0
2023-08-24,103.00,103.13,99.63,99.73,100.18,103.63,,,,106.2180,0,96.8579,1,141337,,,,,0
2023-08-25,100.14,101.99,99.07,101.53,100.14,103.24,,,,106.2180,0,97.1088,1,105652,,,,,0
2023-08-28,102.00,104.02,101.93,103.78,100.20,102.92,,,,106.2180,0,97.3496,1,97543,,,,,0
2023-08-29,103.20,106.28,103.20,105.75,100.82,102.70,,,,106.2180,0,97.7499,1,117383,,,,,0
2023-08-30,105.42,106.84,104.41,106.46,101.75,102.72,,,,97.4169,1,98.4319,1,99370,,,,,0
2023-08-31,105.98,108.15,105.98,107.39,102.66,102.80,,,,99.0268,1,99.2727,1,140552,,,,,0
2023-09-01,107.80,108.50,107.20,108.45,103.61,102.87,,,,100.2256,1,100.3380,1,79884,,-0.4111,-2.0317,1.6206,0
2023-09-05,108.00,108.38,107.01,107.17,104.26,102.90,,,,100.4010,1,101.4806,1,125207,,-0.1591,-1.6572,1.4980,0
2023-09-06,106.95,107.33,104.86,106.24,104.87,102.90,,,,100.4010,1,102.4634,1,129942,,-0.0341,-1.3325,1.2984,0
2023-09-07,103.85,104.37,98.03,98.72,104.52,102.58,,,,110.2372,0,108.5000,0,253967,,-0.5356,-1.1732,0.6375,0
2023-09-08,98.30,99.46,97.97,99.34,104.48,102.33,,,,107.2955,0,108.2906,0,124821,,-0.8730,-1.1131,0.2401,0
2023-09-11,100.48,100.90,97.09,97.21,104.05,102.10,,,,107.2955,0,107.8778,0,130845,,-1.2973,-1.1500,-0.1473,0
2023-09-12,96.46,97.45,94.11,94.51,103.12,101.66,,,,104.7614,0,107.2305,0,195002,,-1.8304,-1.2860,-0.5443,0
2023-09-13,94.37,95.21,93.72,94.34,101.98,101.40,,,,102.9963,0,106.1809,0,116359,,-2.2407,-1.4770,-0.7637,0
2023-09-14,95.42,96.48,94.76,96.10,100.95,101.35,,,,102.9963,0,104.9353,0,152741,,-2.3962,-1.6608,-0.7354,0
2023-09-15,95.65,97.00,95.17,95.93,99.80,101.23,,,,102.9963,0,103.8143,0,212600,,-2.5043,-1.8295,-0.6748,0
2023-09-18,95.81,97.47,95.81,96.87,98.64,101.13,,,,102.9963,0,102.8053,0,148075,,-2.4855,-1.9607,-0.5248,0
2023-09-19,96.90,96.90,95.52,95.65,97.49,100.88,,,,102.9963,0,101.8973,0,69059,,-2.5398,-2.0765,-0.4632,0
2023-09-20,96.13,96.61,95.17,95.21,96.39,100.63,,,,102.9545,0,101.0801,0,99885,,-2.5884,-2.1789,-0.4095,0
2023-09-21,94.47,95.69,94.47,94.55,95.97,100.25,,,,101.8081,0,100.3446,0,90929,,-2.6497,-2.2731,-0.3766,0
2023-09-22,95.22,95.24,93.84,94.13,95.45,99.97,,,,101.0130,0,99.6826,0,71868,,-2.7010,-2.3587,-0.3424,0
2023-09-25,93.49,96.71,93.49,96.50,95.38,99.71,,,,101.0130,0,99.0868,0,111371,,-2.5214,-2.3912,-0.1302,0
2023-09-26,95.40,96.38,94.60,94.81,95.41,99.27,102.31,,,101.0130,0,98.4152,0,147145,124852,-2.4867,-2.4103,-0.0764,0
2023-09-27,94.99,95.50,93.48,94.56,95.43,98.71,102.07,,,101.0130,0,97.8242,0,133169,125993,-2.4512,-2.4185,-0.0327,0
2023-09-28,94.41,96.60,94.41,95.47,95.37,98.16,101.86,,,101.0130,0,97.2160,0,101914,126651,-2.3228,-2.3993,0.0765,0
2023-09-29,96.79,96.93,95.29,95.47,95.32,97.56,101.67,,,101.0130,0,93.4800,1,80233,125584,-2.1957,-2.3586,0.1629,0
2023-10-02,95.03,95.98,94.47,95.12,95.15,96.89,101.44,,,101.0130,0,93.5489,1,116503,125312,-2.0991,-2.3067,0.2076,0
2023-10-03,94.75,96.87,93.18,93.73,94.96,96.22,101.17,,,101.0130,0,96.9250,0,97301,125698,-2.1103,-2.2674,0.1571,0
2023-10-04,93.86,94.28,93.06,94.10,94.84,95.62,100.91,,,100.0976,0,96.8700,0,89103,125519,-2.0656,-2.2271,0.1615,0
2023-10-05,94.27,94.58,92.95,93.92,94.78,95.38,100.65,,,100.0389,0,96.8700,0,81879,124778,-2.0213,-2.1859,0.1646,0
2023-10-06,93.84,95.78,93.23,94.83,94.85,95.15,100.41,,,100.0389,0,96.6348,0,97609,123749,-1.8910,-2.1269,0.2359,0
