Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,20.33,21.31,20.31,21.27,,,,,,,0,20.3111,1,195,,,,,0
2023-07-18,21.16,21.52,21.04,21.52,,,,,,,0,20.3111,1,295,,,,,0
2023-07-19,21.52,21.52,20.94,21.42,,,,,,,0,20.3111,1,181,,,,,0
2023-07-20,20.71,21.46,20.71,21.46,,,,,,,0,20.3353,1,171,,,,,0
2023-07-21,21.52,21.52,20.69,20.80,,,,,,,0,20.3590,1,239,,,,,0
2023-07-24,20.83,20.83,20.23,20.73,,,,,,,0,21.5210,0,121,,,,,0
2023-07-25,20.51,20.79,20.33,20.76,,,,,,,0,21.5210,0,138,,,,,0
2023-07-26,20.73,20.73,20.35,20.36,,,,,,,0,21.4952,0,113,,,,,0
2023-07-27,20.72,21.82,20.24,21.51,,,,,,,0,20.2317,1,1134,,,,,0
2023-07-28,21.31,21.54,20.75,20.92,21.07,,,,,23.3881,0,20.2416,1,215,,,,,0
2023-07-31,20.80,21.03,19.93,20.54,21.00,,,,,22.8252,0,21.8185,0,172,,,,,0
2023-08-01,20.71,20.97,20.56,20.58,20.91,,,,,22.8252,0,21.7808,0,172,,,,,0
2023-08-02,20.39,21.15,20.33,20.33,20.80,,,,,22.8252,0,21.7439,0,158,,,,,0
2023-08-03,20.45,21.27,19.81,20.08,20.66,,,,,22.8252,0,21.7077,0,158,,,,,0
2023-08-04,20.30,20.30,19.59,20.13,20.59,,,,,22.3856,0,21.6316,0,140,,,,,0
2023-08-07,20.43,20.79,19.70,19.93,20.51,,,,,22.3856,0,21.5089,0,320,,,,,0
2023-08-08,20.10,20.10,19.35,19.87,20.43,,,,,22.2255,0,21.3936,0,196,,,,,0
2023-08-09,21.29,21.29,19.66,19.69,20.36,,,,,22.2255,0,19.3491,1,292,,,,,0
2023-08-10,19.84,20.63,19.84,20.63,20.27,,,,,22.2255,0,19.3491,1,218,,,,,0
2023-08-11,20.37,20.82,20.37,20.60,20.24,20.66,,,,22.2255,0,19.3879,1,195,,,,,0
2023-08-14,20.78,20.95,20.07,20.95,20.28,20.64,,,,22.2255,0,19.4260,1,199,,,,,0
2023-08-15,20.69,21.08,20.14,20.73,20.29,20.60,,,,22.2255,0,19.4634,1,182,,,,,0
2023-08-16,20.93,21.57,20.37,21.16,20.38,20.59,,,,22.2255,0,19.5000,1,391,,,,,0
