Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,29.92,30.35,29.44,30.29,,,,,,,0,29.4415,1,1789,,,,,0
2023-07-21,30.35,31.03,29.71,29.83,,,,,,,0,29.4415,1,1290,,,,,0
2023-07-24,29.66,31.00,29.66,30.45,,,,,,,0,29.4415,1,2098,,,,,0
2023-07-25,30.51,31.15,30.12,30.76,,,,,,,0,29.4732,1,1651,,,,,0
2023-07-26,30.72,31.06,30.37,30.71,,,,,,,0,29.5402,1,1515,,,,,0
2023-07-27,31.27,31.44,30.43,30.62,,,,,,,0,29.6045,1,1363,,,,,0
2023-07-28,30.52,31.52,30.49,31.29,,,,,,,0,29.7145,1,1668,,,,,0
2023-07-31,31.30,32.43,30.73,31.96,,,,,,,0,29.8593,1,2524,,,,,0
2023-08-01,32.12,32.12,30.81,31.48,,,,,,,0,30.1162,1,2394,,,,,0
2023-08-02,31.51,31.51,30.02,30.37,30.78,,,,,34.3074,0,32.4283,0,1502,,,,,0
2023-08-03,30.17,31.76,29.70,31.46,30.89,,,,,34.3074,0,32.3801,0,2440,,,,,0
2023-08-04,31.68,32.43,31.46,32.01,31.11,,,,,34.3074,0,29.6975,1,2187,,,,,0
2023-08-07,32.43,32.43,31.54,31.81,31.25,,,,,34.3074,0,29.6975,1,1637,,,,,0
2023-08-08,29.52,30.92,25.86,28.75,31.05,,,,,33.4269,0,32.4283,0,5953,,,,,0
2023-08-09,29.35,30.30,28.83,28.92,30.87,,,,,33.4269,0,32.4283,0,1925,,,,,0
2023-08-10,28.93,29.41,28.65,29.25,30.73,,,,,33.4269,0,32.2968,0,1916,,,,,0
2023-08-11,29.00,30.11,29.00,29.80,30.58,,,,,33.4269,0,32.1681,0,1708,,,,,0
2023-08-14,29.71,29.80,29.44,29.59,30.34,,,,,33.4269,0,32.0418,0,797,,,,,0
2023-08-15,29.32,29.32,28.55,28.72,30.07,,,,,33.0616,0,31.9181,0,1599,,,,,0
2023-08-16,29.02,29.25,27.81,28.02,29.83,30.30,,,,32.6697,0,31.7969,0,1543,,,,,0
2023-08-17,28.47,28.76,28.16,28.47,29.53,30.21,,,,32.4075,0,31.6781,0,1705,,,,,0
2023-08-18,28.16,29.16,28.00,28.93,29.23,30.17,,,,32.4075,0,31.5617,0,1546,,,,,0
2023-08-21,29.01,29.65,29.01,29.07,28.95,30.10,,,,32.4075,0,31.4476,0,1240,,,,,0
2023-08-22,29.47,29.48,28.75,28.87,28.96,30.01,,,,32.4075,0,31.3358,0,1813,,,,,0
2023-08-23,28.60,28.97,27.85,28.02,28.87,29.87,,,,31.9666,0,31.2263,0,1405,,,,,0
2023-08-24,27.88,28.46,27.35,27.69,28.72,29.72,,,,31.4363,0,31.1189,0,1584,,,,,0
2023-08-25,27.59,28.03,27.39,27.76,28.51,29.55,,,,31.0833,0,31.0136,0,1662,,,,,0
2023-08-28,27.81,28.59,27.67,28.30,28.39,29.36,,,,31.0833,0,30.9105,0,1635,,,,,0
2023-08-29,28.34,28.46,27.65,28.02,28.31,29.19,,,,31.0833,0,30.8094,0,1592,,,,,0
2023-08-30,28.37,28.66,27.57,27.64,28.28,29.05,,,,31.0833,0,30.7104,0,1866,,,,,0
2023-08-31,27.93,28.61,27.86,28.58,28.29,28.91,,,,31.0833,0,30.6133,0,2840,,,,,0
2023-09-01,28.66,29.70,28.66,29.44,28.34,28.78,,,,31.0833,0,30.5182,0,2767,,,,,0
2023-09-05,29.30,29.64,28.45,28.78,28.31,28.63,,,,31.0833,0,30.4250,0,2145,,,,,0
2023-09-06,28.66,29.04,28.20,28.37,28.26,28.61,,,,31.0833,0,30.3336,0,1337,,-0.6413,-0.8919,0.2506,0
2023-09-07,28.24,29.01,28.22,28.45,28.30,28.59,,,,31.0833,0,30.2441,0,1774,,-0.6034,-0.8342,0.2308,0
2023-09-08,28.47,28.47,28.05,28.19,28.35,28.54,,,,31.0833,0,30.1564,0,1437,,-0.5879,-0.7849,0.1971,0
2023-09-11,28.43,28.78,26.72,26.81,28.26,28.39,,,,30.9789,0,30.0704,0,1725,,-0.6787,-0.7637,0.0850,0
2023-09-12,27.05,28.44,26.94,27.68,28.20,28.29,,,,30.9789,0,29.9861,0,1658,,-0.6726,-0.7455,0.0729,0
2023-09-13,27.54,27.67,26.90,26.92,28.09,28.20,,,,30.5755,0,29.9036,0,2852,,-0.7208,-0.7405,0.0197,0
2023-09-14,27.22,27.94,27.13,27.27,28.05,28.16,,,,30.5755,0,29.8226,0,2103,,-0.7224,-0.7369,0.0145,0
2023-09-15,27.06,27.24,26.21,26.80,27.87,28.08,,,,29.9850,0,29.7433,0,4942,,-0.7536,-0.7402,-0.0133,0
2023-09-18,26.79,26.88,26.00,26.07,27.54,27.94,,,,29.6410,0,29.6656,0,2056,,-0.8273,-0.7577,-0.0696,0
2023-09-19,26.10,26.79,25.69,26.25,27.28,27.80,,,,29.4465,0,29.5894,0,5749,,-0.8613,-0.7784,-0.0829,0
2023-09-20,26.34,26.46,25.51,25.51,27.00,27.63,,,,29.1605,0,29.4333,0,1151,,-0.9373,-0.8102,-0.1272,0
2023-09-21,25.60,25.85,25.06,25.32,26.68,27.49,,,,28.5477,0,29.1978,0,1424,,-1.0012,-0.8484,-0.1528,0
2023-09-22,25.60,26.07,25.37,25.52,26.42,27.38,,,,28.5477,0,28.8664,0,1124,,-1.0242,-0.8835,-0.1407,0
2023-09-25,25.69,26.03,25.44,25.94,26.33,27.29,,,,28.5477,0,28.5615,0,1085,,-0.9965,-0.9061,-0.0904,0
2023-09-26,25.94,26.60,25.94,26.19,26.18,27.19,,,,28.5477,0,28.2809,0,958,,-0.9437,-0.9137,-0.0301,0
2023-09-27,26.44,28.00,26.44,27.72,26.26,27.17,,,,28.5477,0,28.0229,0,2030,,-0.7697,-0.8849,0.1151,0
2023-09-28,27.48,27.86,27.17,27.77,26.31,27.18,28.65,,,28.5477,0,27.9992,0,1233,1959,-0.6206,-0.8320,0.2114,0
2023-09-29,27.69,27.69,26.91,27.13,26.34,27.11,28.59,,,28.5477,0,27.9992,0,1202,1947,-0.5477,-0.7751,0.2275,0
2023-10-02,27.14,27.14,25.40,25.70,26.30,26.92,28.50,,,28.5477,0,27.8627,0,1913,1959,-0.5980,-0.7397,0.1417,0
2023-10-03,25.58,25.76,24.89,25.39,26.22,26.75,28.40,,,28.4268,0,27.6920,0,1157,1941,-0.6558,-0.7229,0.0671,0
2023-10-04,24.94,24.94,23.15,23.43,26.01,26.50,28.26,,,27.5076,0,27.4121,0,1279,1933,-0.8502,-0.7484,-0.1018,0
2023-10-05,23.05,23.80,23.05,23.64,25.84,26.26,28.11,,,26.7640,0,26.9009,0,787,1919,-0.9758,-0.7939,-0.1819,0
2023-10-06,23.89,24.18,23.30,23.71,25.66,26.04,27.98,,,26.7640,0,26.3617,0,1333,1918,-1.0577,-0.8466,-0.2110,0
2023-10-09,24.01,25.08,24.01,24.80,25.55,25.94,27.85,,,26.7640,0,25.8981,0,1189,1908,-1.0226,-0.8818,-0.1408,0
2023-10-10,24.82,25.37,24.71,24.84,25.41,25.80,27.70,,,26.7640,0,25.4993,0,1196,1882,-0.9801,-0.9015,-0.0786,0
2023-10-11,24.71,24.85,24.30,24.85,25.13,25.69,27.57,,,26.7640,0,25.3709,0,1075,1855,-0.9349,-0.9082,-0.0267,0
2023-10-12,24.98,25.19,24.62,25.13,24.86,25.58,27.47,,,26.7640,0,25.3709,0,1322,1852,-0.8664,-0.8998,0.0334,0
2023-10-13,25.62,27.47,25.62,26.99,24.85,25.59,27.38,,,23.2114,1,23.0497,1,1977,1843,-0.6544,-0.8507,0.1963,0
2023-10-16,27.44,27.53,26.78,27.53,25.03,25.67,27.29,,,23.9296,1,23.1381,1,3271,1864,-0.4380,-0.7682,0.3302,0
