Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,131.83,134.89,131.56,134.14,,,,,,,0,131.5591,1,48270,,,,,0
2023-07-18,133.19,135.81,133.07,134.32,,,,,,,0,131.5591,1,40918,,,,,0
2023-07-19,134.22,134.81,132.90,134.08,,,,,,,0,131.5591,1,46882,,,,,0
2023-07-20,135.46,136.69,134.32,136.56,,,,,,,0,131.6440,1,39179,,,,,0
2023-07-21,136.91,137.48,134.99,135.60,,,,,,,0,131.8459,1,48665,,,,,0
2023-07-24,135.31,136.24,134.05,134.90,,,,,,,0,132.1842,1,46424,,,,,0
2023-07-25,134.67,135.37,133.78,134.32,,,,,,,0,132.5021,1,31519,,,,,0
2023-07-26,134.34,136.04,133.33,133.86,,,,,,,0,132.8009,1,49575,,,,,0
2023-07-27,134.14,134.14,132.31,132.53,,,,,,,0,137.4829,0,108875,,,,,0
2023-07-28,133.79,134.05,131.84,133.29,134.36,,,,,140.0371,0,137.3795,0,63108,,,,,0
2023-07-31,133.69,134.54,131.52,132.18,134.16,,,,,140.0371,0,137.1580,0,38344,,,,,0
2023-08-01,132.19,133.27,131.09,133.11,134.04,,,,,139.3944,0,136.8198,0,51010,,,,,0
2023-08-02,132.18,134.80,132.18,134.23,134.06,,,,,139.3944,0,136.3613,0,53320,,,,,0
2023-08-03,133.25,134.56,132.38,134.03,133.81,,,,,139.3944,0,135.9394,0,74186,,,,,0
2023-08-04,134.21,137.67,131.64,132.16,133.46,,,,,139.3944,0,131.0882,1,75259,,,,,0
2023-08-07,133.34,134.27,130.96,131.47,133.12,,,,,139.3944,0,137.6713,0,47883,,,,,0
2023-08-08,129.81,131.68,129.60,131.62,132.85,,,,,138.8778,0,137.6713,0,56211,,,,,0
2023-08-09,131.60,132.11,129.99,130.33,132.50,,,,,138.8778,0,137.3485,0,37155,,,,,0
2023-08-10,131.17,133.17,130.89,132.69,132.51,,,,,138.8778,0,137.0385,0,58145,,,,,0
2023-08-11,132.05,133.25,131.84,132.82,132.47,133.41,,,,138.8778,0,136.7410,0,42380,,,,,0
2023-08-14,132.82,133.11,132.12,132.74,132.52,133.34,,,,138.8778,0,136.4554,0,38987,,,,,0
2023-08-15,131.95,132.45,130.73,131.98,132.41,133.23,,,,138.7068,0,136.1812,0,42818,,,,,0
2023-08-16,131.94,133.64,131.54,131.74,132.16,133.11,,,,138.7068,0,135.9179,0,38333,,,,,0
2023-08-17,132.43,132.43,130.81,131.11,131.87,132.84,,,,138.4391,0,135.6652,0,42576,,,,,0
2023-08-18,130.32,132.03,130.04,130.31,131.68,132.57,,,,137.7622,0,135.4226,0,44670,,,,,0
2023-08-21,130.78,130.78,127.98,129.46,131.48,132.30,,,,136.2817,0,135.1897,0,53901,,,,,0
2023-08-22,129.04,130.08,128.16,128.30,131.15,132.00,,,,135.9082,0,134.7571,0,34557,,,,,0
2023-08-23,128.32,129.73,128.10,129.72,131.09,131.79,,,,135.5146,0,134.3504,0,32215,,,,,0
2023-08-24,129.17,133.35,129.17,133.12,131.13,131.82,,,,135.5146,0,133.9681,0,55821,,,,,0
2023-08-25,133.00,134.14,132.42,132.66,131.11,131.79,,,,135.5146,0,127.9793,1,48975,,,,,0
2023-08-28,132.49,133.66,130.93,131.62,131.00,131.76,,,,135.5146,0,128.1025,1,39159,,,,,0
2023-08-29,132.43,132.89,130.49,132.30,131.03,131.72,,,,135.5146,0,128.2232,1,34782,,,,,0
2023-08-30,132.32,133.31,131.78,132.02,131.06,131.61,,,,135.5146,0,128.3415,1,25832,,,,,0
2023-08-31,132.65,132.88,131.22,131.34,131.09,131.48,,,,135.5146,0,128.4575,1,31092,,-0.6550,-1.0553,0.4003,0
2023-09-01,132.22,132.50,131.47,131.67,131.22,131.45,,,,135.5146,0,128.5711,1,38131,,-0.6021,-0.9646,0.3625,0
2023-09-05,130.86,130.99,128.45,129.32,131.21,131.34,,,,135.5146,0,134.1381,0,77384,,-0.7413,-0.9200,0.1787,0
2023-09-06,129.36,132.56,128.90,131.74,131.55,131.35,,,,135.5146,0,134.0244,0,49345,,-0.6483,-0.8656,0.2173,0
2023-09-07,131.68,133.28,131.33,132.78,131.86,131.47,,,,135.5146,0,133.9130,0,66917,,-0.4850,-0.7895,0.3045,0
2023-09-08,132.77,135.74,131.85,135.44,132.09,131.61,,,,135.5146,0,128.4531,1,61150,,-0.1399,-0.6596,0.5197,0
2023-09-11,136.24,137.19,134.17,134.41,132.26,131.69,,,,135.5146,0,128.5988,1,60773,,0.0505,-0.5176,0.5680,0
2023-09-12,134.83,137.47,134.75,136.12,132.71,131.86,,,,128.3438,1,128.9424,1,41388,,0.3351,-0.3470,0.6821,0
2023-09-13,136.53,137.42,134.09,135.46,133.03,132.03,,,,128.3438,1,129.4543,1,43303,,0.5014,-0.1774,0.6787,0
2023-09-14,136.50,137.19,134.93,136.58,133.49,132.27,,,,128.3438,1,129.9354,1,44038,,0.7159,0.0013,0.7146,0
2023-09-15,135.68,136.58,134.92,136.08,133.96,132.52,,,,128.3438,1,130.3877,1,124978,,0.8357,0.1682,0.6675,0
2023-09-18,136.33,137.72,135.65,137.68,134.56,132.89,,,,129.2439,1,130.8128,1,38231,,1.0478,0.3441,0.7037,0
