Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,18.64,19.42,18.28,18.93,,,,,,,0,18.2800,1,491550,,,,,0
2023-07-20,19.15,19.50,18.24,18.47,,,,,,,0,19.5000,0,439647,,,,,0
2023-07-21,18.75,18.85,17.41,18.38,,,,,,,0,19.5000,0,415489,,,,,0
2023-07-24,17.62,18.02,16.83,17.43,,,,,,,0,19.5000,0,334912,,,,,0
2023-07-25,17.55,18.84,17.55,17.95,,,,,,,0,19.3398,0,339991,,,,,0
2023-07-26,18.03,18.58,17.71,18.45,,,,,,,0,19.1892,0,302807,,,,,0
2023-07-27,19.00,19.13,17.44,17.60,,,,,,,0,16.8300,1,303743,,,,,0
2023-07-28,18.07,18.69,17.87,18.38,,,,,,,0,16.8760,1,306793,,,,,0
2023-07-31,18.63,19.19,18.17,18.52,,,,,,,0,16.9211,1,334623,,,,,0
2023-08-01,18.13,18.41,17.07,18.23,18.23,,,,,21.6181,0,17.0118,1,360179,,,,,0
2023-08-02,18.20,19.20,17.55,17.97,18.14,,,,,21.6181,0,17.0700,1,411157,,,,,0
2023-08-03,17.72,18.60,17.61,17.81,18.07,,,,,21.6181,0,17.0700,1,338044,,,,,0
2023-08-04,17.99,18.12,17.08,17.11,17.95,,,,,21.4074,0,19.2000,0,263650,,,,,0
2023-08-07,16.99,17.04,15.31,16.32,17.83,,,,,20.1426,0,19.1576,0,284874,,,,,0
2023-08-08,16.81,17.36,16.22,17.09,17.75,,,,,20.1426,0,19.0039,0,330710,,,,,0
2023-08-09,17.22,17.29,16.30,16.34,17.54,,,,,20.1426,0,18.8563,0,300419,,,,,0
2023-08-10,16.40,16.64,14.82,15.00,17.28,,,,,19.7109,0,18.7147,0,285155,,,,,0
2023-08-11,14.84,15.70,14.63,15.23,16.96,,,,,19.0688,0,18.4810,0,272465,,,,,0
2023-08-14,15.02,15.06,14.36,14.66,16.58,,,,,18.4844,0,18.1729,0,254597,,,,,0
2023-08-15,14.57,14.85,13.65,13.70,16.12,17.18,,,,18.0080,0,17.7916,0,221285,,,,,0
2023-08-16,13.42,13.53,12.93,13.10,15.64,16.89,,,,16.8409,0,17.2952,0,247298,,,,,0
2023-08-17,12.72,12.76,11.65,11.71,15.03,16.55,,,,15.8909,0,16.6841,0,278139,,,,,0
2023-08-18,11.12,11.66,10.96,11.07,14.42,16.18,,,,14.8502,0,15.8794,0,223258,,,,,0
2023-08-21,11.18,11.27,10.55,10.73,13.86,15.85,,,,14.3117,0,14.9941,0,196301,,,,,0
2023-08-22,10.90,10.98,10.47,10.55,13.21,15.48,,,,13.9436,0,14.1053,0,137541,,,,,0
2023-08-23,10.53,11.31,10.46,11.12,12.69,15.11,,,,13.9436,0,13.3782,0,220875,,,,,0
2023-08-24,11.06,11.07,10.20,10.36,12.22,14.75,,,,13.7455,0,12.7946,0,133634,,,,,0
2023-08-25,10.46,10.76,10.06,10.37,11.74,14.35,,,,13.4195,0,12.2757,0,125670,,,,,0
2023-08-28,10.48,10.82,10.38,10.49,11.32,13.95,,,,13.4195,0,11.8325,0,105114,,,,,0
2023-08-29,10.39,12.55,10.35,12.30,11.18,13.65,,,,13.4195,0,10.0600,1,517094,,,,,0
2023-08-30,12.02,12.18,11.56,12.05,11.07,13.36,,,,13.4195,0,10.1098,1,272440,,,,,0
2023-08-31,12.06,12.27,11.23,11.35,11.04,13.03,,,,13.4195,0,10.1586,1,214817,,,,,0
2023-09-01,11.39,11.56,10.76,11.04,11.04,12.73,,,,13.4195,0,10.2064,1,171353,,,,,0
2023-09-05,10.98,11.23,10.72,10.98,11.06,12.46,,,,13.4195,0,10.2533,1,109720,,-2.0269,-2.5002,0.4733,0
2023-09-06,10.98,11.65,10.93,11.24,11.13,12.17,,,,13.4195,0,10.2992,1,202235,,-1.9104,-2.3822,0.4719,0
2023-09-07,11.09,11.53,10.55,11.38,11.16,11.92,,,,13.4195,0,10.3443,1,145431,,-1.7862,-2.2630,0.4769,0
2023-09-08,11.30,11.34,10.76,10.95,11.21,11.72,,,,13.4195,0,10.3884,1,186987,,-1.7028,-2.1510,0.4482,0
2023-09-11,10.80,10.99,10.09,10.14,11.19,11.46,,,,13.2735,0,12.5500,0,168709,,-1.6827,-2.0573,0.3746,0
2023-09-12,10.68,11.19,10.41,10.54,11.20,11.26,,,,13.2735,0,12.5007,0,211509,,-1.6158,-1.9690,0.3532,0
2023-09-13,10.59,10.71,10.22,10.28,10.99,11.09,,,,13.1117,0,12.4524,0,143090,,-1.5658,-1.8884,0.3226,0
2023-09-14,10.60,11.24,10.59,10.97,10.89,10.98,,,,13.1117,0,12.4050,0,223480,,-1.4537,-1.8014,0.3477,0
2023-09-15,10.98,10.98,10.59,10.77,10.83,10.93,,,,13.1117,0,12.3586,0,138893,,-1.3652,-1.7142,0.3489,0
2023-09-18,11.36,11.59,10.91,10.93,10.82,10.93,,,,13.1117,0,12.3132,0,251250,,-1.2676,-1.6249,0.3572,0
2023-09-19,11.03,11.17,10.41,10.44,10.76,10.91,,,,13.1117,0,12.2686,0,199377,,-1.2158,-1.5431,0.3273,0
2023-09-20,10.42,10.57,9.99,10.02,10.64,10.89,,,,12.6963,0,12.2249,0,164792,,-1.1948,-1.4734,0.2786,0
2023-09-21,9.71,9.76,9.32,9.58,10.46,10.81,,,,11.9246,0,12.1355,0,151767,,-1.1999,-1.4187,0.2188,0
2023-09-22,9.65,9.76,9.18,9.24,10.29,10.75,,,,11.7894,0,11.9666,0,93774,,-1.2173,-1.3784,0.1611,0
2023-09-25,9.00,9.38,8.91,9.26,10.20,10.70,,,,11.3741,0,11.7437,0,140912,,-1.2155,-1.3459,0.1304,0
2023-09-26,9.12,9.37,9.00,9.06,10.06,10.63,,,,11.3017,0,11.4604,0,84315,,-1.2162,-1.3199,0.1037,0
2023-09-27,9.30,9.53,8.82,9.02,9.93,10.46,13.29,,,11.2931,0,11.2055,0,142815,243894,-1.2060,-1.2971,0.0911,0
2023-09-28,9.08,9.91,8.95,9.43,9.78,10.33,13.10,,,11.2931,0,10.9192,0,212627,238315,-1.1516,-1.2680,0.1164,0
2023-09-29,9.54,9.62,9.21,9.33,9.63,10.23,12.92,,,11.2931,0,10.6673,0,137292,232268,-1.1039,-1.2352,0.1313,0
2023-10-02,10.10,10.95,9.80,9.88,9.53,10.17,12.75,,,11.2931,0,8.8200,1,322430,230407,-1.0100,-1.1902,0.1802,0
2023-10-03,9.65,9.89,8.67,8.78,9.36,10.06,12.58,,,11.2931,0,10.9500,0,172864,227166,-1.0127,-1.1547,0.1420,0
2023-10-04,9.01,9.14,8.60,9.06,9.26,9.95,12.40,,,11.2844,0,10.9500,0,145785,223282,-0.9805,-1.1198,0.1393,0
2023-10-05,9.16,9.36,8.78,9.01,9.21,9.83,12.21,,,11.2844,0,10.8562,0,137015,219966,-0.9485,-1.0856,0.1370,0
2023-10-06,8.78,9.98,8.78,9.92,9.28,9.78,12.06,,,11.2844,0,10.7662,0,195884,217809,-0.8401,-1.0365,0.1964,0
2023-10-09,9.51,10.21,9.51,10.17,9.37,9.78,11.89,,,11.2844,0,10.6797,0,165210,214977,-0.7256,-0.9743,0.2487,0
2023-10-10,10.13,10.59,9.96,10.16,9.48,9.77,11.72,,,11.2844,0,10.5967,0,170453,211694,-0.6284,-0.9051,0.2767,0
2023-10-11,9.96,10.08,9.14,9.40,9.51,9.72,11.55,,,11.2844,0,10.5900,0,155025,207591,-0.6053,-0.8451,0.2398,0
2023-10-12,9.32,9.48,9.11,9.20,9.49,9.63,11.37,,,11.2844,0,10.5900,0,80646,200980,-0.5967,-0.7955,0.1988,0
2023-10-13,9.25,9.28,8.96,9.15,9.47,9.55,11.20,,,11.2844,0,10.5106,0,99805,196216,-0.5871,-0.7538,0.1667,0
2023-10-16,10.02,10.47,9.10,9.42,9.43,9.48,11.05,,,11.2844,0,8.6050,1,347107,197885,-0.5514,-0.7133,0.1619,0
2023-10-17,9.25,9.94,9.12,9.67,9.52,9.44,10.91,,,11.2844,0,8.6423,1,178284,195753,-0.4972,-0.6701,0.1729,0
2023-10-18,9.57,9.68,8.70,8.84,9.49,9.38,10.75,,,11.2844,0,8.6789,1,181003,192759,-0.5153,-0.6391,0.1239,0
2023-10-19,8.96,9.19,8.68,8.82,9.48,9.34,10.60,,,11.2778,0,10.4700,0,147890,189708,-0.5251,-0.6163,0.0912,0
2023-10-20,9.10,9.40,8.82,8.87,9.37,9.32,10.47,,,11.2778,0,10.4342,0,180175,187609,-0.5229,-0.5976,0.0747,0
2023-10-23,9.12,10.04,8.98,9.67,9.32,9.34,10.36,,,11.2778,0,10.3991,0,371021,189580,-0.4514,-0.5684,0.1170,0
2023-10-24,10.81,11.37,10.30,10.67,9.37,9.42,10.28,,,11.2778,0,8.6800,1,544784,195384,-0.3104,-0.5168,0.2064,0
2023-10-25,10.88,11.28,10.46,10.56,9.49,9.50,10.22,,,11.2778,0,8.7338,1,394139,198841,-0.2052,-0.4545,0.2493,0
2023-10-26,10.25,10.46,9.46,9.79,9.55,9.52,10.16,,,11.2778,0,8.7865,1,235669,198608,-0.1819,-0.4000,0.2181,0
2023-10-27,10.02,10.18,9.46,9.54,9.59,9.53,10.11,,,11.2778,0,8.8382,1,158720,196220,-0.1815,-0.3563,0.1748,0
2023-10-30,9.92,10.28,9.38,9.61,9.60,9.52,10.08,,,11.2778,0,8.8888,1,181772,195390,-0.1735,-0.3197,0.1462,0
2023-10-31,9.57,9.85,9.27,9.78,9.61,9.57,10.06,,,11.2778,0,8.9385,1,146189,194388,-0.1517,-0.2861,0.1344,0
2023-11-01,10.00,10.28,9.66,10.21,9.75,9.62,10.06,,,11.2778,0,8.9871,1,251723,196671,-0.0986,-0.2486,0.1500,0
2023-11-02,10.55,11.31,10.38,11.30,10.00,9.74,10.06,,,8.2620,1,9.0347,1,323226,198718,0.0310,-0.1927,0.2237,0
2023-11-03,11.02,11.59,10.88,11.39,10.25,9.81,10.08,,,8.6973,1,9.0814,1,312848,202303,0.1395,-0.1263,0.2657,0
2023-11-06,11.63,11.95,10.72,11.01,10.39,9.85,10.09,,,8.6973,1,9.1818,1,240814,204605,0.1925,-0.0625,0.2550,0
2023-11-07,10.91,11.17,10.43,11.07,10.43,9.90,10.11,,,8.6973,1,9.3479,1,230974,207123,0.2367,-0.0027,0.2393,0
2023-11-08,10.80,10.83,10.06,10.28,10.40,9.94,10.06,,,8.6973,1,9.5040,1,228121,201343,0.2055,0.0390,0.1666,0
2023-11-09,11.10,12.08,10.13,10.21,10.44,9.99,10.03,,,8.6973,1,9.6508,1,547486,206844,0.1732,0.0658,0.1074,0
2023-11-10,10.32,10.49,9.70,10.36,10.52,10.05,10.01,,,8.6973,1,12.0800,0,265860,207865,0.1579,0.0842,0.0737,0
2023-11-13,10.12,10.14,9.53,9.79,10.54,10.07,9.98,,,8.6973,1,12.0800,0,176938,207977,0.0986,0.0871,0.0115,0
2023-11-14,10.00,10.22,9.33,9.73,10.53,10.07,9.96,,,8.6973,1,11.9782,0,214851,210079,0.0463,0.0790,-0.0327,0
2023-11-15,9.89,10.84,9.69,10.68,10.58,10.17,9.95,,,8.6973,1,11.8193,0,341403,212863,0.0805,0.0793,0.0013,0
2023-11-16,10.20,10.28,9.73,10.16,10.47,10.23,9.92,,,8.6973,1,11.6699,0,206072,214076,0.0650,0.0764,-0.0115,0
2023-11-17,10.24,10.52,9.89,10.48,10.38,10.31,9.91,,,8.6973,1,11.5296,0,172841,213793,0.0775,0.0766,0.0009,0
2023-11-20,10.59,11.54,10.59,11.32,10.41,10.40,9.94,,,8.6973,1,9.3300,1,289991,216218,0.1535,0.0920,0.0615,0
2023-11-21,11.01,11.38,10.72,11.17,10.42,10.42,9.95,,,8.6973,1,9.3742,1,214126,216271,0.1993,0.1135,0.0859,0
2023-11-22,11.28,11.65,10.67,11.60,10.55,10.47,9.98,,,8.6973,1,9.4175,1,240984,218228,0.2673,0.1442,0.1230,0
