Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,12.30,13.30,12.23,12.90,,,,,,,0,13.3000,0,11222,,,,,0
2023-07-18,12.86,13.24,11.97,12.11,,,,,,,0,13.3000,0,31556,,,,,0
2023-07-19,12.27,12.71,12.22,12.32,,,,,,,0,13.3000,0,11178,,,,,0
2023-07-20,12.32,12.59,12.07,12.13,,,,,,,0,13.2734,0,8971,,,,,0
2023-07-21,12.25,12.45,11.98,12.39,,,,,,,0,13.2473,0,8337,,,,,0
2023-07-24,12.39,12.45,11.83,12.14,,,,,,,0,13.2218,0,10476,,,,,0
2023-07-25,12.13,12.21,11.95,11.97,,,,,,,0,13.1661,0,5354,,,,,0
2023-07-26,11.94,12.11,11.76,12.08,,,,,,,0,13.1127,0,8833,,,,,0
2023-07-27,12.25,12.25,11.67,11.70,,,,,,,0,13.0315,0,7109,,,,,0
2023-07-28,11.80,12.37,11.60,12.23,12.20,,,,,13.9365,0,12.9226,0,8098,,,,,0
2023-07-31,12.22,12.63,12.17,12.60,12.17,,,,,13.9365,0,12.7903,0,6584,,,,,0
2023-08-01,12.46,12.46,11.76,11.91,12.15,,,,,13.9365,0,12.6713,0,6154,,,,,0
2023-08-02,11.64,11.67,11.18,11.44,12.06,,,,,13.4052,0,12.6300,0,8302,,,,,0
2023-08-03,11.35,11.65,11.02,11.05,11.95,,,,,13.3102,0,12.4600,0,7413,,,,,0
2023-08-04,11.10,11.31,11.01,11.25,11.84,,,,,13.0254,0,12.2584,0,8422,,,,,0
2023-08-07,11.26,11.26,10.21,10.37,11.66,,,,,12.7289,0,12.0587,0,15601,,,,,0
2023-08-08,10.53,11.30,10.46,11.17,11.58,,,,,12.7289,0,11.7259,0,20768,,,,,0
2023-08-09,11.72,12.19,10.96,11.18,11.49,,,,,12.7289,0,10.2100,1,12835,,,,,0
2023-08-10,11.04,11.40,10.63,10.92,11.41,,,,,12.7289,0,10.2497,1,6884,,,,,0
2023-08-11,10.88,11.07,10.47,10.73,11.26,11.73,,,,12.7289,0,10.2886,1,6352,,,,,0
2023-08-14,10.77,11.23,10.34,11.15,11.12,11.64,,,,12.7289,0,10.3267,1,9954,,,,,0
2023-08-15,10.88,11.11,10.50,10.62,10.99,11.57,,,,12.7289,0,10.3400,1,7789,,,,,0
