Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,38.73,39.35,38.34,38.84,,,,,,,0,39.3489,0,56685,,,,,0
2023-07-14,38.85,39.02,37.61,38.08,,,,,,,0,39.3489,0,38598,,,,,0
2023-07-17,38.33,38.71,37.90,38.25,,,,,,,0,39.3489,0,33526,,,,,0
2023-07-18,38.30,39.70,38.13,39.58,,,,,,,0,37.6082,1,61631,,,,,0
2023-07-19,39.80,43.05,39.59,42.67,,,,,,,0,37.6500,1,124968,,,,,0
2023-07-20,41.79,42.03,39.82,39.88,,,,,,,0,37.8660,1,46192,,,,,0
2023-07-21,40.94,41.56,39.63,41.35,,,,,,,0,38.0733,1,72735,,,,,0
2023-07-24,41.47,41.47,39.13,39.68,,,,,,,0,38.2723,1,51701,,,,,0
2023-07-25,39.88,40.41,38.94,39.07,,,,,,,0,38.4634,1,38263,,,,,0
2023-07-26,38.81,40.18,38.50,39.36,39.68,,,,,44.9091,0,43.0491,0,29290,,,,,0
2023-07-27,40.20,40.43,38.77,38.92,39.68,,,,,44.9091,0,42.9581,0,55913,,,,,0
2023-07-28,39.74,40.90,39.46,39.99,39.87,,,,,44.9091,0,42.8690,0,39279,,,,,0
2023-07-31,39.99,41.54,39.99,41.14,40.16,,,,,44.9091,0,42.7817,0,34709,,,,,0
2023-08-01,40.62,41.49,40.26,41.32,40.34,,,,,44.9091,0,42.6962,0,32655,,,,,0
2023-08-02,40.23,40.74,39.02,39.53,40.02,,,,,44.9091,0,42.6123,0,47485,,,,,0
2023-08-03,39.34,39.43,38.29,38.86,39.92,,,,,44.1300,0,42.5301,0,41055,,,,,0
2023-08-04,39.32,39.65,38.15,38.43,39.63,,,,,44.0885,0,42.3607,0,58999,,,,,0
2023-08-07,38.34,38.94,37.68,38.77,39.54,,,,,43.3614,0,42.1078,0,83320,,,,,0
2023-08-08,34.50,35.21,31.37,31.63,38.79,,,,,40.0582,0,41.7534,0,251048,,,,,0
2023-08-09,31.33,31.67,29.22,29.55,37.81,38.74,,,,37.2709,0,40.7152,0,86991,,,,,0
2023-08-10,30.12,31.41,29.85,30.87,37.01,38.35,,,,37.2709,0,39.3362,0,64153,,,,,0
2023-08-11,30.27,30.75,30.11,30.34,36.04,37.96,,,,36.6863,0,38.1226,0,30714,,,,,0
2023-08-14,30.02,30.52,29.73,30.42,34.97,37.57,,,,35.9928,0,37.0547,0,25488,,,,,0
2023-08-15,30.01,30.55,29.69,29.78,33.82,37.08,,,,35.6575,0,36.1149,0,28458,,,,,0
2023-08-16,29.57,29.82,28.41,28.44,32.71,36.37,,,,34.5227,0,35.2879,0,68630,,,,,0
2023-08-17,28.27,28.68,27.36,28.61,31.68,35.80,,,,33.2816,0,34.3247,0,43560,,,,,0
2023-08-18,27.85,29.42,27.85,29.06,30.75,35.19,,,,33.2816,0,33.2108,0,49221,,,,,0
2023-08-21,28.68,29.03,27.99,28.37,29.71,34.62,,,,33.2816,0,32.2752,0,43730,,,,,0
2023-08-22,28.60,29.02,27.82,27.86,29.33,34.06,,,,33.2816,0,31.4893,0,39920,,,,,0
2023-08-23,27.88,28.61,27.75,28.48,29.22,33.52,,,,32.8175,0,30.8291,0,24109,,,,,0
2023-08-24,28.89,28.98,28.17,28.45,28.98,32.99,,,,32.8175,0,30.2746,0,24710,,,,,0
2023-08-25,28.46,29.17,28.33,28.87,28.83,32.44,,,,32.8175,0,29.8088,0,24856,,,,,0
2023-08-28,29.06,29.66,29.06,29.26,28.72,31.84,,,,32.8175,0,27.3632,1,31647,,,,,0
2023-08-29,29.06,30.23,28.84,29.99,28.74,31.28,,,,32.8175,0,27.4092,1,40537,,-3.2618,-4.0036,0.7418,0
2023-08-30,29.75,30.18,29.27,29.46,28.84,30.77,,,,32.8175,0,27.5219,1,48914,,-3.0486,-3.8126,0.7640,0
2023-08-31,29.99,31.19,29.80,30.76,29.06,30.37,,,,32.8175,0,27.6301,1,79004,,-2.7429,-3.5987,0.8558,0
2023-09-01,31.14,32.03,30.80,31.76,29.33,30.04,,,,32.8175,0,27.8439,1,65575,,-2.3927,-3.3575,0.9647,0
2023-09-05,31.18,31.85,31.09,31.40,29.63,29.67,,,,32.8175,0,28.1786,1,41047,,-2.1197,-3.1099,0.9902,0
2023-09-06,31.16,32.71,31.16,32.66,30.11,29.72,,,,32.8175,0,28.4866,1,42098,,-1.7809,-2.8441,1.0632,0
2023-09-07,31.86,31.97,31.32,31.67,30.43,29.83,,,,32.8175,0,28.9094,1,31095,,-1.5745,-2.5902,1.0157,0
2023-09-08,31.81,32.08,31.35,31.35,30.72,29.85,,,,32.8175,0,29.2899,1,35822,,-1.4202,-2.3562,0.9360,0
2023-09-11,31.36,31.58,30.87,31.06,30.94,29.89,,,,32.8175,0,29.6324,1,31267,,-1.3062,-2.1462,0.8400,0
2023-09-12,30.62,31.29,30.34,30.59,31.07,29.89,,,,32.8175,0,29.9406,1,30990,,-1.2400,-1.9649,0.7249,0
2023-09-13,30.46,30.57,29.61,30.06,31.08,29.91,,,,32.8175,0,32.7145,0,28129,,-1.2161,-1.8152,0.5991,0
2023-09-14,30.36,30.45,29.51,30.07,31.14,29.99,,,,32.8175,0,32.6524,0,24474,,-1.1827,-1.6887,0.5060,0
2023-09-15,29.65,30.00,29.29,29.76,31.04,30.05,,,,32.8175,0,32.5268,0,54179,,-1.1677,-1.5845,0.4168,0
2023-09-18,29.57,29.77,28.87,29.16,30.78,30.05,,,,32.5526,0,32.3328,0,19108,,-1.1902,-1.5056,0.3154,0
2023-09-19,29.00,29.33,28.65,29.23,30.56,30.10,,,,32.1067,0,32.0554,0,17149,,-1.1887,-1.4423,0.2535,0
2023-09-20,29.26,29.84,28.71,28.80,30.18,30.14,,,,32.1067,0,31.7145,0,32769,,-1.2089,-1.3956,0.1866,0
2023-09-21,28.35,28.65,27.55,28.09,29.82,30.12,33.39,,,31.3034,0,31.4076,0,36370,48855,-1.2673,-1.3699,0.1026,0
2023-09-22,28.63,29.07,27.96,28.91,29.57,30.15,33.19,,,31.3034,0,30.9450,0,35041,48422,-1.2328,-1.3425,0.1097,0
2023-09-25,28.26,29.67,28.26,29.38,29.41,30.17,33.02,,,31.3034,0,30.5378,0,24353,48138,-1.1544,-1.3049,0.1505,0
2023-09-26,29.20,29.57,28.53,28.69,29.22,30.14,32.83,,,31.3034,0,30.1796,0,24759,47962,-1.1353,-1.2710,0.1356,0
2023-09-27,29.07,29.39,28.11,28.51,29.06,30.07,32.61,,,31.3034,0,29.8643,0,24587,47221,-1.1218,-1.2411,0.1194,0
2023-09-28,28.31,29.21,27.85,28.87,28.94,30.04,32.33,,,31.3034,0,29.5868,0,17754,45077,-1.0698,-1.2069,0.1371,0
2023-09-29,29.36,30.00,29.26,29.47,28.91,29.97,32.12,,,31.3034,0,27.5522,1,21568,44585,-0.9685,-1.1592,0.1907,0
2023-10-02,29.47,30.22,29.17,29.94,28.99,29.88,31.89,,,31.3034,0,27.6011,1,22361,43577,-0.8407,-1.0955,0.2548,0
2023-10-03,29.47,29.65,28.31,28.54,28.92,29.74,31.67,,,31.3034,0,27.7058,1,26693,43077,-0.8430,-1.0450,0.2020,0
2023-10-04,28.76,29.72,28.76,29.57,29.00,29.59,31.48,,,31.3034,0,27.8063,1,32236,42956,-0.7526,-0.9865,0.2339,0
2023-10-05,29.40,29.40,28.17,28.38,29.03,29.42,31.26,,,31.3034,0,27.9027,1,18813,42747,-0.7684,-0.9429,0.1745,0
2023-10-06,27.99,29.94,27.93,29.87,29.12,29.35,31.08,,,31.3034,0,30.2179,0,28042,42189,-0.6531,-0.8849,0.2319,0
2023-10-09,29.20,29.97,29.07,29.87,29.17,29.29,30.88,,,31.3034,0,30.1721,0,16264,41729,-0.5552,-0.8190,0.2638,0
2023-10-10,30.13,31.00,29.90,30.13,29.31,29.26,30.66,,,31.3034,0,27.9302,1,22672,41488,-0.4516,-0.7455,0.2939,0
2023-10-11,30.45,30.68,29.92,30.14,29.48,29.27,30.43,,,31.3034,0,27.9916,1,16995,41175,-0.3645,-0.6693,0.3048,0
2023-10-12,30.10,30.10,28.95,29.26,29.52,29.23,30.23,,,31.3034,0,28.0519,1,18232,40590,-0.3619,-0.6078,0.2459,0
2023-10-13,29.27,29.40,28.41,28.69,29.44,29.17,30.03,,,31.3034,0,28.1109,1,15389,40077,-0.4018,-0.5666,0.1648,0
2023-10-16,28.96,30.00,28.56,29.82,29.43,29.21,29.85,,,31.3034,0,28.1688,1,21397,39325,-0.3380,-0.5209,0.1829,0
2023-10-17,29.26,30.64,29.09,30.30,29.60,29.26,29.68,,,31.3034,0,28.2255,1,29924,38257,-0.2461,-0.4659,0.2199,0
2023-10-18,29.92,29.97,29.07,29.10,29.56,29.28,29.63,,,31.3034,0,28.2810,1,15827,33552,-0.2665,-0.4261,0.1596,0
2023-10-19,29.38,29.99,28.63,28.64,29.58,29.30,29.61,,,31.3034,0,28.3355,1,28295,32379,-0.3167,-0.4042,0.0875,0
2023-10-20,28.63,28.63,27.35,27.49,29.34,29.23,29.55,,,31.3034,0,31.0037,0,29613,31688,-0.4437,-0.4121,-0.0316,0
2023-10-23,26.54,26.82,25.43,25.46,28.90,29.04,29.45,,,30.1077,0,30.9307,0,52042,32114,-0.7000,-0.4697,-0.2303,0
2023-10-24,25.89,27.30,25.60,26.85,28.57,28.94,29.38,,,30.1077,0,30.7108,0,45416,32513,-0.7826,-0.5323,-0.2503,0
2023-10-25,26.42,26.66,25.93,25.99,28.16,28.82,29.30,,,30.1077,0,30.4997,0,20264,32349,-0.9066,-0.6071,-0.2994,0
2023-10-26,26.16,26.57,25.40,25.46,27.78,28.65,29.24,,,29.9325,0,30.2970,0,20756,31392,-1.0354,-0.6928,-0.3426,0
2023-10-27,25.74,25.84,25.08,25.16,27.43,28.43,29.17,,,29.2404,0,30.0034,0,19802,30916,-1.1484,-0.7839,-0.3645,0
2023-10-30,25.56,25.84,25.01,25.58,27.00,28.22,29.10,,,29.0780,0,29.6092,0,17356,30279,-1.1905,-0.8652,-0.3253,0
2023-10-31,25.59,26.53,25.46,26.44,26.62,28.11,29.07,,,29.0780,0,29.1489,0,19172,29788,-1.1417,-0.9205,-0.2212,0
2023-11-01,26.21,26.39,24.95,25.24,26.23,27.89,29.01,,,29.0780,0,28.7346,0,26913,29528,-1.1856,-0.9735,-0.2121,0
2023-11-02,26.54,27.51,26.49,27.10,26.08,27.83,28.99,,,29.0780,0,28.2800,0,40177,29849,-1.0582,-0.9905,-0.0677,0
2023-11-03,27.33,28.50,27.33,28.17,26.15,27.75,28.98,,,29.0780,0,24.9462,1,46739,30290,-0.8613,-0.9646,0.1033,0
2023-11-06,28.35,28.49,27.69,28.10,26.41,27.66,28.97,,,29.0780,0,25.0172,1,55531,30903,-0.7029,-0.9123,0.2094,0
2023-11-07,29.14,29.55,27.50,28.86,26.61,27.59,28.96,,,29.0780,0,25.0868,1,86232,31995,-0.5104,-0.8319,0.3215,0
2023-11-08,28.75,28.89,27.40,27.47,26.76,27.46,28.91,,,29.0780,0,25.2654,1,41800,32020,-0.4641,-0.7583,0.2942,0
2023-11-09,27.47,28.04,26.41,26.53,26.87,27.32,28.85,,,29.0780,0,25.4368,1,36202,31766,-0.4979,-0.7063,0.2084,0
2023-11-10,26.37,27.50,26.09,27.40,27.09,27.26,28.78,,,29.0780,0,25.6014,1,26919,30724,-0.4489,-0.6548,0.2059,0
2023-11-13,27.06,27.08,26.13,26.19,27.15,27.08,28.67,,,29.0780,0,25.7594,1,30630,30025,-0.5022,-0.6243,0.1221,0
2023-11-14,26.80,28.07,26.49,27.69,27.28,26.95,28.60,,,29.0780,0,25.9111,1,88754,30979,-0.4184,-0.5831,0.1647,0
2023-11-15,28.09,30.32,28.04,30.25,27.78,27.00,28.55,,,24.5068,1,26.0567,1,82584,31789,-0.1440,-0.4953,0.3512,0
2023-11-16,29.84,30.17,28.03,28.90,27.96,27.02,28.49,,,24.5068,1,26.3123,1,57109,32309,-0.0346,-0.4031,0.3686,0
2023-11-17,29.11,29.55,28.88,29.10,28.05,27.10,28.45,,,24.6274,1,26.5526,1,30787,32209,0.0674,-0.3090,0.3765,0
2023-11-20,28.99,30.56,28.90,30.15,28.25,27.33,28.43,,,25.1079,1,26.7785,1,33283,32249,0.2299,-0.2012,0.4311,0
2023-11-21,29.37,29.65,28.45,28.67,28.24,27.42,28.39,,,25.1079,1,27.0807,1,53914,32708,0.2364,-0.1137,0.3501,0
2023-11-22,28.96,29.58,28.84,28.89,28.38,27.57,28.37,,,25.1079,1,27.3588,1,31551,32776,0.2570,-0.0396,0.2966,0
2023-11-24,28.70,29.21,28.35,29.15,28.64,27.75,28.35,,,25.1079,1,27.6145,1,11296,32512,0.2908,0.0265,0.2643,0
2023-11-27,28.71,28.74,27.61,27.63,28.66,27.88,28.31,,,25.1079,1,30.5561,0,50301,32435,0.1926,0.0597,0.1329,0
2023-11-28,27.66,29.07,27.66,28.89,28.93,28.04,28.30,,,25.1079,1,30.4972,0,34453,32742,0.2143,0.0906,0.1236,0
2023-11-29,29.52,30.71,28.80,29.00,29.07,28.17,28.30,,,25.2861,1,27.6119,1,41967,33238,0.2375,0.1200,0.1175,0
