Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,170.76,171.97,169.09,170.12,,,,,,,0,169.0900,1,20857,,,,,0
2023-07-19,170.19,172.71,170.19,171.67,,,,,,,0,169.0900,1,13922,,,,,0
2023-07-20,170.99,172.92,170.35,170.67,,,,,,,0,169.0900,1,10940,,,,,0
2023-07-21,171.61,171.96,167.32,168.02,,,,,,,0,172.9200,0,20952,,,,,0
2023-07-24,168.81,170.61,167.20,170.49,,,,,,,0,172.9200,0,20425,,,,,0
2023-07-25,169.45,172.17,168.94,169.80,,,,,,,0,172.6912,0,17320,,,,,0
2023-07-26,169.74,171.14,168.66,169.17,,,,,,,0,172.4716,0,18609,,,,,0
2023-07-27,170.88,170.88,166.26,166.85,,,,,,,0,172.2607,0,14916,,,,,0
2023-07-28,168.16,168.65,166.61,167.18,,,,,,,0,171.9006,0,16601,,,,,0
2023-07-31,167.16,169.47,166.59,168.61,169.26,,,,,177.4320,0,171.5622,0,29591,,,,,0
2023-08-01,168.86,169.29,165.13,167.09,168.96,,,,,176.9198,0,171.2441,0,24646,,,,,0
2023-08-02,165.16,165.16,158.22,159.64,167.75,,,,,173.0898,0,170.7549,0,32151,,,,,0
2023-08-03,158.19,159.40,154.98,156.03,166.29,,,,,168.8478,0,169.5015,0,34810,,,,,0
2023-08-04,155.62,162.89,151.14,151.67,164.65,,,,,168.8478,0,167.7589,0,32184,,,,,0
2023-08-07,152.83,154.86,152.33,152.59,162.86,,,,,167.1674,0,165.4322,0,25315,,,,,0
2023-08-08,151.04,152.88,148.99,149.66,160.85,,,,,164.3171,0,163.4313,0,18767,,,,,0
2023-08-09,149.29,151.74,146.49,149.42,158.87,,,,,162.7339,0,161.1207,0,16974,,,,,0
2023-08-10,150.29,154.50,150.04,152.06,157.39,,,,,162.7339,0,158.4872,0,24877,,,,,0
2023-08-11,152.18,153.57,148.48,148.81,155.56,,,,,162.7339,0,156.3277,0,19018,,,,,0
2023-08-14,148.20,149.52,146.58,146.77,153.37,161.32,,,,161.4689,0,154.5569,0,17598,,,,,0
2023-08-15,145.75,146.91,143.00,144.04,151.07,160.01,,,,158.2050,0,153.5700,0,10702,,,,,0
2023-08-16,144.32,146.02,141.10,141.52,149.26,158.50,,,,156.9610,0,151.4560,0,16275,,,,,0
2023-08-17,141.96,142.90,138.34,138.99,147.55,156.92,,,,154.0489,0,149.3848,0,28020,,,,,0
2023-08-18,138.00,139.22,136.29,136.61,146.05,155.35,,,,150.7200,0,147.1758,0,15915,,,,,0
2023-08-21,136.20,137.12,135.37,136.37,144.43,153.64,,,,148.4385,0,144.9987,0,10664,,,,,0
2023-08-22,137.33,138.29,134.09,136.05,143.06,151.96,,,,148.4242,0,143.0729,0,24190,,,,,0
2023-08-23,136.71,137.06,135.46,136.01,141.72,150.30,,,,147.7508,0,141.2763,0,17464,,,,,0
2023-08-24,135.42,139.73,134.56,139.52,140.47,148.93,,,,147.7508,0,139.8391,0,19268,,,,,0
2023-08-25,139.33,140.08,134.44,136.64,139.25,147.40,,,,147.7508,0,134.0900,1,12393,,,,,0
2023-08-28,136.89,140.97,136.89,137.73,138.35,145.86,,,,147.7508,0,134.2098,1,8870,,,,,0
2023-08-29,137.53,141.65,137.00,141.06,138.05,144.56,,,,147.7508,0,134.4400,1,13119,,,,,0
2023-08-30,139.93,143.74,139.93,143.51,138.25,143.75,,,,147.7508,0,134.8726,1,14882,,,,,0
2023-08-31,144.05,145.54,142.49,144.51,138.80,143.18,,,,147.7508,0,135.5820,1,29769,,,,,0
2023-09-01,145.30,148.11,144.57,146.20,139.76,142.90,,,,147.7508,0,136.5778,1,15775,,-6.7579,-9.7683,3.0104,0
2023-09-05,146.05,146.78,137.31,138.03,139.93,142.18,,,,147.7508,0,148.1100,0,30850,,-6.6165,-9.1379,2.5214,0
2023-09-06,137.09,139.19,135.43,137.92,140.11,141.59,,,,147.7508,0,148.1100,0,23736,,-6.4392,-8.5982,2.1590,0
2023-09-07,136.29,137.43,135.00,136.13,140.12,140.92,,,,147.7508,0,147.6028,0,29812,,-6.3696,-8.1525,1.7828,0
2023-09-08,135.39,135.67,130.81,131.35,139.31,139.89,,,,146.4941,0,146.8466,0,17496,,-6.6239,-7.8468,1.2229,0
2023-09-11,132.91,132.91,130.42,131.27,138.77,139.01,,,,144.3407,0,145.5637,0,21345,,-6.7540,-7.6282,0.8742,0
2023-09-12,131.05,133.14,130.84,132.78,138.28,138.31,,,,144.0881,0,144.0493,0,25122,,-6.6585,-7.4342,0.7758,0
2023-09-13,132.58,135.06,130.39,132.34,137.40,137.73,,,,144.0881,0,142.6864,0,21916,,-6.5428,-7.2560,0.7131,0
2023-09-14,134.89,138.59,134.54,138.59,136.91,137.58,,,,144.0881,0,141.2108,0,27191,,-5.8791,-6.9806,1.1015,0
2023-09-15,138.37,141.65,137.51,140.70,136.53,137.67,,,,144.0881,0,130.3900,1,129036,,-5.1238,-6.6092,1.4854,0
2023-09-18,141.44,143.74,137.11,138.62,135.77,137.77,,,,144.0881,0,130.6152,1,37414,,-4.6396,-6.2153,1.5757,0
2023-09-19,138.91,140.82,138.07,138.50,135.82,137.87,,,,144.0881,0,131.1402,1,14792,,-4.2169,-5.8156,1.5987,0
2023-09-20,139.15,139.22,137.74,137.82,135.81,137.96,,,,144.0881,0,131.6442,1,11549,,-3.8919,-5.4309,1.5390,0
2023-09-21,136.62,138.73,135.75,137.21,135.92,138.02,,,,144.0881,0,132.1280,1,14750,,-3.6416,-5.0730,1.4314,0
2023-09-22,138.18,138.34,134.55,134.58,136.24,137.77,,,,144.0881,0,132.5925,1,17886,,-3.6138,-4.7812,1.1674,0
2023-09-25,134.31,135.93,133.81,133.94,136.51,137.64,,,,144.0881,0,133.0384,1,16635,,-3.6019,-4.5453,0.9434,0
2023-09-26,133.55,133.55,126.50,129.18,136.15,137.21,147.08,,,142.3999,0,143.7400,0,28006,22706,-3.9312,-4.4225,0.4913,0
2023-09-27,130.23,132.49,129.25,129.77,135.89,136.65,146.27,,,142.3999,0,143.3952,0,14430,22578,-4.0974,-4.3575,0.2601,0
2023-09-28,129.87,132.28,129.87,131.86,135.22,136.07,145.48,,,142.3999,0,143.0573,0,37989,23059,-4.0141,-4.2888,0.2747,0
2023-09-29,133.93,133.93,130.14,131.47,134.30,135.41,144.69,,,142.3999,0,142.7262,0,27333,23387,-3.9343,-4.2179,0.2836,0
2023-10-02,130.68,131.45,129.41,130.79,133.51,134.64,143.95,,,141.5243,0,142.4016,0,13223,23232,-3.8811,-4.1505,0.2694,0
2023-10-03,129.96,131.59,128.92,129.55,132.62,134.22,143.13,,,141.0409,0,142.0836,0,8278,22989,-3.8942,-4.0993,0.2051,0
2023-10-04,130.16,131.58,128.96,130.40,131.88,133.84,142.34,,,140.7633,0,141.7719,0,13236,22908,-3.7922,-4.0379,0.2456,0
2023-10-05,130.67,134.36,128.57,130.39,131.19,133.56,141.57,,,140.7633,0,141.4665,0,17459,22885,-3.6699,-3.9643,0.2944,0
2023-10-06,129.54,130.66,128.24,128.44,130.58,133.41,140.80,,,140.2389,0,141.1672,0,10892,22804,-3.6878,-3.9090,0.2212,0
2023-10-09,127.66,128.82,125.64,127.19,129.90,133.21,140.00,,,137.8940,0,140.8738,0,10455,22681,-3.7596,-3.8791,0.1195,0
2023-10-10,128.22,130.32,128.22,129.75,129.96,133.05,139.22,,,137.8940,0,140.2645,0,30881,22707,-3.5687,-3.8170,0.2483,0
2023-10-11,129.98,131.44,129.08,130.06,129.99,132.94,138.48,,,137.8940,0,139.6795,0,26805,22750,-3.3537,-3.7244,0.3706,0
2023-10-12,130.40,134.26,126.31,126.72,129.48,132.35,137.82,,,137.8940,0,139.1179,0,9073,22289,-3.4136,-3.6622,0.2486,0
2023-10-13,126.23,127.96,122.17,123.06,128.63,131.47,137.16,,,137.2031,0,138.5788,0,16330,21919,-3.7135,-3.6725,-0.0410,0
2023-10-16,125.05,127.88,123.33,126.40,128.20,130.85,136.66,,,137.2031,0,137.5943,0,13007,21536,-3.6397,-3.6659,0.0262,0
2023-10-17,125.30,128.29,125.30,127.68,128.01,130.31,136.16,,,137.2031,0,136.6688,0,12040,21270,-3.4383,-3.6204,0.1821,0
2023-10-18,126.11,127.51,125.91,127.18,127.69,129.78,135.71,,,137.2031,0,135.7989,0,12375,21142,-3.2813,-3.5526,0.2713,0
