Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,58.45,59.75,58.44,59.66,,,,,,,0,58.4424,1,2897,,,,,0
2023-07-21,59.88,60.02,58.80,59.70,,,,,,,0,58.4424,1,4397,,,,,0
2023-07-24,59.56,60.72,59.29,60.58,,,,,,,0,58.4424,1,2927,,,,,0
2023-07-25,60.50,60.96,60.18,60.36,,,,,,,0,58.5337,1,2153,,,,,0
2023-07-26,60.35,61.42,60.35,61.31,,,,,,,0,58.6795,1,3846,,,,,0
2023-07-27,61.54,61.97,61.21,61.95,,,,,,,0,58.8988,1,3217,,,,,0
2023-07-28,62.09,62.14,61.37,61.78,,,,,,,0,59.2061,1,2318,,,,,0
2023-07-31,61.75,62.05,61.40,61.98,,,,,,,0,59.5587,1,2599,,,,,0
2023-08-01,62.15,62.45,60.79,61.77,,,,,,,0,59.8689,1,3817,,,,,0
2023-08-02,61.37,62.36,60.94,61.16,61.03,,,,,64.9753,0,60.2308,1,3425,,,,,0
2023-08-03,61.88,62.51,60.26,62.22,61.28,,,,,64.9753,0,62.4539,0,2559,,,,,0
2023-08-04,62.12,63.00,62.12,62.44,61.56,,,,,64.9753,0,60.2588,1,2306,,,,,0
2023-08-07,62.32,63.88,62.32,63.46,61.84,,,,,64.9753,0,60.2588,1,2838,,,,,0
2023-08-08,62.91,63.10,61.58,62.54,62.06,,,,,64.9753,0,60.4037,1,2107,,,,,0
2023-08-09,62.83,62.83,61.98,62.16,62.15,,,,,64.9753,0,60.5429,1,1849,,,,,0
2023-08-10,62.15,62.42,61.57,61.69,62.12,,,,,64.9753,0,60.6765,1,2085,,,,,0
