Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-20,60.19,60.27,57.49,58.04,,,,,,,0,57.4900,1,32868,,,,,0
2023-07-21,58.46,59.15,57.63,57.78,,,,,,,0,57.4900,1,16872,,,,,0
2023-07-24,57.77,59.00,57.54,58.90,,,,,,,0,57.4900,1,13017,,,,,0
2023-07-25,58.75,60.32,58.56,59.86,,,,,,,0,57.5400,1,20089,,,,,0
2023-07-26,59.45,60.19,58.79,59.47,,,,,,,0,57.5400,1,10758,,,,,0
2023-07-27,60.26,60.82,59.57,59.88,,,,,,,0,57.6512,1,15587,,,,,0
2023-07-28,60.33,60.68,59.74,59.89,,,,,,,0,57.8413,1,16062,,,,,0
2023-07-31,60.13,61.92,60.13,61.46,,,,,,,0,58.0200,1,30552,,,,,0
2023-08-01,58.94,59.45,55.27,57.67,,,,,,,0,61.9200,0,57687,,,,,0
2023-08-02,57.25,57.25,54.91,55.23,58.82,,,,,62.7370,0,61.9200,0,30802,,,,,0
2023-08-03,54.77,56.01,54.65,54.88,58.50,,,,,61.7293,0,61.6396,0,31907,,,,,0
2023-08-04,54.53,55.74,54.00,55.21,58.25,,,,,61.1514,0,61.2202,0,16624,,,,,0
2023-08-07,55.41,55.99,55.06,55.22,57.88,,,,,61.1514,0,60.6426,0,13672,,,,,0
2023-08-08,54.90,55.14,53.95,54.88,57.38,,,,,60.2650,0,60.1112,0,22309,,,,,0
2023-08-09,54.85,56.16,54.55,55.37,56.97,,,,,60.2650,0,59.4951,0,20238,,,,,0
2023-08-10,55.51,56.08,54.94,55.11,56.49,,,,,60.2650,0,58.9406,0,21063,,,,,0
