Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,86.23,86.52,85.60,86.36,,,,,,,0,86.5200,0,11565,,,,,0
2023-07-14,86.08,86.17,83.91,85.81,,,,,,,0,86.5200,0,10433,,,,,0
2023-07-17,85.72,86.51,85.05,86.00,,,,,,,0,86.5200,0,10894,,,,,0
2023-07-18,86.03,89.27,86.03,88.95,,,,,,,0,83.9130,1,13711,,,,,0
2023-07-19,89.07,89.48,87.87,89.12,,,,,,,0,84.0201,1,12204,,,,,0
2023-07-20,89.08,89.64,88.52,89.39,,,,,,,0,84.2384,1,9862,,,,,0
2023-07-21,89.21,89.49,87.86,88.66,,,,,,,0,84.5628,1,13523,,,,,0
2023-07-24,88.49,89.24,87.67,88.27,,,,,,,0,84.8677,1,16213,,,,,0
2023-07-25,88.58,89.60,87.61,89.10,,,,,,,0,85.1543,1,11980,,,,,0
2023-07-26,85.05,87.73,84.32,86.21,87.79,,,,,92.2627,0,89.6447,0,26383,,,,,0
2023-07-27,86.06,86.06,84.13,85.69,87.72,,,,,91.3321,0,89.5984,0,17314,,,,,0
2023-07-28,86.21,87.00,85.27,86.94,87.83,,,,,91.3321,0,89.3795,0,17068,,,,,0
2023-07-31,87.16,89.30,86.81,88.58,88.09,,,,,91.3321,0,84.1256,1,114859,,,,,0
2023-08-01,88.04,88.88,87.13,87.51,87.95,,,,,91.3321,0,84.2292,1,10006,,,,,0
2023-08-02,86.39,87.82,86.22,86.97,87.73,,,,,91.3321,0,84.3306,1,7432,,,,,0
2023-08-03,87.20,87.64,85.88,86.58,87.45,,,,,91.3321,0,84.4301,1,9413,,,,,0
2023-08-04,86.52,87.52,86.52,86.57,87.24,,,,,91.3321,0,84.5275,1,6171,,,,,0
2023-08-07,86.75,87.67,86.03,87.57,87.17,,,,,91.3321,0,84.6230,1,8062,,,,,0
