Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,29.37,29.79,29.25,29.59,,,,,,,0,29.7900,0,1562,,,,,0
2023-07-19,29.61,29.64,29.13,29.58,,,,,,,0,29.7900,0,2233,,,,,0
2023-07-20,29.62,29.88,29.20,29.37,,,,,,,0,29.1300,1,2112,,,,,0
2023-07-21,29.64,29.64,29.13,29.21,,,,,,,0,29.1300,1,2115,,,,,0
2023-07-24,29.15,30.25,29.15,30.06,,,,,,,0,29.1300,1,3382,,,,,0
2023-07-25,29.96,30.76,29.90,30.64,,,,,,,0,29.1300,1,3438,,,,,0
2023-07-26,30.57,30.79,29.89,30.61,,,,,,,0,29.1500,1,2675,,,,,0
2023-07-27,30.89,30.94,30.28,30.34,,,,,,,0,29.2812,1,2652,,,,,0
2023-07-28,30.57,30.57,29.48,29.61,,,,,,,0,29.4471,1,1495,,,,,0
2023-07-31,29.61,30.22,29.54,30.09,29.91,,,,,32.1390,0,29.4800,1,3144,,,,,0
2023-08-01,29.87,30.30,29.67,30.00,29.95,,,,,32.1390,0,29.4800,1,5196,,,,,0
2023-08-02,29.81,30.09,29.66,29.69,29.96,,,,,32.0039,0,29.5400,1,2040,,,,,0
2023-08-03,29.69,29.85,29.02,29.18,29.94,,,,,31.6000,0,30.9400,0,2892,,,,,0
2023-08-04,29.33,29.80,28.98,29.57,29.98,,,,,31.5845,0,30.9016,0,3584,,,,,0
2023-08-07,29.77,30.26,29.66,29.96,29.97,,,,,31.5845,0,30.8247,0,2448,,,,,0
2023-08-08,29.65,29.78,29.33,29.60,29.87,,,,,31.5845,0,30.7509,0,2119,,,,,0
2023-08-09,29.52,29.52,28.86,29.13,29.72,,,,,31.3496,0,30.6801,0,2916,,,,,0
2023-08-10,29.30,29.41,28.77,28.84,29.57,,,,,31.2256,0,30.5709,0,1834,,,,,0
2023-08-11,28.87,29.14,28.82,28.93,29.50,,,,,30.9980,0,30.4268,0,1987,,,,,0
2023-08-14,28.79,28.79,28.33,28.41,29.33,29.62,,,,30.5562,0,30.2943,0,2668,,,,,0
2023-08-15,28.34,28.50,28.01,28.05,29.14,29.54,,,,30.1986,0,30.0979,0,2104,,,,,0
2023-08-16,28.02,28.40,27.83,27.83,28.95,29.46,,,,30.0353,0,29.8473,0,2630,,,,,0
2023-08-17,27.98,28.43,27.98,28.20,28.85,29.40,,,,30.0353,0,29.5649,0,2828,,,,,0
2023-08-18,27.98,28.65,27.96,28.54,28.75,29.36,,,,30.0353,0,29.3220,0,4703,,,,,0
2023-08-21,28.48,28.56,28.16,28.40,28.59,29.28,,,,30.0353,0,29.1131,0,3337,,,,,0
2023-08-22,27.53,28.52,26.99,27.89,28.42,29.14,,,,29.8808,0,28.9335,0,3048,,,,,0
2023-08-23,29.18,32.70,28.93,31.82,28.69,29.20,,,,27.7779,1,26.9900,1,14103,,,,,0
2023-08-24,31.89,32.74,31.41,31.60,28.97,29.27,,,,28.6554,1,26.9900,1,6481,,,,,0
2023-08-25,31.60,32.10,31.09,31.52,29.23,29.36,,,,28.6554,1,27.2200,1,3763,,,,,0
2023-08-28,31.58,32.35,31.58,32.04,29.59,29.46,,,,28.6734,1,27.4408,1,4338,,,,,0
2023-08-29,31.90,32.74,31.46,32.47,30.03,29.58,,,,28.7536,1,27.6528,1,2555,,,,,0
2023-08-30,32.24,33.06,32.21,32.88,30.54,29.74,,,,29.3682,1,27.8563,1,2884,,,,,0
2023-08-31,32.88,33.47,32.72,32.78,30.99,29.92,,,,29.9299,1,28.1685,1,4389,,,,,0
2023-09-01,32.87,33.35,32.84,33.20,31.46,30.10,,,,30.0754,1,28.5926,1,4064,,0.7578,0.1360,0.6218,0
2023-09-05,33.04,33.04,32.06,32.16,31.84,30.21,,,,30.0754,1,28.9828,1,4316,,0.7570,0.2602,0.4968,0
2023-09-06,32.12,32.49,31.60,31.69,32.22,30.32,,,,30.0754,1,29.3418,1,2871,,0.7103,0.3502,0.3600,0
2023-09-07,31.44,31.49,30.60,31.06,32.14,30.42,,,,30.0754,1,29.6720,1,4777,,0.6153,0.4032,0.2120,0
2023-09-08,30.96,31.14,30.46,30.48,32.03,30.50,,,,30.0754,1,29.9759,1,3115,,0.4876,0.4201,0.0675,0
2023-09-11,30.49,30.73,30.15,30.19,31.90,30.56,,,,30.0754,1,33.4700,0,2880,,0.3588,0.4078,-0.0490,0
2023-09-12,30.00,30.22,29.52,29.54,31.65,30.62,,,,32.6221,0,33.4036,0,2756,,0.2020,0.3667,-0.1647,0
2023-09-13,29.47,29.54,29.10,29.43,31.34,30.69,,,,31.9289,0,33.2483,0,3717,,0.0681,0.3070,-0.2389,0
2023-09-14,29.59,30.42,29.59,29.97,31.05,30.79,,,,31.9289,0,32.9994,0,3168,,0.0055,0.2467,-0.2412,0
2023-09-15,29.99,30.41,29.96,30.28,30.80,30.90,,,,31.9289,0,32.7654,0,14525,,-0.0189,0.1935,-0.2125,0
2023-09-18,30.42,30.49,30.11,30.13,30.49,30.98,,,,31.9289,0,32.5455,0,3423,,-0.0498,0.1449,-0.1947,0
2023-09-19,30.20,30.56,30.11,30.45,30.32,31.08,,,,31.9289,0,32.3387,0,2664,,-0.0479,0.1063,-0.1542,0
2023-09-20,30.46,30.83,30.08,30.14,30.17,31.19,,,,31.9289,0,32.1444,0,2119,,-0.0706,0.0709,-0.1415,0
2023-09-21,29.85,30.52,29.72,30.41,30.10,31.12,,,,31.9289,0,31.9618,0,3403,,-0.0660,0.0435,-0.1096,0
2023-09-22,30.44,30.83,30.00,30.01,30.06,31.04,,,,31.9289,0,31.7901,0,2839,,-0.0936,0.0161,-0.1097,0
2023-09-25,29.80,30.15,29.76,29.79,30.02,30.96,,,,31.9289,0,31.6286,0,1811,,-0.1317,-0.0134,-0.1182,0
2023-09-26,29.70,29.85,29.29,29.31,29.99,30.82,30.09,,,31.7110,0,31.4769,0,2814,3498,-0.1983,-0.0504,-0.1479,0
2023-09-27,29.36,30.22,29.36,30.01,30.05,30.70,30.10,,,31.7110,0,31.3343,0,2992,3527,-0.1924,-0.0788,-0.1136,0
2023-09-28,30.11,31.78,30.11,30.43,30.10,30.57,30.12,,,31.7110,0,29.1000,1,4631,3575,-0.1521,-0.0935,-0.0586,0
2023-09-29,30.55,30.60,30.25,30.31,30.10,30.45,30.14,,,31.7110,0,29.1536,1,4643,3626,-0.1284,-0.1005,-0.0279,0
2023-10-02,30.32,30.89,30.32,30.86,30.17,30.33,30.17,,,31.7110,0,29.2061,1,4502,3673,-0.0644,-0.0932,0.0288,0
2023-10-03,30.80,30.89,30.42,30.57,30.18,30.25,30.18,,,31.7110,0,29.2576,1,2085,3647,-0.0367,-0.0819,0.0452,0
2023-10-04,30.53,30.90,30.26,30.86,30.26,30.21,30.19,,,31.7110,0,29.3081,1,1972,3618,0.0085,-0.0638,0.0724,0
2023-10-05,30.75,31.27,30.03,31.18,30.33,30.22,30.20,,,31.7110,0,29.3575,1,4025,3645,0.0694,-0.0372,0.1066,0
2023-10-06,30.97,31.86,30.97,31.79,30.51,30.28,30.23,,,29.0443,1,29.4059,1,3309,3658,0.1650,0.0032,0.1617,0
2023-10-09,31.50,32.25,31.50,32.05,30.74,30.38,30.27,,,29.5164,1,29.5041,1,2048,3669,0.2587,0.0543,0.2044,0
2023-10-10,32.24,32.44,31.97,32.09,31.02,30.50,30.31,,,29.9412,1,29.6689,1,2567,3658,0.3324,0.1100,0.2225,0
2023-10-11,32.16,32.84,32.16,32.84,31.30,30.67,30.37,,,30.2376,1,29.8906,1,3018,3614,0.4462,0.1772,0.2690,0
2023-10-12,32.84,32.95,31.77,32.52,31.51,30.80,30.43,,,30.2376,1,30.1855,1,3782,3649,0.5047,0.2427,0.2620,0
2023-10-13,32.51,32.51,31.92,32.11,31.69,30.89,30.49,,,30.2376,1,30.5172,1,3028,3652,0.5121,0.2966,0.2155,0
2023-10-16,32.49,32.56,32.20,32.48,31.85,31.01,30.54,,,30.2376,1,30.8092,1,2459,3629,0.5416,0.3456,0.1960,0
2023-10-17,32.45,33.10,32.45,32.84,32.08,31.13,30.60,,,30.5703,1,31.0661,1,3645,3653,0.5872,0.3939,0.1933,0
2023-10-18,32.57,32.73,32.24,32.48,32.24,31.25,30.66,,,30.5703,1,31.3508,1,2842,3668,0.5876,0.4326,0.1549,0
2023-10-19,32.34,32.34,31.83,31.85,32.31,31.32,30.71,,,30.5703,1,31.5957,1,6701,3743,0.5309,0.4523,0.0786,0
2023-10-20,32.00,32.00,31.40,31.45,32.27,31.39,30.77,,,30.5703,1,33.1000,0,4296,3793,0.4485,0.4515,-0.0030,0
2023-10-23,31.45,31.55,30.71,30.75,32.14,31.44,30.80,,,30.5703,1,33.0660,0,6255,3878,0.3230,0.4258,-0.1028,0
2023-10-24,30.91,30.94,30.55,30.56,31.99,31.50,30.85,,,32.7967,0,32.9718,0,3401,3893,0.2059,0.3818,-0.1760,0
2023-10-25,30.68,31.07,30.34,30.34,31.74,31.52,30.89,,,32.7705,0,32.8265,0,3128,3913,0.0942,0.3243,-0.2301,0
2023-10-26,30.44,30.95,30.37,30.53,31.54,31.52,30.95,,,32.7020,0,32.6275,0,2729,3915,0.0208,0.2636,-0.2428,0
2023-10-27,30.47,30.47,29.78,29.86,31.31,31.50,30.98,,,32.1878,0,32.4445,0,2356,3906,-0.0904,0.1928,-0.2832,0
2023-10-30,30.22,30.23,29.86,30.09,31.08,31.46,31.01,,,32.0125,0,32.1781,0,1613,3844,-0.1582,0.1226,-0.2808,0
2023-10-31,30.25,30.43,30.10,30.40,30.83,31.45,31.05,,,32.0125,0,31.9383,0,1493,3807,-0.1847,0.0611,-0.2459,0
2023-11-01,30.44,31.41,30.23,31.41,30.72,31.48,31.12,,,32.0125,0,31.7224,0,3917,3824,-0.1228,0.0243,-0.1472,0
2023-11-02,31.71,31.87,31.05,31.77,30.72,31.51,31.12,,,32.0125,0,29.7800,1,2777,3598,-0.0442,0.0106,-0.0549,0
2023-11-03,32.18,32.51,31.94,32.03,30.77,31.52,31.13,,,30.1296,1,29.8218,1,3142,3531,0.0386,0.0162,0.0224,0
2023-11-06,31.91,32.14,31.81,32.07,30.91,31.52,31.14,,,30.1296,1,29.9293,1,2610,3508,0.1062,0.0342,0.0720,0
2023-11-07,32.11,32.11,31.61,31.63,31.01,31.50,31.13,,,30.1296,1,30.0326,1,2670,3475,0.1229,0.0520,0.0709,0
2023-11-08,31.57,31.57,30.77,31.01,31.08,31.41,31.10,,,30.1296,1,30.1317,1,2841,3480,0.0851,0.0586,0.0265,0
2023-11-09,29.99,30.70,27.86,28.63,30.89,31.21,31.02,,,32.0257,0,32.5100,0,8532,3593,-0.1353,0.0198,-0.1551,0
2023-11-10,28.77,30.47,28.48,30.07,30.91,31.11,30.96,,,32.0257,0,32.4170,0,6742,3640,-0.1916,-0.0225,-0.1691,0
