Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,46.01,47.08,45.89,46.85,,,,,,,0,47.0800,0,76581,,,,,0
2023-07-20,46.97,47.06,45.79,45.89,,,,,,,0,47.0800,0,30746,,,,,0
2023-07-21,46.53,46.63,45.84,46.45,,,,,,,0,47.0800,0,31581,,,,,0
2023-07-24,46.62,47.86,46.33,46.51,,,,,,,0,45.7950,1,42203,,,,,0
2023-07-25,46.30,46.67,45.51,46.26,,,,,,,0,47.8600,0,32919,,,,,0
2023-07-26,45.93,46.33,45.56,46.25,,,,,,,0,47.8600,0,31482,,,,,0
2023-07-27,46.21,46.51,45.37,45.77,,,,,,,0,47.8130,0,27471,,,,,0
2023-07-28,45.46,46.65,45.44,46.59,,,,,,,0,47.7153,0,34500,,,,,0
2023-07-31,46.58,50.23,46.50,48.91,,,,,,,0,45.3700,1,91843,,,,,0
2023-08-01,47.77,48.61,47.61,47.67,46.71,,,,,52.3377,0,45.4400,1,51631,,,,,0
2023-08-02,47.53,47.53,46.33,46.94,46.72,,,,,51.1381,0,45.5358,1,23240,,,,,0
2023-08-03,46.92,47.72,46.87,47.00,46.83,,,,,51.1381,0,45.6297,1,42413,,,,,0
2023-08-04,48.77,48.89,46.48,46.84,46.87,,,,,51.1381,0,45.7217,1,28666,,,,,0
2023-08-07,47.12,47.33,46.05,46.31,46.85,,,,,51.0001,0,45.8119,1,15292,,,,,0
2023-08-08,45.53,46.33,45.24,46.09,46.84,,,,,49.9911,0,50.2300,0,15578,,,,,0
2023-08-09,48.33,48.33,46.74,47.47,46.96,,,,,49.9911,0,50.1302,0,42984,,,,,0
2023-08-10,47.71,47.95,46.83,47.57,47.14,,,,,49.9911,0,50.0324,0,22210,,,,,0
2023-08-11,47.43,48.31,47.43,48.00,47.28,,,,,49.9911,0,49.9365,0,33461,,,,,0
2023-08-14,47.51,48.10,47.00,47.87,47.18,,,,,49.9911,0,49.8426,0,51379,,,,,0
2023-08-15,49.42,49.61,48.32,49.01,47.31,47.01,,,,49.9911,0,49.7506,0,73397,,,,,0
2023-08-16,49.90,50.59,48.30,48.86,47.50,47.11,,,,49.9911,0,45.2400,1,63376,,,,,0
2023-08-17,49.48,49.87,48.59,48.69,47.67,47.25,,,,49.9911,0,45.3470,1,47896,,,,,0
2023-08-18,47.67,50.21,47.50,50.05,47.99,47.43,,,,44.9757,1,45.4519,1,40210,,,,,0
2023-08-21,50.26,50.61,48.35,48.68,48.23,47.54,,,,44.9757,1,45.5546,1,37966,,,,,0
2023-08-22,49.03,49.14,48.25,48.83,48.50,47.67,,,,44.9757,1,45.7568,1,40163,,,,,0
