Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,59.80,59.81,58.99,59.31,,,,,,,0,58.9903,1,34139,,,,,0
2023-07-17,59.10,60.17,58.87,59.88,,,,,,,0,60.1748,0,37215,,,,,0
2023-07-18,59.86,60.64,59.57,60.59,,,,,,,0,58.8652,1,30315,,,,,0
2023-07-19,60.67,61.58,60.47,61.54,,,,,,,0,58.8652,1,37931,,,,,0
2023-07-20,61.29,61.89,61.29,61.71,,,,,,,0,58.9738,1,47861,,,,,0
2023-07-21,62.04,62.04,61.14,61.50,,,,,,,0,59.1487,1,27847,,,,,0
2023-07-24,61.62,61.95,61.46,61.71,,,,,,,0,59.3802,1,28061,,,,,0
2023-07-25,61.63,61.79,61.32,61.60,,,,,,,0,59.5932,1,23938,,,,,0
2023-07-26,61.28,61.68,59.79,61.48,,,,,,,0,59.7892,1,42409,,,,,0
2023-07-27,60.97,61.31,59.63,60.19,60.95,,,,,63.6231,0,62.0429,0,62029,,,,,0
2023-07-28,60.36,61.28,60.36,60.60,61.08,,,,,63.6231,0,61.9946,0,36499,,,,,0
2023-07-31,60.60,60.75,60.38,60.66,61.16,,,,,63.5265,0,61.9472,0,66593,,,,,0
2023-08-01,60.66,60.82,60.30,60.46,61.15,,,,,63.3815,0,61.9008,0,34930,,,,,0
2023-08-02,60.28,60.28,58.83,59.79,60.97,,,,,62.5842,0,61.8553,0,54198,,,,,0
2023-08-03,59.62,59.91,59.35,59.71,60.77,,,,,62.5209,0,61.7341,0,30757,,,,,0
2023-08-04,59.78,60.02,59.32,59.40,60.56,,,,,62.4856,0,61.6178,0,20555,,,,,0
2023-08-07,59.62,60.75,59.62,60.72,60.46,,,,,62.4856,0,61.5062,0,27248,,,,,0
2023-08-08,60.11,60.62,59.25,59.66,60.27,,,,,62.4856,0,61.3990,0,30782,,,,,0
2023-08-09,59.75,59.90,59.41,59.46,60.07,,,,,62.4856,0,61.2961,0,28288,,,,,0
2023-08-10,59.57,59.97,59.13,59.57,60.00,60.48,,,,62.4357,0,61.1973,0,27880,,,,,0
2023-08-11,59.56,59.76,59.24,59.55,59.90,60.49,,,,62.2505,0,61.1025,0,32033,,,,,0
2023-08-14,59.36,59.68,59.09,59.68,59.80,60.48,,,,62.0391,0,61.0115,0,22362,,,,,0
2023-08-15,59.46,59.46,58.50,58.59,59.61,60.38,,,,61.7246,0,60.9241,0,31521,,,,,0
2023-08-16,58.58,59.11,58.58,58.68,59.50,60.24,,,,61.4695,0,60.7786,0,28849,,,,,0
2023-08-17,58.73,59.02,58.52,58.65,59.40,60.08,,,,61.2846,0,60.6418,0,22378,,,,,0
2023-08-18,58.30,59.12,58.30,58.97,59.35,59.96,,,,61.2160,0,60.5133,0,31581,,,,,0
2023-08-21,58.90,59.02,58.40,58.90,59.17,59.82,,,,61.1547,0,60.3360,0,34714,,,,,0
2023-08-22,58.90,59.20,58.34,58.37,59.04,59.66,,,,61.1547,0,60.1728,0,27588,,,,,0
2023-08-23,58.54,59.29,58.54,59.28,59.03,59.55,,,,61.1547,0,60.0228,0,20549,,,,,0
2023-08-24,59.00,59.80,57.93,58.61,58.93,59.47,,,,61.1547,0,59.8847,0,22220,,,,,0
2023-08-25,58.70,59.53,58.60,59.05,58.88,59.39,,,,61.1547,0,59.7992,0,22903,,,,,0
2023-08-28,59.18,59.60,59.02,59.11,58.82,59.31,,,,61.1547,0,59.7992,0,17997,,,,,0
2023-08-29,59.13,59.88,58.95,59.72,58.93,59.27,,,,61.1547,0,57.9311,1,19915,,,,,0
2023-08-30,59.76,60.21,59.76,59.95,59.06,59.28,,,,61.1547,0,57.9700,1,21779,,-0.4062,-0.6540,0.2478,0
2023-08-31,60.05,60.13,59.69,59.76,59.17,59.29,,,,61.1547,0,58.0597,1,45924,,-0.3393,-0.5911,0.2518,0
2023-09-01,60.05,60.40,59.65,59.71,59.25,59.30,,,,61.1547,0,58.1459,1,30075,,-0.2869,-0.5303,0.2434,0
2023-09-05,59.34,59.48,58.43,59.06,59.26,59.22,,,,61.1547,0,58.2809,1,41410,,-0.2948,-0.4832,0.1884,0
2023-09-06,59.05,59.32,58.39,58.58,59.28,59.16,,,,61.1547,0,60.3963,0,29223,,-0.3360,-0.4537,0.1177,0
2023-09-07,58.36,58.70,58.06,58.41,59.20,59.11,,,,60.9032,0,60.3562,0,30166,,-0.3775,-0.4385,0.0610,0
2023-09-08,58.45,59.20,58.13,59.10,59.24,59.09,,,,60.9032,0,60.2642,0,25057,,-0.3512,-0.4210,0.0698,0
2023-09-11,59.24,59.47,58.63,58.87,59.23,59.05,,,,60.9032,0,60.1759,0,20906,,-0.3451,-0.4058,0.0608,0
2023-09-12,58.60,59.51,57.69,58.25,59.14,58.98,,,,60.9032,0,60.0911,0,34056,,-0.3854,-0.4018,0.0163,0
2023-09-13,58.32,58.55,57.64,58.50,59.02,58.98,,,,60.9032,0,59.9471,0,45727,,-0.3927,-0.4000,0.0072,0
2023-09-14,58.61,59.04,58.37,58.79,58.90,58.98,,,,60.9032,0,59.7627,0,29567,,-0.3709,-0.3941,0.0232,0
2023-09-15,58.53,59.05,58.32,58.71,58.80,58.98,,,,60.9032,0,59.5930,0,79316,,-0.3557,-0.3865,0.0307,0
2023-09-18,58.69,59.64,58.54,59.37,58.76,59.00,,,,60.9032,0,57.6422,1,37915,,-0.2876,-0.3667,0.0791,0
2023-09-19,59.26,59.50,58.87,59.15,58.77,59.02,,,,60.9032,0,57.6821,1,31010,,-0.2478,-0.3429,0.0951,0
2023-09-20,59.33,59.82,58.97,59.00,58.81,59.05,,,,60.9032,0,57.7212,1,28368,,-0.2261,-0.3195,0.0935,0
2023-09-21,58.84,59.13,57.89,58.04,58.78,58.99,,,,60.9032,0,57.8050,1,28942,,-0.2833,-0.3123,0.0290,0
2023-09-22,58.11,58.63,58.01,58.02,58.67,58.96,59.56,,,60.9032,0,57.8856,1,24817,32967,-0.3264,-0.3151,-0.0113,0
2023-09-25,58.02,58.58,57.86,58.50,58.63,58.93,59.54,,,60.8469,0,59.8185,0,36572,33015,-0.3181,-0.3157,-0.0024,0
2023-09-26,58.24,58.38,57.79,57.99,58.61,58.87,59.51,,,60.6632,0,59.7794,0,36529,33002,-0.3487,-0.3223,-0.0264,0
2023-09-27,58.11,58.44,58.02,58.18,58.57,58.80,59.46,,,60.6632,0,59.6997,0,52149,33438,-0.3533,-0.3285,-0.0248,0
2023-09-28,58.35,58.54,57.80,58.02,58.50,58.70,59.39,,,60.5998,0,59.6232,0,33728,33354,-0.3659,-0.3360,-0.0299,0
2023-09-29,58.30,58.84,57.95,58.00,58.43,58.61,59.31,,,60.5998,0,59.5497,0,29916,32996,-0.3732,-0.3434,-0.0298,0
2023-10-02,57.84,57.92,56.85,56.98,58.19,58.47,59.22,,,59.9406,0,59.4792,0,23786,32914,-0.4561,-0.3660,-0.0901,0
2023-10-03,56.70,56.88,54.79,54.93,57.76,58.27,59.09,,,58.7906,0,59.3216,0,31395,32981,-0.6794,-0.4287,-0.2508,0
2023-10-04,55.07,55.68,54.71,55.59,57.42,58.12,58.97,,,58.1418,0,58.9592,0,24495,32992,-0.7937,-0.5017,-0.2920,0
2023-10-05,55.45,57.17,54.95,56.09,57.23,58.00,58.86,,,58.1418,0,58.5338,0,34146,32827,-0.8342,-0.5682,-0.2660,0
2023-10-06,56.05,56.62,55.62,56.00,57.03,57.85,58.77,,,58.1418,0,58.1509,0,30657,32199,-0.8641,-0.6274,-0.2368,0
2023-10-09,55.61,55.94,55.26,55.50,56.73,57.68,58.67,,,58.1418,0,57.8064,0,23252,31934,-0.9169,-0.6853,-0.2316,0
2023-10-10,55.69,56.17,55.59,55.73,56.50,57.55,58.57,,,58.1418,0,57.4963,0,32141,31245,-0.9301,-0.7342,-0.1959,0
2023-10-11,55.91,56.04,55.17,55.72,56.25,57.41,58.48,,,58.1418,0,57.2172,0,22056,30988,-0.9306,-0.7735,-0.1571,0
2023-10-12,55.75,55.75,54.48,54.74,55.93,57.21,58.38,,,58.1418,0,56.9660,0,24406,30392,-0.9980,-0.8184,-0.1796,0
2023-10-13,54.84,55.02,54.03,54.33,55.56,56.99,58.27,,,57.6107,0,56.6681,0,28588,30349,-1.0725,-0.8692,-0.2033,0
2023-10-16,54.67,55.15,54.50,54.71,55.33,56.76,58.18,,,57.6107,0,56.2989,0,30263,30543,-1.0887,-0.9131,-0.1755,0
2023-10-17,55.82,55.82,54.83,55.01,55.34,56.55,58.06,,,57.6107,0,55.9814,0,52491,31048,-1.0643,-0.9434,-0.1210,0
2023-10-18,54.60,54.73,53.78,53.81,55.16,56.29,57.95,,,57.3757,0,55.8222,0,24051,30913,-1.1292,-0.9805,-0.1486,0
2023-10-19,53.67,54.15,53.28,53.52,54.91,56.07,57.83,,,56.7798,0,55.8222,0,30169,30951,-1.1901,-1.0224,-0.1677,0
2023-10-20,53.60,53.74,52.86,52.96,54.60,55.82,57.69,,,56.3248,0,55.3646,0,30437,31002,-1.2689,-1.0717,-0.1972,0
2023-10-23,52.89,53.26,52.63,52.66,54.32,55.52,57.56,,,55.8567,0,54.8630,0,24075,30843,-1.3399,-1.1254,-0.2146,0
2023-10-24,52.76,53.01,52.22,52.49,54.00,55.25,57.41,,,55.4748,0,54.4154,0,29850,30992,-1.3942,-1.1791,-0.2150,0
2023-10-25,52.16,52.52,51.71,52.38,53.66,54.96,57.29,,,54.9308,0,53.9765,0,44467,31251,-1.4292,-1.2292,-0.2001,0
2023-10-26,51.59,52.25,50.27,50.94,53.28,54.60,57.13,,,54.4277,0,53.5233,0,40130,31477,-1.5556,-1.2944,-0.2612,0
2023-10-27,50.89,51.65,50.38,51.29,52.98,54.27,56.99,,,54.2513,0,52.8718,0,43636,31902,-1.6093,-1.3574,-0.2519,0
2023-10-30,51.63,51.97,50.99,51.53,52.66,54.00,56.84,,,54.2513,0,52.3507,0,28077,31832,-1.6138,-1.4087,-0.2051,0
2023-10-31,51.71,51.98,51.39,51.67,52.33,53.83,56.69,,,54.2513,0,50.2660,1,45069,32039,-1.5874,-1.4444,-0.1429,0
2023-11-01,51.81,52.25,51.51,52.15,52.16,53.66,56.57,,,54.2513,0,50.3003,1,25840,32004,-1.5102,-1.4576,-0.0526,0
