Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-17,15.64,16.58,15.50,15.95,,,,,,,0,15.5000,1,4624,,,,,0
2023-07-18,15.96,16.16,15.96,15.99,,,,,,,0,15.5000,1,1714,,,,,0
2023-07-19,16.07,16.12,15.82,16.05,,,,,,,0,15.5000,1,1493,,,,,0
2023-07-20,15.89,15.97,15.70,15.71,,,,,,,0,15.5215,1,203,,,,,0
2023-07-21,15.73,15.99,15.73,15.94,,,,,,,0,15.5426,1,681,,,,,0
2023-07-24,16.00,16.06,15.90,16.06,,,,,,,0,15.5632,1,517,,,,,0
2023-07-25,16.01,16.02,15.80,16.02,,,,,,,0,15.5835,1,1477,,,,,0
2023-07-26,15.90,15.90,14.75,15.00,,,,,,,0,16.5750,0,3798,,,,,0
2023-07-27,15.05,15.84,14.98,15.61,,,,,,,0,16.5385,0,941,,,,,0
2023-07-28,15.83,16.38,15.74,16.03,15.84,,,,,17.7205,0,16.5027,0,1199,,,,,0
2023-07-31,15.90,16.20,15.71,15.95,15.84,,,,,17.5965,0,16.4677,0,204,,,,,0
2023-08-01,15.20,16.05,15.20,16.01,15.84,,,,,17.3573,0,16.4333,0,517,,,,,0
2023-08-02,15.24,16.28,15.24,16.05,15.84,,,,,17.3573,0,16.3997,0,921,,,,,0
2023-08-03,15.90,16.50,15.85,16.28,15.89,,,,,17.3573,0,14.7500,1,370,,,,,0
2023-08-04,16.41,16.42,15.85,16.09,15.91,,,,,17.3573,0,14.7850,1,1036,,,,,0
2023-08-07,15.96,16.49,15.83,15.94,15.90,,,,,17.3573,0,14.8193,1,1400,,,,,0
2023-08-08,18.00,18.33,15.75,15.93,15.89,,,,,17.3573,0,14.8529,1,7493,,,,,0
2023-08-09,15.93,16.19,15.60,15.96,15.99,,,,,17.3573,0,14.9920,1,4193,,,,,0
2023-08-10,15.96,16.13,15.77,16.00,16.02,,,,,17.3573,0,15.1255,1,2794,,,,,0
2023-08-11,15.92,16.15,15.77,16.00,16.02,15.93,,,,17.3573,0,15.2537,1,2411,,,,,0
2023-08-14,15.95,16.24,15.79,16.11,16.04,15.94,,,,17.3573,0,15.3767,1,1577,,,,,0
2023-08-15,15.96,16.20,15.48,15.70,16.01,15.92,,,,17.3573,0,18.3300,0,4085,,,,,0
2023-08-16,15.55,15.98,14.26,14.49,15.85,15.84,,,,17.3573,0,18.2730,0,2442,,,,,0
2023-08-17,14.25,14.25,12.52,12.69,15.49,15.69,,,,16.1235,0,18.1123,0,2011,,,,,0
2023-08-18,11.99,12.98,11.98,12.69,15.15,15.53,,,,15.2406,0,17.7767,0,1556,,,,,0
2023-08-21,12.35,13.24,11.68,12.31,14.79,15.34,,,,15.2406,0,17.3130,0,1409,,,,,0
