Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,4.30,4.54,4.30,4.51,,,,,,,0,4.2976,1,407,,,,,0
2023-07-20,4.48,4.66,4.48,4.60,,,,,,,0,4.2976,1,573,,,,,0
2023-07-21,4.65,4.65,4.42,4.45,,,,,,,0,4.2976,1,449,,,,,0
2023-07-24,4.42,4.50,4.37,4.38,,,,,,,0,4.3049,1,412,,,,,0
2023-07-25,4.37,4.48,4.37,4.42,,,,,,,0,4.3121,1,336,,,,,0
2023-07-26,4.40,4.82,4.40,4.82,,,,,,,0,4.3191,1,890,,,,,0
2023-07-27,4.81,4.89,4.71,4.75,,,,,,,0,4.3393,1,515,,,,,0
2023-07-28,4.76,5.01,4.67,4.99,,,,,,,0,4.3725,1,582,,,,,0
2023-07-31,5.04,5.04,4.84,4.93,,,,,,,0,4.4236,1,528,,,,,0
2023-08-01,4.85,4.85,4.55,4.55,4.64,,,,,5.4298,0,4.4849,1,577,,,,,0
2023-08-02,4.46,4.59,4.25,4.26,4.62,,,,,5.1743,0,5.0365,0,932,,,,,0
2023-08-03,4.31,4.56,4.31,4.51,4.61,,,,,5.1743,0,5.0207,0,816,,,,,0
2023-08-04,4.49,4.58,4.38,4.39,4.60,,,,,5.1743,0,5.0053,0,264,,,,,0
2023-08-07,4.44,4.64,4.42,4.59,4.62,,,,,5.1743,0,4.9901,0,536,,,,,0
2023-08-08,4.56,4.57,4.42,4.46,4.62,,,,,5.1743,0,4.9752,0,520,,,,,0
2023-08-09,4.43,4.65,4.42,4.63,4.61,,,,,5.1743,0,4.9607,0,420,,,,,0
2023-08-10,4.63,4.70,4.43,4.52,4.58,,,,,5.1743,0,4.9464,0,544,,,,,0
2023-08-11,4.49,4.56,4.44,4.49,4.53,,,,,5.1743,0,4.9324,0,321,,,,,0
2023-08-14,4.42,4.74,4.42,4.72,4.51,,,,,5.1743,0,4.9187,0,971,,,,,0
2023-08-15,4.66,4.70,4.57,4.59,4.52,4.58,,,,5.1743,0,4.9052,0,245,,,,,0
2023-08-16,4.54,4.82,4.54,4.68,4.56,4.59,,,,5.1743,0,4.8921,0,586,,,,,0
2023-08-17,4.71,4.73,4.62,4.65,4.57,4.59,,,,5.1743,0,4.8791,0,273,,,,,0
2023-08-18,4.59,4.71,4.54,4.59,4.59,4.60,,,,5.1743,0,4.8665,0,386,,,,,0
2023-08-21,4.54,4.57,4.45,4.47,4.58,4.60,,,,5.1405,0,4.8541,0,333,,,,,0
2023-08-22,4.48,4.59,4.47,4.54,4.59,4.61,,,,5.1301,0,4.8420,0,363,,,,,0
2023-08-23,4.54,4.62,4.43,4.61,4.59,4.60,,,,5.1241,0,4.8300,0,373,,,,,0
2023-08-24,4.59,4.59,4.42,4.42,4.58,4.58,,,,5.1056,0,4.8184,0,163,,,,,0
2023-08-25,4.41,4.48,4.37,4.37,4.56,4.55,,,,5.0006,0,4.8069,0,280,,,,,0
2023-08-28,4.37,4.44,4.37,4.38,4.53,4.52,,,,4.9448,0,4.7957,0,236,,,,,0
2023-08-29,4.37,4.71,4.37,4.70,4.54,4.53,,,,4.9448,0,4.7848,0,1423,,,,,0
2023-08-30,4.63,4.66,4.47,4.47,4.52,4.54,,,,4.9448,0,4.7740,0,426,,,,,0
2023-08-31,4.45,4.54,4.40,4.50,4.50,4.54,,,,4.9448,0,4.7635,0,292,,,,,0
2023-09-01,4.51,4.63,4.51,4.59,4.50,4.55,,,,4.9448,0,4.7531,0,166,,,,,0
2023-09-05,4.54,4.54,4.42,4.48,4.51,4.54,,,,4.9448,0,4.7430,0,256,,-0.0187,-0.0203,0.0017,0
2023-09-06,4.43,4.51,4.42,4.43,4.49,4.54,,,,4.9448,0,4.7331,0,183,,-0.0251,-0.0213,-0.0038,0
2023-09-07,4.43,4.47,4.27,4.37,4.47,4.53,,,,4.9031,0,4.7233,0,714,,-0.0346,-0.0239,-0.0107,0
2023-09-08,4.36,4.43,4.32,4.39,4.47,4.52,,,,4.8846,0,4.7138,0,179,,-0.0397,-0.0271,-0.0126,0
2023-09-11,4.28,4.48,4.28,4.38,4.47,4.52,,,,4.8846,0,4.7045,0,338,,-0.0438,-0.0304,-0.0134,0
