Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-19,5.21,5.25,5.15,5.19,,,,,,,0,5.2500,0,214,,,,,0
2023-07-20,5.12,5.18,4.94,4.98,,,,,,,0,5.2500,0,449,,,,,0
2023-07-21,4.98,4.98,4.91,4.96,,,,,,,0,5.2500,0,141,,,,,0
2023-07-24,4.91,4.96,4.86,4.89,,,,,,,0,5.2362,0,122,,,,,0
2023-07-25,4.93,4.97,4.89,4.97,,,,,,,0,5.2137,0,192,,,,,0
2023-07-26,4.99,4.99,4.78,4.84,,,,,,,0,5.1924,0,447,,,,,0
2023-07-27,4.78,4.78,4.64,4.67,,,,,,,0,5.1595,0,274,,,,,0
2023-07-28,4.66,4.74,4.63,4.72,,,,,,,0,5.1075,0,224,,,,,0
2023-07-31,4.64,5.28,4.64,5.16,,,,,,,0,4.6300,1,528,,,,,0
2023-08-01,5.05,5.11,4.92,5.06,4.94,,,,,5.6171,0,4.6300,1,164,,,,,0
2023-08-02,5.09,5.09,4.81,4.94,4.92,,,,,5.5759,0,4.6400,1,191,,,,,0
2023-08-03,5.02,5.02,4.85,4.96,4.92,,,,,5.5493,0,4.6528,1,106,,,,,0
2023-08-04,5.08,5.08,4.96,4.98,4.92,,,,,5.5493,0,4.6653,1,156,,,,,0
2023-08-07,5.00,5.00,4.78,4.79,4.91,,,,,5.4860,0,4.6776,1,152,,,,,0
2023-08-08,4.71,4.85,4.68,4.73,4.88,,,,,5.3514,0,5.2800,0,211,,,,,0
2023-08-09,4.67,4.69,4.57,4.69,4.87,,,,,5.2080,0,5.2679,0,200,,,,,0
2023-08-10,4.82,4.83,4.66,4.76,4.88,,,,,5.2080,0,5.2400,0,234,,,,,0
2023-08-11,4.90,4.97,4.69,4.97,4.90,,,,,5.2080,0,5.2132,0,135,,,,,0
