Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2025-06-18,20.93,21.36,19.05,20.18,,,,,,,0,19.0480,1,241998,,,,,0
2025-06-20,20.18,25.82,19.44,23.22,,,,,,,0,19.0480,1,153507,,,,,0
2025-06-23,22.73,23.35,21.19,22.27,,,,,,,0,19.0480,1,27530,,,,,0
2025-06-24,22.22,22.61,20.18,21.67,,,,,,,0,19.1834,1,19562,,,,,0
2025-06-25,21.47,22.55,20.48,21.25,,,,,,,0,19.3161,1,64525,,,,,0
2025-06-26,20.74,21.73,20.26,21.03,,,,,,,0,19.4461,1,14407,,,,,0
2025-06-27,20.35,22.08,20.28,20.58,,,,,,,0,19.5735,1,24691,,,,,0
2025-06-30,20.45,21.62,19.16,21.59,,,,,,,0,25.8160,0,38696,,,,,0
2025-07-01,21.52,21.59,20.46,20.94,,,,,,,0,25.6830,0,19991,,,,,0
2025-07-02,20.95,20.95,19.70,20.44,21.32,,,,,27.3573,0,25.5526,0,18475,,,,,0
2025-07-03,20.39,20.73,20.07,20.72,21.37,,,,,26.9311,0,25.4248,0,6470,,,,,0
2025-07-07,20.35,20.88,19.24,19.41,20.99,,,,,26.4278,0,25.2995,0,17239,,,,,0
2025-07-08,19.21,19.43,18.48,19.04,20.67,,,,,24.9689,0,25.1768,0,6855,,,,,0
2025-07-09,18.94,19.39,18.26,18.64,20.36,,,,,24.5752,0,24.9089,0,7061,,,,,0
2025-07-10,18.59,19.15,17.71,18.91,20.13,,,,,24.0378,0,24.5100,0,6787,,,,,0
2025-07-11,18.64,19.58,18.36,19.13,19.94,,,,,24.0378,0,23.9662,0,6897,,,,,0
2025-07-14,18.81,19.89,18.56,19.38,19.82,,,,,24.0378,0,23.4659,0,7160,,,,,0
2025-07-15,19.39,19.79,18.17,18.47,19.51,,,,,24.0378,0,23.0056,0,10975,,,,,0
2025-07-16,18.33,18.95,17.24,18.84,19.30,,,,,23.3130,0,22.5822,0,14729,,,,,0
2025-07-17,18.99,19.08,17.71,18.39,19.09,20.21,,,,23.3130,0,22.0484,0,8729,,,,,0
2025-07-18,18.47,18.99,18.15,18.34,18.85,20.11,,,,23.3130,0,21.5679,0,5842,,,,,0
2025-07-21,18.32,18.69,17.90,18.34,18.75,19.87,,,,22.8927,0,21.1355,0,5956,,,,,0
2025-07-22,18.34,19.13,17.96,18.65,18.71,19.69,,,,22.8927,0,20.7463,0,4960,,,,,0
2025-07-23,18.69,19.28,18.21,18.52,18.70,19.53,,,,22.8927,0,20.3961,0,4199,,,,,0
2025-07-24,18.54,19.56,18.22,19.30,18.74,19.43,,,,22.8927,0,20.0809,0,5061,,,,,0
2025-07-25,19.31,19.93,18.96,19.88,18.81,19.37,,,,22.8927,0,17.2439,1,3944,,,,,0
2025-07-28,20.05,20.43,19.28,19.51,18.82,19.32,,,,22.8927,0,17.2975,1,6685,,,,,0
2025-07-29,19.53,19.56,18.92,18.94,18.87,19.19,,,,22.8927,0,17.4230,1,2901,,,,,0
2025-07-30,19.07,19.38,18.84,19.22,18.91,19.10,,,,22.7731,0,17.5434,1,5605,,,,,0
2025-07-31,19.03,19.19,18.12,18.74,18.94,19.02,,,,22.2849,0,17.6590,1,7091,,,,,0
2025-08-01,18.67,18.81,18.14,18.23,18.93,18.89,,,,21.9401,0,17.7700,1,3621,,,,,0
2025-08-04,18.22,18.49,17.69,18.43,18.94,18.84,,,,21.4491,0,20.4335,0,5290,,,,,0
2025-08-05,18.46,18.69,17.68,18.27,18.90,18.81,,,,21.4491,0,20.3787,0,5833,,,,,0
2025-08-06,18.43,18.63,17.84,18.44,18.89,18.80,,,,21.4491,0,20.2709,0,6880,,-0.5878,-0.6230,0.0353,0
2025-08-07,18.40,18.40,16.76,17.22,18.69,18.71,,,,20.9870,0,20.1673,0,13102,,-0.6648,-0.6314,-0.0334,0
2025-08-08,17.44,17.51,16.80,17.07,18.41,18.61,,,,20.4378,0,19.9626,0,11880,,-0.7295,-0.6510,-0.0785,0
2025-08-11,17.01,17.61,17.00,17.42,18.20,18.51,,,,20.4378,0,19.7702,0,9948,,-0.7441,-0.6696,-0.0745,0
2025-08-12,17.42,17.59,16.45,16.96,18.00,18.44,,,,20.1828,0,19.5893,0,14810,,-0.7840,-0.6925,-0.0915,0
2025-08-13,16.99,16.99,14.90,15.41,17.62,18.26,,,,19.4248,0,19.3379,0,24009,,-0.9300,-0.7400,-0.1900,0
2025-08-14,15.33,15.45,14.40,15.14,17.26,18.10,,,,18.3694,0,18.8942,0,13032,,-1.0552,-0.8030,-0.2522,0
2025-08-15,14.96,15.67,14.44,14.50,16.89,17.91,,,,18.3694,0,18.3553,0,10389,,-1.1922,-0.8809,-0.3113,0
2025-08-18,14.49,15.00,14.40,14.49,16.49,17.72,,,,18.0014,0,17.8811,0,10557,,-1.2867,-0.9620,-0.3247,0
2025-08-19,14.50,14.92,14.05,14.19,16.09,17.49,,,,17.7173,0,17.4637,0,9280,,-1.3700,-1.0436,-0.3263,0
2025-08-20,14.19,14.65,14.06,14.46,15.69,17.29,,,,17.4412,0,16.9864,0,8892,,-1.3981,-1.1145,-0.2836,0
2025-08-21,14.36,14.65,14.14,14.55,15.42,17.05,,,,17.3257,0,16.5759,0,5929,,-1.3971,-1.1710,-0.2260,0
2025-08-22,14.58,14.85,14.03,14.12,15.13,16.77,,,,17.3208,0,16.2229,0,6282,,-1.4145,-1.2197,-0.1948,0
2025-08-25,14.14,14.36,13.76,13.80,14.76,16.48,,,,16.8339,0,15.8727,0,14738,,-1.4383,-1.2635,-0.1749,0
2025-08-26,13.76,13.93,12.73,12.88,14.36,16.18,,,,16.1907,0,15.4916,0,25795,,-1.5137,-1.3135,-0.2002,0
2025-08-27,13.51,14.72,13.40,14.03,14.22,15.92,,,,16.1907,0,14.9390,0,25079,,-1.4633,-1.3435,-0.1199,0
2025-08-28,13.97,14.01,13.32,13.32,14.04,15.65,18.13,,,16.1907,0,14.7221,0,9353,20065,-1.4644,-1.3677,-0.0967,0
2025-08-29,13.30,13.53,12.96,13.34,13.92,15.40,17.99,,,16.1448,0,14.7221,0,9474,15414,-1.4470,-1.3835,-0.0635,0
2025-09-02,13.20,13.70,13.10,13.44,13.81,15.15,17.80,,,16.1448,0,14.3234,0,9420,12532,-1.4089,-1.3886,-0.0203,0
2025-09-03,13.46,13.60,13.25,13.41,13.73,14.91,17.62,,,16.0356,0,14.0044,0,13420,12250,-1.3654,-1.3840,0.0186,0
2025-09-04,13.36,14.11,13.28,13.80,13.67,14.68,17.46,,,16.0356,0,12.7286,1,14520,12149,-1.2847,-1.3641,0.0794,0
2025-09-05,13.90,14.06,13.38,13.67,13.58,14.50,17.31,,,16.0356,0,12.7562,1,10690,11073,-1.2172,-1.3347,0.1175,0
2025-09-08,13.76,14.18,13.36,14.10,13.58,14.35,17.17,,,16.0356,0,12.7833,1,20247,11189,-1.1154,-1.2909,0.1754,0
2025-09-09,14.16,14.45,13.66,14.03,13.60,14.18,17.04,,,16.0356,0,12.8393,1,18543,11066,-1.0286,-1.2384,0.2098,0
2025-09-10,13.83,14.09,13.38,13.41,13.65,14.00,16.88,,,16.0356,0,12.9361,1,13217,10557,-0.9989,-1.1905,0.1916,0
2025-09-11,13.31,13.84,13.20,13.78,13.63,13.92,16.73,,,15.9510,0,13.0271,1,12542,10408,-0.9348,-1.1394,0.2045,0
2025-09-12,13.78,14.40,13.62,14.35,13.73,13.88,16.61,,,15.9510,0,13.1127,1,10398,10246,-0.8279,-1.0771,0.2492,0
2025-09-15,14.37,14.71,13.58,13.86,13.78,13.85,16.48,,,15.9510,0,13.1931,1,15476,10426,-0.7736,-1.0164,0.2428,0
2025-09-16,13.86,14.13,13.67,14.03,13.84,13.83,16.37,,,15.9510,0,13.3146,1,11993,10322,-0.7088,-0.9549,0.2461,0
2025-09-17,14.10,14.33,12.49,12.70,13.77,13.75,16.24,,,15.9510,0,14.7121,0,29994,10784,-0.7564,-0.9152,0.1588,0
2025-09-18,13.43,15.03,13.32,14.77,13.87,13.77,16.16,,,15.9510,0,12.4894,1,32903,11301,-0.6198,-0.8561,0.2363,0
2025-09-19,14.82,15.03,14.39,14.67,13.97,13.78,16.08,,,15.9510,0,12.4894,1,97814,13122,-0.5136,-0.7876,0.2740,0
2025-09-22,14.72,14.94,14.45,14.81,14.04,13.81,15.99,,,15.9510,0,12.5402,1,14242,13269,-0.4134,-0.7127,0.2994,0
2025-09-23,15.06,15.35,14.59,14.62,14.10,13.85,15.90,,,15.9510,0,12.5900,1,16055,13447,-0.3453,-0.6393,0.2940,0
2025-09-24,14.87,15.02,13.58,14.01,14.16,13.91,15.81,,,15.9510,0,12.7004,1,21768,13662,-0.3365,-0.5787,0.2422,0
