Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,45.39,45.85,45.31,45.70,,,,,,,0,45.3124,1,18162,,,,,0
2023-07-14,45.71,45.78,45.45,45.52,,,,,,,0,45.3124,1,14479,,,,,0
2023-07-17,45.42,46.02,45.42,45.94,,,,,,,0,45.3124,1,18627,,,,,0
2023-07-18,45.80,46.29,45.68,46.19,,,,,,,0,45.3406,1,13709,,,,,0
2023-07-19,46.28,46.35,45.95,46.32,,,,,,,0,45.3977,1,15462,,,,,0
2023-07-20,46.49,46.65,46.31,46.65,,,,,,,0,45.4736,1,20227,,,,,0
2023-07-21,46.63,46.84,46.47,46.84,,,,,,,0,45.5911,1,19812,,,,,0
2023-07-24,46.97,47.39,46.86,46.90,,,,,,,0,45.7415,1,30205,,,,,0
2023-07-25,46.84,47.15,46.77,47.04,,,,,,,0,45.9721,1,19341,,,,,0
2023-07-26,46.86,47.17,46.80,46.98,46.41,,,,,48.3291,0,46.1704,1,25564,,,,,0
2023-07-27,47.14,47.23,46.68,46.77,46.52,,,,,48.3250,0,46.3409,1,22538,,,,,0
2023-07-28,46.99,47.20,46.70,46.90,46.65,,,,,48.3250,0,46.4875,1,17145,,,,,0
2023-07-31,47.14,47.41,46.73,46.87,46.75,,,,,48.3250,0,46.6136,1,18072,,,,,0
2023-08-01,46.48,46.81,46.44,46.60,46.79,,,,,48.0582,0,47.4061,0,15638,,,,,0
2023-08-02,46.25,46.35,45.65,45.82,46.74,,,,,47.5787,0,47.4061,0,34597,,,,,0
2023-08-03,45.59,45.62,45.19,45.59,46.63,,,,,47.0096,0,47.3359,0,23820,,,,,0
2023-08-04,45.54,46.41,45.54,45.94,46.54,,,,,47.0096,0,47.2070,0,18426,,,,,0
2023-08-07,45.93,46.42,45.93,46.26,46.48,,,,,47.0096,0,47.0859,0,8146,,,,,0
2023-08-08,45.61,45.65,44.97,45.48,46.32,,,,,47.0096,0,46.9720,0,20231,,,,,0
2023-08-09,45.12,45.57,44.50,45.29,46.15,46.28,,,,47.0096,0,46.8121,0,26635,,,,,0
2023-08-10,45.31,45.70,44.86,45.01,45.98,46.25,,,,47.0096,0,46.5811,0,58659,,,,,0
2023-08-11,44.73,45.28,44.73,44.95,45.78,46.22,,,,47.0096,0,46.3731,0,49476,,,,,0
2023-08-14,44.96,44.96,44.29,44.56,45.55,46.15,,,,46.6563,0,46.1860,0,49770,,,,,0
2023-08-15,44.21,44.31,43.44,43.56,45.25,46.02,,,,46.0430,0,45.9582,0,34756,,,,,0
2023-08-16,43.51,43.83,43.28,43.36,45.00,45.87,,,,45.6715,0,45.6059,0,21215,,,,,0
2023-08-17,43.56,43.68,42.89,42.95,44.74,45.68,,,,45.4262,0,45.2339,0,13986,,,,,0
2023-08-18,42.64,42.85,42.39,42.43,44.38,45.46,,,,44.7168,0,44.8119,0,18647,,,,,0
2023-08-21,42.55,42.63,41.95,42.11,43.97,45.22,,,,44.3808,0,44.3275,0,16979,,,,,0
2023-08-22,42.57,42.68,41.64,41.80,43.60,44.96,,,,44.3484,0,43.8528,0,19279,,,,,0
2023-08-23,42.03,42.40,41.69,42.38,43.31,44.73,,,,44.2274,0,43.4106,0,20674,,,,,0
2023-08-24,42.06,42.68,42.06,42.35,43.05,44.51,,,,44.2274,0,43.0568,0,43480,,,,,0
2023-08-25,42.48,42.62,42.06,42.34,42.78,44.28,,,,44.2274,0,42.7738,0,145673,,,,,0
2023-08-28,42.41,42.73,42.41,42.51,42.58,44.06,,,,44.2274,0,41.6418,1,16937,,,,,0
2023-08-29,42.36,43.36,42.36,43.31,42.55,43.90,,,,44.2274,0,41.6636,1,20513,,-1.1710,-1.2880,0.1170,0
2023-08-30,43.41,43.82,43.30,43.61,42.58,43.79,,,,44.2274,0,41.7312,1,18355,,-1.0417,-1.2388,0.1971,0
2023-08-31,43.69,44.16,43.63,43.97,42.68,43.71,,,,44.2274,0,41.8568,1,40312,,-0.8997,-1.1710,0.2712,0
2023-09-01,44.17,44.35,43.83,44.18,42.86,43.62,,,,44.2274,0,42.0408,1,28074,,-0.7610,-1.0890,0.3280,0
2023-09-05,44.08,44.36,43.81,43.99,43.04,43.51,,,,44.2274,0,42.2714,1,28836,,-0.6594,-1.0031,0.3436,0
2023-09-06,43.76,44.51,43.72,44.45,43.31,43.45,,,,42.1482,1,42.5226,1,32520,,-0.5357,-0.9096,0.3739,0
2023-09-07,44.14,44.45,43.45,43.47,43.42,43.36,,,,42.1482,1,42.8007,1,34552,,-0.5103,-0.8297,0.3194,0
2023-09-08,43.63,43.76,43.28,43.30,43.51,43.28,,,,42.1482,1,43.0398,1,21892,,-0.4982,-0.7634,0.2652,0
2023-09-11,43.55,44.37,43.48,44.16,43.69,43.24,,,,42.1482,1,43.2455,1,79570,,-0.4148,-0.6937,0.2789,0
2023-09-12,44.25,44.58,44.17,44.40,43.88,43.23,,,,42.3219,1,43.2830,1,16443,,-0.3253,-0.6200,0.2947,0
2023-09-13,44.54,44.79,44.28,44.50,44.00,43.28,,,,42.5379,1,43.4813,1,19363,,-0.2436,-0.5447,0.3012,0
2023-09-14,44.88,45.49,44.81,45.37,44.18,43.38,,,,43.0532,1,43.7166,1,49862,,-0.1070,-0.4572,0.3502,0
2023-09-15,45.21,45.76,45.21,45.56,44.34,43.51,,,,43.4358,1,44.0715,1,67388,,0.0163,-0.3625,0.3788,0
2023-09-18,45.53,45.77,45.42,45.47,44.47,43.66,,,,43.6436,1,44.4095,1,18248,,0.1056,-0.2689,0.3744,0
2023-09-19,45.71,45.87,45.47,45.48,44.62,43.83,,,,43.7964,1,44.6818,1,18902,,0.1750,-0.1801,0.3551,0
2023-09-20,45.62,45.79,45.39,45.40,44.71,44.01,,,,43.7964,1,44.9194,1,39596,,0.2209,-0.0999,0.3208,0
2023-09-21,45.21,45.27,44.71,44.78,44.84,44.13,44.83,,,43.7964,1,45.8699,0,31139,29519,0.2048,-0.0390,0.2437,0
2023-09-22,44.93,45.16,44.72,44.87,45.00,44.26,44.81,,,43.7964,1,45.8466,0,16950,29494,0.1970,0.0082,0.1888,0
2023-09-25,44.57,44.94,44.55,44.77,45.06,44.38,44.79,,,43.7964,1,45.8238,0,11260,29430,0.1807,0.0427,0.1380,0
2023-09-26,44.49,44.74,44.18,44.20,45.04,44.46,44.76,,,43.7964,1,45.7730,0,17076,29399,0.1206,0.0583,0.0623,0
2023-09-27,44.32,44.39,43.47,43.64,44.96,44.48,44.71,,,45.7602,0,45.6777,0,26980,29664,0.0276,0.0522,-0.0246,0
2023-09-28,43.59,44.24,43.59,44.13,44.83,44.51,44.67,,,45.7540,0,45.5013,0,14561,29646,-0.0068,0.0404,-0.0472,0
2023-09-29,44.40,44.58,43.85,43.99,44.67,44.51,44.61,,,45.7540,0,45.3390,0,48107,30204,-0.0451,0.0233,-0.0684,0
2023-10-02,43.71,43.71,42.90,43.11,44.44,44.45,44.54,,,45.3158,0,45.1896,0,28808,30384,-0.1444,-0.0103,-0.1342,0
2023-10-03,42.84,42.98,41.95,42.34,44.12,44.37,44.45,,,44.6249,0,44.9602,0,26951,30319,-0.2824,-0.0647,-0.2177,0
2023-10-04,42.44,42.61,41.91,42.53,43.84,44.27,44.36,,,44.4141,0,44.5989,0,20245,30337,-0.3715,-0.1261,-0.2454,0
2023-10-05,42.41,43.14,42.41,43.06,43.66,44.25,44.28,,,44.4141,0,44.2228,0,21133,30248,-0.3953,-0.1799,-0.2154,0
2023-10-06,43.00,43.72,42.72,43.64,43.54,44.27,44.21,,,44.4141,0,43.8994,0,27081,30339,-0.3628,-0.2165,-0.1463,0
2023-10-09,43.31,43.89,43.30,43.87,43.45,44.26,44.15,,,44.4141,0,41.9129,1,12090,30238,-0.3151,-0.2362,-0.0789,0
2023-10-10,44.09,44.42,43.90,43.95,43.43,44.23,44.10,,,44.4141,0,41.9524,1,21284,30302,-0.2678,-0.2425,-0.0252,0
2023-10-11,44.07,44.86,44.06,44.82,43.54,44.25,44.06,,,42.2589,1,42.0511,1,20594,30401,-0.1586,-0.2257,0.0672,0
2023-10-12,44.83,44.87,43.87,44.13,43.54,44.19,44.03,,,42.2589,1,42.2196,1,18566,30081,-0.1259,-0.2058,0.0799,0
2023-10-13,44.27,44.63,43.81,44.01,43.55,44.11,44.00,,,42.2589,1,42.4316,1,17369,29952,-0.1082,-0.1862,0.0781,0
2023-10-16,44.35,44.65,44.25,44.36,43.67,44.05,43.96,,,42.2589,1,42.6266,1,34974,30283,-0.0657,-0.1621,0.0964,0
2023-10-17,43.97,44.54,43.81,44.25,43.86,43.99,43.92,,,42.2589,1,42.8060,1,21339,30547,-0.0404,-0.1378,0.0974,0
2023-10-18,44.00,44.00,43.33,43.38,43.95,43.89,43.88,,,42.2589,1,42.9711,1,22332,30589,-0.0890,-0.1280,0.0390,0
2023-10-19,43.26,43.31,42.14,42.14,43.85,43.76,43.82,,,45.1688,0,44.8694,0,30906,30674,-0.2254,-0.1475,-0.0779,0
2023-10-20,42.09,42.26,41.44,41.47,43.64,43.59,43.75,,,44.2916,0,44.8148,0,33196,30165,-0.3829,-0.1946,-0.1883,0
2023-10-23,41.29,41.88,41.09,41.46,43.40,43.42,43.68,,,43.9217,0,44.6796,0,24661,29668,-0.5026,-0.2562,-0.2464,0
2023-10-24,41.44,41.48,40.98,41.13,43.11,43.27,43.61,,,43.5725,0,44.4644,0,25580,29185,-0.6173,-0.3284,-0.2889,0
2023-10-25,40.96,41.58,40.93,41.00,42.73,43.14,43.56,,,43.5598,0,44.1853,0,24929,28988,-0.7102,-0.4048,-0.3054,0
2023-10-26,40.94,41.37,40.86,40.94,42.41,42.98,43.51,,,43.3437,0,43.8598,0,28383,29131,-0.7799,-0.4798,-0.3001,0
2023-10-27,41.01,41.15,40.17,40.33,42.05,42.80,43.46,,,42.9578,0,43.4996,0,27712,29406,-0.8745,-0.5587,-0.3158,0
2023-10-30,40.69,41.35,40.69,41.01,41.71,42.69,43.43,,,42.9578,0,43.0339,0,22891,29491,-0.8840,-0.6238,-0.2602,0
2023-10-31,41.11,41.20,40.74,41.16,41.40,42.63,43.41,,,42.9578,0,42.6334,0,29334,29738,-0.8692,-0.6729,-0.1963,0
2023-11-01,41.25,41.75,40.98,41.57,41.22,42.58,43.40,,,42.9578,0,42.2890,0,34765,30048,-0.8153,-0.7014,-0.1140,0
2023-11-02,42.09,42.86,42.09,42.79,41.29,42.57,43.41,,,42.9578,0,40.1733,1,29745,30229,-0.6667,-0.6944,0.0277,0
2023-11-03,43.08,43.57,42.92,43.29,41.47,42.55,43.43,,,40.8175,1,40.2271,1,17757,29715,-0.5025,-0.6560,0.1536,0
2023-11-06,43.38,43.59,42.89,43.03,41.63,42.51,43.45,,,40.8406,1,40.3608,1,47745,27756,-0.3889,-0.6026,0.2137,0
2023-11-07,42.81,42.81,42.15,42.50,41.76,42.44,43.45,,,40.8406,1,40.5545,1,49720,28412,-0.3379,-0.5497,0.2118,0
2023-11-08,42.64,42.75,42.08,42.29,41.89,42.31,43.43,,,40.8406,1,40.7366,1,56618,29134,-0.3106,-0.5019,0.1912,0
2023-11-09,42.63,43.23,42.57,42.74,42.07,42.24,43.41,,,40.8406,1,40.9078,1,23942,29246,-0.2498,-0.4514,0.2017,0
2023-11-10,42.85,43.00,42.54,42.94,42.33,42.19,43.39,,,40.8406,1,41.0687,1,36416,29168,-0.1834,-0.3978,0.2144,0
2023-11-13,42.84,43.36,42.84,43.12,42.54,42.13,43.37,,,40.8568,1,41.2200,1,51151,29629,-0.1150,-0.3413,0.2263,0
2023-11-14,43.36,45.19,43.36,45.12,42.94,42.17,43.39,,,41.6398,1,41.3621,1,56658,30186,0.0996,-0.2531,0.3527,0
2023-11-15,45.31,45.77,45.30,45.46,43.33,42.27,43.41,,,42.9664,1,41.6687,1,32285,30181,0.2931,-0.1439,0.4370,0
2023-11-16,45.38,45.61,45.15,45.29,43.58,42.43,43.45,,,42.9664,1,42.0789,1,26607,30022,0.4285,-0.0294,0.4579,0
2023-11-17,45.60,45.90,45.49,45.68,43.82,42.64,43.49,,,43.3072,1,42.4481,1,21128,30007,0.5606,0.0886,0.4720,0
2023-11-20,45.56,45.90,45.19,45.81,44.10,42.86,43.53,,,43.3072,1,42.8619,1,12126,28658,0.6678,0.2045,0.4633,0
2023-11-21,45.64,46.01,45.62,45.72,44.42,43.09,43.55,,,43.5718,1,43.2868,1,26476,28859,0.7370,0.3110,0.4260,0
2023-11-22,45.64,46.11,45.41,45.98,44.79,43.34,43.58,,,43.5718,1,43.7217,1,26515,29002,0.8036,0.4095,0.3941,0
2023-11-24,46.00,46.49,46.00,46.36,45.15,43.61,43.60,,,44.0860,1,44.1522,1,64344,29291,0.8769,0.5030,0.3739,0
2023-11-27,46.15,46.22,45.97,46.10,45.46,43.90,43.61,,,44.0860,1,44.6201,1,166067,31265,0.9034,0.5831,0.3204,0
2023-11-28,46.04,46.25,45.88,46.02,45.75,44.15,43.62,,,44.1013,1,44.9945,1,160723,34114,0.9076,0.6480,0.2596,0
2023-11-29,46.03,46.21,45.81,45.84,45.82,44.38,43.63,,,44.1182,1,45.2939,1,29857,34333,0.8867,0.6957,0.1910,0
2023-11-30,45.99,46.27,45.54,46.03,45.88,44.61,43.64,,,44.1182,1,45.5335,1,67327,34888,0.8755,0.7317,0.1438,0
2023-12-01,46.20,46.55,45.90,46.48,46.00,44.79,43.68,,,44.3020,1,45.5419,1,33699,34939,0.8924,0.7638,0.1286,0
2023-12-04,46.23,46.80,46.13,46.71,46.10,44.96,43.71,,,44.5290,1,45.5419,1,28792,35176,0.9136,0.7938,0.1199,0
2023-12-05,46.54,46.93,46.37,46.69,46.19,45.14,43.75,,,44.7424,1,45.7935,1,22711,35405,0.9184,0.8187,0.0997,0
2023-12-06,46.93,47.35,46.24,46.24,46.24,45.33,43.79,,,44.7481,1,46.0203,1,54190,36147,0.8760,0.8302,0.0459,0
2023-12-07,46.35,46.54,46.07,46.54,46.30,45.54,43.85,,,44.7481,1,47.3468,0,50386,36616,0.8569,0.8355,0.0214,0
2023-12-08,46.49,46.92,46.49,46.90,46.36,45.75,43.91,,,44.7894,1,47.3468,0,46593,37256,0.8604,0.8405,0.0199,0
2023-12-11,46.89,47.39,46.81,47.23,46.47,45.97,43.97,,,45.2024,1,46.0706,1,46085,37216,0.8796,0.8483,0.0313,0
2023-12-12,47.26,47.27,46.75,47.01,46.57,46.16,44.05,,,45.2024,1,46.0970,1,32102,37282,0.8672,0.8521,0.0151,0
2023-12-13,47.05,47.64,46.60,47.63,46.75,46.29,44.16,,,45.2024,1,46.1230,1,62193,37986,0.8970,0.8611,0.0359,0
2023-12-14,47.98,48.06,47.34,47.36,46.88,46.38,44.25,,,45.6910,1,46.1836,1,27071,38123,0.8883,0.8665,0.0218,0
2023-12-15,47.53,47.59,46.54,46.58,46.89,46.44,44.32,,,45.6910,1,46.2960,1,34917,38399,0.8095,0.8551,-0.0456,0
2023-12-18,46.76,46.90,46.16,46.52,46.87,46.49,44.38,,,45.6910,1,48.0578,0,25734,38372,0.7335,0.8308,-0.0973,0
2023-12-19,46.61,47.06,46.59,46.65,46.87,46.53,44.44,,,45.6910,1,48.0199,0,32653,38783,0.6765,0.7999,-0.1234,0
2023-12-20,46.46,46.80,45.86,45.86,46.83,46.54,44.47,,,45.6910,1,47.9827,0,28687,38931,0.5609,0.7521,-0.1912,0
2023-12-21,46.13,46.54,45.99,46.26,46.80,46.55,44.50,,,45.6910,1,47.8979,0,29592,39111,0.4959,0.7009,-0.2050,0
2023-12-22,46.32,46.61,46.17,46.37,46.75,46.55,44.55,,,45.6910,1,47.8164,0,24265,39225,0.4481,0.6503,-0.2023,0
2023-12-26,46.33,46.73,46.31,46.65,46.69,46.58,44.60,,,45.6910,1,47.7382,0,10599,39090,0.4280,0.6059,-0.1778,0
2023-12-27,46.47,47.15,46.47,46.91,46.68,46.62,44.65,,,45.6910,1,47.6631,0,30958,39009,0.4278,0.5703,-0.1425,0
2023-12-28,46.90,47.50,46.90,46.94,46.61,46.68,44.70,,,45.6910,1,47.5910,0,22872,39040,0.4249,0.5412,-0.1163,0
2023-12-29,46.85,47.36,46.85,47.27,46.60,46.74,44.78,,,45.6910,1,47.5218,0,27413,39142,0.4447,0.5219,-0.0772,0
2024-01-02,46.83,47.06,46.68,46.76,46.62,46.75,44.88,,,45.6910,1,47.5018,0,19725,38918,0.4145,0.5004,-0.0859,0
2024-01-03,46.54,46.75,46.35,46.63,46.63,46.75,44.98,,,45.6910,1,47.4361,0,20972,38673,0.3751,0.4754,-0.1002,0
2024-01-04,46.63,47.14,46.60,46.75,46.64,46.75,45.08,,,45.6910,1,47.3731,0,20808,38596,0.3502,0.4503,-0.1001,0
2024-01-05,46.65,47.26,46.53,46.71,46.73,46.78,45.20,,,45.6910,1,47.3126,0,22233,38529,0.3231,0.4249,-0.1018,0
2024-01-08,46.60,46.92,46.56,46.91,46.79,46.80,45.31,,,45.6910,1,47.2648,0,21073,38452,0.3141,0.4027,-0.0886,0
2024-01-09,46.58,46.64,46.18,46.44,46.80,46.77,45.42,,,45.6910,1,47.2648,0,33459,38554,0.2664,0.3755,-0.1090,0
2024-01-10,46.45,46.74,46.40,46.66,46.80,46.74,45.55,,,45.6910,1,47.2086,0,25098,38502,0.2435,0.3491,-0.1056,0
2024-01-11,46.60,46.74,45.90,46.48,46.76,46.72,45.66,,,45.6910,1,47.1547,0,24725,38538,0.2082,0.3209,-0.1127,0
2024-01-12,46.82,47.16,46.25,46.47,46.71,46.66,45.77,,,45.6910,1,45.8610,1,20499,38362,0.1774,0.2922,-0.1148,0
2024-01-16,46.10,46.29,45.79,46.20,46.60,46.60,45.86,,,45.6910,1,47.1645,0,31883,38304,0.1295,0.2597,-0.1302,0
2024-01-17,45.79,45.91,45.34,45.60,46.49,46.55,45.91,,,47.6109,0,47.1645,0,27016,38249,0.0425,0.2162,-0.1737,0
2024-01-18,45.74,46.17,45.72,45.96,46.42,46.53,45.97,,,47.6109,0,47.0916,0,31689,38528,0.0029,0.1736,-0.1707,0
2024-01-19,46.08,46.57,45.82,46.47,46.39,46.52,46.04,,,47.6109,0,47.0216,0,19520,37963,0.0126,0.1414,-0.1288,0
