Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2025-02-13,35.06,44.00,34.99,36.00,,,,,,,0,34.9900,1,13288,,,,,0
2025-02-14,37.00,38.25,35.51,36.65,,,,,,,0,34.9900,1,8895,,,,,0
2025-02-18,40.53,47.15,39.00,47.15,,,,,,,0,34.9900,1,20958,,,,,0
2025-02-19,46.51,48.50,45.50,46.00,,,,,,,0,35.4764,1,10152,,,,,0
2025-02-20,48.98,49.49,46.71,48.26,,,,,,,0,36.2578,1,21534,,,,,0
2025-02-21,48.99,50.69,48.00,50.37,,,,,,,0,37.3164,1,63068,,,,,0
2025-02-24,52.00,53.00,46.21,48.60,,,,,,,0,38.6538,1,1645037,,,,,0
2025-02-25,48.30,55.01,47.81,48.16,,,,,,,0,40.3753,1,394859,,,,,0
2025-02-26,46.15,49.91,45.30,46.58,,,,,,,0,42.4242,1,390760,,,,,0
2025-02-27,46.04,47.87,41.58,45.16,45.29,,,,,61.6225,0,55.0100,0,436973,,,,,0
2025-02-28,45.23,48.70,43.75,46.85,46.38,,,,,61.6225,0,54.7414,0,361392,,,,,0
2025-03-03,48.49,50.88,47.60,50.31,47.74,,,,,61.6225,0,54.4782,0,242142,,,,,0
2025-03-04,46.69,50.10,45.10,48.69,47.90,,,,,61.6225,0,54.2202,0,295777,,,,,0
2025-03-05,47.60,49.40,46.50,48.47,48.14,,,,,61.6225,0,53.9674,0,245830,,,,,0
2025-03-06,47.41,49.06,45.24,46.50,47.97,,,,,61.6225,0,53.7197,0,193314,,,,,0
2025-03-07,49.20,51.13,47.16,51.00,48.03,,,,,61.6225,0,53.4769,0,399101,,,,,0
2025-03-10,50.49,53.67,49.55,53.00,48.47,,,,,61.6225,0,41.5800,1,276861,,,,,0
2025-03-11,51.84,53.19,49.82,52.16,48.87,,,,,61.6225,0,41.8218,1,164481,,,,,0
2025-03-12,53.00,53.10,50.38,50.44,49.26,,,,,61.6225,0,42.0588,1,109833,,,,,0
2025-03-13,50.00,50.87,47.86,48.44,49.59,47.44,,,,61.6225,0,42.2910,1,171836,,,,,0
2025-03-14,49.43,54.94,49.43,54.82,50.38,48.38,,,,61.6225,0,42.5186,1,265745,,,,,0
2025-03-17,54.80,58.36,54.74,55.65,50.92,49.33,,,,61.6225,0,43.0154,1,163093,,,,,0
