Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,185.48,189.24,182.10,188.20,,,,,,,0,182.1000,1,819705,,,,,0
2023-07-19,191.86,193.23,185.15,185.45,,,,,,,0,182.1000,1,729412,,,,,0
2023-07-20,182.47,183.95,175.55,176.33,,,,,,,0,193.2300,0,1074361,,,,,0
2023-07-21,178.68,180.81,175.85,175.90,,,,,,,0,193.2300,0,707206,,,,,0
2023-07-24,176.11,177.35,172.86,174.80,,,,,,,0,192.8764,0,605647,,,,,0
2023-07-25,177.00,181.80,176.31,179.29,,,,,,,0,192.0757,0,676927,,,,,0
2023-07-26,174.20,174.30,168.24,170.00,,,,,,,0,191.3071,0,1175771,,,,,0
2023-07-27,174.32,175.40,167.02,168.27,,,,,,,0,189.9234,0,811179,,,,,0
2023-07-28,170.96,175.35,169.72,174.83,,,,,,,0,188.0911,0,832278,,,,,0
2023-07-31,176.98,181.36,176.98,177.71,177.08,,,,,201.5547,0,186.4054,0,618484,,,,,0
2023-08-01,175.23,177.71,174.82,176.58,175.92,,,,,197.2764,0,184.8546,0,431862,,,,,0
2023-08-02,172.50,172.80,164.51,164.60,173.83,,,,,191.1848,0,183.4278,0,880347,,,,,0
2023-08-03,163.46,164.72,159.53,161.05,172.30,,,,,183.9602,0,181.5360,0,1229101,,,,,0
2023-08-04,171.36,172.44,165.09,166.67,171.38,,,,,183.9602,0,178.8953,0,1222124,,,,,0
2023-08-07,168.01,168.61,163.62,166.67,170.57,,,,,183.9602,0,176.5715,0,590095,,,,,0
2023-08-08,157.23,160.72,154.17,156.33,168.27,,,,,181.2279,0,174.5265,0,1833016,,,,,0
2023-08-09,157.85,158.95,153.32,154.07,166.68,,,,,179.2286,0,171.6766,0,672331,,,,,0
2023-08-10,155.41,158.83,153.96,155.02,165.35,,,,,178.6392,0,168.7395,0,503644,,,,,0
2023-08-11,153.30,155.43,151.37,153.37,163.21,,,,,174.6401,0,166.2724,0,609554,,,,,0
2023-08-14,151.54,153.15,150.07,152.86,160.72,168.90,,,,171.7161,0,163.5900,0,479476,,,,,0
2023-08-15,151.57,153.40,150.08,151.10,158.17,167.05,,,,170.8314,0,160.8860,0,399599,,,,,0
2023-08-16,151.20,152.75,148.84,149.69,156.68,165.26,,,,169.1503,0,158.7228,0,533136,,,,,0
2023-08-17,149.87,150.89,146.09,146.94,155.27,163.79,,,,166.4498,0,156.7462,0,638954,,,,,0
2023-08-18,144.49,147.86,142.40,147.63,153.37,162.37,,,,162.9318,0,154.6150,0,863975,,,,,0
2023-08-21,149.06,153.11,149.06,151.88,151.89,161.23,,,,162.9318,0,142.4000,1,861312,,,,,0
2023-08-22,153.88,154.19,151.55,152.58,151.51,159.89,,,,162.9318,0,142.4000,1,760367,,,,,0
2023-08-23,151.87,157.46,151.80,155.70,151.68,159.18,,,,162.9318,0,142.8716,1,1604115,,,,,0
2023-08-24,161.55,161.93,145.40,147.67,150.94,158.15,,,,162.9318,0,143.7469,1,2077097,,,,,0
2023-08-25,147.10,153.60,146.87,152.55,150.86,157.03,,,,162.9318,0,145.2015,1,964543,,,,,0
2023-08-28,152.82,154.97,148.37,148.75,150.45,155.59,,,,162.9318,0,145.4000,1,814347,,,,,0
2023-08-29,148.08,153.77,147.96,153.30,150.67,154.42,,,,162.9318,0,146.7224,1,705349,,,,,0
2023-08-30,152.99,156.74,151.87,155.34,151.23,153.96,,,,162.9318,0,147.9390,1,555045,,,,,0
2023-08-31,156.00,158.50,155.56,156.85,152.23,153.75,,,,162.9318,0,147.9600,1,690783,,,,,0
2023-09-01,158.10,160.02,156.75,157.08,153.17,153.27,,,,162.9318,0,149.0776,1,578903,,-5.3188,-7.8868,2.5680,0
2023-09-05,156.30,159.77,155.99,159.38,153.92,152.90,,,,162.9318,0,150.1058,1,513060,,-4.5162,-7.2127,2.6965,0
2023-09-06,157.49,159.01,155.97,157.49,154.41,152.96,,,,162.9318,0,151.0517,1,340383,,-3.9867,-6.5675,2.5808,0
2023-09-07,153.82,159.95,153.33,159.84,154.83,153.25,,,,162.9318,0,151.9220,1,461011,,-3.3389,-5.9217,2.5828,0
2023-09-08,165.21,167.75,163.92,165.95,156.65,153.80,,,,148.5944,1,152.7226,1,1281366,,-2.3059,-5.1986,2.8926,0
2023-09-11,166.27,172.35,166.26,170.17,158.42,154.64,,,,151.8685,1,153.3300,1,957853,,-1.1337,-4.3856,3.2519,0
2023-09-12,168.92,171.52,166.47,166.83,160.22,155.34,,,,151.8685,1,155.6124,1,660163,,-0.4688,-3.6023,3.1334,0
2023-09-13,166.23,167.88,163.79,165.34,161.43,156.05,,,,151.8685,1,157.6209,1,448815,,-0.0614,-2.8941,2.8327,0
2023-09-14,166.89,167.40,161.13,162.98,162.19,156.71,,,,151.8685,1,159.3884,1,655440,,0.0702,-2.3012,2.3714,0
2023-09-15,161.64,163.71,160.26,162.41,162.75,157.49,,,,151.8685,1,172.3500,0,1081927,,0.1270,-1.8156,1.9426,0
2023-09-18,160.37,162.87,159.57,161.45,163.18,158.18,,,,151.8685,1,172.1082,0,382330,,0.0936,-1.4338,1.5273,0
2023-09-19,161.14,161.85,156.96,159.74,163.22,158.57,,,,151.8685,1,171.6067,0,605862,,-0.0701,-1.1610,1.0909,0
2023-09-20,159.56,161.28,157.94,158.63,163.33,158.87,,,,151.8685,1,170.7279,0,530094,,-0.2862,-0.9861,0.6999,0
2023-09-21,155.19,156.19,148.54,149.03,162.25,158.54,,,,168.8761,0,169.9018,0,986832,,-1.2179,-1.0324,-0.1855,0
2023-09-22,151.42,152.63,149.67,149.70,160.63,158.64,,,,167.0900,0,168.1929,0,436346,,-1.8806,-1.2021,-0.6786,0
2023-09-25,148.82,150.47,147.67,149.74,158.59,158.50,,,,164.2560,0,166.6206,0,489934,,-2.3752,-1.4367,-0.9385,0
2023-09-26,148.80,150.65,146.51,147.05,156.61,158.42,161.02,,,163.4918,0,164.7256,0,474266,777115,-2.9503,-1.7394,-1.2108,0
2023-09-27,148.07,149.47,146.10,147.52,154.83,158.13,160.20,,,162.2145,0,162.5397,0,518651,771093,-3.3297,-2.0575,-1.2722,0
2023-09-28,145.52,151.55,141.79,151.12,153.64,157.92,159.52,,,162.2145,0,160.2381,0,772238,771950,-3.3018,-2.3063,-0.9955,0
2023-09-29,153.41,155.17,152.46,152.77,152.68,157.71,159.04,,,162.2145,0,157.2864,0,656224,763587,-3.1107,-2.4672,-0.6435,0
2023-10-02,152.27,153.29,149.80,151.17,151.65,157.42,158.55,,,162.2145,0,155.1680,0,516215,759767,-3.0532,-2.5844,-0.4688,0
2023-10-03,149.08,151.91,147.87,148.79,150.55,156.89,158.03,,,162.2145,0,155.1680,0,600487,759664,-3.1632,-2.7002,-0.4630,0
2023-10-04,150.75,152.70,149.24,151.96,149.89,156.61,157.48,,,162.2145,0,153.2900,0,461989,755365,-2.9604,-2.7522,-0.2082,0
2023-10-05,154.05,155.31,149.67,150.25,150.01,156.13,157.09,,,162.2145,0,141.7900,1,590738,743665,-2.9042,-2.7826,-0.1216,0
2023-10-06,148.00,160.35,148.00,159.95,151.03,155.83,156.92,,,162.2145,0,142.0604,1,905269,745547,-2.0533,-2.6368,0.5834,0
2023-10-09,158.50,163.29,158.29,161.81,152.24,155.41,156.66,,,162.2145,0,142.7920,1,469492,738291,-1.2149,-2.3524,1.1375,0
2023-10-10,163.00,166.43,162.50,163.13,153.85,155.23,156.37,,,148.0222,1,144.0216,1,523272,736387,-0.4389,-1.9697,1.5308,0
2023-10-11,163.92,165.80,162.44,163.54,155.45,155.14,156.11,,,148.3138,1,145.8142,1,370124,735152,0.2068,-1.5344,1.7412,0
2023-10-12,161.72,163.80,159.31,159.96,156.33,154.99,156.02,,,148.3138,1,147.4635,1,459437,726734,0.4248,-1.1425,1.5673,0
2023-10-13,160.66,161.54,156.97,157.16,156.77,154.72,155.94,,,148.3138,1,148.9808,1,442767,711007,0.3674,-0.8406,1.2079,0
2023-10-16,157.90,163.13,156.91,162.13,157.87,154.76,155.85,,,148.3138,1,150.3767,1,450235,695569,0.7147,-0.5295,1.2442,0
2023-10-17,158.98,162.70,158.58,159.39,158.93,154.74,155.70,,,148.3138,1,151.6610,1,538101,694529,0.7600,-0.2716,1.0316,0
2023-10-18,159.40,160.59,152.34,153.23,159.06,154.47,155.64,,,148.3138,1,166.4300,0,494810,667765,0.2955,-0.1582,0.4537,0
2023-10-19,154.76,158.09,153.12,153.43,159.37,154.69,155.63,,,148.3138,1,166.1482,0,412343,662565,-0.0558,-0.1377,0.0819,0
2023-10-20,153.00,154.09,147.35,147.67,158.14,154.59,155.48,,,167.3008,0,165.8720,0,539247,663277,-0.7900,-0.2682,-0.5218,0
2023-10-23,145.86,150.83,144.81,148.59,156.82,154.53,155.38,,,164.5492,0,165.1311,0,425175,659590,-1.2827,-0.4711,-0.8117,0
2023-10-24,149.73,152.62,148.94,151.12,155.62,154.73,155.35,,,164.5492,0,163.9118,0,371770,657436,-1.4524,-0.6673,-0.7850,0
2023-10-25,150.89,150.96,141.54,142.40,153.51,154.48,155.18,,,163.7628,0,162.7657,0,647009,662384,-2.2643,-0.9867,-1.2776,0
2023-10-26,142.06,144.05,138.40,140.84,151.60,153.96,155.00,,,158.6878,0,161.0673,0,676187,665245,-2.9991,-1.3892,-1.6099,0
2023-10-27,144.10,145.39,141.89,143.38,150.22,153.49,154.93,,,158.6878,0,158.8005,0,486603,662198,-3.3380,-1.7790,-1.5591,0
2023-10-30,144.00,145.75,142.68,144.16,148.42,153.14,154.86,,,158.6878,0,156.7605,0,301251,650943,-3.5033,-2.1238,-1.3794,0
2023-10-31,144.79,145.97,141.59,145.13,146.99,152.96,154.72,,,158.6878,0,154.9244,0,415130,642020,-3.5155,-2.4022,-1.1133,0
2023-11-01,145.30,145.72,142.32,144.26,146.10,152.58,154.56,,,158.6878,0,153.2720,0,532074,637454,-3.5543,-2.6326,-0.9217,0
2023-11-02,145.22,147.84,140.14,142.75,145.03,152.20,154.30,,,158.6878,0,151.7848,0,973940,624851,-3.6647,-2.8390,-0.8257,0
2023-11-03,143.00,150.28,142.72,149.99,145.26,151.70,154.34,,,158.6878,0,150.4463,0,765804,598625,-3.1319,-2.8976,-0.2343,0
2023-11-06,150.00,150.45,141.93,144.20,144.82,150.82,154.18,,,158.6878,0,138.4000,1,703912,593412,-3.1407,-2.9462,-0.1945,0
2023-11-07,155.77,162.50,153.85,159.57,145.67,150.64,154.39,,,136.7602,1,138.6410,1,2003130,617188,-1.8856,-2.7341,0.8485,0
2023-11-08,160.20,161.49,156.01,158.58,147.29,150.40,154.50,,,137.8317,1,139.5954,1,665719,616395,-0.9598,-2.3793,1.4194,0
2023-11-09,159.50,162.40,156.11,156.35,148.84,150.22,154.52,,,138.5434,1,140.5115,1,622633,617747,-0.4014,-1.9837,1.5823,0
2023-11-10,155.85,161.22,153.52,160.40,150.54,150.38,154.59,,,138.5434,1,141.3911,1,638456,616700,0.3637,-1.5142,1.8779,0
2023-11-13,160.04,161.15,157.28,158.70,151.99,150.21,154.62,,,139.2007,1,142.2354,1,521599,615554,0.8234,-1.0467,1.8701,0
2023-11-14,164.50,166.28,163.16,165.86,154.07,150.53,154.75,,,144.4332,1,143.0460,1,852819,622349,1.7454,-0.4883,2.2336,0
2023-11-15,166.57,169.19,162.84,163.03,155.94,151.02,154.86,,,145.8518,1,144.4401,1,676574,629073,2.2221,0.0538,2.1683,0
2023-11-16,162.94,163.00,159.51,160.97,157.77,151.40,154.89,,,145.8518,1,146.4201,1,540618,630665,2.4059,0.5242,1.8817,0
2023-11-17,160.71,162.73,160.33,161.85,158.95,152.11,154.80,,,145.8518,1,148.2416,1,306350,611165,2.5927,0.9379,1.6548,0
2023-11-20,162.00,168.82,162.00,166.73,161.20,153.01,154.73,,,147.1149,1,149.9175,1,625721,604522,3.0988,1.3701,1.7287,0
2023-11-21,164.93,168.10,164.29,166.67,161.91,153.79,154.73,,,148.5896,1,151.4593,1,472443,600768,3.4552,1.7871,1.6681,0
2023-11-22,168.90,171.22,167.30,168.92,162.95,155.12,154.80,,,152.0479,1,152.8778,1,508821,601968,3.8745,2.2046,1.6700,0
2023-11-24,168.04,171.48,167.49,171.16,164.43,156.63,154.97,,,152.7971,1,154.7120,1,297545,594810,4.3376,2.6312,1.7064,0
2023-11-27,171.00,172.68,170.05,170.30,165.42,157.98,155.12,,,155.5559,1,156.7242,1,717661,587525,4.5824,3.0214,1.5610,0
2023-11-28,170.00,172.18,167.91,171.55,166.70,159.35,155.33,,,155.5559,1,158.9573,1,657002,593018,4.8217,3.3815,1.4402,0
2023-11-29,175.02,177.60,174.35,175.32,167.65,160.86,155.64,,,160.2038,1,160.8778,1,1805516,617011,5.2549,3.7562,1.4988,0
2023-11-30,188.00,192.66,180.27,187.68,170.12,163.03,156.22,,,167.0689,1,163.5533,1,4240348,691217,6.5205,4.3090,2.2114,0
2023-12-01,185.25,188.56,180.80,185.97,172.62,165.19,156.96,,,167.0689,1,168.7925,1,1918318,709846,7.3013,4.9075,2.3938,0
2023-12-04,184.81,191.00,183.61,188.30,175.26,167.11,157.73,,,167.2820,1,173.0887,1,1606387,733247,8.0157,5.5291,2.4866,0
2023-12-05,186.53,188.52,184.08,186.16,177.20,169.20,158.46,,,167.2820,1,176.6115,1,755903,738566,8.3134,6.0860,2.2274,0
2023-12-06,187.41,190.62,184.40,184.47,178.98,170.45,159.21,,,168.2265,1,179.5002,1,988519,748851,8.3170,6.5322,1.7848,0
2023-12-07,184.61,188.78,183.03,187.31,180.82,171.89,160.00,,,168.2265,1,181.8690,1,903658,756552,8.4516,6.9161,1.5356,0
2023-12-08,187.00,191.64,185.80,190.67,182.77,173.60,160.79,,,169.7959,1,183.0300,1,1009579,761298,8.7289,7.2786,1.4502,0
2023-12-11,188.51,196.66,187.77,192.99,185.04,175.23,161.60,,,172.5163,1,183.0300,1,1418631,776547,9.0316,7.6292,1.4024,0
2023-12-12,190.84,194.21,189.69,193.49,187.24,176.97,162.44,,,172.8652,1,185.7560,1,740235,781027,9.2058,7.9445,1.2613,0
2023-12-13,195.00,197.43,191.26,196.55,189.36,178.50,163.40,,,175.3177,1,187.7700,1,1047867,789975,9.4815,8.2519,1.2295,0
2023-12-14,198.57,202.83,196.11,200.86,190.68,180.40,164.38,,,180.3294,1,189.6900,1,1594366,812622,9.9332,8.5882,1.3450,0
2023-12-15,198.00,200.85,197.10,199.01,191.98,182.30,165.35,,,180.6213,1,191.2600,1,1242200,825651,10.0264,8.8758,1.1505,0
2023-12-18,198.10,200.01,196.55,198.97,193.05,184.15,166.13,,,180.7232,1,193.5740,1,688774,821322,9.9819,9.0970,0.8849,0
2023-12-19,200.00,200.87,198.34,199.02,194.33,185.77,166.88,,,183.0417,1,195.4252,1,589776,823727,9.8373,9.2451,0.5922,0
2023-12-20,198.12,199.74,194.13,194.28,195.32,187.15,167.50,,,183.0417,1,202.8300,0,626145,825785,9.2338,9.2428,-0.0091,0
2023-12-21,195.50,196.95,193.74,196.79,196.26,188.54,168.17,,,183.0417,1,202.6560,0,829214,834966,8.8559,9.1654,-0.3095,0
2023-12-22,197.02,198.02,194.10,195.67,196.76,189.77,168.88,,,183.0417,1,202.2994,0,479157,835361,8.3696,9.0063,-0.6367,0
2023-12-26,195.90,199.32,193.80,198.56,197.32,191.18,169.71,,,183.0417,1,201.9571,0,722639,840958,8.1238,8.8298,-0.7060,0
2023-12-27,200.00,200.97,197.04,198.71,197.84,192.54,170.44,,,183.7982,1,201.6285,0,985045,851654,7.8506,8.6339,-0.7834,0
2023-12-28,198.78,201.74,197.70,201.23,198.31,193.83,171.28,,,184.8219,1,193.7420,1,769463,856282,7.7480,8.4568,-0.7087,0
2023-12-29,200.00,201.88,198.34,199.00,198.12,194.40,172.19,,,185.6397,1,193.9020,1,716042,860706,7.4016,8.2457,-0.8442,0
2024-01-02,195.00,196.23,187.53,189.12,197.13,194.56,172.91,,,185.6397,1,201.8800,0,978374,872027,6.2576,7.8481,-1.5905,0
2024-01-03,185.00,187.35,183.01,184.21,195.66,194.35,173.64,,,201.8329,0,201.8800,0,790629,877055,4.8983,7.2581,-2.3598,0
2024-01-04,182.29,187.15,180.95,183.72,194.13,194.23,174.34,,,200.8964,0,201.1252,0,784540,884242,3.7385,6.5542,-2.8157,0
2024-01-05,184.57,191.41,184.57,189.12,193.61,194.46,175.10,,,200.8964,0,199.9149,0,996625,896739,3.2179,5.8869,-2.6690,0
2024-01-08,190.77,196.90,190.77,196.35,193.57,194.92,176.18,,,200.8964,0,198.7772,0,895749,901714,3.3501,5.3796,-2.0294,0
2024-01-09,195.65,198.27,194.75,196.90,193.69,195.23,177.30,,,200.8964,0,180.9530,1,620944,900609,3.4594,4.9956,-1.5361,0
