Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,12.67,12.78,12.65,12.76,,,,,,,0,12.7832,0,3205,,,,,0
2023-07-14,12.62,12.62,12.37,12.42,,,,,,,0,12.7832,0,3173,,,,,0
2023-07-17,12.23,12.27,12.14,12.22,,,,,,,0,12.7832,0,5317,,,,,0
2023-07-18,12.29,12.55,12.28,12.40,,,,,,,0,12.7575,0,6311,,,,,0
2023-07-19,12.47,12.59,12.44,12.59,,,,,,,0,12.7328,0,5798,,,,,0
2023-07-20,12.55,12.60,12.36,12.43,,,,,,,0,12.7091,0,3700,,,,,0
2023-07-21,12.49,12.55,12.38,12.51,,,,,,,0,12.6864,0,2737,,,,,0
2023-07-24,12.61,12.87,12.61,12.84,,,,,,,0,12.1403,1,3641,,,,,0
2023-07-25,13.07,13.29,13.07,13.19,,,,,,,0,12.1549,1,7221,,,,,0
2023-07-26,12.89,12.89,12.79,12.84,12.62,,,,,13.7306,0,12.2004,1,4894,,,,,0
2023-07-27,13.16,13.37,13.05,13.16,12.66,,,,,13.7306,0,12.2442,1,5423,,,,,0
2023-07-28,13.22,13.25,13.13,13.22,12.74,,,,,13.7306,0,12.3117,1,3158,,,,,0
2023-07-31,13.27,13.36,13.24,13.30,12.85,,,,,13.7306,0,12.3751,1,2942,,,,,0
2023-08-01,13.01,13.10,12.95,13.09,12.92,,,,,13.7306,0,12.4348,1,3514,,,,,0
2023-08-02,12.62,12.64,12.41,12.52,12.91,,,,,13.5113,0,13.3695,0,6033,,,,,0
2023-08-03,12.06,12.41,11.96,12.33,12.90,,,,,13.2395,0,13.3502,0,8852,,,,,0
2023-08-04,12.54,12.76,12.48,12.62,12.91,,,,,13.2395,0,13.2946,0,6885,,,,,0
2023-08-07,12.54,12.67,12.49,12.67,12.89,,,,,13.2395,0,13.2412,0,4644,,,,,0
2023-08-08,12.47,12.73,12.40,12.72,12.85,,,,,13.2395,0,13.1900,0,3165,,,,,0
2023-08-09,12.85,12.85,12.58,12.60,12.82,12.72,,,,13.2395,0,13.1408,0,4348,,,,,0
2023-08-10,13.26,13.38,13.18,13.24,12.83,12.75,,,,13.2395,0,11.9607,1,10829,,,,,0
2023-08-11,13.41,13.48,13.36,13.45,12.85,12.80,,,,12.3277,1,11.9890,1,6719,,,,,0
2023-08-14,12.52,12.66,12.34,12.58,12.78,12.81,,,,12.3277,1,12.0488,1,9055,,,,,0
2023-08-15,12.23,12.23,12.07,12.10,12.68,12.80,,,,13.4847,0,13.4829,0,5555,,,,,0
2023-08-16,12.18,12.27,12.14,12.20,12.65,12.78,,,,13.4590,0,13.4547,0,2901,,,,,0
2023-08-17,12.31,12.44,12.29,12.38,12.65,12.78,,,,13.4590,0,13.4271,0,3563,,,,,0
2023-08-18,11.92,12.12,11.92,12.11,12.60,12.76,,,,13.2392,0,13.4001,0,5196,,,,,0
2023-08-21,12.23,12.24,12.05,12.13,12.55,12.72,,,,13.2392,0,13.3410,0,3174,,,,,0
2023-08-22,12.10,12.10,11.87,11.90,12.47,12.66,,,,13.1032,0,13.2843,0,3573,,,,,0
2023-08-23,12.12,12.36,12.02,12.29,12.44,12.63,,,,13.1032,0,13.1992,0,4373,,,,,0
2023-08-24,11.94,11.99,11.73,11.78,12.29,12.56,,,,13.0575,0,13.1192,0,3983,,,,,0
2023-08-25,12.19,12.23,12.03,12.10,12.16,12.51,,,,13.0575,0,13.0083,0,3608,,,,,0
2023-08-28,12.33,12.54,12.25,12.45,12.15,12.46,,,,13.0575,0,12.9064,0,3960,,,,,0
2023-08-29,12.39,12.56,12.32,12.56,12.19,12.44,,,,13.0575,0,12.8126,0,2353,,-0.1476,-0.1722,0.0246,0
2023-08-30,12.63,12.71,12.51,12.52,12.22,12.44,,,,13.0575,0,12.7263,0,2980,,-0.1210,-0.1620,0.0409,0
2023-08-31,12.26,12.29,12.16,12.19,12.20,12.43,,,,13.0575,0,12.7076,0,3174,,-0.1252,-0.1546,0.0294,0
2023-09-01,12.54,12.57,12.36,12.39,12.23,12.42,,,,13.0575,0,12.7076,0,3686,,-0.1112,-0.1459,0.0347,0
2023-09-05,12.70,12.76,12.36,12.36,12.25,12.40,,,,13.0575,0,11.7337,1,4914,,-0.1012,-0.1370,0.0358,0
2023-09-06,12.38,12.55,12.34,12.39,12.30,12.39,,,,13.0575,0,11.7543,1,5138,,-0.0900,-0.1276,0.0376,0
2023-09-07,12.33,12.36,12.04,12.06,12.28,12.36,,,,13.0575,0,11.7745,1,3675,,-0.1058,-0.1232,0.0174,0
2023-09-08,11.98,12.10,11.95,12.03,12.30,12.30,,,,13.0347,0,11.7943,1,3427,,-0.1200,-0.1226,0.0026,0
2023-09-11,12.34,12.37,12.22,12.23,12.32,12.24,,,,13.0347,0,11.8137,1,3264,,-0.1139,-0.1209,0.0069,0
2023-09-12,12.23,12.41,12.23,12.37,12.31,12.23,,,,13.0347,0,11.8328,1,2833,,-0.0966,-0.1160,0.0194,0
2023-09-13,12.22,12.27,11.88,11.89,12.24,12.22,,,,13.0347,0,11.8514,1,5042,,-0.1196,-0.1167,-0.0028,0
