Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-13,14.51,14.61,14.37,14.44,,,,,,,0,14.3726,1,13437,,,,,0
2023-07-14,14.50,14.68,14.30,14.51,,,,,,,0,14.6791,0,17074,,,,,0
2023-07-17,14.39,14.57,14.33,14.52,,,,,,,0,14.6791,0,10014,,,,,0
2023-07-18,14.67,14.85,14.57,14.69,,,,,,,0,14.3035,1,19382,,,,,0
2023-07-19,14.71,14.85,14.65,14.82,,,,,,,0,14.3143,1,11679,,,,,0
2023-07-20,14.79,14.83,14.54,14.59,,,,,,,0,14.3250,1,12007,,,,,0
2023-07-21,14.50,14.61,14.47,14.58,,,,,,,0,14.3354,1,11592,,,,,0
2023-07-24,14.58,14.64,14.37,14.53,,,,,,,0,14.3457,1,9921,,,,,0
2023-07-25,14.53,14.63,14.37,14.56,,,,,,,0,14.3557,1,20251,,,,,0
2023-07-26,14.46,14.67,14.46,14.58,14.58,,,,,15.3246,0,14.3655,1,15103,,,,,0
2023-07-27,14.43,14.45,13.99,14.00,14.54,,,,,15.0806,0,14.8471,0,24982,,,,,0
2023-07-28,14.18,14.25,14.05,14.13,14.50,,,,,15.0024,0,14.8299,0,21305,,,,,0
2023-07-31,14.18,14.58,14.18,14.39,14.49,,,,,15.0024,0,14.8131,0,18552,,,,,0
2023-08-01,14.14,14.31,13.97,14.08,14.43,,,,,15.0024,0,14.7965,0,26793,,,,,0
2023-08-02,14.65,14.65,13.92,14.25,14.37,,,,,15.0024,0,14.7634,0,23236,,,,,0
2023-08-03,14.23,14.55,13.95,14.16,14.33,,,,,15.0024,0,14.7127,0,19658,,,,,0
2023-08-04,14.18,14.54,14.10,14.42,14.31,,,,,15.0024,0,14.6650,0,18608,,,,,0
2023-08-07,14.37,14.43,14.10,14.36,14.29,,,,,15.0024,0,14.6202,0,12677,,,,,0
2023-08-08,14.16,14.39,14.08,14.31,14.27,,,,,15.0024,0,14.5780,0,12285,,,,,0
2023-08-09,14.30,14.47,14.18,14.38,14.25,14.42,,,,15.0024,0,14.5384,0,13466,,,,,0
2023-08-10,14.54,14.62,14.23,14.56,14.30,14.42,,,,15.0024,0,13.9179,1,15712,,,,,0
2023-08-11,14.58,14.96,14.47,14.90,14.38,14.44,,,,15.0024,0,13.9320,1,15191,,,,,0
2023-08-14,14.77,14.93,14.61,14.76,14.42,14.45,,,,15.0024,0,13.9730,1,11056,,,,,0
2023-08-15,14.65,14.81,14.36,14.38,14.45,14.44,,,,15.0024,0,14.0124,1,13595,,,,,0
2023-08-16,14.35,14.52,14.27,14.33,14.46,14.41,,,,15.0024,0,14.0502,1,12215,,,,,0
2023-08-17,14.43,14.46,14.16,14.24,14.47,14.40,,,,15.0024,0,14.0865,1,15926,,,,,0
2023-08-18,14.21,14.22,13.98,14.03,14.43,14.37,,,,15.0024,0,14.9577,0,13910,,,,,0
2023-08-21,14.06,14.16,13.90,14.09,14.40,14.35,,,,15.0024,0,14.9383,0,12316,,,,,0
2023-08-22,14.08,14.23,13.94,14.23,14.39,14.33,,,,15.0024,0,14.8969,0,10712,,,,,0
2023-08-23,14.40,14.90,14.30,14.82,14.44,14.34,,,,15.0024,0,13.9049,1,25650,,,,,0
2023-08-24,14.76,14.84,14.51,14.61,14.44,14.37,,,,15.0024,0,13.9248,1,13521,,,,,0
2023-08-25,14.54,14.64,14.15,14.40,14.39,14.39,,,,15.0024,0,13.9443,1,10550,,,,,0
2023-08-28,14.55,14.84,14.50,14.80,14.39,14.41,,,,15.0024,0,13.9634,1,11078,,,,,0
2023-08-29,14.73,14.97,14.69,14.91,14.45,14.45,,,,15.0024,0,13.9820,1,12389,,0.0618,-0.0098,0.0717,0
2023-08-30,14.93,15.17,14.90,14.96,14.51,14.48,,,,15.0024,0,14.0215,1,8393,,0.0901,0.0102,0.0800,0
2023-08-31,14.97,15.00,14.66,14.75,14.56,14.51,,,,15.0024,0,14.0902,1,9431,,0.0946,0.0270,0.0675,0
2023-09-01,14.96,15.02,14.66,14.67,14.62,14.53,,,,15.0024,0,14.1547,1,9330,,0.0907,0.0398,0.0509,0
2023-09-05,14.52,14.68,14.28,14.34,14.65,14.52,,,,15.0024,0,14.2154,1,9878,,0.0605,0.0439,0.0165,0
2023-09-06,14.30,14.42,14.22,14.26,14.65,14.52,,,,15.0024,0,15.1663,0,7374,,0.0297,0.0411,-0.0113,0
2023-09-07,14.29,14.39,14.27,14.32,14.60,14.52,,,,15.0024,0,15.1474,0,14127,,0.0101,0.0349,-0.0248,0
2023-09-08,14.34,14.65,14.30,14.37,14.58,14.51,,,,15.0024,0,15.1290,0,6632,,-0.0015,0.0276,-0.0291,0
2023-09-11,14.53,14.82,14.53,14.66,14.60,14.50,,,,15.0024,0,15.1108,0,8041,,0.0125,0.0246,-0.0121,0
2023-09-12,14.60,14.94,14.56,14.75,14.60,14.50,,,,15.0024,0,15.0931,0,7483,,0.0304,0.0257,0.0047,0
2023-09-13,14.79,14.86,14.56,14.64,14.57,14.51,,,,15.0024,0,15.0757,0,6374,,0.0354,0.0277,0.0077,0
2023-09-14,14.71,14.97,14.67,14.77,14.55,14.53,,,,15.0024,0,15.0586,0,9948,,0.0492,0.0320,0.0172,0
2023-09-15,14.93,15.14,14.83,14.92,14.57,14.57,,,,15.0024,0,14.2228,1,25665,,0.0713,0.0398,0.0315,0
2023-09-18,14.98,15.01,14.74,14.95,14.60,14.61,,,,15.0024,0,14.2410,1,11145,,0.0902,0.0499,0.0403,0
2023-09-19,15.01,15.05,14.76,14.76,14.64,14.64,,,,15.0024,0,14.2590,1,11059,,0.0889,0.0577,0.0312,0
2023-09-20,14.82,14.96,14.77,14.79,14.69,14.67,,,,15.0024,0,14.2765,1,9199,,0.0893,0.0640,0.0253,0
2023-09-21,14.49,14.63,14.32,14.36,14.70,14.65,14.51,,,15.0024,0,14.2937,1,15910,13917,0.0545,0.0621,-0.0076,0
2023-09-22,14.47,14.56,14.37,14.37,14.70,14.64,14.51,,,15.0024,0,14.3106,1,8804,13824,0.0274,0.0552,-0.0278,0
2023-09-25,14.36,14.40,14.08,14.26,14.66,14.63,14.51,,,15.0024,0,15.1365,0,10879,13700,-0.0029,0.0436,-0.0464,0
2023-09-26,14.13,14.18,13.37,13.39,14.52,14.56,14.48,,,14.9016,0,15.1155,0,18907,13878,-0.0962,0.0156,-0.1119,0
2023-09-27,13.32,13.33,12.92,13.02,14.36,14.47,14.45,,,14.2785,0,15.0456,0,10854,13707,-0.1976,-0.0270,-0.1706,0
2023-09-28,13.02,13.23,12.93,13.19,14.20,14.38,14.42,,,14.2079,0,14.9182,0,12154,13717,-0.2614,-0.0739,-0.1874,0
2023-09-29,13.42,13.50,13.06,13.20,14.03,14.30,14.39,,,14.2079,0,14.7984,0,11646,13710,-0.3075,-0.1206,-0.1869,0
2023-10-02,12.99,13.09,12.64,12.72,13.81,14.20,14.35,,,14.0650,0,14.6858,0,14569,13769,-0.3782,-0.1721,-0.2060,0
2023-10-03,12.66,12.70,12.41,12.63,13.59,14.12,14.32,,,13.7277,0,14.5224,0,14543,13862,-0.4364,-0.2250,-0.2114,0
2023-10-04,12.70,12.70,12.39,12.49,13.36,14.03,14.27,,,13.6957,0,14.3107,0,9781,13652,-0.4881,-0.2776,-0.2105,0
2023-10-05,12.46,12.60,12.36,12.54,13.18,13.94,14.23,,,13.5905,0,14.0796,0,17443,13699,-0.5191,-0.3259,-0.1932,0
2023-10-06,12.52,12.77,12.52,12.65,13.01,13.85,14.21,,,13.5905,0,13.8383,0,15887,13517,-0.5287,-0.3665,-0.1623,0
2023-10-09,12.80,12.96,12.77,12.91,12.88,13.77,14.18,,,13.5905,0,13.6307,0,15933,13410,-0.5097,-0.3951,-0.1146,0
2023-10-10,12.96,13.04,12.84,12.98,12.84,13.68,14.15,,,13.5905,0,13.4522,0,13309,13305,-0.4834,-0.4128,-0.0706,0
2023-10-11,13.14,13.16,12.92,13.16,12.85,13.60,14.14,,,13.5905,0,13.2986,0,9406,12957,-0.4430,-0.4188,-0.0242,0
2023-10-12,13.09,13.21,12.82,12.88,12.82,13.51,14.11,,,13.5905,0,12.3555,1,14249,12777,-0.4285,-0.4208,-0.0078,0
2023-10-13,13.18,13.66,13.14,13.64,12.86,13.45,14.10,,,12.2651,1,12.3726,1,16359,12711,-0.3521,-0.4070,0.0549,0
2023-10-16,13.52,13.80,13.42,13.57,12.95,13.38,14.08,,,12.4738,1,12.4240,1,13202,12603,-0.2937,-0.3844,0.0906,0
2023-10-17,13.58,13.86,13.54,13.82,13.06,13.33,14.07,,,12.5811,1,12.5063,1,11106,12572,-0.2248,-0.3525,0.1276,0
2023-10-18,13.97,14.18,13.77,13.88,13.20,13.28,14.06,,,12.8456,1,12.6142,1,18683,12700,-0.1636,-0.3147,0.1511,0
2023-10-19,13.88,14.10,13.78,14.03,13.35,13.27,14.05,,,12.8456,1,12.7711,1,17507,12781,-0.1010,-0.2719,0.1709,0
2023-10-20,14.07,14.36,13.98,14.04,13.49,13.25,14.04,,,13.0570,1,12.9123,1,16566,12798,-0.0500,-0.2276,0.1775,0
2023-10-23,13.92,14.34,13.70,14.22,13.62,13.25,14.03,,,13.0570,1,13.0862,1,18479,12863,0.0047,-0.1811,0.1858,0
2023-10-24,14.13,14.38,14.07,14.29,13.75,13.29,14.02,,,13.0570,1,13.2393,1,13121,12905,0.0531,-0.1343,0.1874,0
2023-10-25,14.14,14.43,14.04,14.04,13.84,13.35,14.01,,,13.0678,1,13.3992,1,13704,12907,0.0706,-0.0933,0.1639,0
2023-10-26,14.00,14.11,13.44,13.76,13.93,13.37,14.00,,,13.0678,1,14.4313,0,18596,13035,0.0605,-0.0625,0.1231,0
2023-10-27,13.79,14.07,13.53,14.04,13.97,13.42,14.00,,,13.0678,1,14.4313,0,21325,13143,0.0749,-0.0350,0.1100,0
2023-10-30,14.14,14.22,13.93,14.05,14.02,13.48,14.00,,,13.0678,1,14.4115,0,15832,13181,0.0861,-0.0108,0.0969,0
2023-10-31,14.01,14.14,13.61,13.79,14.02,13.54,13.99,,,13.0678,1,14.3920,0,28566,13506,0.0726,0.0059,0.0667,0
2023-11-01,13.79,13.96,11.38,11.68,13.80,13.50,13.94,,,14.6061,0,14.3729,0,55130,14394,-0.1069,-0.0167,-0.0902,0
2023-11-02,11.92,11.92,11.06,11.47,13.54,13.45,13.87,,,13.4871,0,14.2533,0,42214,14726,-0.2629,-0.0659,-0.1970,0
2023-11-03,11.60,12.35,11.53,12.17,13.35,13.42,13.83,,,13.4871,0,14.0620,0,34757,15150,-0.3267,-0.1181,-0.2086,0
2023-11-06,12.15,12.54,12.12,12.37,13.17,13.39,13.78,,,13.4871,0,13.8821,0,25256,15444,-0.3571,-0.1659,-0.1912,0
2023-11-07,12.15,12.23,11.79,12.03,12.94,13.35,13.73,,,13.4871,0,13.7130,0,15173,15526,-0.4037,-0.2134,-0.1903,0
2023-11-08,11.92,12.06,11.77,11.88,12.72,13.28,13.67,,,13.4871,0,13.5541,0,11552,15510,-0.4476,-0.2603,-0.1873,0
2023-11-09,11.95,12.17,11.72,11.76,12.52,13.23,13.60,,,13.4871,0,13.4047,0,41933,16180,-0.4864,-0.3055,-0.1809,0
2023-11-10,11.61,11.71,11.40,11.68,12.29,13.13,13.54,,,13.2788,0,13.2643,0,8597,16164,-0.5177,-0.3479,-0.1697,0
2023-11-13,11.65,11.68,11.34,11.38,12.02,13.02,13.48,,,13.1633,0,13.1323,0,12876,16235,-0.5602,-0.3904,-0.1698,0
2023-11-14,11.68,12.00,11.61,11.88,11.83,12.92,13.43,,,13.1633,0,13.0082,0,18287,16403,-0.5472,-0.4217,-0.1255,0
2023-11-15,11.98,11.98,11.58,11.65,11.83,12.81,13.38,,,13.1633,0,12.8916,0,17944,16614,-0.5492,-0.4472,-0.1019,0
2023-11-16,11.77,11.99,11.65,11.70,11.85,12.69,13.32,,,13.1633,0,12.7820,0,32925,16990,-0.5405,-0.4659,-0.0746,0
2023-11-17,11.80,11.85,11.57,11.64,11.80,12.57,13.27,,,13.1633,0,12.6789,0,19994,17257,-0.5323,-0.4792,-0.0531,0
2023-11-20,11.32,11.46,11.04,11.21,11.68,12.42,13.20,,,12.7734,0,12.5820,0,57780,18252,-0.5540,-0.4941,-0.0599,0
