Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-14,26.66,26.67,25.92,25.93,,,,,,,0,26.6743,0,104306,,,,,0
2023-07-17,25.86,26.03,25.72,25.73,,,,,,,0,26.6743,0,101856,,,,,0
2023-07-18,25.84,26.39,25.69,26.23,,,,,,,0,26.6743,0,204019,,,,,0
2023-07-19,26.36,26.47,26.01,26.13,,,,,,,0,26.6348,0,178436,,,,,0
2023-07-20,26.32,26.36,25.80,26.11,,,,,,,0,26.5970,0,98047,,,,,0
2023-07-21,26.22,26.44,26.01,26.43,,,,,,,0,26.5606,0,152238,,,,,0
2023-07-24,26.62,27.42,26.53,27.10,,,,,,,0,25.6880,1,138278,,,,,0
2023-07-25,27.10,27.30,26.82,27.22,,,,,,,0,25.7226,1,74771,,,,,0
2023-07-26,26.88,27.28,26.67,27.27,,,,,,,0,25.7565,1,152360,,,,,0
2023-07-27,27.41,27.62,26.89,26.95,26.51,,,,,29.0521,0,25.7898,1,111949,,,,,0
2023-07-28,27.08,27.63,26.76,27.62,26.68,,,,,29.0521,0,25.8628,1,177334,,,,,0
2023-07-31,27.82,28.31,27.82,28.06,26.91,,,,,29.0521,0,25.9691,1,114509,,,,,0
2023-08-01,27.71,27.82,27.40,27.81,27.07,,,,,29.0521,0,26.1560,1,96069,,,,,0
2023-08-02,27.62,27.62,26.90,27.04,27.16,,,,,29.0521,0,26.3280,1,149648,,,,,0
2023-08-03,27.19,27.47,26.85,27.19,27.27,,,,,29.0521,0,26.4863,1,200030,,,,,0
2023-08-04,27.27,27.95,27.25,27.54,27.38,,,,,29.0521,0,26.6319,1,134261,,,,,0
2023-08-07,27.61,27.84,27.42,27.69,27.44,,,,,29.0521,0,26.7658,1,50971,,,,,0
2023-08-08,27.16,27.90,26.86,27.89,27.50,,,,,29.0521,0,28.3061,0,79586,,,,,0
2023-08-09,28.07,28.66,27.98,28.44,27.62,,,,,29.0521,0,26.8626,1,142689,,,,,0
2023-08-10,28.51,28.78,28.11,28.30,27.76,27.13,,,,29.0521,0,26.8626,1,175452,,,,,0
2023-08-11,28.25,28.66,28.20,28.44,27.84,27.26,,,,29.0521,0,26.9393,1,123299,,,,,0
2023-08-14,28.26,28.38,27.87,28.27,27.86,27.39,,,,29.0521,0,27.0130,1,130282,,,,,0
2023-08-15,28.02,28.59,27.67,27.83,27.86,27.47,,,,29.0521,0,27.0837,1,191576,,,,,0
2023-08-16,27.80,28.68,27.76,28.56,28.01,27.59,,,,29.0521,0,27.1517,1,247322,,,,,0
2023-08-17,29.07,29.49,28.92,29.26,28.22,27.74,,,,27.0100,1,27.2168,1,244627,,,,,0
2023-08-18,28.99,29.89,28.91,29.68,28.44,27.91,,,,27.1306,1,27.3532,1,213267,,,,,0
2023-08-21,29.97,30.09,29.17,29.35,28.60,28.02,,,,27.3092,1,27.5564,1,209099,,,,,0
2023-08-22,29.32,29.61,29.14,29.18,28.73,28.12,,,,27.3092,1,27.8098,1,210846,,,,,0
2023-08-23,29.06,29.49,28.83,29.44,28.83,28.23,,,,27.3092,1,28.0379,1,154128,,,,,0
2023-08-24,29.18,29.48,29.06,29.19,28.92,28.34,,,,27.3092,1,28.2431,1,101962,,,,,0
2023-08-25,29.53,29.65,29.01,29.51,29.03,28.43,,,,27.3092,1,28.4278,1,120507,,,,,0
2023-08-28,29.71,30.07,29.56,29.78,29.18,28.52,,,,27.7667,1,28.5941,1,79697,,,,,0
2023-08-29,29.81,30.45,29.67,30.41,29.44,28.65,,,,27.9798,1,28.7437,1,425231,,,,,0
2023-08-30,30.58,30.85,30.50,30.68,29.65,28.83,,,,28.6746,1,28.9484,1,132250,,0.9394,0.8754,0.0640,0
2023-08-31,30.85,30.96,30.53,30.72,29.79,29.01,,,,28.8141,1,29.2149,1,235805,,0.9689,0.8941,0.0748,0
2023-09-01,31.21,31.25,30.88,30.97,29.92,29.18,,,,29.1667,1,29.4938,1,214684,,1.0005,0.9154,0.0851,0
2023-09-05,31.22,31.49,30.94,31.16,30.10,29.35,,,,29.3445,1,29.8096,1,227315,,1.0291,0.9381,0.0909,0
2023-09-06,31.07,31.33,30.96,31.24,30.31,29.52,,,,29.3476,1,30.1462,1,175278,,1.0462,0.9598,0.0865,0
2023-09-07,31.18,31.31,30.88,30.99,30.47,29.65,,,,29.3476,1,30.4155,1,127102,,1.0282,0.9734,0.0548,0
2023-09-08,31.16,31.34,30.93,31.13,30.66,29.79,,,,29.4398,1,30.6310,1,153781,,1.0132,0.9814,0.0318,0
2023-09-11,31.29,31.54,30.54,30.59,30.77,29.90,,,,29.4398,1,31.4928,0,118746,,0.9465,0.9744,-0.0279,0
2023-09-12,30.89,31.46,30.80,31.41,30.93,30.05,,,,29.4398,1,31.5382,0,139097,,0.9493,0.9694,-0.0201,0
2023-09-13,31.51,31.56,31.07,31.18,31.01,30.22,,,,29.4516,1,30.5407,1,101131,,0.9226,0.9601,-0.0374,0
2023-09-14,31.64,31.73,31.45,31.49,31.09,30.37,,,,29.7510,1,30.5610,1,127664,,0.9158,0.9512,-0.0354,0
2023-09-15,31.49,31.91,31.23,31.82,31.20,30.50,,,,29.7510,1,30.6077,1,276278,,0.9260,0.9462,-0.0202,0
2023-09-18,31.92,31.94,31.49,31.63,31.26,30.59,,,,29.9100,1,30.6859,1,247198,,0.9083,0.9386,-0.0303,0
2023-09-19,32.07,32.20,31.41,31.57,31.31,30.71,,,,29.9445,1,30.7860,1,122211,,0.8790,0.9267,-0.0477,0
2023-09-20,31.37,31.89,31.18,31.27,31.31,30.81,,,,29.9445,1,30.9274,1,253014,,0.8221,0.9058,-0.0836,0
2023-09-21,31.43,31.43,30.91,31.00,31.31,30.89,,,,29.9445,1,32.2001,0,262029,,0.7473,0.8741,-0.1268,0
2023-09-22,31.47,31.63,30.48,30.72,31.27,30.96,29.02,,,29.9445,1,32.1744,0,265812,165361,0.6577,0.8308,-0.1731,0
2023-09-25,30.73,31.08,30.42,31.05,31.31,31.04,29.12,,,29.9445,1,32.1065,0,123730,165749,0.6060,0.7858,-0.1798,0
2023-09-26,30.78,31.08,30.69,30.99,31.27,31.10,29.23,,,29.9445,1,32.0055,0,194441,167601,0.5536,0.7394,-0.1858,0
2023-09-27,31.42,31.91,31.29,31.86,31.34,31.17,29.34,,,29.9445,1,31.9105,0,188743,167296,0.5756,0.7066,-0.1310,0
2023-09-28,31.71,32.11,31.47,31.94,31.38,31.24,29.46,,,29.9445,1,30.4228,1,150696,166741,0.5928,0.6839,-0.0910,0
2023-09-29,31.99,32.07,31.12,31.18,31.32,31.26,29.56,,,29.9445,1,30.4566,1,149945,167779,0.5388,0.6548,-0.1160,0
2023-10-02,31.18,31.23,30.17,30.38,31.19,31.23,29.64,,,29.9445,1,32.1094,0,202564,168785,0.4267,0.6092,-0.1825,0
