Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,6.85,7.00,6.85,6.99,,,,,,,0,6.8515,1,2261,,,,,0
2023-07-19,6.98,7.00,6.87,6.99,,,,,,,0,6.8515,1,3042,,,,,0
2023-07-20,7.02,7.11,6.99,7.11,,,,,,,0,6.8515,1,3660,,,,,0
2023-07-21,7.14,7.16,7.02,7.11,,,,,,,0,6.8620,1,2965,,,,,0
2023-07-24,7.12,7.33,7.12,7.30,,,,,,,0,6.8796,1,3114,,,,,0
2023-07-25,7.33,7.50,7.32,7.39,,,,,,,0,6.9159,1,3465,,,,,0
2023-07-26,7.37,7.46,7.30,7.39,,,,,,,0,6.9746,1,3091,,,,,0
2023-07-27,7.38,7.38,7.23,7.30,,,,,,,0,7.0274,1,3825,,,,,0
2023-07-28,7.33,7.42,7.28,7.36,,,,,,,0,7.0750,1,2380,,,,,0
2023-07-31,7.44,7.55,7.39,7.51,7.24,,,,,7.9579,0,7.1178,1,4073,,,,,0
2023-08-01,7.62,8.43,7.61,8.37,7.38,,,,,7.3102,1,7.1700,1,9882,,,,,0
2023-08-02,8.37,8.41,8.18,8.31,7.52,,,,,7.5836,1,7.3469,1,5911,,,,,0
2023-08-03,7.81,7.91,7.45,7.71,7.58,,,,,7.5836,1,8.4332,0,6303,,,,,0
2023-08-04,7.72,7.93,7.71,7.79,7.64,,,,,7.5836,1,8.4136,0,4864,,,,,0
2023-08-07,7.78,7.86,7.71,7.84,7.70,,,,,7.5836,1,8.3944,0,4193,,,,,0
