Date,Open,High,Low,Close,Ma10:Top:Line,Ma20:Top:Line,Ma50:Top:Line,Ma150:Top:Line,Ma200:Top:Line,Supertrend:Top:ColorLine,Supertrend_Dir,ParabolicSAR:Top:ColorLine,ParabolicSAR_Dir,Volume:Middle:Histogram,Vo50:Middle:Line,Macd:Bottom:Line,MacdSignal:Bottom:Line,MacdDelta:Bottom:Histogram,RsRating:Hidden:Hidden
2023-07-18,14.36,15.15,14.32,15.07,,,,,,,0,14.3200,1,50596,,,,,0
2023-07-19,15.07,15.44,14.98,15.24,,,,,,,0,14.3200,1,33159,,,,,0
2023-07-20,15.45,15.45,15.09,15.22,,,,,,,0,14.3200,1,30026,,,,,0
2023-07-21,15.34,15.41,15.15,15.37,,,,,,,0,14.3652,1,24099,,,,,0
2023-07-24,15.40,15.70,15.40,15.53,,,,,,,0,14.4086,1,28123,,,,,0
2023-07-25,15.46,15.83,15.37,15.73,,,,,,,0,14.4861,1,19607,,,,,0
2023-07-26,15.49,15.97,15.49,15.88,,,,,,,0,14.5936,1,26169,,,,,0
2023-07-27,16.00,16.01,15.00,15.20,,,,,,,0,14.7312,1,29151,,,,,0
2023-07-28,15.48,15.77,15.29,15.77,,,,,,,0,14.8847,1,18005,,,,,0
2023-07-31,15.99,16.14,15.81,16.00,15.50,,,,,17.5097,0,15.0000,1,15462,,,,,0
2023-08-01,15.75,15.99,15.59,15.97,15.59,,,,,17.2961,0,15.1596,1,17439,,,,,0
2023-08-02,15.74,15.74,15.30,15.62,15.63,,,,,17.0774,0,15.2969,1,19550,,,,,0
2023-08-03,15.67,16.12,15.58,16.08,15.71,,,,,17.0774,0,15.3000,1,33811,,,,,0
2023-08-04,16.21,16.39,15.99,16.30,15.81,,,,,17.0774,0,15.3000,1,34885,,,,,0
2023-08-07,16.21,16.41,15.78,16.40,15.89,,,,,17.0774,0,15.4744,1,28728,,,,,0
2023-08-08,16.30,16.60,16.12,16.50,15.97,,,,,17.0774,0,15.6428,1,44722,,,,,0
2023-08-09,16.88,17.29,16.30,16.98,16.08,,,,,17.0774,0,15.7800,1,36694,,,,,0
2023-08-10,17.10,17.38,16.58,16.81,16.24,,,,,17.0774,0,16.0820,1,28132,,,,,0
2023-08-11,16.70,17.10,16.70,16.93,16.36,,,,,17.0774,0,16.3000,1,21804,,,,,0
2023-08-14,16.76,17.09,16.70,17.08,16.47,15.98,,,,15.2414,1,16.5160,1,27190,,,,,0
2023-08-15,16.79,16.97,16.76,16.82,16.55,16.07,,,,15.2785,1,16.6888,1,19930,,,,,0
2023-08-16,16.74,17.01,16.74,16.83,16.67,16.15,,,,15.3661,1,16.7000,1,35984,,,,,0
2023-08-17,17.10,17.30,16.92,16.97,16.76,16.24,,,,15.6110,1,16.7400,1,16941,,,,,0
2023-08-18,16.71,17.11,16.64,17.04,16.84,16.32,,,,15.6110,1,17.3800,0,14227,,,,,0
2023-08-21,17.20,17.28,16.97,17.07,16.90,16.40,,,,15.6919,1,17.3652,0,14938,,,,,0
2023-08-22,17.02,17.17,16.64,16.83,16.94,16.45,,,,15.6919,1,17.3507,0,18015,,,,,0
2023-08-23,16.63,16.95,16.46,16.80,16.92,16.50,,,,15.6919,1,17.3221,0,13349,,,,,0
2023-08-24,16.64,16.78,16.35,16.42,16.88,16.56,,,,15.6919,1,17.2703,0,20742,,,,,0
2023-08-25,16.55,16.90,16.50,16.75,16.86,16.61,,,,15.6919,1,17.1967,0,14695,,,,,0
2023-08-28,16.95,17.06,16.75,16.84,16.84,16.65,,,,15.6919,1,17.1290,0,10444,,,,,0
2023-08-29,16.81,16.95,16.64,16.88,16.84,16.70,,,,15.6919,1,17.0667,0,11470,,,,,0
2023-08-30,16.98,17.38,16.94,17.28,16.89,16.78,,,,15.7969,1,16.3500,1,26416,,,,,0
2023-08-31,17.38,17.38,17.11,17.22,16.91,16.84,,,,15.9372,1,16.3706,1,19655,,,,,0
2023-09-01,17.43,17.59,17.30,17.32,16.94,16.89,,,,16.1570,1,16.3908,1,22431,,0.3997,0.4332,-0.0334,0
2023-09-05,17.19,17.50,17.08,17.15,16.95,16.93,,,,16.1570,1,16.4388,1,40349,,0.3852,0.4236,-0.0384,0
2023-09-06,17.15,17.29,16.98,17.00,16.97,16.95,,,,16.1570,1,16.4848,1,28320,,0.3575,0.4103,-0.0529,0
2023-09-07,16.88,17.03,16.82,16.94,16.98,16.95,,,,16.1570,1,16.5290,1,21356,,0.3269,0.3937,-0.0668,0
2023-09-08,16.97,17.08,16.83,16.94,17.03,16.96,,,,16.1570,1,16.5715,1,12280,,0.2992,0.3748,-0.0756,0
2023-09-11,16.93,17.00,16.63,16.68,17.03,16.94,,,,16.1570,1,16.6122,1,24913,,0.2534,0.3505,-0.0971,0
2023-09-12,16.98,17.01,16.70,16.94,17.04,16.94,,,,16.1570,1,16.6250,1,19838,,0.2353,0.3274,-0.0922,0
2023-09-13,17.14,17.14,16.50,16.70,17.02,16.93,,,,16.1570,1,17.5900,0,18965,,0.1993,0.3018,-0.1025,0
2023-09-14,17.01,17.14,16.88,16.98,16.99,16.94,,,,16.1570,1,17.5681,0,23724,,0.1912,0.2797,-0.0885,0
2023-09-15,16.90,16.96,16.21,16.54,16.92,16.92,,,,16.1570,1,17.5466,0,171212,,0.1475,0.2533,-0.1057,0
2023-09-18,16.80,16.80,16.20,16.34,16.82,16.88,,,,16.1570,1,17.4932,0,26487,,0.0957,0.2218,-0.1260,0
2023-09-19,16.56,16.62,16.23,16.33,16.74,16.84,,,,16.1570,1,17.4156,0,15672,,0.0532,0.1880,-0.1348,0
2023-09-20,16.21,16.59,16.12,16.14,16.65,16.81,,,,17.7160,0,17.3426,0,12772,,0.0042,0.1513,-0.1471,0
2023-09-21,16.18,16.28,15.80,15.80,16.54,16.76,,,,17.4089,0,17.2448,0,17462,,-0.0614,0.1087,-0.1702,0
2023-09-22,15.99,16.28,15.95,16.03,16.45,16.74,,,,17.4089,0,17.1004,0,10684,,-0.0938,0.0682,-0.1620,0
2023-09-25,16.03,16.67,16.03,16.66,16.45,16.74,,,,17.4089,0,16.9703,0,11062,,-0.0678,0.0410,-0.1088,0
2023-09-26,16.34,16.65,16.31,16.33,16.39,16.71,16.44,,,17.4089,0,16.8533,0,15068,25935,-0.0730,0.0182,-0.0912,0
2023-09-27,16.62,17.00,16.52,16.86,16.40,16.71,16.48,,,17.4089,0,15.8000,1,22689,25377,-0.0340,0.0078,-0.0417,0
2023-09-28,16.80,17.09,16.75,16.88,16.39,16.69,16.51,,,17.4089,0,15.8240,1,20528,25124,-0.0014,0.0059,-0.0073,0
2023-09-29,16.90,16.90,16.28,16.44,16.38,16.65,16.54,,,17.4089,0,15.8746,1,20022,24924,-0.0110,0.0026,-0.0135,0
2023-10-02,16.49,16.49,15.40,15.53,16.30,16.56,16.54,,,17.4089,0,17.0900,0,21804,24878,-0.0909,-0.0161,-0.0748,0
2023-10-03,15.45,15.80,15.30,15.78,16.24,16.49,16.55,,,17.1704,0,17.0563,0,15054,24617,-0.1326,-0.0394,-0.0932,0
2023-10-04,15.47,15.47,14.81,14.94,16.13,16.39,16.53,,,16.8894,0,16.9860,0,15369,24532,-0.2308,-0.0777,-0.1531,0
2023-10-05,14.69,15.14,14.66,14.87,16.03,16.29,16.51,,,16.6185,0,16.8555,0,19796,24405,-0.3106,-0.1243,-0.1863,0
2023-10-06,14.83,15.41,14.76,15.19,15.95,16.20,16.51,,,16.6185,0,16.6798,0,21462,24251,-0.3441,-0.1682,-0.1759,0
2023-10-09,15.65,16.16,15.65,16.00,15.88,16.16,16.51,,,16.6185,0,16.5183,0,38683,24665,-0.3018,-0.1950,-0.1068,0
2023-10-10,16.08,16.15,15.85,16.02,15.85,16.12,16.51,,,16.6185,0,16.3696,0,48597,25327,-0.2636,-0.2087,-0.0549,0
2023-10-11,15.76,16.04,15.54,15.93,15.76,16.08,16.51,,,16.6185,0,16.2328,0,17786,25334,-0.2379,-0.2145,-0.0234,0
2023-10-12,16.09,16.09,15.69,15.84,15.65,16.02,16.52,,,16.6185,0,16.1500,0,12645,25196,-0.2222,-0.2161,-0.0061,0
2023-10-13,16.13,16.22,15.77,15.78,15.59,15.98,16.51,,,16.6185,0,14.6600,1,16716,24854,-0.2122,-0.2153,0.0031,0
2023-10-16,15.93,16.03,15.65,15.72,15.61,15.95,16.50,,,16.6185,0,14.6912,1,17506,24507,-0.2067,-0.2136,0.0069,0
2023-10-17,15.69,16.11,15.69,15.84,15.61,15.93,16.49,,,16.6185,0,14.7218,1,27964,24491,-0.1904,-0.2089,0.0185,0
2023-10-18,15.98,16.04,15.80,15.96,15.72,15.92,16.48,,,16.6185,0,14.7517,1,14172,23880,-0.1660,-0.2003,0.0344,0
2023-10-19,16.00,16.99,15.88,16.65,15.89,15.96,16.47,,,14.7679,1,14.7811,1,35165,23850,-0.0899,-0.1782,0.0884,0
2023-10-20,16.71,16.81,16.03,16.06,15.98,15.96,16.46,,,14.7679,1,14.8695,1,17913,23645,-0.0763,-0.1579,0.0816,0
2023-10-23,15.85,16.19,15.57,15.68,15.95,15.91,16.43,,,14.7679,1,14.9543,1,17878,23567,-0.0951,-0.1453,0.0502,0
2023-10-24,15.76,15.77,15.44,15.52,15.90,15.87,16.40,,,14.7679,1,15.0357,1,9422,23211,-0.1215,-0.1405,0.0190,0
2023-10-25,15.45,15.76,15.30,15.72,15.88,15.82,16.38,,,14.7679,1,15.1139,1,11081,23034,-0.1249,-0.1374,0.0125,0
2023-10-26,15.56,15.88,15.35,15.59,15.85,15.75,16.35,,,14.7679,1,15.1889,1,9702,22509,-0.1364,-0.1372,0.0008,0
2023-10-27,15.58,15.65,15.09,15.58,15.83,15.71,16.33,,,14.7679,1,16.9900,0,13223,22434,-0.1447,-0.1387,-0.0060,0
2023-10-30,15.71,15.84,15.12,15.33,15.79,15.70,16.29,,,14.7679,1,16.9520,0,11888,22388,-0.1695,-0.1449,-0.0247,0
2023-10-31,15.33,15.71,15.23,15.50,15.76,15.69,16.26,,,14.7679,1,16.9148,0,12969,22348,-0.1735,-0.1506,-0.0229,0
2023-11-01,15.50,15.54,14.95,15.04,15.67,15.69,16.23,,,14.7679,1,16.8783,0,14428,22277,-0.2113,-0.1627,-0.0486,0
2023-11-02,15.13,15.61,15.02,15.61,15.56,15.73,16.20,,,14.7679,1,16.8011,0,12547,22261,-0.1930,-0.1688,-0.0242,0
2023-11-03,15.68,15.92,15.40,15.46,15.50,15.74,16.18,,,14.7679,1,16.7271,0,17527,22196,-0.1885,-0.1727,-0.0158,0
2023-11-06,15.42,15.48,14.61,14.62,15.40,15.67,16.14,,,16.8127,0,16.6560,0,21895,22340,-0.2498,-0.1882,-0.0617,0
2023-11-07,13.96,14.23,13.07,14.01,15.25,15.57,16.08,,,15.7069,0,16.5332,0,39776,22927,-0.3436,-0.2193,-0.1244,0
2023-11-08,13.87,14.06,13.29,13.59,15.03,15.46,16.02,,,15.7069,0,16.2566,0,31667,23331,-0.4468,-0.2648,-0.1820,0
2023-11-09,13.69,14.24,13.66,14.10,14.88,15.37,15.95,,,15.7069,0,16.0021,0,35416,23511,-0.4818,-0.3082,-0.1736,0
2023-11-10,14.33,14.54,14.10,14.15,14.74,15.29,15.89,,,15.7069,0,15.7679,0,22705,23572,-0.4997,-0.3465,-0.1533,0
2023-11-13,14.12,14.35,13.94,14.27,14.64,15.21,15.83,,,15.7069,0,15.5525,0,14023,23404,-0.4985,-0.3769,-0.1216,0
2023-11-14,14.59,14.88,14.45,14.85,14.57,15.16,15.79,,,15.7069,0,15.3543,0,21316,23023,-0.4456,-0.3906,-0.0550,0
2023-11-15,14.75,15.17,14.61,14.66,14.53,15.10,15.74,,,15.7069,0,15.1719,0,13330,22723,-0.4143,-0.3954,-0.0189,0
2023-11-16,14.47,14.59,13.81,14.28,14.40,14.98,15.69,,,15.7069,0,15.1700,0,17610,22648,-0.4153,-0.3993,-0.0159,0
2023-11-17,14.46,14.69,14.39,14.60,14.31,14.91,15.64,,,15.7069,0,15.1700,0,22833,22859,-0.3858,-0.3966,0.0108,0
2023-11-20,14.72,14.80,14.56,14.60,14.31,14.85,15.60,,,15.7069,0,15.0024,0,10400,22569,-0.3584,-0.3890,0.0306,0
2023-11-21,14.69,14.71,13.96,13.96,14.31,14.78,15.54,,,15.7069,0,14.8482,0,15899,22490,-0.3838,-0.3879,0.0042,0
2023-11-22,13.58,14.05,13.45,13.97,14.34,14.69,15.48,,,15.5628,0,14.8000,0,10077,22313,-0.3986,-0.3901,-0.0085,0
2023-11-24,13.93,14.19,13.91,14.00,14.33,14.61,15.42,,,15.5628,0,14.7100,0,4771,21933,-0.4032,-0.3927,-0.0105,0
2023-11-27,13.88,13.88,13.65,13.71,14.29,14.52,15.37,,,15.4130,0,14.5792,0,7568,18661,-0.4254,-0.3992,-0.0261,0
2023-11-28,13.72,13.97,13.60,13.79,14.24,14.44,15.32,,,15.3814,0,14.4589,0,9679,18324,-0.4315,-0.4057,-0.0258,0
2023-11-29,13.91,14.10,13.85,13.95,14.15,14.36,15.27,,,15.3814,0,14.3482,0,21313,18437,-0.4186,-0.4083,-0.0104,0
2023-11-30,14.08,14.49,13.75,13.92,14.08,14.31,15.22,,,15.3814,0,13.0750,1,14640,18475,-0.4062,-0.4078,0.0017,0
2023-12-01,13.84,14.24,13.76,13.92,14.04,14.22,15.19,,,15.3814,0,13.1033,1,15454,18434,-0.3918,-0.4046,0.0129,0
2023-12-04,13.68,13.79,13.11,13.29,13.91,14.11,15.13,,,15.1176,0,14.4900,0,23235,18685,-0.4263,-0.4090,-0.0173,0
2023-12-05,13.35,13.38,12.90,12.91,13.74,14.03,15.06,,,14.7859,0,14.4624,0,12585,18716,-0.4788,-0.4229,-0.0559,0
2023-12-06,12.81,13.08,12.23,12.27,13.57,13.94,14.97,,,14.3908,0,14.4001,0,20798,18831,-0.5655,-0.4514,-0.1141,0
2023-12-07,12.60,12.88,12.44,12.88,13.46,13.90,14.90,,,14.3908,0,14.2702,0,19882,18774,-0.5784,-0.4768,-0.1015,0
2023-12-08,13.01,13.43,12.94,13.43,13.41,13.87,14.83,,,14.3908,0,14.1481,0,20196,18768,-0.5380,-0.4891,-0.0489,0
2023-12-11,13.29,13.33,12.90,13.00,13.34,13.81,14.76,,,14.3908,0,14.0333,0,15722,18682,-0.5345,-0.4981,-0.0363,0
2023-12-12,12.74,12.74,12.45,12.64,13.22,13.73,14.70,,,14.3071,0,13.9254,0,15912,18564,-0.5544,-0.5094,-0.0450,0
2023-12-13,12.76,13.31,12.56,13.31,13.16,13.65,14.65,,,14.3071,0,13.8240,0,20933,18681,-0.5102,-0.5095,-0.0006,0
2023-12-14,13.67,14.24,13.64,14.11,13.18,13.63,14.63,,,14.3071,0,12.2350,1,31012,18994,-0.4060,-0.4888,0.0829,0
2023-12-15,14.26,14.32,13.74,14.05,13.19,13.62,14.62,,,14.3071,0,12.2752,1,75985,20118,-0.3244,-0.4559,0.1315,0
2023-12-18,14.38,14.68,14.21,14.22,13.28,13.60,14.60,,,14.3071,0,12.3570,1,15436,19998,-0.2433,-0.4134,0.1701,0
2023-12-19,14.14,14.58,14.05,14.54,13.45,13.59,14.57,,,12.5838,1,12.4964,1,18312,19590,-0.1515,-0.3610,0.2096,0
2023-12-20,14.60,14.69,14.14,14.16,13.63,13.60,14.53,,,12.5983,1,12.6274,1,17543,18969,-0.1081,-0.3104,0.2024,0
2023-12-21,14.22,14.30,13.95,14.27,13.77,13.62,14.50,,,12.5983,1,12.7920,1,10481,18823,-0.0641,-0.2612,0.1971,0
2023-12-22,14.37,14.65,14.26,14.31,13.86,13.63,14.47,,,12.7736,1,12.9434,1,7935,18729,-0.0257,-0.2141,0.1884,0
2023-12-26,14.52,14.68,14.39,14.49,14.01,13.67,14.44,,,12.9107,1,13.0828,1,10781,18610,0.0190,-0.1675,0.1865,0
2023-12-27,14.62,14.63,14.37,14.50,14.20,13.71,14.42,,,12.9623,1,13.2109,1,10339,18467,0.0547,-0.1230,0.1777,0
2023-12-28,14.48,14.56,14.32,14.33,14.30,13.73,14.39,,,12.9841,1,13.3289,1,8491,18077,0.0684,-0.0848,0.1531,0
2023-12-29,14.42,14.53,14.18,14.23,14.31,13.74,14.35,,,12.9841,1,13.4374,1,10102,17996,0.0704,-0.0537,0.1241,0
2024-01-02,14.32,14.65,14.28,14.40,14.34,13.77,14.31,,,13.0649,1,13.5372,1,11470,17522,0.0847,-0.0260,0.1107,0
2024-01-03,14.43,14.77,14.20,14.66,14.39,13.84,14.28,,,13.0649,1,13.6290,1,22216,17608,0.1157,0.0023,0.1134,0
2024-01-04,14.70,14.77,13.73,13.73,14.31,13.88,14.24,,,13.0649,1,14.7750,0,15375,17558,0.0645,0.0147,0.0497,0
2024-01-05,13.88,13.93,13.61,13.71,14.26,13.95,14.20,,,13.0649,1,14.7750,0,13425,17638,0.0220,0.0162,0.0058,0
2024-01-08,13.34,13.58,13.16,13.57,14.19,13.98,14.16,,,13.0649,1,14.7750,0,10253,17621,-0.0227,0.0084,-0.0311,0
2024-01-09,13.52,13.52,13.08,13.22,14.08,13.97,14.11,,,13.0649,1,14.6781,0,11528,17658,-0.0853,-0.0103,-0.0750,0
